,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Range,Style,Warranty,Hazardous,Depth (mm),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Thickness,Frame Colour,Feature 10
0,PD28911,Merlyn Ionic Express sliding door 1200mm,Merlyn,466.54,The smart Merlyn Ionic Express 1200mm sliding shower enclosure door is manufactured in robust 6mm safety glass with Mershield Stayclear coating and features quick release rollers for effortless cleaning and double fin seals for increased watertightness.,Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Merlyn Ionic Express sliding door 1200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/11/UP-D28909_D28911_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Showering_Collection_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_IonicExpress_SDoorPanel_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Merlyn_IonicExpress_SDoor_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_IonicExpress_SDoor_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,
1,PD28564,Merlyn MBOX sliding shower door 1200mm,Merlyn,327.92,"Combining practicality and style, the 1200mm Merlyn MBox shower enclosure with sliding door is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Merlyn MBOX sliding shower door 1200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/70/UP-D28562_D28570_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBOX_SlidingDoor_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBOX_SlidingDoor_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBOX_Enclosures_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
2,PD05980,Mira Elevate slider shower door1200 x 1900mm,Mira,313.93,"Maximising your bathroom floor space, the Mira Elevate 1200mm shower enclosure sliding door is designed for a corner or alcove enclosure. Manufactured in 6mm safety glass with magnetic closings at both top and bottom and with adjustable, quick-release double rollers, this reversible installation door is easy to fit, clean and use.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Mira Elevate slider shower door1200 x 1900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/81/UP-D05978_D05981_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Elevate_SlidingDoor_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Elevate_SlidingDoor_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,
3,PD28566,Merlyn MBOX sliding shower door fixed panel box 1400mm,Merlyn,292.12,"Combining practicality and style, the 1400mm Merlyn MBox shower enclosure fixed panel sliding door is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Merlyn MBOX sliding shower door fixed panel box 1400mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/70/UP-D28562_D28570_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBOX_SlidingDoor_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBOX_SlidingDoor_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBOX_Enclosures_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,
4,PD05978,Mira Elevate slider shower door 1000mm,Mira,282.69,"Maximising your bathroom floor space, the Mira Elevate 1000mm shower enclosure sliding door is designed for a corner or alcove enclosure. Manufactured in 6mm safety glass with magnetic closings at both top and bottom and with adjustable, quick-release double rollers, this reversible installation door is easy to fit, clean and use.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Mira Elevate slider shower door 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/81/UP-D05978_D05981_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Elevate_SlidingDoor_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Elevate_SlidingDoor_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,
5,PD65151,Coram Optima 6 sliding door 1200 x 1900mm Glass/Chrome Finish,Coram,308.95,"The 1200 x 1900mm Coram Optima 6 sliding door shower enclosure offers a spacious solution for larger showering areas. Easy to clean, with quick-release rollers and ultra-clear seals and fast and simple to install with Cam and Pin fitting and Level and Lock screw-free adjustment, the Optima 6 makes life easy for installers and users alike.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Coram Optima 6 sliding door 1200 x 1900mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/53/UP-D65149_D65153_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Optima_6_Sliding_Door_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Coram_Optima_6_Sliding_Door_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,
6,PD16378,Roman Haven6 sliding shower door 1000mm,Roman,260.43,"Ideal for smaller bathrooms, the Roman Haven6 1900 x 1000mm sliding shower door has a smart, simple design featuring clear, robust glass and chrome fixtures. Sliding open effortlessly on its rails, this door ensures that getting in and out of the shower is easy, with no obstruction from other bathroom fittings. The door's lower quick-release mechanism makes cleaning and maintenance of the shower enclosure simple too.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Roman Haven6 sliding shower door 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/78/NW-D16378_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roman_H3S_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Roman_H3S_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
7,PD65125,Coram GB5 sliding door 1200 x 1800mm Glass/Chrome Finish,Coram,266.61,"Make the most of your space with this 1200mm Coram GB5 sliding door shower enclosure, an ideal solution for  creating a spacious shower enclosure in an alcove or corner. With a sliding door, 25mm adjustment per profile and a reduced height of 1800mm, the GB5 has a classic semi-frameless, easy-clean design ideal for smaller bathroom and en-suites, particularly in challenging loft or basement spaces.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Coram GB5 sliding door 1200 x 1800mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/25/UP-D65123_D65125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_GB5_Sliding_Door_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_GB5_Sliding_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,
8,PD65197,Coram Premier 8 sliding door 1200 x 2000mm Glass/Chrome Finish,Coram,404.71,"The modern, spa style 1200mx 1200mm Coram Premier 8 sliding door shower enclosure has an elegant, semi-frameless design with linear handle and soft closing and opening via smooth gliding double bearing rollers. Flush-to-glass mounting and ultra-clear seals provide a seamless look and make cleaning effortless while Level and Lock and Cam and Pin systems ensure installation is fast and simple.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Coram Premier 8 sliding door 1200 x 2000mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/99/UP-D65195_D65199_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Coram_Premier_8_Sliding_Door_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Premier_8_Sliding_Door_Install.pdf,,,,,,,,,,,,,,,,,,,,,,
9,PD05979,Mira Elevate slider shower door 1150mm,Mira,307.69,"Maximising your bathroom floor space, the Mira Elevate 1150mm shower enclosure sliding door is designed for a corner or alcove enclosure. Manufactured in 6mm safety glass with magnetic closings at both top and bottom and with adjustable, quick-release double rollers, this reversible installation door is easy to fit, clean and use.",Showering/Shower Doors and Enclosures/Sliding Shower Enclosures/Sliding Shower Enclosures.csv -> Mira Elevate slider shower door 1150mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/81/UP-D05978_D05981_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Elevate_SlidingDoor_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Elevate_SlidingDoor_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,
