,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Style,Warranty,Hazardous,Depth (mm),Door Opening Orientation,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 2,Range,Feature 8
0,PE19175,Atlanta Fitted counter top unit 600mm Indigo,Atlanta,208.24,"This Atlanta Fitted 820 x 600mm basin unit is designed for semi-recessed basin, providing off-floor storage to create a sense of space and keep medicines and cleaning products out of reach of little hands behind two soft close doors. This unit is finished in on-trend matte Indigo, a deep blue that provides a stunning backdrop to crisp white sanitaryware and tiling.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Atlanta Fitted counter top unit 600mm Indigo,,Basin unit;Adjustable legs;Adjustable shelf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/75/E19175_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,,,
1,PT41457,Scudo Lanza 390x780x215mm Floorstanding Unit - White High Gloss,Scudo,87.69,"Manufactured in tough and moisture-resistant MDF, the Scudo Lanza 390 x 780 x 215mm cloakroom vanity unit provides useful storage in smaller size bathrooms. Modern and compact, the unit is finished in a simple glossy white with soft-close doors concealing handy internal storage suitable for cleaning products or spare toiletries.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Scudo Lanza 390x780x215mm Floorstanding Unit - White High Gloss,,Vanity unit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/_a/T41457_A_wm.jpg,,White,Contemporary,Lifetime,N,200,Left to Right,MDF,LANZAFLOOR,Cloakroom Vanity Unit,N,Floor-mounted design,Moisture-resistant MDF construction,White high gloss finish,With soft-close doors,Chrome or black vertical bar handle,Fully assembled for ease of fitting,Lifetime warranty,,,
2,PC24265,Nabis Fitted Furniture standard single base unit 200mm Soft White,Nabis,107.77,"Finished in smooth white, this Nabis 835 x 200 x 280mm bathroom single base unit is compatible with a variety of left or right-handed doors to suit your interior. Easy to install, this standard carcass with one internal shelf is made of high-quality FSC certified materials.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Nabis Fitted Furniture standard single base unit 200mm Soft White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/68/NW-C24265_C24268_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Single_Base_Unit_Installation.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C24265_Technical.pdf,,
3,PC24269,Nabis Fitted Furniture drawer line unit 300mm Soft White,Nabis,168.49,"Finished in smooth white, this Nabis 835 x 300 x 280mm bathroom carcass is compatible with a variety of left or right-handed doors to suit your interior. Easy to install, this one-shelf bathroom unit is made of high-quality FSC certified materials.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Nabis Fitted Furniture drawer line unit 300mm Soft White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/69/NW-C24269_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Drawer_Line_Unit_Installation.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C24269_Technical.pdf,,
4,PC24162,Nabis Fitted Furniture carcass for standard washbasin unit 600mm Cashmere,Nabis,146.9,Nabis standard carcass is available in cashmere colour and suitable for use with washbasin units. The Nabis furniture range is designed with versatility. The range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Nabis Fitted Furniture carcass for standard washbasin unit 600mm Cashmere,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/65/NW-C24162_C24165_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Washbasin_Unit_Technical.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_SR_Washbasin_Unit_Installation.pdf,,
5,PC24179,Nabis Vision carcass for reduced back-to-wall toilet unit 500mm White Gloss,Nabis,126.27,Nabis Vision 200mm reduced fascia pack is available in white gloss finish and suitable for use with 500mm back to wall toilet units. The Nabis furniture range is designed with versatility. This range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Nabis Vision carcass for reduced back-to-wall toilet unit 500mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/79/NW-C24179_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_FHBTW_ToiletUnit_Installation.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_BTW_Toilet_Unit_Technical.pdf,,
6,PT26393,Essentials alaska deluxe basin vanity unit 650 mm,Essentials,158.02,"A flexible design suitable for most bathrooms, the Essentials Alaska 650mm deluxe vanity unit is supplied complete with a simple ceramic basin. A classic white unit with undersink storage cupboard, the Alaska is both practical and stylish.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Essentials alaska deluxe basin vanity unit 650 mm,,Basin Vanity Unit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/93/T26393_wm.jpg,,White,Contemporary,10 Years,N,300,Left & Right,MDF UnitCeramic Basin,EFP010W,Base Unit,N,Modern design,White finish,MDF unit construction,With ceramic basin,Left and right opening doors,10 year warranty,,,,
7,PC24193,Nabis Vision carcass for reduced back-to-wall toilet unit 600mm White Gloss,Nabis,130.65,Nabis Vision 200mm reduced fascia pack is available in white gloss finish and suitable for use with 600mm back to wall toilet units. The Nabis furniture range is designed with versatility. This range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Nabis Vision carcass for reduced back-to-wall toilet unit 600mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/93/NW-C24193_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_BTW_Toilet_Unit_Technical.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_FHBTW_ToiletUnit_Installation.pdf,,
8,PC24186,Nabis Vision carcass for standard back-to-wall toilet unit 600mm White Gloss,Nabis,130.65,Nabis Vision 300mm standard fascia pack is available in white gloss finish and suitable for use with 600mm back to wall toilet units. The Nabis furniture range is designed with versatility. This range is easy to install and manufactured from FSC certified timber which speaks to the quality of the product.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Nabis Vision carcass for standard back-to-wall toilet unit 600mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/86/NW-C24186_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_BTW_Toilet_Unit_Technical.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_FHBTW_ToiletUnit_Installation.pdf,,
9,PC24267,Nabis Fitted Furniture standard single base unit 300mm Soft White,Nabis,108.96,"Finished in smooth white, this Nabis 835 x 300 x 280mm bathroom single base unit is compatible with a variety of left or right-handed doors to suit your interior. Easy to install, this standard carcass with one internal shelf is made of high-quality FSC certified materials.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Base Units/Bathroom Base Units.csv -> Nabis Fitted Furniture standard single base unit 300mm Soft White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/68/NW-C24265_C24268_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C24267_Technical.pdf,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Single_Base_Unit_Installation.pdf,,
