,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Hazardous,Dimensions mm (H x W x D),Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Range,Range For Use With,Connection,Exhaust Port Size,Thread Standard,Max Set Pressure,Material,Thread Size,Model For Use With,Boiler Section,Boiler Range,Weight,Maximum Operating Temperature,Gender,Size,Connection Type 1
0,P114965,Ideal Spares frame and header low height (X2) DN65 300KW,Ideal,2531.0,"This Ideal low height frame and header pack is designed for two boilers of 30-150kW sharing a common DN65 water and gas header. This compact system makes floor mounting of an entire range possible via single frame configurations and integrated water and gas headers. Supplied with all necessary fittings for hassle-free installation, this kit makes building a system simple.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares frame and header low height (X2) DN65 300KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/65/114965_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Frame_HeaderKit_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P114994,Ideal UPML UPML 25-105 180 frame and header pump 25 105 180,Ideal,296.0,This Ideal Grundfos UPML pump kit is intended for fitting onto the return flange of a boiler where a low loss/mixing header has been chosen.,Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal UPML UPML 25-105 180 frame and header pump 25 105 180,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/94/114994_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/49/94/114994.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114994_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P729219,Ideal Gas Valve 154810 gas valve,Ideal,261.02,"An Ideal replacement part, this gas valve for natural gas is suitable for use in Ideal CXA and CXAP commercial boilers. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Gas Valve 154810 gas valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/19/NW-729219_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Concord-CXA-40H-120H_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P114995,Ideal UPMXXL UPMXXL 25-120 180 frane and header pump 25 120 180,Ideal,418.0,This Ideal Grundfos UPML pump kit is intended for fitting onto the return flange of a boiler where a plate heat exchanger has been chosen.,Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal UPMXXL UPMXXL 25-120 180 frane and header pump 25 120 180,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/95/114995_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/49/95/114995.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114995_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P412784,Ideal Spares fan 80/100kw,Ideal,598.14,"A genuine Ideal replacement part, this fan is suitable for use in Keston Heat and Ideal LPG boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares fan 80/100kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/84/NW-412784_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P412783,Ideal Spares fan 30/40/60kw,Ideal,503.55,"An Ideal 30, 40 and 60kW replacement fan for Ideal commercial boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares fan 30/40/60kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/83/NW-412783_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P412832,Ideal Heating Spares ignition electrode kit,Ideal Heating,41.84,An Ideal brand ignition electrode kit for Keston Heat and Ideal commercial boilers. An ignition (spark) electrode causes the spark that begins combustion within the burner.,Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Heating Spares ignition electrode kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/32/NW-412832_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P114956,Ideal Spares plume kit 80/125,Ideal,222.0,Use this Ideal 80/125mm concentric plume kit for awkward installations where an extension of up to 10M is required. The flue is designed to expel steam and gases produced during a boiler's normal operation.,Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Spares plume kit 80/125,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/56/114956_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/49/57/114956_114957.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax-2_Plume-Kit_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P412831,Ideal Heating Spares electrode detection kit,Ideal Heating,26.95,An Ideal electrode detection kit for Keston Heat and Ideal commercial boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal Heating Spares electrode detection kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/31/NW-412831_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P462080,Ideal PCB (No.34),Ideal,714.85,"This Ideal No. 34 PCB is suitable for Ideal CXC, CXD, CXSi, CXSD and CXi commercial boilers. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/Commercial and Industrial Boiler Parts/Ideal Commercial Boiler Parts/Ideal Commercial Boiler Parts.csv -> Ideal PCB (No.34),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/80/NW-462080_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Concord-CXI_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
