,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Flow Rate,Max System Pressure Cold (Bar),Min System Pressure Cold (Bar),Warranty,Hazardous,Depth (mm),Material,Number of Outlets,Number of Spray Patterns,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 4,Attachment 5,Range,Operating Temperature,Projection Depth,Style,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Number of Tap Holes,Feature 13,Attachment 6,Attachment 7,Attachment 8,Pack Quantity,Feature 14,Pressure,Eco Setting,Voltage (V),Shower Head Diameter,Engine Box Height (mm),Engine Box Width (mm),Engine Box Depth (mm),Hose Length,Water Entry Points,Cable Entry,Water Heating Declared Load Profile,Water Heating Energy Efficiency Class,Sound Power Level (Indoors),Manual / Thermostatic,Water Entry,Water Heating Energy Efficiency
0,PA05033,Nabis ERD 803161D disc bar valve shower,Nabis,99.01,"Offering indulgent showering experiences every time, the Nabis disc ERD bar valve shower with diverter is supplied with two individual showerheads for your choice of targeted rinsing or luxurious deluge. Not only does this shower have a smart modern design, it also incorporates a range of must-have safety features, including thermostatic control which will maintain temperatures when fluctuations in pressure occur.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Nabis ERD 803161D disc bar valve shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/33/A05033_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Shower_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Nabis Shower Spare Parts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_A05033_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD51495,Aqualisa AQ AQ75BAR1 AQ75 Therm Bar Vlv And Kit,Aqualisa,102.49,"A stylish, modern brass valve with polished chrome finish and metal handles. This affordable, entry level bar valve from Aqualisa, has an unmistakeable feel of quality and reliability. The cool touch body, as well as the temperature override button, add assuring features which make it a great choice for family-safe showering. Complete with a 110mm multi-mode handset, the shower delivers 3 impressive spray patterns to suit different individual preferences. This bar valve, which can be fitted to all UK water systems, is easily installed with a wall fixing bracket and adjustable rail fixing points. It comes complete with a 5 year guarantee as standard (T&C's apply)",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Aqualisa AQ AQ75BAR1 AQ75 Therm Bar Vlv And Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/19/414819_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Aqualisa_AQ075_AQ100_3245F_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD01196,Center Cool-Touch thermostatic bar valve and kit,Center,63.0,"Suitable for all plumbing systems, the Center Cool-Touch thermostatic bar valve makes use of Cool Chrome technology, keeping the bar cool to the touch throughout use. Thermostatic technology meanwhile maintains a safe temperature, ceasing operation when a chosen maximum temperature is reached.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Center Cool-Touch thermostatic bar valve and kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/96/D01196_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D01196_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D01196_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD01191,Nabis Zeus D01191 squential shower mixer with exposed variable and kit,Nabis,129.76,"The Nabis Zeus sequential shower mixer with exposed variable and kit is supplied with an easy-clean showerhead. Controlled thermostatically, the Zeus provides safe, practical showering, maintaining a comfortable temperature, even in the face of pressure fluctuations.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Nabis Zeus D01191 squential shower mixer with exposed variable and kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/91/NW-D01191_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_D01191_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_D01191_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD10633,Bristan Sonique Sonique Seq. Ev Mixer & Kit,Bristan,143.75,"Supplied with all required parts for easy installation, the Bristan Sonique exposed mini valve shower has a modern, angular design well-suited to contemporary bathrooms and incorporates thermostatic technology for reliably comfortable and safe showering.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Bristan Sonique Sonique Seq. Ev Mixer & Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/33/NW-D10633_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_Sonique_SOQ2_SHXAR_C_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Bristan_Sonique_Capri_Acute_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD00223,Nabis Showerplate  bar valve fast fixing kit,Nabis,12.99,This Nabis fast fixing kit is suitable for the fitting of a shower bar valve.,Showering/Showers/Mixer Showers/Mixer Showers.csv -> Nabis Showerplate  bar valve fast fixing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/23/NW-D00223_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_D00223_FittingInstructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD01193,Nabis Geo D01193 square exposed rigid shower with diverter thermostatic bar valve,Nabis,185.99,"With a cool, square design, the Nabis Geo exposed rigid shower with diverter thermostatic bar valve is an attractive finishing touch for the contemporary bathroom. Dual controlled for precise delivery, balancing temperature and flow perfectly, the Geo incorporates a range of safety features including an automatic shut-off in the event of water supply failure, ideal for families.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Nabis Geo D01193 square exposed rigid shower with diverter thermostatic bar valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/93/NW-D01193_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_D01193_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_D01193_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PC22712,Bristan Sonique sequential exposed valve mixer shower and kit,Bristan,109.0,"Supplied with all required parts for easy installation, the Bristan Sonique exposed mini valve shower has a modern, angular design well-suited to contemporary bathrooms and incorporates thermostatic technology for reliably comfortable and safe showering.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Bristan Sonique sequential exposed valve mixer shower and kit,,Shower Valve;2x long elbows;2x covers;2x filters;Green flow regulator;Yellow flow regulator;2x backplate fixings;Showerhead;2x sealing washers;Shower hose;Riser rail;4x riser rail fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/12/NW-C22712_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/uc/Bristan_Sonique_Capri_Acute_Instruc.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C22712_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C22712_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P231599,Mira relate ERD dual outlet bar mixer shower Matt Black,Mira,209.0,"An up-to-the-minute statement design, the Mira Relate ERD dual outlet bar mixer shower is finished in an eye-catching matte black, durability tested for a long lasting sleek finish. This attractive shower minimises maintenance with easy-clean nozzles while safety is assured through features such as Mira's Cool Shield technology and precise thermostatic control. The Relate offers four indulgent spray settings, easily selected via the on-handle push button.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira relate ERD dual outlet bar mixer shower Matt Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/69/D96069_wm.jpg,,,,Black/Matt,9/L a minute at 0.5bar,10,0.1,5 Years,N,569,Stainless Steel,2,4,231599 PK,Dual outlet bar Value,N,With enhanced 100mm handheld shower,Easy-clean nozzles,Switches effortlessly between 4x spray settings via push button,Separate temperature and flow controls,Precision thermostatic control,Maximum temperature stop,Mira Cool Shield technology prevents hot touchpoints,"Works with any system, at any pressure",Guaranteed performance thanks to Mira Magni-flo technology,Matte black finish,Rigorous testing to guarantee long-lasting performance even in hard water,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD35284,Mira Relate ERD dual outlet bar valve shower chrome,Mira,147.0,"Bringing together reliable performance and attractive, crowd-pleasing design, the Mira Relate ERD mixer shower, with 90mm head and 200mm deluge head, offers flexible, easy installation and hassle-free cleaning. Featuring Mira's Magni-flo technology for three times better flow than other showers and a range of safety features including thermostatic temperature control, the Relate is ideal for family bathrooms.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira Relate ERD dual outlet bar valve shower chrome,,Mixer shower;Bar valve;Pair of handles;6L/min flow regulator;Plastic pipe guide;2x wall brackets;2x olives;2x compression nuts;2x fixing screws;2x wall plugs;2x concealed plates;Installation ;user guide;Guarantee card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/84/NW-D35284_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Relate_ERD_Drw_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_EV_ERD_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Relate_ERD_Bar_Valve_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Relate_ERD_Bar_Valve_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
