,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Flow Rate,Max System Pressure Cold (Bar),Min System Pressure Cold (Bar),Warranty,Hazardous,Depth (mm),Material,Number of Outlets,Number of Spray Patterns,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Range,Attachment 5,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11
0,PA05057,Center CB shower rail Chrome,Center,16.75,This Center CB 660mm chrome riser rail is supplied with a slider for adjustibility and a handy soap dish in addition to all necessary fixings for installation.,Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Center CB shower rail Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/57/NW-A05057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_A05057_A05049_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PA05049,Center CB shower set single function handset,Center,26.99,"This chrome Center CB shower set includes a single function handset, hose and handy soap dish. Center CB showers provide thermostatic temperature control as standard, making them an ideal choice for family bathrooms where safety and comfort are of the utmost importance.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Center CB shower set single function handset,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/49/NW-A05049_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_A05057_A05049_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD60988,Mira Excel built in variable thermostatic shower mixer and kit Chrome Plated,Mira,534.22,"This Mira Excel BIV built-in valve mixer shower is ideal for a family bathroom, promising safety and reliability for comfortable showering for users young and old. The Excel has separate flow and temperature controls with a numbered temperature dial for straightforward setting and incorporates Mira Magni-flo™ technology for up to 3x more flow, even at lower pressures. This shower's thermostatic temperature control and maximum temperature stop prevent overheating, even when taps are turned elsewhere in the house.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Mira Excel built in variable thermostatic shower mixer and kit Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/88/NW-D60988_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Excel_1068628_W2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Excel_B_Spare_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_Excel_BIV_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Excel_Mixer_Shower_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PA05050,Nabis multi-function shower set handset,Nabis,33.03,"This Nabis shower kit with 1/2 inch BSP captive nut connection includes a hose, shower handset and a handy soap dish. Modern in design, Nabis showers feature safe thermostatic temperature control. This must-have feature helps to keep your shower comfortable and scald-free, regardless of fluctuations in water pressure and temperature.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Nabis multi-function shower set handset,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/50/NW-A05050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Shower_Kit_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD05769,BARRATT MIDAS 100+FIXNG KIT CHR HP/COMBI,,70.26,"Made of stainless steel and brass with a chrome-plated finish, this Aqualisa Midas shower includes a bar valve, 110mm adjustable head, 650mm riser rail and a 1.5M shower hose. With its adjustable slider, this shower is suitable for use by the whole family while easy-fit wall brackets make installation easy.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> BARRATT MIDAS 100+FIXNG KIT CHR HP/COMBI,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/69/D05769_wm.jpg,,,,,Chrome/Gloss,12.68 lpm at 5 bar / Up to 15 lpm at 3 bar,10,0.1,5 Year,N,93.5,Stainless steelbrasschrome platedplastic,Single,3,BMD100FS.19,Bar mixer shower,N,Easy fix bracket,106mm adjustable head with 3 spray patterns,5-year manufacturer guarantee,Easy clean nozzles,Adjustable height slider,Suitable for all approved UK high pressure water systems,,,,,,,
5,PQ97309,HG 27652000 CROMETTA 85 SHWR KIT/BAR CP,Hansgrohe,106.9,"The Hansgrohe Crometta 85 chrome shower set includes a single function handheld shower, shower bar, hose and slider for adjustability.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> HG 27652000 CROMETTA 85 SHWR KIT/BAR CP,,"h;shower, shower bar, shower hose, slider",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/09/NW-Q97309_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hansgrohe_27652000_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_27652000_instruction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PD63544,Ideal Standard CTV exposed thermostatic shower pack with extended lever Chrome Plated,Ideal Standard,477.15,"Suitable for homes and commercial use in any plumbing system, this Ideal Standard CTV built-in thermostatic shower valve provides safe, reliable temperature control and contemporary styling to suit any interior.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Ideal Standard CTV exposed thermostatic shower pack with extended lever Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/44/NW-D63544_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/IS_Bathrooms_Brchr_2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PD51387,Aqualisa Midas 100 bath shower mixer and kit,Aqualisa,283.86,"Smartly modern, the Aqualisa Midas 100 thermostatic bath/shower mixer shower offers high levels of performance and control, ideal for family bathrooms. With its slimline bar valve, the sleek Midas 100 includes both integrated flow and temperature controls and a temperature override button to ensure safety for the smallest showerers.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Aqualisa Midas 100 bath shower mixer and kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/87/NW-D51387_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_Midas_100_MD100BSM_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Midas_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Aqualisa_Product_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD50640,Aqualisa Aquavalve thermostatic cartridge kit Grey,Aqualisa,164.61,"An Aqualisa Aquavalve grey shower cartridge for control of gravity, gravity pumped and balanced high-pressure systems. The Aquavalve can also be used for unbalanced (combination boiler) systems where a flow regulator is fitted into the cold inlet.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Aqualisa Aquavalve thermostatic cartridge kit Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/40/NW-D50640_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Aqualisa_Cartridgereplacement_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PA05059,Center CB N/A single function fixed head and arm 70mm,Center CB,11.54,"Finished in chrome, this Center CB single function showerhead has a 70mm faceplate and an angled arm and incorporates a swivel joint for personalised adjustment. The shower's rubber nozzles are easy to clean with a quick wipe of a damp cloth.",Showering/Shower Parts and Accessories/Shower Rail Kits/Shower Rail Kits.csv -> Center CB N/A single function fixed head and arm 70mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/59/NW-A05059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Shower_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/A05059_Fitting_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
