,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Range,Hazardous,Pack Size,Pack Type,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Colour,Connection Size,Connection Type,Thickness,Refrigerant Suitability,Material,Application,Volume,Physical State / Form,Feature 6,Feature 7,Feature 8,Pack Quantity,Diameter,Size,Connection Type 1,Gender,Connection Type 2,Attachment 5,Sheath Colour,Voltage Rating,Cross Sectional Area (mm),Conductor Strand Type,Pack Length,Harmonised Code,Conductor Material,Insulation Material,Number of Cores,Number of Strands,Operating Temperature Range (C),Outer Diameter,Sheath Material,Strands Size,Standards,Ambient CO Range,Magnetic Attachment,Flue Gas Loss Range,O2 Range,Draught Measurable Range,Ambient CO2 Measureable Range,Data Storage Capacity,Bluetooth,CO2 Determination,Display Type,Pressure Rating,Feature 9,Drive,Feature 10,Feature 11,Handle Type,Total Pack Quantity,Washer Type,Warranty,Operating Range,Detection Type,Power Supply,Measuring Range,Weight,Feature 12,Feature 13,Attachment 6,Attachment 7,Attachment 8,Attachment 9,Attachment 10,Testing Capability,Testing Range(s),Battery Life,Shank Type,Resistance Features,Depth (mm),Back Box Type,Number of Gangs,Material Type,Nut Types,Feature 14,Feature 15,Head Material,Feature 16,Feature 17,Feature 18,Feature 19,Amps,Voltage (V),Ways,Screw / Bolt Type,Set Type,Screw / Bolt Length,Screw / Bolt Sizes,Length (M),Hole Depth,Operating Temperature,Size (oz),Washer-Exterior Dia,Washer-Internal Dia,Cut Resistance Rating,Tear Resistance Rating,Puncture Resistance Rating,Coating Material,Lining Material,Double Sided,Dimensions mm (H x W x D),Bolt Type,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Head Type,Refrigerant,Max Pressure,Sight Glass,Number of Valves,Operating Pressure,Protection Time,Drainage Product Type,Feature 20,Feature 21,Connection,Flow Rate,Motor Speed,Horse Power,Absolute Vacuum,Stages,Oil Capacity,Container Type,Quantity,Cut Type / Speed,Teeth Per Inch
0,P337327,Firehawk CO Alarms CO7B 7Yr Sealed Battery Co Alarm,Firehawk,16.49,"Ideal for home use or to take along when travelling, the FireHawk CO7B battery operated carbon monoxide alarm has a compact size, minimising necessary baggage when you're on the move. Wherever you and your family are, the CO7B offers reliable protection from CO commonly emitted by faulty cooking and heating appliances.",Trade Essentials/Trade Essentials.csv -> Firehawk CO Alarms CO7B 7Yr Sealed Battery Co Alarm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/27/NW-337327_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/23/FIREHAWK_337327_Spec-Sheet_2023.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Firehawk_Alarm_guide_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/da/ta/Firehawk_Alarm_Guide_Technical_Data.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Firehawk_Alarm_guide_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P506070,Center CB lead free solder spool 1/2kg,Center CB,23.5,"This Center CB solder wire for the repair, maintenance and setting of flawless joints. Following all relevant health and safety requirements and tested to meet BS/EN standards, this wire is suitable for use in potable water supplies.",Trade Essentials/Trade Essentials.csv -> Center CB lead free solder spool 1/2kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/70/NW-506070_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_506070_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_506070_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PF16200,Center CB Weld Cement 102400 tin solvent cement 250ml (1),Center CB,6.25,"Suitable for a wide range of applications, this Center CB solvent cement forms a welded joint in plastic pipes.",Trade Essentials/Trade Essentials.csv -> Center CB Weld Cement 102400 tin solvent cement 250ml (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/00/NW-F16200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wolseley_Drainage_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/F16200_Safety Data Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/CENTER_BRAND_F16200_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P459248,Regin Electrical Connectors 5-way connector (1 pr),Regin,8.49,"Highly robust, this quality Regin five-way electrical connector makes the wiring in boilers more efficient, meaning simpler servicing and easier maintenance. It is supplied with a strain relief for additional safety.",Trade Essentials/Trade Essentials.csv -> Regin Electrical Connectors 5-way connector (1 pr),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/48/NW-459248_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Regin_Eleccon_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Regin_3_or_5_way_Connector_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P691679,Javac XTR-PRO-DV A2L dual voltage refrigerant recovery unit 240/110,Javac,1078.04,"The portable, dual voltage Javac XTR-PRO-DV recovery machine unit has a heavy duty 1/2 HP high torque AC motor for reduced noise while increasing liquid pumping by up to 50%, ensuring residual vapour moves faster for quick results. Suitable for recovering CFCs, HCFCs and HFs, with blends of A and B variations of most of these gases, the XTR-PRO-DV incorporates a comprehensive built-in manifold analyser.",Trade Essentials/Trade Essentials.csv -> Javac XTR-PRO-DV A2L dual voltage refrigerant recovery unit 240/110,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/79/NW-691679_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Javac_XTR-PRO-DV-A2L_Specsheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Javac_XTR-PRO-DV-A2L_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P611065,Javac RS-750 oxygen free nitrogen regulator 50bar,Javac,216.6,"Used for leak testing and pressure testing, this Javac RS-750 oxygen-free nitrogen regulator is designed for the testing of refrigeration systems using R410A refrigerant gas in accordance with BS EN 378. It is designed for heating, ventilation and air-conditioning HVAC applications.",Trade Essentials/Trade Essentials.csv -> Javac RS-750 oxygen free nitrogen regulator 50bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/65/NW-611065_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Javac_RS-750_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P688581,Javac Bulldog A2L vacuum pump A2L 240/110,Javac,466.43,This Javac Bulldog A2l spark-proof vacuum pump is suitable for A2L/R32 gases. It is supplied with an isolation solenoid valve and dual-oil demister.,Trade Essentials/Trade Essentials.csv -> Javac Bulldog A2L vacuum pump A2L 240/110,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/81/NW-688581_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_VBD1622_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PE68094,Geocel Dowsil 785+ Sanitaryware Sealant 310ml White,Geocel,8.49,"Bacteria-resistant, Dowsil 785 white sanitary silicone sealant is a one-part acetoxy silicone for strong adhesion to most non-porous surfaces including ceramics and porcelain. It is ideal for domestic and commercial sanitary fittings, kitchen sink units and clean rooms.",Trade Essentials/Trade Essentials.csv -> Geocel Dowsil 785+ Sanitaryware Sealant 310ml White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/94/E68094_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dow_Corning_785_Sealant_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Dow_Corning_785_Sealant_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P550025,Center CB Leak Detector Spray CB550025 leak detector spray 300ml,Center CB,5.6,"Supplied in a pressurised can, this Center CB leak detector spray detects gas leaks in any gas fitting or pipe.",Trade Essentials/Trade Essentials.csv -> Center CB Leak Detector Spray CB550025 leak detector spray 300ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/25/NW-550025_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_550025_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P688521,Javac Tek-Mate leak detector,Javac,447.28,"Offering proven heated diode sensor technology, the Javac Tek-Mate leak detector has an electrochemical sensor made up of a ceramic substrate doped with a reactive element and inbuilt heating element to  maintain a high temperature. Tek-Mate is sensitive to R22 at 2g per year and R410A at 5g per year for easy detection of even the smallest leaks and offers equal sensitivity to a range of substances. Featuring a soft touch operational pad, switching on or off and selecting high or low detection levels requires just the touch of a button, allowing for one-handed use.",Trade Essentials/Trade Essentials.csv -> Javac Tek-Mate leak detector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/21/NW-688521_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Javac_Tek-Mate_Operating_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Javac_Tek-Mate_Specsheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
