,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Warranty,Watts,Weight,Hazardous,Depth (mm),Dimensions (L x W x D),IP Rating,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Material Type,Material,Attachment 1,Attachment 2,Pack Quantity,Size,Attachment 3,Attachment 4,Colour,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 5,Range,Style,Connection Type,With Drain Off,Max Pressure,Flow Water Temperature,Pipe Connection Size,Radiator Connection Size,Sensor,Shape,With Lockshield,Pressure,BTU h,Height (mm),Width (mm),Diameter,Attachment 6
0,P257487,Center universal radiator bracket 4 pack,Center,3.18,"Supplied in a pack of four, these Center 78 x 45 x 20.9mm universal radiator brackets allow for the straightforward wall mounting of a standard panel radiator.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Center universal radiator bracket 4 pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/87/257487_wm.jpg,1 year,N/A,212g,N,209,78 x 45 x 20.9,N/A,PPSHEA374500,Bracket,N,Set of 4,Compatible with most standard panel radiators,Mild steel construction,1 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P230766,Center plug & vent kit,Center,2.1,A replacement plug and vent kit designed for use in CenterRad compact radiators.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Center plug & vent kit",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/66/230766_wm.jpg,10 Years,,,N,,,,SELKIT,Plug and Vent Kit,N,General purpose radiator plug and vent kit,Suitable for all radiator applications,Reliable,,Steel,Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P292048,Pegler Terrier extension tail piece 15mm 40mm Chrome,Pegler,6.99,"Supplied with a nut and olive, this Pegler Yorkshire Terrier 15mm extension tail piece in chrome extends up to 40mm.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Pegler Terrier extension tail piece 15mm 40mm Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/48/NW-292048_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/PY_Terrier_Tail_Piece_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Terrier_HeatingSolutions_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P247483,Drayton TRV4 15mm Elbow 10mm P/Fit (Chrome),Drayton,5.13,This angled Drayton TRV4 10 x 15mm push-fit elbow is suitable for use with all Drayton thermostatic radiator valves or TRVs.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Drayton TRV4 15mm Elbow 10mm P/Fit (Chrome)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/83/NW-247483_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P230900,CenterRad radiator brackets (450-700) (Per Pair),CenterRad,3.32,A pair of replacement brackets designed for 450 - 700mm tall CenterRad radiators.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> CenterRad radiator brackets (450-700) (Per Pair)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/00/230900_wm.jpg,10 Years,,,N,,,,MR206PU2,Bracket Pair,N,For use with CenterRad radiators,"High quality, robust materials",,,Steel,Steel,,,Per Pair,450 - 700mm,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P246175,Danfoss RA remote adjuster 2mtr,Danfoss,115.48,This Danfoss RA remote temperature adjuster for 2M tube offers frost protection as well as limiting and locking of a temperature set-point.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss RA remote adjuster 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/77/NW-246175_246177_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Danfoss_Remote_T_Adjuster_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Product_Overview_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_2000_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
6,P247481,Drayton TRV4 angled lockshield with wheel-head cap Chrome,Drayton,8.2,This Drayton TRV4 angled lockshield valve with white cap is compatible with both domestic radiators and towel rails. A chrome finish matches in with the Drayton TRV range.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Drayton TRV4 angled lockshield with wheel-head cap Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/81/NW-247481_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P247025,"Danfoss Aero Sensors, Gas, Sensor",Danfoss,35.59,"A contemporary compact design, the Danfoss Aero Sensors gas sensor is a premium-built and highly efficient gas thermostat based on unique gas bellow technology.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss Aero Sensors, Gas, Sensor",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/25/247025_wm.jpg,,,,N,,,,015G4590,Built-in sensor,N,Plastic construction,White colour,With frost protection,Temperature limitation of 7 to 28°C,,Plastic,,,,,,,White,,,,,,,,,,,,,,,,,,,,,,,,
8,P172979,Manthorpe pipe guide and seal grs duo 15mm,Manthorpe,6.72,"Designed with a twin plate system for ease of installation, the Manthorpe GRS-DUO-15 is a 15mm pipe guide and seal system used to prevent air leakage in the pipework penetrations behind a plumbed radiator. It is compatible with the 15mm flexible plastic barrier pipework often used in modern central heating systems.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Manthorpe pipe guide and seal grs duo 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/79/172979_wm.jpg,,,,N,,,,GRS-DUO-15,Radiator Pipe Guide & Seal,N,Twin plate system improves first and second fix installations,First fix mount plate anchors pipework,Guide channels help curve pipework towards valves,Guide channel prevent kinking,,,,,,,,,,"Mount plate can work with most  wall constructions, including blockwork and stud",Second fix cover plate attached with single screw,No plasterboard fixings required,Multiple pilot hole locations between plates for variety of installation offsets,Flexible grommets seal around pipework,Allows for directional adjustability,,,,,,,,,,,,,,,,,,
9,P262530,Center CB standard element 200w Chrome,Center CB,48.14,"This Center CB RTW 200W output standard element includes an internal pre-set over temperature switch and fail-safe fuse. Suitable for use in bathroom Zones 1 and 2, this IP55 rated element allows a towel warmer to operate independently as a safely sealed electric unit.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Center CB standard element 200w Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/32/262530_262532_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_262530-262534_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_Electrc Elemant_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CB_Electric_Elemant_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
