,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Fuel Type,Range,Hazardous,Seasonal Space Heating Energy Efficiency %,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Voltage (V),Switch Type,Setting Range,Dimensions mm (H x W x D),Operating Temperature Range (C),Application,Attachment 3,Attachment 4
0,P310709,Honeywell Home T3R Y3H710RF0053 @ hw home t3r wireles stat+stand 5+2 day,Honeywell Home,71.76,"Suitable for use in domestic heating systems, the T3R wireless 5+2 day programmable thermostat is particularly recommended for social housing, new build properties and for mass installation jobs. It is compatible with a variety of boilers and systems, including 24 to 230V on/off units such as gas and oil boilers, combi-boilers and heat pumps, however it cannot be used for operation of electric boilers. Easy to operate, the T3R provides OpenTherm control for reliable time and temperature switching. A stand is supplied with this unit for ease of storage.",Offers and promotions/PlumbPro Cashback Offers/PlumbPro Cashback Offers.csv -> Honeywell Home T3R Y3H710RF0053 @ hw home t3r wireles stat+stand 5+2 day,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/09/310709_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Honeywell_T3_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P311893,Honeywell Home DT4R Dt4R Room Thermo Wless White,Honeywell Home,63.25,"Suitable for use in houses or apartments, the Honeywell Home DT4 wireless digital thermostat supplies reliable room temperature control via heating, cooling and off modes. Slimline and modern, this thermostat blends style and functionality with operation via a large, easy to read LED display and simple wake up button. The DT4 wired thermostat is suitable for use in a range of systems, including hybrid and green energy systems.",Offers and promotions/PlumbPro Cashback Offers/PlumbPro Cashback Offers.csv -> Honeywell Home DT4R Dt4R Room Thermo Wless White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/96/311893_96_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P311892,Honeywell Home DT4 @ hw home dt4 wired digital thermostat,Honeywell Home,33.0,"Suitable for use in houses or apartments, the Honeywell Home DT4 wired digital thermostat supplies reliable room temperature control via heating, cooling and off modes. Slimline and modern, this thermostat blends style and functionality with operation via a large, easy to read LED display and simple wake up button. The DT4 wired thermostat is suitable for use in a range of systems, including hybrid and green energy systems.",Offers and promotions/PlumbPro Cashback Offers/PlumbPro Cashback Offers.csv -> Honeywell Home DT4 @ hw home dt4 wired digital thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/92/311892_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD51495,Aqualisa AQ AQ75BAR1 AQ75 Therm Bar Vlv And Kit,Aqualisa,102.49,"A stylish, modern brass valve with polished chrome finish and metal handles. This affordable, entry level bar valve from Aqualisa, has an unmistakeable feel of quality and reliability. The cool touch body, as well as the temperature override button, add assuring features which make it a great choice for family-safe showering. Complete with a 110mm multi-mode handset, the shower delivers 3 impressive spray patterns to suit different individual preferences. This bar valve, which can be fitted to all UK water systems, is easily installed with a wall fixing bracket and adjustable rail fixing points. It comes complete with a 5 year guarantee as standard (T&C's apply)",Offers and promotions/PlumbPro Cashback Offers/PlumbPro Cashback Offers.csv -> Aqualisa AQ AQ75BAR1 AQ75 Therm Bar Vlv And Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/19/414819_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Aqualisa_AQ075_AQ100_3245F_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P103681,"Fluidmaster Pro Series dual flush split adjustable syphon 7.1/12 -9.1/2""",Fluidmaster,19.25,"The Fluidmaster Pro Series universal dual split flush siphon is a fit for nearly all 1 1/2"" lever operated toilet cisterns.","Offers and promotions/PlumbPro Cashback Offers/PlumbPro Cashback Offers.csv -> Fluidmaster Pro Series dual flush split adjustable syphon 7.1/12 -9.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/81/NW-103681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Fluidmaster_Pro_Ultra_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Fluidmaster_UK_Catalogue_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P333715,Ideal Logic Max Combi 2 C30 boiler and horizontal flue pack,Ideal,1140.0,"Provided with a horizontal flue, the Ideal Logic Max Combi C30 boiler offers easy installation through its compact, cupboard-fit design and its reduced lift weight. Offering all the finest features of the award-winning Logic+, this 30kW domestic combi boiler also offers an easy to read digital display and a service countdown timer. Robustly designed to minimise maintenance, the Logic Max has an ErP A rating for its efficient operation, which can be improved by intelligent use of compatible controls.",Offers and promotions/PlumbPro Cashback Offers/PlumbPro Cashback Offers.csv -> Ideal Logic Max Combi 2 C30 boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/_a/333715_A_wm.jpg,,,White/Gloss,Natural Gas,Logic Max Combi2,N,A,333715 PK,Condensing Combi Boiler and Horizontal Flue Pack,N,Includes boiler and horizontal flue,Compact cupboard fit,Hardwearing and scratch-resistant,"Easy installation, commissioning and service",Full sequence automatic ignition,Fan-assisted combustion,Easy to reach pressure gauge on front panel,Large digital display,Service timer with telephone number display/service display,Compatible with Ideal controls,DHW flow rate 12.4LPM at 35°C,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,10 year warranty,,,,,,,,
6,P333023,Vokera Excel i 30 20188734 combi boiler only pack,Vokera,430.0,"Exclusively available to Wolseley customers, the Vokera Excel-i 30 combi boiler accepts a 20% hydrogen blend but is also suitable for operation via a methane-hydrogen blend to meet the requirements of imminent network switchovers. Fitted with a large bore stainless steel heat exchanger, this robust 30kW boiler is designed for reduced downtime, operating efficiently and reliably with regular servicing. Thanks to its simple, modern digital user interface, the Excel-i is easy to operate and commission with quick navigation through settings with no need to constantly refer back to the unit's instruction manual.",Offers and promotions/PlumbPro Cashback Offers/PlumbPro Cashback Offers.csv -> Vokera Excel i 30 20188734 combi boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/43/105642_105643_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Vokera_Excel-i_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P333022,Vokera Excel i 25 20188732 combi boiler only pack,Vokera,420.0,"Exclusively available to Wolseley customers, the Vokera Excel-i 25 combi boiler accepts a 20% hydrogen blend but is also suitable for operation via a methane-hydrogen blend to meet the requirements of imminent network switchovers. Fitted with a large bore stainless steel heat exchanger, this robust 25kW boiler is designed for reduced downtime, operating efficiently and reliably with regular servicing. Thanks to its simple, modern digital user interface, the Excel-i is easy to operate and commission with quick navigation through settings with no need to constantly refer back to the unit's instruction manual.",Offers and promotions/PlumbPro Cashback Offers/PlumbPro Cashback Offers.csv -> Vokera Excel i 25 20188732 combi boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/43/105642_105643_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Vokera_Excel-i_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P333714,Ideal Logic Max Combi C24 boiler and horizontal flue pack,Ideal,1065.0,"Provided with a horizontal flue, the Ideal Logic Max Combi C24 boiler offers easy installation through its compact, cupboard-fit design and its reduced lift weight. Offering all the finest features of the award-winning Logic+, this 24kW domestic combi boiler also offers an easy to read digital display and a service countdown timer. Robustly designed to minimise maintenance, the Logic Max has an ErP A rating for its efficient operation, which can be improved by intelligent use of compatible controls.",Offers and promotions/PlumbPro Cashback Offers/PlumbPro Cashback Offers.csv -> Ideal Logic Max Combi C24 boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/_a/333714_A_wm.jpg,,,White/Gloss,Natural Gas,Logic Max Combi,N,A,333714 PK,Condensing Combi Boiler and Horizontal Flue Pack,N,Includes boiler and horizontal flue,Compact cupboard fit,Hardwearing and scratch-resistant,"Easy installation, commissioning and service",Full sequence automatic ignition,Fan-assisted combustion,Easy to reach pressure gauge on front panel,Large digital display,Service timer with telephone number display/service display,Compatible with Ideal controls,DHW flow rate 9.9LPM at 35°C,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,10 year warranty,,,,,,,,
9,PD51497,Aqualisa AQ AQ150BAR2 AQ150 Therm Dual O/Let Bar Vlv,Aqualisa,184.75,"This classic, dual outlet shower is a perfect, family showering solution. An 'integrated diverter' is situated in the handle that switches the water flow between an adjustable 3 mode 110mm handset to the 200mm drencher head for two completely different shower experiences. The unique telescopic shower column means this is a versatile option for any bathroom configuration while the cool touch body, as well as the temperature override button, add assuring safety features. Available in polished Chrome, this shower column is suitable for HP UK water systems and comes complete with a 5 year guarantee as standard (T&C's apply)",Offers and promotions/PlumbPro Cashback Offers/PlumbPro Cashback Offers.csv -> Aqualisa AQ AQ150BAR2 AQ150 Therm Dual O/Let Bar Vlv,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/97/414818_D51497_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_AQ150_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
