,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Hazardous,Depth (mm),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Diameter,Size,Feature 4,Feature 5,Feature 6,Attachment 1,Attachment 2,Range,Attachment 3,Attachment 4,Dimensions mm (H x W x D),Feature 7,Feature 8,Feature 9,Feature 10,Pack Quantity
0,P257478,"Center basin waste seal kit 1 1/4""",Center,1.34,"Making installing a basin waste simple, this Center 1 1/4"" basin waste seal kit includes a sealing ring, washer and seating. With no need for paint, mastic or putty, the waste seal kit is suitable for sealing both new and old basin wastes.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Center basin waste seal kit 1 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/78/257478_wm.jpg,Black,N,2.0,RubberPlastic,PPSOUW374505,Basin Waste Seal Kit,N,Rubber/plastic construction,Black colour,"Fast, easy fitting",,,,,,,,,,,,,,,,
1,PC50014,"Nabis combined waste with overflow and plastic plug 1.1/2"" Stainless Steel",Nabis,3.24,This Nabis plastic bodied waste is supplied with flange plug and chain.,"Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Nabis combined waste with overflow and plastic plug 1.1/2"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/14/C50014_wm.jpg,Black/Stainless Steel,N,,Stainless Steel,WSO33WS,Sink with Overflow and Plug,N,"Includes overflow, chain and flange plug","1 1/2"" BSP x 85mm flange",Stainless steel,71.9 mm,1 1/2,Black plastic overflow face,Centre screw fixing (boxed),2 year warranty,,,,,,,,,,,
2,PC59118,Thomas Dudley Dudley Basin Mate Waste 372389 basin waste poly plug with mate seal slotted tail,Thomas Dudley,11.08,"Manufactured in high quality materials, the Thomas Dudley Basin Mate waste is made up of a threaded brass body with chrome finish with a simple poly plug. A traditional finishing touch for a basin, the complete kit includes a sealing ring, washer and seating for fast and simple installation with no need for paint, putty or mastic.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Thomas Dudley Dudley Basin Mate Waste 372389 basin waste poly plug with mate seal slotted tail,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/18/NW-C59118_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/2-/23/TD_Products-Parts_Catalogue_2022-23.pdf,,,,,,,,,,
3,P257483,"Center bath plug 1 3/4"" and chain 18""",Center,3.33,"This simple Center 18"" chrome basin chain is supplied complete with a 1 3/4"" metal plug and triangle. With a chrome finish, this chain can be attached to a steel sink, bath or basin.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Center bath plug 1 3/4"" and chain 18""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/83/257483_wm.jpg,Chrome,N,16,Steel,PPSSTO374511,Plug & Chain,N,Steel construction,Chrome-plated finish,With triangle,,,With 2x hooks,,,,,,,,,,,,,
4,PC59122,Thomas Dudley Dudley Basin Mate Waste 372393 basin waste spring plug with mate seal slotted tail Mushroom,Thomas Dudley,18.11,"Manufactured in high quality materials, the Thomas Dudley Basin Mate waste is made up of a threaded brass body with chrome finish with a mushroom spring plug. A traditional finishing touch for a basin, the complete kit includes a sealing ring, washer and seating for fast and simple installation with no need for paint, putty or mastic.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Thomas Dudley Dudley Basin Mate Waste 372393 basin waste spring plug with mate seal slotted tail Mushroom,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/22/NW-C59122_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/2-/23/TD_Products-Parts_Catalogue_2022-23.pdf,,,,,,,,,,
5,PC60932,Twyford fixing kit for close coupled plastic bolts,Twyford,6.84,Connecting a standard cistern tank without base screwholes to a close-coupled pan? This Twyford cistern fixing kit helps to make installation of a new toilet simple.  The supplied metal plate is intended to be fixed to a tank base by simply inserting over an extruding flush outlet before tightening for a secure fit.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Twyford fixing kit for close coupled plastic bolts,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/C60932_Primary_Image_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Twyford_ForLifeBathrooms_Brochure.pdf,,,,,,,,,,
6,P257477,Center multi purpose lift arm,Center,1.52,Multi Purpose Lift Arm - Multi purpose adjustable lift arm; the perfect solution for connecting your cistern lever to the 'C' link on the syphon.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Center multi purpose lift arm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/77/257477_wm.jpg,White,N,158,Polypropylene,PPSPLU374507,Lever Arm,N,Material: Plastic Polypropylene,Adjustable length notches make it easier during installation if your cistern or toilet tank is an awkward size or shape,Connects cistern lever to syphon,,,Pack Size - 1,1 Year Warranty,,,,,,,,,,,,
7,PC24900,"Ideal Standard plastic chain waste 1.1/4""  Chrome Plated",Ideal Standard,10.08,"An Ideal Standard slotted chain waste with plastic plug and overflow, suitable for use in educational establishments, hotels, offices, leisure, healthcare and home settings.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Ideal Standard plastic chain waste 1.1/4""  Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/00/NW-C24900_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochr_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Commercial_Brochure.pdf,,,,,,,,,
8,PC01081,Thomas Dudley Dudley universal top hat washer 13mm/19mm,Thomas Dudley,0.11,This universal top hat washer is a useful spacer seal designed to provide a pliable surface for installation of a plastic nut against the surface of a sink.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Thomas Dudley Dudley universal top hat washer 13mm/19mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/81/C01081_wm.jpg,,N,,,PWATAP370207,Top Hat Washer,N,Manufactured from high quality materials,"For 1/2"" or 3/4"" taps",,,,,,,,,Dudley,,,,,,,,
9,PC24970,"Ideal Standard chain waste and screw stay 1.1/2"" Chrome Plated",Ideal Standard,32.97,"An Ideal Standard chrome chain waste with plastic plug, chain and woodscrew stay, suitable for use in educational, leisure and healthcare facilities.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Ideal Standard chain waste and screw stay 1.1/2"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/70/NW-C24970_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Commercial_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AShanks_Sanitaryware_Brochure.pdf,,,,,,,,,
