,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Drainage Product Type,Material,Resistance Features,Wall Thickness (mm),Paintable,Standards,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8
0,PQ64460,"Wavin Osma RoundLine gutter support bracket 4.1/2"" Black",Wavin,2.87,"Ideal for domestic use, this Wavin Osma RoundLine 112mm gutter support bracket for hanging gutters is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Guttering and Fittings/Gutter Brackets, Clips & Fittings/Gutter Brackets, Clips & Fittings.csv -> Wavin Osma RoundLine gutter support bracket 4.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/60/NW-Q64460_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
1,PF68588,Polypipe Polyflow deep fascia bracket 75mm Black,Polypipe,5.41,"Suitable for domestic use, this Polypipe fascia bracket is made of white PVC-U and incorporates 117mm push-fit ends.","Drainage/Rainwater Guttering and Fittings/Gutter Brackets, Clips & Fittings/Gutter Brackets, Clips & Fittings.csv -> Polypipe Polyflow deep fascia bracket 75mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/88/NW-F68588_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/er/ti/Polypipe_Rainwater_System_BBA_Certi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PQ64818,"Wavin Osma RoundLine pipe bracket 2.1/2"" Black",Wavin,4.97,"Ideal for domestic use, this Wavin Osma RoundLine 68mm pipe bracket with single screw lock facility is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Guttering and Fittings/Gutter Brackets, Clips & Fittings/Gutter Brackets, Clips & Fittings.csv -> Wavin Osma RoundLine pipe bracket 2.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/18/NW-Q64818_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
3,PQ64451,"Wavin Osma RoundLine gutter bracket 4.1/2"" Black",Wavin,6.53,"Ideal for domestic use, this Wavin Osma RoundLine 112mm gutter jointing bracket is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Guttering and Fittings/Gutter Brackets, Clips & Fittings/Gutter Brackets, Clips & Fittings.csv -> Wavin Osma RoundLine gutter bracket 4.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/51/NW-Q64451_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
4,PF59215,Wavin Osma StormLine gutter support bracket 111mm Black,Wavin,4.62,"Made of black PVC-U, this Wavin Osma StormLine 111mm gutter support bracket is part of a high capacity domestic system with a classic ogee shape. Cleanly and attractively designed, StormLine is ideal for roof perimeters or conservatory use.","Drainage/Rainwater Guttering and Fittings/Gutter Brackets, Clips & Fittings/Gutter Brackets, Clips & Fittings.csv -> Wavin Osma StormLine gutter support bracket 111mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/15/NW-F59215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PF14050,Center CB downpipe clip 68mm Black,Center CB,3.71,"Center CB downpipe clip is made of PVC-U. The Center rainwater range allows efficiently channel roof water to the drain across a variety of building types and sizes. Available in either a black rounded profile or a white square profile, this range is designed and engineered to last, withstanding changes in temperature and weather without the joints weakening or separating.","Drainage/Rainwater Guttering and Fittings/Gutter Brackets, Clips & Fittings/Gutter Brackets, Clips & Fittings.csv -> Center CB downpipe clip 68mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/50/NW-F14050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PQ64325,"Wavin Osma SquareLine squareline bracket 4"" Black",Wavin,8.47,"Ideal for domestic use, this Wavin Osma SquareLine 100mm gutter jointing bracket is made of black PVC-U and offers a neat, modern rectilinear profile.","Drainage/Rainwater Guttering and Fittings/Gutter Brackets, Clips & Fittings/Gutter Brackets, Clips & Fittings.csv -> Wavin Osma SquareLine squareline bracket 4"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/25/NW-Q64325_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
7,PQ64572,Wavin Wavin Osma RoundLine drive-in spike 300mm long,Wavin,9.84,"Made of silver steel, this Wavin Osma RoundLine 300mm long drive-in spike with 68mm push-fit connection is part of the smart semi-round profile RoundLine domestic guttering system.","Drainage/Rainwater Guttering and Fittings/Gutter Brackets, Clips & Fittings/Gutter Brackets, Clips & Fittings.csv -> Wavin Wavin Osma RoundLine drive-in spike 300mm long",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/72/NW-Q64572_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
8,PQ64352,"Wavin Osma SquareLine squareline connector 2.1/4"" Black",Wavin,14.18,"Ideal for domestic use, this Wavin Osma SquareLine 61mm pipe connector and bracket with stand-off is made of black PVC-U and offers a neat, modern rectilinear profile.","Drainage/Rainwater Guttering and Fittings/Gutter Brackets, Clips & Fittings/Gutter Brackets, Clips & Fittings.csv -> Wavin Osma SquareLine squareline connector 2.1/4"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/52/NW-Q64352_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
9,PQ64339,"Wavin Osma SquareLine squareline shoe 2.1/4"" Black",Wavin,12.04,"Ideal for domestic use, this Wavin Osma SquareLine 61mm pipe shoe and bracket is made of black PVC-U and offers a neat, modern rectilinear profile.","Drainage/Rainwater Guttering and Fittings/Gutter Brackets, Clips & Fittings/Gutter Brackets, Clips & Fittings.csv -> Wavin Osma SquareLine squareline shoe 2.1/4"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/39/NW-Q64339_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
