,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4
0,PD28544,Merlyn MBox 2-door quadrant shower enclosure 800mm,Merlyn,321.34,"Combining practicality and style, the 800mm Merlyn MBox two door quadrant shower enclosure is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Quadrant Shower Enclosures/Quadrant Shower Enclosures.csv -> Merlyn MBox 2-door quadrant shower enclosure 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/49/UP-D28544_D28549_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBox_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBox_2_Quad_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBox_April_2020_UK_Brochure.pdf,
1,PD65145,Coram Optima 6 quadrant door 900 x 1900mm Glass/Chrome Finish,Coram,360.28,"The classically designed Coram Optima 6 900 x 1900mm quadrant door shower enclosure is a space-saving curved alternative to standard corner entry showers, making a design feature out of a solution. Easy and fast to install, durable and simple to clean, the Optima 6 includes quick-release rollers and ultra-clear seals, useful touches in family bathrooms.",Showering/Shower Doors and Enclosures/Quadrant Shower Enclosures/Quadrant Shower Enclosures.csv -> Coram Optima 6 quadrant door 900 x 1900mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/48/D65144_D65148_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Optima_6_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima_6_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf
2,PD28550,Merlyn MBox 2-door quadrant shower enclosure 1000 x 800mm,Merlyn,388.62,"Combining practicality and style, the 1000 x 800mm Merlyn MBox two door offset quadrant shower enclosure is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Quadrant Shower Enclosures/Quadrant Shower Enclosures.csv -> Merlyn MBox 2-door quadrant shower enclosure 1000 x 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/52/UP-D28550_D28552_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBox_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBox_2_Quad_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBox_April_2020_UK_Brochure.pdf,
3,PD28548,Merlyn MBox 2-door quadrant shower enclosure 900mm,Merlyn,318.09,"Combining practicality and style, the 900mm Merlyn MBox two door quadrant shower enclosure is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Quadrant Shower Enclosures/Quadrant Shower Enclosures.csv -> Merlyn MBox 2-door quadrant shower enclosure 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/49/UP-D28544_D28549_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBox_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBox_2_Quad_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBox_April_2020_UK_Brochure.pdf,
4,PD28378,Mira Leap quadrant panels only 900 x 900mm,Mira,279.14,"Built using reliably tough safety glass, the Mira Leap 900 x 900mm quadrant shower panel with quadrant doors combines practicality and style, offering a beautifully curved modern shape. Imbued with CleanCoat glass coating technology, this easy to clean shower enclosure maintains its streak-free shine for years to come and provides effortless installation via the brand's patented Twist and Lock system.",Showering/Shower Doors and Enclosures/Quadrant Shower Enclosures/Quadrant Shower Enclosures.csv -> Mira Leap quadrant panels only 900 x 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/81/UP-D28377_D28381_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Leap_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_LeapQuadrantEnclosure_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ld/Mira_Leap_Quadrant_Door_LD.pdf,
5,PD28903,Ionic Express quadrant shower enclosure 900 x 760mm,Ionic,622.24,"This 900 x 760mm Ionic Express two door offset quadrant shower enclosure, 1900mm in height, includes both a fixed and moving panel in 6mm toughened glass. Treated with Mershield Stayclear for easier cleaning, the moving panel has smooth, easy-clean double rollers while double fin seals increase water retention for leak-free use.",Showering/Shower Doors and Enclosures/Quadrant Shower Enclosures/Quadrant Shower Enclosures.csv -> Ionic Express quadrant shower enclosure 900 x 760mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/07/UP-D28903_D28907_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Express_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Showering_Collection_Brochure.pdf,,
6,PD28551,Merlyn MBox 2-door quadrant shower enclosure fixed panel 1200 x 800mm,Merlyn,294.3,"Combining practicality and style, the 1200 x 800mm Merlyn MBox two door, fixed panel offset quadrant shower enclosure is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Quadrant Shower Enclosures/Quadrant Shower Enclosures.csv -> Merlyn MBox 2-door quadrant shower enclosure fixed panel 1200 x 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/52/UP-D28550_D28552_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBox_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBox_2_Quad_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBox_April_2020_UK_Brochure.pdf,
7,PD28902,Ionic Express quadrant shower enclosure 900mm,Ionic,538.19,"This 900mm Ionic Express two door quadrant shower enclosure, 1900mm in height, includes both a fixed and moving panel in 6mm toughened glass. Treated with Mershield Stayclear for easier cleaning, the moving panel has smooth, easy-clean double rollers while double fin seals increase water retention for leak-free use.",Showering/Shower Doors and Enclosures/Quadrant Shower Enclosures/Quadrant Shower Enclosures.csv -> Ionic Express quadrant shower enclosure 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/02/UP-D28901_D28902_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Express_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Showering_Collection_Brochure.pdf,,
8,PD28379,Mira Leap quadrant panels only 1000 x 800mm,Mira,289.9,"Built using reliably tough safety glass, the Mira Leap 1000 x 800mm quadrant shower panel with quadrant doors combines practicality and style, offering a beautifully curved modern shape. Imbued with CleanCoat glass coating technology, this easy to clean shower enclosure maintains its streak-free shine for years to come and provides effortless installation via the brand's patented Twist and Lock system.",Showering/Shower Doors and Enclosures/Quadrant Shower Enclosures/Quadrant Shower Enclosures.csv -> Mira Leap quadrant panels only 1000 x 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/81/UP-D28377_D28381_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Mira_Leap_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_LeapQuadrantEnclosure_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/r_/ld/Mira_Leap_Quadrant_Door_LD.pdf,
9,PD28557,Merlyn MBox 1-door quadrant shower enclosure 1000mm,Merlyn,521.24,"Combining practicality and style, the 1000mm Merlyn MBox one door quadrant shower enclosure is ideal for recess and corner shower installations. Built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Quadrant Shower Enclosures/Quadrant Shower Enclosures.csv -> Merlyn MBox 1-door quadrant shower enclosure 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/57/UP-D28557_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBox_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBox_April_2020_UK_Brochure.pdf,,
