,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Refrigerant Suitability,Hazardous,Fin Spacing mm,Depth (mm),Surface Area,Air Throw,Fan Amps,Motor,Air Volume (m3 per s),Capacity at SC2 R404A,Inlet Size,Noise Level,Number of Fans,Outlet Size,Power Supply,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Attachment 3
0,P656510,Kelvion KSC-302-4RE cooler electric defrost,Kelvion,1320.22,"The Kelvion KSC-302-4RE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-302-4RE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/10/656510_wm.jpg,30Kg,HFC,N,4 mm,453,25.7,12,0.6,1600,0.75,5.21,15mm,49dB(A) @3m,2,28mm,230/1/50,100685073,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,12M air throw,,,
1,P675592,Kelvion TEC TEC5-5 cooler,Kelvion,602.15,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC5-5 1.89kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion TEC TEC5-5 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/95/NW-675590_675595_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
2,P675593,Kelvion TEC TEC5-7 cooler,Kelvion,602.15,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC5-7 2.04kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion TEC TEC5-7 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/95/NW-675590_675595_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
3,P656598,Kelvion MSC-402-7BE cooler electric defrost,Kelvion,3380.58,"The Kelvion MSC-402-7BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion MSC-402-7BE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/98/656598_wm.jpg,113kg,HFC,N,7 mm,590,67.1,22,2.1,1535,2.34,16.73,22 mm,61 dB(A) @ 3m,2,42mm,230/1/50,100778302,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1535 RPM motor,22M air throw,,,
4,P685167,Beermaster BMOP320-3 3 phase condensing unit,Beermaster,2864.91,"Beermaster from Climate Center condensing unit is a flexible packaged cooling system, designed to fully incorporate the demands of the modern cellar cooling industry. An extensive range of reliable, efficient, service friendly condensing units and evaporators catering for cooling capacities between 3 and 15 kW, with rated ambient temperatures up to 38°C. Selections are available with cellar temperatures from 4°C to 12°C, which will meet the increasing range of cooling requirements for pubs, clubs and wine bars. In addition, sound levels have been minimised throughout the range of BMO condensing units and BMIE evaporators. Consisting of compact BMO outdoor, weatherproof, housed units aligned with space saving BMIE evaporators now incorporating EC fan technology, the Climate Center Beermaster range is the solution to all cellar cooling applications. Operating two BMIE evaporators will successfully cool cellars with irregular shapes (with one BMO condensing unit.) Temperature is controlled from one evaporator, t",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Beermaster BMOP320-3 3 phase condensing unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/69/NW-685166_685169_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/-3/685167_IM_Beermaster_BM+_OP320-3.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Beermaster_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf
5,P685168,Beermaster BMOP350-3 3 phase condensing unit,Beermaster,3109.65,"Beermaster from Climate Center condensing unit is a flexible packaged cooling system, designed to fully incorporate the demands of the modern cellar cooling industry. An extensive range of reliable, efficient, service friendly condensing units and evaporators catering for cooling capacities between 3 and 15 kW, with rated ambient temperatures up to 38°C. Selections are available with cellar temperatures from 4°C to 12°C, which will meet the increasing range of cooling requirements for pubs, clubs and wine bars. In addition, sound levels have been minimised throughout the range of BMO condensing units and BMIE evaporators. Consisting of compact BMO outdoor, weatherproof, housed units aligned with space saving BMIE evaporators now incorporating EC fan technology, the Climate Center Beermaster range is the solution to all cellar cooling applications. Operating two BMIE evaporators will successfully cool cellars with irregular shapes (with one BMO condensing unit.) Temperature is controlled from one evaporator, t",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Beermaster BMOP350-3 3 phase condensing unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/69/NW-685166_685169_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/50/-3/685168_IM_Beermaster_BM+_OP350-3.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Beermaster_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf
6,P656618,Kelvion MSC-501-6BE cooler electric defrost,Kelvion,2387.05,"The Kelvion MSC-501-6BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion MSC-501-6BE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/18/656618_wm.jpg,79kg,HFC,N,7 mm,590,41.2,20,2.2,1340,1.82,11.48,22 mm,56ddB(A) @3m,1,35mm,230/1/50,100778306,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1340 RPM motor,20M air throw,,,
7,P656507,Kelvion KSC-302-3RN cooler no defrost,Kelvion,1149.86,"The Kelvion KSC-302-3RN no-defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-302-3RN cooler no defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/07/656507_wm.jpg,25 kg,HFC,N,4 mm,453,19.4,13,0.6,1600,0.82,4.54,15mm,49dB(A) @3m,2,28mm,230/1/50,100685040,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,13M air throw,,,
8,P656580,Kelvion cooler msc-401-5re elec defrost,Kelvion,1879.93,"The Kelvion MSC-401-5RE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion cooler msc-401-5re elec defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/80/656580_wm.jpg,59 kg,HFC,N,4 mm,590,40.2,14,2.1,1535,1.09,8.46,22 mm,57dB(A) @3m,1,35mm,230/1/50,100778269,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1535 RPM motor,14M air throw,,,
9,P656501,Kelvion KSC-301-SBN cooler no defrost,Kelvion,1016.32,"The Kelvion KSC-301-SBN no-defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-301-SBN cooler no defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/01/656501_wm.jpg,23 kg,HFC,N,7 mm,453,14.9,9,0.6,1600,0.49,3.33,12mm,50dB(A) @3m,1,22mm,230/1/50,100788097,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,9M air throw,,,
