,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Range,Hazardous,Boiler Section,Boiler Range,Part Gas Council number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Model For Use With,By Model Number
0,P123305,Ideal Heating Horizontal Flue Terminal 600mm,Ideal Heating,68.57,This is the standard non-telescopic flue which is 600mm long for use with Ideal Logic Boilers.,Heating/Flue & Chimney Systems/Flue Terminals/Flue Terminals.csv -> Ideal Heating Horizontal Flue Terminal 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/05/123305_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,
1,P493246,Clesse Compac TR800 OPSO 2cyl ACO Kit,Clesse,128.78,"Telemetry-ready, this Clesse CompacTR800 OPSO two-cylinder LPG automatic changeover regulator kit is compatible with the electronic CompacTi device, allowing for remote cylinder readings and notifications. The CompacTR800 includes a push-to-set over-pressure safety system with inbuilt indication and is supplied with pigtails, an ECV and safety plaque.",Heating/Flue & Chimney Systems/Flue Terminals/Flue Terminals.csv -> Clesse Compac TR800 OPSO 2cyl ACO Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/46/493246_wm.jpg,,,Compac TR800,N,Control Panel,N/A,n/a,UU5185K-TR,Changeover,N,Telemetry ready to accept CompacTi remote electronic cylinder monitoring device.,"Excellent change-over performance, further enhanced by the CompacTi device when fitted using Clesse Integrated Intelligence to delay notification on the CompacTi application until all gas is used on one side.",OPSO “Push to Set” Consumer safety system with indication,“le Clic” changeover head position with reserve indicator,37 mbar outlet and 5kg/h (70kW) maximum capacity,Non return valves and filters on both Inlet ports to prevent leakage when changing cylinders,Equipped with a limited flow safety relief valve (LRV),Protected breather vents positioned under the tough plastic ABS Weather proof designed casing,Engineer adjustable pressure regulation,,
2,P119903,Baxi Multifit vertical flue terminal 60/100mm,Baxi,146.87,The Baxi & Potterton Multifit Vertical Flue Kit for safe extraction of exhaust gases from the boiler.,Heating/Flue & Chimney Systems/Flue Terminals/Flue Terminals.csv -> Baxi Multifit vertical flue terminal 60/100mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/03/119903_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_Multifit_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,
3,P795817,Baxi grommet PRV,Baxi,19.79,"A Baxi spare, this grommet is suitable for Duo-tec 2, EcoBlue, EcoBlue ErP, Promax Ultra ErP, Platinum 2 and Megaflo 2 boilers. The grommet is designed to create seals between pipework and parts. As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Heating/Flue & Chimney Systems/Flue Terminals/Flue Terminals.csv -> Baxi grommet PRV,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/17/795817_wm.jpg,,,,N,Gas Assembly,"Duo-tec 2, EcoBlue, EcoBlue ErP, Promax Ultra ErP, Platinum 2, Megaflo 2",H90545,720783001,Grommet,N,,,,,,,,,,"Duo-tec 2 Combi 24 GA, EcoBlue Advance Combi 24, EcoBlue Advance Combi 28, EcoBlue Advance Combi ErP 28, Promax Ultra Combi ErP 33, Duo-tec 2 Combi 28, Duo-tec 2 Combi 33 GA, Duo-tec 2 Combi 40, Promax Ultra Combi ErP 24, Promax Ultra Combi ErP 28, 28 GA","Combi 28 GA,Combi 40 GA,Combi 24 GA,Combi 33 GA"
4,P793182,Worcester Bosch grommet,Worcester Bosch,1.15,"A Worcester Bosch spare, this grommet is suitable for use in the hydraulics of Greenstar and Greenstar ErP boilers.  The grommet is designed to create seals between pipework and parts.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Heating/Flue & Chimney Systems/Flue Terminals/Flue Terminals.csv -> Worcester Bosch grommet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/82/793182_wm.jpg,,,,N,Hydraulics,"Greenstar, Greenstar ErP",H32143,87161065660,Grommet,N,,,,,,,,,,"29 CDi, 30 CDi LPG, 30 CDi System, 34 CDi Classic, 35 CDi LPG, 42 CDi, 30 CDi, 42 CDi Classic, 25 CDi, 30 CDi Classic System LPG, 34 CDi, 34 CDi LPG, 38 CDi Classic LPG, 532/i, Heatslave II 12/18 External, Heatslave II 18/25 External, 29 CDi Classic LPG,",
5,P443784,Glow-worm hinge,Glow-worm,8.53,"A Glow-worm hinge for use in the control panel of Ultimate, Flexicom and British Gas boilers.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Heating/Flue & Chimney Systems/Flue Terminals/Flue Terminals.csv -> Glow-worm hinge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/84/443784_wm.jpg,,,,N,Control Panel,"Ultimate, Flexicom, British Gas",H42779,0020020774,Hinge,N,,,,,,,,,,"24H, 18SX, 30HX, 12HX, 24CX, 18HX, 30CX, 35CX, BG330+, 15HX, 24HX, 30SX, 35HX",
6,P501548,Vaillant gas pipe bracket,Vaillant,8.27,"A Vaillant gas pipe bracket suitable for ecoMAX VU (condensing) and ecoTEC VU (condensing) boilers.  Gas pipework includes external pipework, which is connected to a wall jig and enables the influx of gas, and internal pipework, which transports gas to, from and between the various internal parts that require it.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Heating/Flue & Chimney Systems/Flue Terminals/Flue Terminals.csv -> Vaillant gas pipe bracket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/48/501548_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vaillant_ecoTECplus_415-438_Parts.pdf,,,,,,,,,,,,,,,,,,,,
7,P476262,Vaillant 098912 support,Vaillant,10.28,"A Vaillant spare, this support is used in the control panel of ecoMAX VU (condensing) and ecoMAX VUW (condensing) boilers.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Heating/Flue & Chimney Systems/Flue Terminals/Flue Terminals.csv -> Vaillant 098912 support,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/62/476262_wm.jpg,,,,N,Control Panel,"ecoMAX VU (condensing), ecoMAX VUW (condensing)",,098912,Support,N,,,,,,,,,,"ecoMAX 635 VU 356/2-C, ecoMAX 835 E VUW 356-C, ecoMAX 635E VU 356-C, ecoMAX 646 VU 466-7, ecoMAX 665 VU 656-7",
8,P196077,Alpha Vertical Flue Terminal Inc 1M Flue,Alpha,130.2,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Heating/Flue & Chimney Systems/Flue Terminals/Flue Terminals.csv -> Alpha Vertical Flue Terminal Inc 1M Flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/77/196077_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alpha_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Alpha_CD_Vertical_Terminal_Install.pdf,,,,,,,,,,,,,,,,,,,
9,P793147,Worcester Bosch siphon bracket,Worcester Bosch,3.35,"A bracket for use in the casing of Worcester Bosch Greenstar and Greenstar ErP units.  Casings vary from model to model with designs to suit different locations, offering differing levels of robustness and a variety of finishes.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Heating/Flue & Chimney Systems/Flue Terminals/Flue Terminals.csv -> Worcester Bosch siphon bracket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/47/793147_wm.jpg,,,,N,Casing,"Greenstar ErP, Greenstar",H03209,87161065390,Bracket,N,,,,,,,,,,"21Ri ErP+ NG, 24Ri LPG, 12Ri, 21Ri ErP+ LPG, 24Ri ErP+ NG, 15 Ri, 12Ri ErP+ LPG, 15Ri, 15Ri ErP+ LPG, 9Ri ErP+ NG, 18 Ri, 24 Ri LPG, 12Ri LPG, 15Ri ErP+ NG, 18Ri, 18Ri ErP+ NG, 12 Ri, 15 Ri LPG, 24 Ri, 18Ri ErP+ LPG, 24Ri ErP+ LPG, 18 Ri LPG, 12Ri ErP+ N",
10,P457622,Vokera rubber trim for wall liner,Vokera,15.24,"A Vokera spare, this rubber trim is designed specifically for the flue of Turbo units.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Heating/Flue & Chimney Systems/Flue Terminals/Flue Terminals.csv -> Vokera rubber trim for wall liner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/22/457622_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Vokera_Combi-System_Boilers_Parts.pdf,,,,,,,,,,,,,,,,,,,,
11,P493247,Clesse Compac TR800 OPSO 4cyl ACO Kit,Clesse,163.27,"Telemetry-ready, this Clesse CompacTR800 OPSO four-cylinder LPG automatic changeover regulator kit is compatible with the electronic CompacTi device, allowing for remote cylinder readings and notifications. The CompacTR800 includes a push-to-set over-pressure safety system with inbuilt indication and is supplied with pigtails, an ECV and safety plaque.",Heating/Flue & Chimney Systems/Flue Terminals/Flue Terminals.csv -> Clesse Compac TR800 OPSO 4cyl ACO Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/47/493247_wm.jpg,,,Compac TR800,N,Control Panel,N/A,n/a,UU51854CYL-TR,Changeover,N,Telemetry ready to accept CompacTi remote electronic cylinder monitoring device.,"Excellent change-over performance, further enhanced by the CompacTi device when fitted using Clesse Integrated Intelligence to delay notification on the CompacTi application until all gas is used on one side.",OPSO “Push to Set” Consumer safety system with indication,“le Clic” changeover head position with reserve indicator,37 mbar outlet and 5kg/h (70kW) maximum capacity,Non return valves and filters on both Inlet ports to prevent leakage when changing cylinders,Equipped with a limited flow safety relief valve (LRV),Protected breather vents positioned under the tough plastic ABS Weather proof designed casing,Engineer adjustable pressure regulation,,
12,P101385,Intergas horizontal straight telescopic wall terminal,Intergas,115.08,The Intergas HRE & EcoRF Boiler Range utilise a concentric flue arrangement consisting of a 60mm diameter inner flue (exhaust) and a 100mm diameter outer (air inlet) duct as standard.,Heating/Flue & Chimney Systems/Flue Terminals/Flue Terminals.csv -> Intergas horizontal straight telescopic wall terminal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/85/101385_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_HRE_HRECO_Brochure.pdf,,,,,,,,,,,,,,,,,,,,
