,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Pack Quantity,Range,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 4,Model For Use With,Attachment 5,Warranty,Weight,For Use With
0,P696508,Pump House Diversitech acid eliminator bottle 110g,Pump House,46.78,"Compatible with all refrigerants and oils, Pump House acid neutraliser chemically neutralises acids that form in air conditioning and refrigeration systems due to refrigerant and refrigeration oil break-down, moisture and compressor burn-out. Simple to use, this neutraliser works fast, circulating quickly and leaving no solids or solid residues, it won't harm system components and can prevent system breakdown.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House Diversitech acid eliminator bottle 110g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/08/NW-696508_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Acid_Eliminator_SDS.pdf,,,,,,,,,,,,,,,,,,,,,
1,P688666,Pump House DiversiTech GG-1 gallo gun,Pump House,70.8,"Lightweight and portable, weighing just 85g, the Pump House DiversiTech Drain Gun gallo gun drain line cleaner offers an effective and instantaneous blow out of air conditioning condensate lines. With its tapered fitting sized to enter 9.5 - 19mm drain openings, this cleaner supplies 8000kPa of oil-free, food-grade carbon dioxide via a flexible hose assembly for easy manoeuvrability through cabinets, coils and into drains without the requirement for air or nitrogen tanks. The DiversiTech gallo gun's cartridges are environmentally safe and fully recyclable, giving eco-concious engineers peace of mind.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House DiversiTech GG-1 gallo gun,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/66/NW-688666_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Drain_Swoosh_Cartrdge_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_Drain_GunLineCleaner_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,,,,,,,,,,,,,,,,,,,
2,P616413,Daikin Madoka BRC1H52W Wired Remote White,Daikin,110.7,"Easy to use, the highly intuitive Daikin Madoka wired remote control offers an enlarged display and simple touch buttons. This handy remote provides complete control over your indoor climate.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin Madoka BRC1H52W Wired Remote White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/13/NW-616413_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Daikin_BRC1H52_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_2/Daikin_BRC1H52_Installation_2.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Daikin_BRC1H52_Installation_1.pdf,,,,,,,,,,,,,,,,,,,
3,P695451,"Pump House Adaptors ADAP-CAC-M cassette AC adaptor 1.1/4 - 3/4"" Blue (Pack of 3)",Pump House,9.84,"This Pump House 1 1/4"" drain to 3/4"" pipe air conditioning cassette adapter connects to any air conditioning unit's drain point to standard 22mm (3/4) overflow pipe. It is compatible with Redbox 1L, 2L and 3.8L condensate pumps.","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House Adaptors ADAP-CAC-M cassette AC adaptor 1.1/4 - 3/4"" Blue (Pack of 3)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/51/NW-695451_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_CondensatePump_Acsrs_Tech.pdf,,,,,,,,,,,,,,,,,,,,
4,P696489,Pump House DiversiTech Pro-Foam+-GB alkaline based condensing coil cleaner,Pump House,65.1,"Suitable for condensers, Pump House DiversiTech Pro-Care alkaline-based concentrated coil cleaner with disinfectant is efficient and effective, killing MRSA, legionella and many other germs while protecting coils for up to six months.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House DiversiTech Pro-Foam+-GB alkaline based condensing coil cleaner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/89/696489_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_Pro_Care_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_DiversiTech_Pro_Care_SDS.pdf,,,,,,,,,,,,,,,,,,,
5,P696495,Pump House DiversiTech G2G-Foam+ pre-mixed alkaline foaming coil cleaner,Pump House,26.89,"Pump House DiversiTech heavy duty foaming outdoor condenser coil cleaner effectively removes soils and dirt and brightens outdoor coils. Reaching embedded dirt fast, DiversiTech cleaner doesn't leave salty deposits on coils.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House DiversiTech G2G-Foam+ pre-mixed alkaline foaming coil cleaner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/95/NW-696495_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_DiversiTech_G2G_Foam_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Pump_House_DiversiTech_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,
6,P695450,"Pump House Adaptors ADAP-CAC-S cassette AC adaptor 1 - 3/4"" Green (Pack of 3)",Pump House,9.32,"This Pump House 1"" drain to 3/4"" pipe air conditioning cassette adapter connects to any air conditioning unit's drain point to standard 22mm (3/4) overflow pipe. It is compatible with Redbox 1L, 2L and 3.8L condensate pumps.","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House Adaptors ADAP-CAC-S cassette AC adaptor 1 - 3/4"" Green (Pack of 3)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/50/NW-695450_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_CondensatePump_Acsrs_Tech.pdf,,,,,,,,,,,,,,,,,,,,
7,P696506,Pump House Case Clean AER-C-600 case and diffuser cleaner 600ml,Pump House,17.73,"Pump House Case Clean cleaner is used to clean cases and fascias, removing marks from most plastics, metals and glass. This cleaner is ideal for use on fan coils, cassette units and boiler cases.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House Case Clean AER-C-600 case and diffuser cleaner 600ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/06/NW-696506_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Case_Clean_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_696506_Technical.pdf,,,,,,,,,,,,,,,,,,,,
8,P604946,Daikin 5007896 Printed Circuit Board,Daikin,809.11,This Daikin SEB0798P PCB is a replacement part for use in air conditioning units.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 5007896 Printed Circuit Board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/46/NW-604946_wm.jpg,,,,N,5007896,PCB,N,Control board for VRV,,,,,,,,,,,,,,
9,P604937,Daikin 5017652 Dc Fan Motor (Kfd-325-70-8C2(A)-907) 70W,Daikin,222.15,This Daikin KFD-325-70-8C2(A)-907 DC 70W fan motor is a replacement part for use in air conditioning units.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 5017652 Dc Fan Motor (Kfd-325-70-8C2(A)-907) 70W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/37/604937_wm.jpg,,,,N,5017652,fan motor,N,DC fan motor rating,70W power rating,,,,,,,,,,,,,
