,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 5
0,PD52931,Stuart Turner Showermate single shower pump S2.0,Stuart Turner,108.5,"Suitable for use in pairs, the Stuart Turner Showermate standard single shower pump can independently pump hot and cold water. It can also be used as a single pump to boost one or other depending on the needs of the household. This high performance yet compact pump is supplied with a pair of 15mm anti-vibration flexible hoses, each with an integral isolation valve on the inlet.",Showering/Shower Pumps/Single Impeller Shower Pumps/Single Impeller Shower Pumps.csv -> Stuart Turner Showermate single shower pump S2.0,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/31/NW-D52931_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Stuart_Showermate_Standard_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rv/es/Stuart_Showermate-Std-Single_Curves.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Stuart_Showermate_Std_Single_Tech.pdf,,,,,,,,,,,,,,,,,
1,PD52377,Stuart Turner Monsoon standard single shower pump 3.0bar,Stuart Turner,405.74,"Designed for use in vented systems, the 3 bar Stuart Turner Monsoon standard single shower pump boosts water pressure in the hot and cold water supply of a positive head application. The pump requires just 0.6LPM to start and provides ideal power for boosting the blended water outlet between a shower valve and showerhead.",Showering/Shower Pumps/Single Impeller Shower Pumps/Single Impeller Shower Pumps.csv -> Stuart Turner Monsoon standard single shower pump 3.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/78/NW-D52377_D52378_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Std_SinglePump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_Standard_Pump_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/STurner_Monsoon_StdSinglePump_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Std_SinglePump_Curve.pdf,,,,,,,,,,,,,,,,
2,PC88043,Salamander CT55 Xtra 55 Xtra Single 1.5 Bar Shwr Pump,Salamander,129.24,"Boost hot or cold water in a gravity fed, positive head system with this 1.5 bar Salamander CT55 Xtra single regenerative pump. Quiet and compact, this continuously rated pump boosts water to individual hot or cold taps.",Showering/Shower Pumps/Single Impeller Shower Pumps/Single Impeller Shower Pumps.csv -> Salamander CT55 Xtra 55 Xtra Single 1.5 Bar Shwr Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/43/C88043_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTXtra_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Salamander_CTXtra_Pump_Swap_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,
3,PD12064,Grundfos SSR2 single impeller positive regen shower pump,Grundfos,343.0,"The innovative, tough Grundfos SSR2 regenerative shower pump with positive head and one impeller combines impressive performance levels with a durable build at an affordable price. Continuously rated as a regenerative pump, the SSR2 overcomes the issue of air pockets and is ideal anywhere a plumbing route includes multiple bends and elbows. Boosting either hot or cold water to single showers or a simple bathroom suite where outlets are below the cold-water tank, this high-performance composite shower pump includes a low-speed induction motor for minimal turbulence in the pump head, quieter operation and a longer life.",Showering/Shower Pumps/Single Impeller Shower Pumps/Single Impeller Shower Pumps.csv -> Grundfos SSR2 single impeller positive regen shower pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/64/NW-D12064_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_SSR2_STR2_ShowPumps_Tech.pdf,,,,,,,,,,,,,,,,,,
4,PC88044,Salamander CT Xtra single shower pump 2.5bar,Salamander,208.07,"Boost hot or cold water in a gravity fed, positive head system with this 2 bar Salamander CT85 Xtra single regenerative pump. Quiet and compact, this continuously rated pump boosts water to individual hot or cold taps.",Showering/Shower Pumps/Single Impeller Shower Pumps/Single Impeller Shower Pumps.csv -> Salamander CT Xtra single shower pump 2.5bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/44/NW-C88044_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTXtra_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Salamander_CTXtra_Pump_Swap_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,
5,PP76322,@ SALAMAND TBS15 INLINE CMPCT PUMP WH PK,Salamander,103.0,"Solving the problem of poor water performance, the Salamander TapBoost inline contact pump helps improve flow at a single mains or gravity fed outlet. Improving water flow rates to between 7 and 11LPM, depending on incoming flow, this easy-install pump can be fitted to either a hot or a cold outlet.",Showering/Shower Pumps/Single Impeller Shower Pumps/Single Impeller Shower Pumps.csv -> @ SALAMAND TBS15 INLINE CMPCT PUMP WH PK,,1x TapBoost Pump (with 0.95m cable);1x Power Supply Unit (with 1.15m cable);1x Power Supply Unit Mains Cable (1.9m);1x 15mm Inlet Compression Nut;1x 15mm Inlet Compression Olive;1x Spare Inlet Filter (one is pre-fitted to the pump inlet),https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/45/D01245_wm.jpg,,,,,TapBoost,N,P76322 PK,Single Outlet Booster Pump,N,Extremely quiet operation,Compact design for tight spaces,Fits to either hot or cold outlet,With brass ends,Inline design for easy installation,Pump includes 0.95M power cable,Power supply unit includes 1.15M cable,With 1.9M mains cable,With 15mm fittings,Includes spares,
6,PD52443,Stuart Turner Monsoon standard single shower pump 2.0bar,Stuart Turner,391.25,"Designed for use in vented systems, the 2 bar Stuart Turner Monsoon standard single shower pump boosts water pressure in the hot and cold water supply of a positive head application. The pump requires just 0.6LPM to start and provides ideal power for boosting the blended water outlet between a shower valve and showerhead.",Showering/Shower Pumps/Single Impeller Shower Pumps/Single Impeller Shower Pumps.csv -> Stuart Turner Monsoon standard single shower pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/43/NW-D52443_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Std_SinglePump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_Standard_Pump_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/STurner_Monsoon_StdSinglePump_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Std_SinglePump_Curve.pdf,,,,,,,,,,,,,,,,
7,PD52442,Stuart Turner Monsoon universal single shower pump 2.0bar,Stuart Turner,549.74,"Used in pairs, the 2 bar Stuart Turner Monsoon universal pump boosts hot and cold water supplies in vented systems independently or, used as a single pump, it will boost the water supply as needed. Fully automatic, the Monsoon doesn't need a gravity flow of water to start and is suitable for both positive and negative head applications.",Showering/Shower Pumps/Single Impeller Shower Pumps/Single Impeller Shower Pumps.csv -> Stuart Turner Monsoon universal single shower pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/42/NW-D52442_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Uni_SinglePump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Uni_SinglePump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_UniSinglePump_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/STurner_Monsoon_UniSinglePump_DWG.pdf,,,,,,,,,,,,,,,,
8,PC88059,Salamander CT Force universal single ended bar pump 3.0bar,Salamander,411.46,"Quiet and efficient, the 3 bar Salamander CT Force 30 single ended pump boosts hot or cold water supplies to a shower or individual taps and outlets in negative head gravity fed installation. Suitable for use in mains fed cold water systems, the CT Force offers more powerful water delivery for faster bath filling and more invigorating showers.",Showering/Shower Pumps/Single Impeller Shower Pumps/Single Impeller Shower Pumps.csv -> Salamander CT Force universal single ended bar pump 3.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/59/NW-C88058_C88059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTForce_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,
9,PC88068,Salamander RPU single universal centrifugal shower and whole house pump 2.4bar,Salamander,410.35,"Offering quiet efficiency, the 2.4 bar Salamander RPU single centrifugal shower pump boosts the individual hot and cold water supply to showers, baths, basins and toilets in a negative head, gravity fed installation. Suitable for providing boosted hot water to showers or mixers when cold is taken from the mains water, this adaptable pump is easy to install and incorporates a range of performance enhancing technologies.",Showering/Shower Pumps/Single Impeller Shower Pumps/Single Impeller Shower Pumps.csv -> Salamander RPU single universal centrifugal shower and whole house pump 2.4bar,,Pump;Flexible hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/69/NW-C88067_C88069_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_RP_Pump_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_RPU_ShowerPump_Technical.pdf,,,,,,,,,,,,,,,,,
