,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Range,Style,Warranty,Hazardous,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Attachment 6,Feature 10,Feature 11
0,PB08926,Nabis Idro swan neck kitchen tap,Nabis,34.75,"The Nabis Idro kitchen tap with swivel spout is supplied with flexible tails for easier installation. Designed to suit any kitchen décor, this deck-mounted tap has a smart chrome finish and ceramic disc valve for precise and smooth turning.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Nabis Idro swan neck kitchen tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/26/NW-B08926_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 17 Rev.1.0.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_MonoKitchenMixer_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD77414,Bristan Echo easyfit sink mixer tap Chrome,Bristan,101.99,"Modern styling with a slim and elegant design in chrome, the Echo Easy Fit Kitchen Sink Mixer is part of Bristan's stunning contemporary kitchen taps that offer stylish designs. This stylish tap is made from durable brass and finished in Chrome.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Bristan Echo easyfit sink mixer tap Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/14/NW-D77414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Echo_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D77414_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_Echo_Sinkmixer_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PC58119,* @ SWAN QT LEVER 2TH DECK SINK MIXER CP,Swan,39.26,"Practical and attractive, the Swan 167.5mm high arc sink mixer is manufactured in reliably tough brass and has a metallic chrome finish. Deck-mounted, this kitchen mixer tap is operated using 3"" long quarter-turn lever handles fitted with ceramic valves for smoother turning and robust longevity.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> * @ SWAN QT LEVER 2TH DECK SINK MIXER CP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/19/NW-C58119_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Swan_C58105_113_119_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/l_/v2/Swan_C58119_Technical v2.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PC58105,Swan Standard 2 tap hole deck sink mixer tap chrome,Swan,34.0,"Swan sink mixer is manufactured to the highest possible standards and designed with a focus on functionality. Provides the user with a high quality, hard-wearing features backed up with a 5 year guarantee for extra peace of mind.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Swan Standard 2 tap hole deck sink mixer tap chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/05/NW-C58105_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Swan_C58105_113_119_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C58105_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PG10166,Carron Phoenix Eiger lever tap Silk Steel,Carron Phoenix,266.09,"The Carron Phoenix Eiger lever tap is a sleek, contemporary kitchen tap with elegant J-type spout and quarter-turn lever. A smart silk steel finish looks great in any kitchen, while ceramic disc valves and an inbuilt aerator support precision delivery of soft, straight water flow.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Carron Phoenix Eiger lever tap Silk Steel,,"Tap, Fittings, Tails, Instructions",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/66/G10166_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/FrankeSissons_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD10036,Bristan Echo Frz Bas C Frenzy Basin Mixer Ch,Bristan,71.21,"Modern and elegant, the Bristan Echo mono sink mixer is made of durable brass with a shiny chrome finish. Compatible with all system pressures, this easy installation kitchen tap is operated with smooth, ceramic disc controlled handles.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Bristan Echo Frz Bas C Frenzy Basin Mixer Ch,,Mono sink mixer;EasyFit base;Flexible tails,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/36/NW-D10036_wm.jpg,,,,,,Chrome/Metallic,38.1 L/min at 5 bar,0.4,5 to 2565,190,Echo,Contemporary,5 Years,N,230,Medium,No,No,Yes,High Arc,Deck,Lever,Brass,1,D10036 PK,Sink Mixer,N,Quick change,Chrome finish,Precise glide,Long life 1/4 turn ceramic disc valves,Metal fixing nut for durability,EasyFit base included,Flexible tails included,"Flow rate 11.9LPM at 0.2 bar, 46.6LPM at 5 bar",5 year warranty,,,
6,PB08929,Nabis Vico mono pull out kitchen tap,Nabis,89.48,"Designed with a flexible pull-out hose, the Nabis Vico mono kitchen tap is ideal for installation in a cook's kitchen. Making rinsing jobs simple, this deck-mounted kitchen tap also swivels for ease of pot filling and food prep. Easy to fit thanks to the included flexible tails, this smart monobloc tap incorporates ceramic disc technology for precision use.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Nabis Vico mono pull out kitchen tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/29/NW-B08929_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B08922_24_29_30_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Kitchen_Tap_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 47 Rev.1.0.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,
7,PB02423,Ideal Standard Sandringham 21 2 tap hole lever deck sink mixer tap Chrome Plated,Ideal Standard,98.78,"Part of a broad range of furnishings and fixtures designed to help you create a cohesive look, this two tap hole Ideal Standard Sandringham 21 sink mixer tap will suit both modern and traditional kitchens. Offering dual control, ceramic disc operation for ease of turning, this user-friendly deck-mounted tap is finished in a glossy, clean chrome.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Ideal Standard Sandringham 21 2 tap hole lever deck sink mixer tap Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/23/NW-B02423_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Sandringham21_B9886AA_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Sandringham21_B9873-80-86_SpareGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PB08917,Nabis Regal lever 1/4 turn kitchen tap,Nabis,71.96,"Elegant and traditional, the Nabis Regal kitchen tap is ideal for classic kitchens requiring updated practicality. This tap's handy swivel spout provides flexible use over a double sink while a ceramic disc valve provides precision control via a single lever handle. Finished in chrome, this deck-mounted tap comes complete with metal fixing nut and flexible tails for ease of fitting.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Nabis Regal lever 1/4 turn kitchen tap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/17/NW-B08917_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Nabis_Kitchen_Tap_Product_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_1/_0/WUK  INST 17 Rev.1.0.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_MonoKitchenMixer_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Nabis_Tap_Spares_Matrix_26Oct2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PC77071,Comap Araya long neck mono sink mixer,Comap,245.88,"An elegant choice for a classic kitchen design, this Comap Araya sink mixer tap has an elegantly curved 211mm long spout. Made of robust brass with a chrome finish, this deck-mounted monobloc mixer tap is fitted with a flow straightener and aerator for soft, splash-free delivery.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Comap Araya long neck mono sink mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/71/NW-C77071_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C77071_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
