,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Diameter,Range,Voltage (V),Warranty,Phase,Hazardous,Depth (mm),Air Volume (m3 per s),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Fuel Type,Output,Fan Speeds,Mounting Type,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,IP Rating,BTU h
0,P655180,Center CB upright fan heater 2kW,Center CB,15.63,"Center CB upright fan heater Incorporates two heat settings and a temperature control dial. It is the perfect, low-cost solution for the heating of small offices, garages or as a temporary solution.",Heating/Warm Air Heating/Unit Heaters/Unit Heaters.csv -> Center CB upright fan heater 2kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/80/NW-655180_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/655180_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/655180_Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P431611,Arctic Hayes F 2003WH Portable Fan Heater 2Kw,Arctic Hayes,21.53,"Designed for occasional operation in well-insulated spaces, this Arctic Hayes 2kW portable fan heater is ideal for the temporary heating of rooms in council, housing associations and social housing. Two heat settings help to improve comfort while the fan heater's overheat protection keeps residents safe during use.",Heating/Warm Air Heating/Unit Heaters/Unit Heaters.csv -> Arctic Hayes F 2003WH Portable Fan Heater 2Kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/11/431611_wm.jpg,,,White,224 mm,F,240,1 year,2,N,120,Fan Heater suitable for occassional use in domestic housing,Moulded Plastic,F23WH,Portable fan heater,N,Moulded plastic manufacture,White colour,With 2x heat settings 1000W and 2000W,Cool/warm/hot heater settings,Power indicator light,Adjustable thermostat,Thermal automatic cut-out and overheat protection,With inbuilt safety thermal fuse,Dual thermal automatic cut out,Integral carry handle,Certified to European Standards,BEAB approved,1 year warranty,,,,,,,,,,,
2,P814562,Powrmatic LX unit heater ErP 2021 free blowing 49.1kW,Powrmatic,4304.04,"Highly efficient, the Powrmatic ErP 2021 LX free-blowing 49.1kW heating unit offers a range of improvements on the brand's previous LNVx models while maintaining the same excellent build quality and compact size. Fitted with a fully modulating burner for reduced NOx levels, this quiet and durable heater is easy to fit, saving space with its suspended installation, and simple to maintain thanks to features such as swing-out burner wiring panels.",Heating/Warm Air Heating/Unit Heaters/Unit Heaters.csv -> Powrmatic LX unit heater ErP 2021 free blowing 49.1kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/62/814562_wm.jpg,,,,,,240V 1ph,"2 year parts, 1 year labour",,N,938,,,LX50F,,N,British built,Efficient modulating burner,Reduced NOx technology,Off-floor installation saves on space,"Durable, compact design",Stealth RAL 7015 colour as standard,Designed for long service life,Quiet in operation,Suitable for use with G20 natural gas using injector change,Supplied with modulating gas valve assembly,Constant fan airflow through modulating operation,Robust and rigid casing,Anti-vibration mounts secure fan assemblies,Natural Gas / LPG,49.1 kW,n/a,Suspended,6x top-mount suspension points for easy installation and security,Easy to access swing-out burner wiring panels,Controlled by Powrmatic MC200 optimised start control,ErP 2021 compliant,2 year parts and 1 year labour warranty,,
3,P814564,Powrmatic LX unit heater ErP 2021 free blowing 69.8kW,Powrmatic,5372.93,"Helping to reduce NOx levels, the Powrmatic LX 69.8kW ErP 2021 free blowing warm air suspended gas unit heater is designed to incorporate fully modulating burner technology. Offering the same quality of build and robust longevity as the LNVx, the LX unit has a compact footprint for convenient space-saving and offers ease of installation and maintenance thanks to its swing-out burner wiring panel design and top-mount suspension points.",Heating/Warm Air Heating/Unit Heaters/Unit Heaters.csv -> Powrmatic LX unit heater ErP 2021 free blowing 69.8kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/65/NW-814563_814565_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Powrmatic_LX_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Powrmatic_LX_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P814561,Powrmatic LX unit heater ErP 2021 free blowing 39.9kW,Powrmatic,3999.66,"Helping to reduce NOx levels, the Powrmatic LX 39.9kW ErP 2021 free blowing warm air suspended gas unit heater is designed to incorporate fully modulating burner technology. Offering the same quality of build and robust longevity as the LNVx, the LX unit has a compact footprint for convenient space-saving and offers ease of installation and maintenance thanks to its swing-out burner wiring panel design and top-mount suspension points.",Heating/Warm Air Heating/Unit Heaters/Unit Heaters.csv -> Powrmatic LX unit heater ErP 2021 free blowing 39.9kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/61/NW-814561_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Powrmatic_LX_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Powrmatic_LX_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P814558,Powrmatic LX unit heater ErP 2021 free blowing 25.3kW,Powrmatic,3524.4,"Highly efficient, the Powrmatic ErP 2021 LX free-blowing 25.3kW heating unit offers a range of improvements on the brand's previous LNVx models while maintaining the same excellent build quality and compact size. Fitted with a fully modulating burner for reduced NOx levels, this quiet and durable heater is easy to fit, saving space with its suspended installation, and simple to maintain thanks to features such as swing-out burner wiring panels.",Heating/Warm Air Heating/Unit Heaters/Unit Heaters.csv -> Powrmatic LX unit heater ErP 2021 free blowing 25.3kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/58/NW-814557_814558_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Powrmatic_LX_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Powrmatic_LX_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P814563,Powrmatic LX unit heater ErP 2021 free blowing 59.1kW,Powrmatic,4750.82,"British-built, the compact, wall-mounted Powrmatic LXF 60kW warm air suspended gas unit heater is designed with fully modulating burner technology, helping to reduce NOx levels compared to the brand's LNVx while maintaining the same high levels of reliability and quality of build. A durable unit, the LXF operates quietly and offers a range of features chosen for convenience, including an easy-access burner panel and optional compatibility with G20 natural gas.",Heating/Warm Air Heating/Unit Heaters/Unit Heaters.csv -> Powrmatic LX unit heater ErP 2021 free blowing 59.1kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/65/NW-814563_814565_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Powrmatic_LX_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Powrmatic_LX_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P816401,Powrmatic MC200BL/2 optimised fuel saver control,Powrmatic,492.17,"Supplying variable time and temperature control, the high-spec, digital Powrmatic MC200 Fuel Saver unit heater control also offers an optimised start/stop with weather compensation for consistent comfort regardless of outside conditions. This user-friendly controller provides a variety of handy features for maximised heating performance and control, including adjustable frost protection, remote burner reset and fan-only operation for summertime use.",Heating/Warm Air Heating/Unit Heaters/Unit Heaters.csv -> Powrmatic MC200BL/2 optimised fuel saver control,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/01/816401_wm.jpg,,,,,,240V 1ph,12 months parts only,,N,94,,,MC200V3,,N,Password protected,Optimised start-stop improving efficiency of unit,Digital programmable timeclock,Electronic day thermostat with variable hysterisis,Night set-back/frost protection thermostat,Remote temperature sensing option,Fan only switching for summer air movement,Eca approved,Back-lit display,,,,,N/A,,n/a,Wall,,,,,,,
8,P240228,Stelrad Fantasia Fluid electric towel radiator 1266 x 550mm White,Stelrad,126.96,"With its elegantly rounded tubes, the white Stelrad Fantasia Fluid electric towel radiator is designed to seamlessly blend into any bathroom or kitchen. An environmentally friendly alternative to traditional radiators, this unit uses simple electric elements based in a maintenance-free fluid to introduce reliable, comfortable heating into a room, providing both space heating and towel warming at once. Easy to install using the supplied cable, the Fantasia incorporates a wide range of clever functions, including a boost mode for extra heat just when it's needed and a holiday function that will protect your home heating when you're not around.",Heating/Warm Air Heating/Unit Heaters/Unit Heaters.csv -> Stelrad Fantasia Fluid electric towel radiator 1266 x 550mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/28/240228_wm.jpg,,,White,,Fantasia Fluid,230,"5 Years (Heating Parts), 2 Years (Electric Components)",,N,30,,Steel,E003-1266-0550,Electric Radiator - Fluid,N,With 22 horizontal round tubes and semi-oval manifolds,Internal fluid is heated via immersed electrical element,Fluid is maintenance-free,Specially formulated fluid distributes heat quickly and evenly,Colour-coordinated push button digital control and LCD display on bottom,ASV safety system maintains pressure,ASV preserves mechanical characteristics even when exposed to high wear cycles,Behavioural indicator function helps to reduce energy consumption,With 900mm colour-coordinated cable (no plug) for spur wiring,Holiday function maintains anti-freeze mode during absence,Automatically reactivates when set number of days pass,LOT20 compliant,IP34 rated,,0.7 kW,,Wall,5 year warranty on heating parts,2 year warranty on electrical components,,,,IP34,2390
9,P814559,Powrmatic LX unit heater ErP 2021 free blowing 30.1kW,Powrmatic,3666.8,"British-built, the compact, wall-mounted Powrmatic LXF 30kW warm air suspended gas unit heater is designed with fully modulating burner technology, helping to reduce NOx levels compared to the brand's LNVx while maintaining the same high levels of reliability and quality of build. A durable unit, the LXF operates quietly and offers a range of features chosen for convenience, including an easy-access burner panel and optional compatibility with G20 natural gas.",Heating/Warm Air Heating/Unit Heaters/Unit Heaters.csv -> Powrmatic LX unit heater ErP 2021 free blowing 30.1kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/59/814559_wm.jpg,,,,,,230,2 Year,,N,834,,,LX30F,,N,With efficient modulating burner,Reduced NOx technology,Off-floor installation saves on space,Compact design,Rigid case design,Anti-vibration mounts secure fan assemblies,With 6x top-mount suspension points for security,Swing out burner wiring panels for ease of access,Stealth RAL 7015 colour as standard,Designed for long service life,Minimal noise during operation,Suitable for use with G20 natural gas with injector change,Supplied with modulating gas valve assembly,Natural Gas / LPG,30.1 kW,0.97 m3/s,Off floor / Suspended,Constant fan airflow through modulating operation,Controlled by Powrmatic MC200 optimised start control,2 year warranty,,,,
