,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3
0,PF68830,Polypipe screwed spigot tail access cap 110mm Grey,Polypipe,40.79,"This Polypipe System 2000 access pipe is made of grey PVC-U with 110mm push-fit connections and is suitable for domestic use. An alternative to ring seal fittings, System 2000 Solvent weld soil fittings are the ideal choice where a permanent homogeneous connection is needed.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Plugs and Caps/Soil Plugs and Caps.csv -> Polypipe screwed spigot tail access cap 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/30/NW-F68830_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,
1,PF68781,Polypipe PolySoil screwed access spigot tail cap 110mm Black,Polypipe,40.79,"Made of black PVC-U, this Polypipe PolySoil access cap with 110mm push-fit connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Plugs and Caps/Soil Plugs and Caps.csv -> Polypipe PolySoil screwed access spigot tail cap 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/81/NW-F68781_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,
2,PF66869,Polypipe PolySoil screwed access cap single/socket tail 110mm Grey,Polypipe,43.3,"Made of grey PVC-U, this Polypipe PolySoil access cap with 110mm push-fit connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Plugs and Caps/Soil Plugs and Caps.csv -> Polypipe PolySoil screwed access cap single/socket tail 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/69/NW-F66869_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,
3,PQ64234,Wavin Wavin OsmaSoil access plug 110mm Grey,Wavin,29.09,"Suitable for domestic or commercial use, this Wavin OsmaSoil 110mm access plug is made of grey PVC-U with durable and reliable plain end connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Plugs and Caps/Soil Plugs and Caps.csv -> Wavin Wavin OsmaSoil access plug 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/34/NW-Q64234_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf
4,PF14524,Center CB socket plug 110mm Grey,Center CB,8.13,"This Center CB 135mm socket plug is made of plastic with 110mm push-fit connections. Suitable for both domestic and commercial use, Center's high performance PVC-U solvent weld soil fittings are compatible with the push-fit range of pipes and fittings, providing permanent connections where required.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Plugs and Caps/Soil Plugs and Caps.csv -> Center CB socket plug 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/24/NW-F14524_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,
5,PF66942,Polypipe PolySoil SV42:BSV42B vent terminal 110mm Black,Polypipe,11.67,"Made of black PVC-U, this Polypipe PolySoil vent terminal with 110mm solvent weld connections, is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Plugs and Caps/Soil Plugs and Caps.csv -> Polypipe PolySoil SV42:BSV42B vent terminal 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/42/NW-F66942_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,
6,PF67145,Polypipe PolySoil socket plug 110mm White,Polypipe,24.76,"Made of white PVC-U, this Polypipe PolySoil 110mm push-fit socket plug is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Plugs and Caps/Soil Plugs and Caps.csv -> Polypipe PolySoil socket plug 110mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/45/NW-F67145_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,
7,PF14622,Center CB vent pipe guard 110mm Black,Center CB,6.1,"Center CB vent pipe guard is made of plastic. The PVC-U Center Soil system consists of a range of push-fit and solvent fittings. Manufactured to exacting UK and European Standards, the products are designed for commercial developments as well as domestic housing.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Plugs and Caps/Soil Plugs and Caps.csv -> Center CB vent pipe guard 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/22/NW-F14622_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,
8,PF14522,Center CB vent pipe guard 110mm Grey,Center CB,6.1,"This Center CB 117mm vent pipe guard is made of plastic and offers 110mm push-fit connections. Manufactured to meet UK and European standards, Center CB's PVC-U Center Soil system includes both push-fit and solvent fittings suitable for commercial and domestic use.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Plugs and Caps/Soil Plugs and Caps.csv -> Center CB vent pipe guard 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/22/NW-F14522_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,
9,PF41630,"McAlpine CAP100 rubber blanking off cap 4""",McAlpine,4.43,A McAlpine 110mm diameter temporary blanking off cap for soil pipes.,"Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Plugs and Caps/Soil Plugs and Caps.csv -> McAlpine CAP100 rubber blanking off cap 4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/30/NW-F41630_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F41630_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf
