,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,By Model Number,Feature 1,Feature 2,Feature 3,Feature 4,Range,Max Set Pressure,Maximum Operating Temperature,Exhaust Port Size,Thread Size,Part Gas Council number,Weight
0,P466193,Hamworthy probe assembly (HSI),Hamworthy,104.01,"This Hamworthy hot surface igniter assembly is compatible with ModuMax range boilers. The most commonly used electronic ignition system, a hot surface ignitor works by heating up when electricity passes through it. Ordinarily made of silicon nitride and silicon carbide ceramic, the igniter’s heat ignites the gas on the opening of the gas valve.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy probe assembly (HSI),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/93/NW-466193_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_WessexModuMaxMK3_Install.pdf,,,,,,,,,,,,,,,,,
1,P466201,Hamworthy assembly (HSI),Hamworthy,108.49,"This Hamworthy hot surface igniter assembly is compatible with PV range boilers. The most commonly used electronic ignition system, a hot surface ignitor works by heating up when electricity passes through it. Ordinarily made of silicon nitride and silicon carbide ceramic, the igniter’s heat ignites the gas on the opening of the gas valve.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy assembly (HSI),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/01/NW-466201_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_PurewellVariHeatC_Install.pdf,,,,,,,,,,,,,,,,,
2,P444777,Hamworthy glow coil (Wessex),Hamworthy,149.94,"This Hamworthy hot surface igniter assembly is compatible with 100 M, 100 M - 200 and 100 M - 300 boilers. The most commonly used electronic ignition system, a hot surface ignitor works by heating up when electricity passes through it. Ordinarily made of silicon nitride and silicon carbide ceramic, the igniter’s heat ignites the gas on the opening of the gas valve.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy glow coil (Wessex),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/77/NW-444777_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Wessex_100M_Install.pdf,,,,,,,,,,,,,,,,,
3,P466202,Hamworthy service kit (Wessex),Hamworthy,161.59,A Hamworthy brand service kit specifically for the Hamworthy 200 HE and 200 County.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy service kit (Wessex),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/02/NW-466202_wm.jpg,,N,x  x,563605182,Service Kit,N,,,,,,,,,,,,
4,P446035,Hamworthy flame probe (Wessex),Hamworthy,51.65,This Hamworthy flame probe is suitable for use in Bosch KAN58A50GB/01 and Neff K3990X6GB/04 boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy flame probe (Wessex),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/35/NW-446035_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_WessexModuMaxEco_Install.pdf,,,,,,,,,,,,,,,,,
5,P443044,Hamworthy sight glass (Wessex),Hamworthy,5.18,"A Hamworthy replacement sight glass suitable for use in a variety of Hamworthy boilers, including the ModuMax range.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy sight glass (Wessex),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/44/NW-443044_wm.jpg,,N,,539907001,Sight Glass,N,"220 M HE,S65,S70 C,250 C,110 C,120 C,220 C,100 M HE",Boiler part,,,,,,,,,,
6,P443120,Hamworthy viewing point gasket,Hamworthy,2.21,This Hamworthy gasket viewing point is designed for use in ModuMax commercial boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy viewing point gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/20/NW-443120_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_WessexModuMaxMK3_Install.pdf,,,,,,,,,,,,,,,,,
7,P409625,Hamworthy nitrile 70 OD 3.53 x ID 71.44,Hamworthy,4.07,"This Hamworthy 71.44mm inside diameter O-ring has a tough nitrile 70 shore construction for resistance to oil, grease and chemicals. It is suitable for boilers in the Hamworthy PV and F ranges. O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy nitrile 70 OD 3.53 x ID 71.44,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/26/NW-409625_409626_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Purewell65-125HE_Install.pdf,,,,,,,,,,,,,,,,,
8,P409631,Hamworthy sensor 10K NTC,Hamworthy,28.99,This Hamworthy NTC temperature sensor is suitable for F range boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy sensor 10K NTC,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/31/NW-409631_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hamworthy_Fleet-V_Installation.pdf,,,,,,,,,,,,,,,,,
9,P409502,Hamworthy burner gasket,Hamworthy,86.89,"A Hamworthy replacement burner gasket for the Hamworthy PV 105 HE, PV 110 C, PV 125 HE, PV 140 C, PV 180 C, PV 65 HE, PV 70 C, PV 85 HE and PV 95 C. O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy burner gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/02/NW-409502_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_PurewellVariHeatC_Install.pdf,,,,,,,,,,,,,,,,,
