,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Hazardous,Operator Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Connection Type,Range,Feature 3,Feature 4,Colour,Material Type,Warranty,Material,Size,Operating Temperature,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Seat Material,Pack Quantity,Feature 5,Single / Double,Thread Size,Standards,Diameter
0,P414115,"Center CB pump gate valve 22mm x 1.1/2"" Brass",Center CB,6.99,"Made of brass, this Center CB 22mm x 1 1/2"" gate valve offers compression x threaded connections.  A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Center CB pump gate valve 22mm x 1.1/2"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/16/NW-414115_414116_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/414115_414116_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/414115_414116_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P414116,"Center CB pump gate valve 28mm x 1 1/2"" Brass (1)",Center CB,6.49,"Made of brass, this Center CB 28mm x 1 1/2"" gate valve offers compression x threaded connections.  A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Center CB pump gate valve 28mm x 1 1/2"" Brass (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/16/NW-414115_414116_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/414115_414116_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/414115_414116_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PU64296,"Midland Brass PT2 high pressure ball valve (BS1212) 1/2"" Metal",Midland Brass,7.0,"This Midland Brass 1/2"" ball valve is made of metal.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass PT2 high pressure ball valve (BS1212) 1/2"" Metal",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/96/NW-U64296_wm.jpg,,,1/2 inch,N,Float,MBFBVHPP2-D METAL,Ball Valve,N,Manufactured in accordance with BS 1212 part 1,12 month warranty,,,,,,,,,,,,,,,,,,,,,
3,P250454,Midbrass HP quarter-turn positive stop isolating valve 15mm,Midbrass,3.45,"Suitable for both hot and cold water systems, this Midland Brass 15mm isolating valve is supplied with an olive in nut ends. A quarter turn slot midway rotates and activates shut-off.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midbrass HP quarter-turn positive stop isolating valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/54/NW-250454_wm.jpg,,,15mm,N,Slotted,BFIVQ-15W,Isolating Valve,N,Through-wall connection for bib tap only,Brass construction,Compression,HP,Nickel finish,1 year warranty,,,,,,,,,,,,,,,,,
4,P250472,Midland Brass full bore isolating valve 15mm,Midland Brass,3.32,"Suitable for use in hot or cold water, this Midland Brass full bore isolating valve is designed for washing machines. It is made of brass with 15mm threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass full bore isolating valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/72/NW-250472_wm.jpg,,,15mm,N,Slotted,MBFIVHP-15,Full Bore Isolating Valve,N,Maximum working temperature 85°C,Manufactured using CW617N brass,Threaded,,WRAS approved,,Metal/s,Brass,1 year,Brass,15 mm,,,,,,,,,,,,
5,P255687,Midland Brass double check valve (DZR) 15mm,Midland Brass,4.14,"WRAS approved, this Midland Brass 15mm check valve is made of tough DZR brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass double check valve (DZR) 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/87/NW-255687_wm.jpg,,,15mm,N,,CMBFDCV-15,Check Valve,N,WRAS approved,,,,,,,,,,,,,,,,,,,,,,
6,P255682,Midland Brass Navigator double check valve (DZR) 15mm,Midland Brass,4.14,"Made of DZR brass, this Midland Brass 15mm check valve is designed for spanner operation.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass Navigator double check valve (DZR) 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/82/NW-255682_wm.jpg,,,15mm,N,,TBFDCV-15,Check Valve,N,DZR brass construction,15mm size,,Navigator,,,,,,,,,,,,,,,,,,,
7,P255688,Midland Brass double check valve (DZR) 22mm,Midland Brass,6.49,"Made of reliable DZR brass, this Midland Brass 22mm check valve is designed for spanner operation.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass double check valve (DZR) 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/89/NW-255688_255689_wm.jpg,,,22 mm,N,,CMBFDCV-22,Check Valve,N,Size: 22mm,,,,,,,,,,,,,,,,,,,,,,
8,P327863,Center CB ISOGAS fan keys gas isolation valve 15mm,Center CB,4.32,"Built by Tesla UK Ltd, this Center CB ISOGAS fan key isolation valve is used to isolate the gas supply to appliances, allowing for maintenance. Made of brass, it offers a 15mm threaded connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Center CB ISOGAS fan keys gas isolation valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/64/NW-327861_327864_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Center_EN331_Mini_Ball_Valve_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P255684,Midland Brass single check valve 15mm,Midland Brass,4.06,"This Midland Brass 15mm check valve is made of robust brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass single check valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/84/NW-255684_wm.jpg,,,15mm,N,,CMBFSCV-15,Check Valve,N,Brass construction,15mm size,,,,,,,,,,,,,,,,,,,,,
10,PU64295,"Midland Brass PT1 high pressure ball valve (BS1212) 1/2""",Midland Brass,7.0,"This Midland Brass 1/2"" ball valve is manufactured in brass with BSP connections.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass PT1 high pressure ball valve (BS1212) 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/95/NW-U64295_wm.jpg,,,1/2 inch,N,Float,MBFBVHPP1-D,Ball Valve,N,Brass construction,12 month warranty,BSP,,,,,,,,,,,,,,,,,,,,
11,P255685,Midland Brass single check valve 22mm,Midland Brass,5.49,"This Midland Brass 22mm check valve is made of robust brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass single check valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/85/255685_wm.jpg,,,22 mm,N,,CMBFSCV-22,Check Valve,N,Brass construction,22mm size,,,,,,,,,,,,,,,,,,,,,
12,P250456,"Midbrass HP straight service valve 15mm x 1/2"" Nickel Plated",Midbrass,2.84,"Made of brass, this Midland Brass straight service valve has 15mm x 1/2"" BSP connections and a nickel finish. It is suitable for use in hot or cold water.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midbrass HP straight service valve 15mm x 1/2"" Nickel Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/56/NW-250456_wm.jpg,,,15 mm x 1/2 inch,N,Slotted,MBFSVS-15W,Straight Service Valve,N,Maximum working temperature 85°C,CW617N brass material,,HP,Manufactured to BS6675,WRAS approved,,,,,,85,,,,,,,,,,,
13,P236566,Center Chrome Isolating Valve 22mm,Center,2.88,"Suitable for use in hot or cold water, this Center 22mm chrome isolating valve has compression connections and screwdriver shut-off.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Center Chrome Isolating Valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/66/236566_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/v1/ 236566 ISO Valve v1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/65/65/236565.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P250460,Midland Brass slotted angled isolating valve 15mm Nickel,Midland Brass,2.84,"Made of brass, this Midland Brass slotted angled isolating valve has a 15mm threaded connection and nickel finish.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass slotted angled isolating valve 15mm Nickel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/60/NW-250460_wm.jpg,,,15mm,N,Slotted,MBFIVA-15W,Slotted Angled Isolating Valve,N,Brass construction,1 year warranty,Threaded,,,,,Brass,1 year,Brass,15 mm,,,,,,,,,,,,
15,P250444,Midland Brass isolating valve comes with handle 15mm Nickel,Midland Brass,2.32,"Suitable for both hot and cold water systems, this Midland Brass 15mm isolating valve is supplied with an olive in nut ends. The metal lever activates shut-off","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass isolating valve comes with handle 15mm Nickel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/45/NW-250444_250445_wm.jpg,,,15mm,N,Handle,BFIVLM-15,Isolating Valve with Handle,N,Brass construction,Chrome finish,Threaded,,WRAS approved,1 year warranty,,,,,,,,,,,,,,,,,
16,P255680,Midland Brass single check valve 15mm,Midland Brass,2.84,"This Midland Brass 15mm check valve is made of robust brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass single check valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/80/255680_wm.jpg,,,15mm,N,,TBFSCV-15,Check Valve,N,DZR brass construction,15mm size,,,,,,,,,,,,,,,,,,,,,
