,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 5
0,P120313,Worcester Bosch Greenskies Solar-Lux fluid LS 20ltr,Worcester Bosch,135.01,This Worcester Bosch Greenskies Solar-Lux fluid is specifically designed for use in the brand's Greenskies solar appliances.,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Thermal Heating Systems/Solar Thermal Parts and Accessories/Solar Thermal Parts and Accessories.csv -> Worcester Bosch Greenskies Solar-Lux fluid LS 20ltr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/13/120313_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Worcester_Greenskies_Solartherm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Worcester_Oil-Fired_Solar_Guide_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Renewable_Brochure.pdf,,,,,,,
1,P439017,Gledhill A-class main control PCB,Gledhill,296.32,"A genuine Gledhill part, this main control PCB is suitable for BoilerMate A-Class and Gulfstream A-Class cylinders. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Thermal Heating Systems/Solar Thermal Parts and Accessories/Solar Thermal Parts and Accessories.csv -> Gledhill A-class main control PCB",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/17/NW-439017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Gledhill_Benchmark_Parts_List.pdf,,,,,,,,,,
2,PD64322,Intatec Solar thermostatic mixer valve 22mm,Intatec,142.51,"This Intatec Solar 22mm thermostatic solar rated mixing valve works to reduce the temperature of solar heated domestic hot water to ensure safe, scald-free use. Specifically designed to function with a constant high temperature hot water supply, this valve is ideal for use alongside domestic hot water cylinders.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Thermal Heating Systems/Solar Thermal Parts and Accessories/Solar Thermal Parts and Accessories.csv -> Intatec Solar thermostatic mixer valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/22/D64322_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_Solar_TMV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Intaeco_5.11MixValve_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Intatec_Brochure_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intaeco_SolarVert_Brochure.pdf,,,,,,,
3,P117545,Worcester Bosch Greenskies additional collector sensor,Worcester Bosch,42.53,"This Worcester Bosch Greenskies additional collector sensor is a part for the Greenskies standard roof kit, offering compatibility with both the Solar Lifestyle and Solar Lito panels.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Thermal Heating Systems/Solar Thermal Parts and Accessories/Solar Thermal Parts and Accessories.csv -> Worcester Bosch Greenskies additional collector sensor",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/45/117545_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Worcester_Greenskies_Solartherm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Worcester_Oil-Fired_Solar_Guide_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Renewable_Brochure.pdf,,,,,,,
4,P633012,Worcester Bosch Solar-Lifestyle on roof rail additional panel port,Worcester Bosch,125.09,"Easy, fast and safe to install, this Worcester Bosch Solar-Lifestyle on-roof portrait rail additional panel is a main roof kit part for the installation of a solar thermal system.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Thermal Heating Systems/Solar Thermal Parts and Accessories/Solar Thermal Parts and Accessories.csv -> Worcester Bosch Solar-Lifestyle on roof rail additional panel port",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/12/633012_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar_Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Worcester_Product_Guide_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Renewable_Brochure.pdf,,,,,,,
5,P122886,Grant 2-port high temperature valve 22mm,Grant,103.97,This Grant 22mm two-port high temperature valve is an accessory designed to complement the brand's solar thermal range.,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Thermal Heating Systems/Solar Thermal Parts and Accessories/Solar Thermal Parts and Accessories.csv -> Grant 2-port high temperature valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/86/122886_wm.jpg,,,,,N,GS222014A,Temperature Valve,N,With 2x ports,For use with Grant solar systems,
6,P122368,Grant Solar Thermal GS222076 solar fluid 20ltr,Grant,58.28,This Grant solar fluid is designed specifically to protect solar thermal systems from damage caused by freezing conditions.,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Thermal Heating Systems/Solar Thermal Parts and Accessories/Solar Thermal Parts and Accessories.csv -> Grant Solar Thermal GS222076 solar fluid 20ltr",,20 litres solar fluid,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/68/122368_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_SolarRange_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_SolarThermal_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Grant_Tyfocor_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Solar_Thermal_Installation.pdf,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Solar_Range_Brochure.pdf
7,P117937,Worcester Bosch Greenskies Solar-Lifestyle safety discharge bottle,Worcester Bosch,113.83,This Worcester Bosch Greenskies Solar-Lifestyle solar discharge bottle acts as a discharge container to contain expelled glycol from PRV discharge.,"Renewables/Solar Panels, Battery Storage and Accessories/Solar Thermal Heating Systems/Solar Thermal Parts and Accessories/Solar Thermal Parts and Accessories.csv -> Worcester Bosch Greenskies Solar-Lifestyle safety discharge bottle",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/37/117937_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Worcester_Greenskies_Solartherm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar Thermal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Renewable_Brochure.pdf,,,,,,,,
8,P538421,Intatec Fluid Recovery safety valve discharge liquid,Intatec,124.47,"A safe receptacle for high temperature discharge, this Intatec discharge container is designed specifically for use in solar systems, which can release hot fluid when under excess pressure. The tank is fitted in a fixed position with stainless steel or copper discharge pipework leading into it. A fluid recovery valve can be used to recycle discharged system contents.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Thermal Heating Systems/Solar Thermal Parts and Accessories/Solar Thermal Parts and Accessories.csv -> Intatec Fluid Recovery safety valve discharge liquid",,Discharge containerDrain valveWall mounted brackets,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/21/NW-538421_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intatec_Combined_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Intatec_SF_Recovery_Containers_Tech.pdf,,,,,,,,,
9,P439018,Gledhill A-class overheat sensor,Gledhill,23.15,"This Gledhill overheat sensor is suitable for BoilerMate, ElectraMate, Gulfstream and PulsaCoil A-Class cylinders. An overheat thermostat uses this built-in sensor to monitor an appliance's temperature, ceasing operation if the maximum selected temperature is reached.","Renewables/Solar Panels, Battery Storage and Accessories/Solar Thermal Heating Systems/Solar Thermal Parts and Accessories/Solar Thermal Parts and Accessories.csv -> Gledhill A-class overheat sensor",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/18/NW-439018_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Gledhill_Benchmark_Parts_List.pdf,,,,,,,,,,
