,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Range,Warranty,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Amps,Colour,Connection Type,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Position,Pressure,Pump Type,Voltage (V),Watts,Phase,Positive / Neutral / Universal,Twin / Single,Material,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8
0,PD52495,Stuart Turner Monsoon Universal 2 Bar Twin Shwr Pump,Stuart Turner,475.02,"Designed for vented systems, the 2 bar Stuart Turner Monsoon fully automatic universal twin pump boosts both hot and cold water supplies in balance and is suitable for both positive and negative head applications. The Monsoon Universal doesn't require a gravity flow of water to start, so it's ideal for pressurising a supply where outlets are higher than the water source, such as in a loft conversion or where it's not clear if a positive flow of water exists.",Showering/Shower Pumps/Shower Pump Accessories/Shower Pump Accessories.csv -> Stuart Turner Monsoon Universal 2 Bar Twin Shwr Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/96/NW-D52495_D52496_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Uni_TwinPump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Uni_TwinPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/STurner_Monsoon_UniTwinPump_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_UniTwinPump_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PD52368,Stuart Turner Monsoon Universal 3 Bar Twin Shwr Pump,Stuart Turner,505.95,"Designed for vented systems, the 3 bar Stuart Turner Monsoon fully automatic universal twin pump boosts both hot and cold water supplies in balance and is suitable for both positive and negative head applications. The Monsoon Universal doesn't require a gravity flow of water to start, so it's ideal for pressurising a supply where outlets are higher than the water source, such as in a loft conversion or where it's not clear if a positive flow of water exists.",Showering/Shower Pumps/Shower Pump Accessories/Shower Pump Accessories.csv -> Stuart Turner Monsoon Universal 3 Bar Twin Shwr Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/69/NW-D52368_D52369_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Uni_TwinPump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Uni_TwinPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/STurner_Monsoon_UniTwinPump_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_UniTwinPump_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD53801,Impey Whale waste pump and kit,Impey,555.27,"Fitted with a height adjustable stainless steel top, the Impey Whale electric shower waste pump and kit is compatible with 6 - 26mm deep floor tiles. Supplied with a 50mm water seal, this trap offers a 43mm outlet. Aqua-Dec EasyFit and Aqua-Grade floor formers are each supplied with the UTT01/H tiled floor gully with horizontal outlet.",Showering/Shower Pumps/Shower Pump Accessories/Shower Pump Accessories.csv -> Impey Whale waste pump and kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/01/NW-D53801_wm.jpg,,,,,Whale,5 Year,N,SWP,Waste Pump,N,Stainless steel top,Height adjustable,5 year warranty,,,,,,,,,,,,,,,,,,,,
3,PD52374,Stuart Turner Monsoon Standard 3 Bar Twin Shwr Pump,Stuart Turner,408.51,"Designed for vented systems, the 3 bar Stuart Turner Monsoon standard twin pump can boost both hot and cold water supplies to an entire house, an individual bathroom or just the shower. Requiring a flow of just 0.6LPM through the outlet to start the pump, the Monsoon is suitable for positive head applications.",Showering/Shower Pumps/Shower Pump Accessories/Shower Pump Accessories.csv -> Stuart Turner Monsoon Standard 3 Bar Twin Shwr Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/75/NW-D52373_D52375_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Std_TwinPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Std_TwinPump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_Standard_Pump_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/STurner_Monsoon_StdTwinPump_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD53820,Impey Whale gulper pump only,Impey,306.06,This Impey Whale spare pump is a useful replacement for any Impey Whale shower waste pump.,Showering/Shower Pumps/Shower Pump Accessories/Shower Pump Accessories.csv -> Impey Whale gulper pump only,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/20/NW-D53820_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Impey_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PD00885,Salamander AquaScan 4-in-1 Digital Water Multimeter,Salamander,386.45,"Offering precision insight into a property's water supply, the Salamander AquaScan is a 4-in-1 digital water multimeter providing pressure, temperature, flow and hardness readings via an easy-to-read digital screen. This clever tool promises high levels of accuracy, helping engineers and installers to make sensible adjustments to a home's system in order to improve the water supply. AquaScan is provided complete with a tough carry case for ease of storage and transport, alongside numerous accessories for fitting to taps, showers, pipes and other outlets.",Showering/Shower Pumps/Shower Pump Accessories/Shower Pump Accessories.csv -> Salamander AquaScan 4-in-1 Digital Water Multimeter,,1x AquaScan Unit;1x AquaScan Isolation Valve;1x Carry Case;1x 1m USB-C to USB Cable;1x User Guide;1x AquaScan Results Notepad;1x MainsBooster Range Brochure;1x GravityBooster Range Brochure;1x 3/4” Thread To 1/2” Thread Adaptor;1x Male & Female Aerat,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/85/D00885_wm.jpg,,,,,AquaScan,1 year,N,AQUASCAN,,N,Digital display for precision measurement,"Measures flow, pressure, temperature and hardness",With robust protective case,N/,Black /  Brass,Inlet ¾” female thread (brass); Outlet ¾” male thread (brass),Max 30L/min,0,0-85,N/A,N/A,N/A,Battery charge voltage: 5,N/A,N/A,N/A,N/A,Brass; plastic,Included accessories allow for easy connection to different outlets,"Suitable for taps, showers, pipework and hoses",Patent pending technology,UK-built,1 year warranty
6,PD85771,Aqualisa Aquastream pump and hose adaptor assembly White,Aqualisa,165.12,An Aqualisa shower pump motor assembly with white outlet elbow and hose adapter.,Showering/Shower Pumps/Shower Pump Accessories/Shower Pump Accessories.csv -> Aqualisa Aquastream pump and hose adaptor assembly White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/71/NW-D85771_wm.jpg,,,,,Aquastream,1 year,N,910618,Shower Pump and Hose Adaptor,N,Includes pump and hose adapter,1 year warranty,,,Black/White,,,,,,,,,,,,,,,,,,
7,PD01258,Salamander TankBoost mains water booster system 350L 3.0 bar,Salamander,2466.07,"Helping to improve water supply, this Salamander TankBoost 350L 3 bar mains water booster system is the answer to the problem of insufficient mains water supply. Featuring a 200L storage tank and submersible, integrated stainless steel pump, this powerfully efficient system delivers pressures of up to 3 bar and flow rates of up to 80LPM while working quietly for less in-home disturbance. To improve performance even further additional storage tanks can be linked to primary TankBoost unit for larger capacities.",Showering/Shower Pumps/Shower Pump Accessories/Shower Pump Accessories.csv -> Salamander TankBoost mains water booster system 350L 3.0 bar,,TankBoost Pumped Unit;Installation Manual,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/_1/D01258_1_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D01258_Line Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PD52373,Stuart Turner Monsoon Standard 2 Bar Twin Shwr Pump,Stuart Turner,358.48,"Designed for vented systems, the 2 bar Stuart Turner Monsoon standard twin pump can boost both hot and cold water supplies to an entire house, an individual bathroom or just the shower. Requiring a flow of just 0.6LPM through the outlet to start the pump, the Monsoon is suitable for positive head applications.",Showering/Shower Pumps/Shower Pump Accessories/Shower Pump Accessories.csv -> Stuart Turner Monsoon Standard 2 Bar Twin Shwr Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/75/NW-D52373_D52375_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Std_TwinPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Std_TwinPump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_Standard_Pump_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/STurner_Monsoon_StdTwinPump_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD12031,Grundfos SSN universal single pump 2.0bar,Grundfos,885.0,"The tough, hardwearing Grundfos SSN premium brass regenerative shower pump with universal head and one impeller does away with the problem of air pockets and is ideal for situations where a plumbing route includes multiple bends and elbows. Suitable for domestic, commercial or light industrial use to boost shower pressure up to 4 bar, the SSN boosts hot or cold water to single or multiple showers or provides a boost for the whole house where outlets are above or below a cold-water tank.",Showering/Shower Pumps/Shower Pump Accessories/Shower Pump Accessories.csv -> Grundfos SSN universal single pump 2.0bar,,Pump;Flexible ;braided connection hose,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/32/NW-D12031_D12032_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Watermill_ShowPump_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
