,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Hazardous,Dimensions (L x W x D),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Feature 12,Material,Size,Application,Feature 13,Feature 14
0,P625007,Aspen Pumps Unilite 425 lumen rechargable work light,Aspen Pumps,52.49,"This powerful light features a 425 lumen white COB LED, along with a secondary rear 150 lumen white SMD LED and an extra top torch with an 80 lumen SMD LED, all emitting a bright 6500k light. Ultra lightweight and compact, this pocket-sized light is perfect for carrying with you on the go. It also features a 180  vertical folding head, allowing you to adjust the angle of the light to suit your needs. Built to last, the IL-425R has a super tough aluminium and nylon construction, with an IK07 shock resistance that can withstand drops of up to 2m. It also features a useful pocket clip and a super strong magnetic base for easy hands-free use. Powered by a high quality 1100mAh li-ion battery, the IL-425R includes a low battery warning flash that reminds you when charging is needed. With a quick 1A USB-C charging and a 3-hour charge time, this light is always ready to go. Plus, a 1m high quality USB-C cable is included for your convenience.",Offers and promotions/The Big Deal/The Big Deal.csv -> Aspen Pumps Unilite 425 lumen rechargable work light,,Inspection Light;1m USB-C Cable;Sticker;QR code manual card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/07/625007_wm.jpg,Unilite,N,147 x 33.5 x 21 mm,IL-425R,Inspection Light,N,425 lumen 6500k white COB LED,"Secondary rear 150 lumen white SMD LED, 6500k  Extra top torch - 80 lumen SMD LED, 6500k",Ultra lightweight compact pocket size,180  vertical folding head,Super tough aluminium & nylon construction,Useful pocket clip,Super strong magnetic base,High quality 1100mAh li-ion battery,Low battery 3x warning flash - reminds to charge,Quick 1A USB-C charging - 3 hours,1m USB-C cable included,,,,,,,,,,
1,PN20702,"JET Range back thermostat cupped x female 0/120c 4"" 50mm",JET Range,51.3,"Designed with solid brass pockets and back entry, the JET Range 73 50mm bi-metal pipeline thermometer is fitted with a 1/2"" BSP process connection. This thermometer features a sensor probe which should be fully immersed into pipeline or vessel flow with nominal range and stem lengths selected beforehand. Providing high levels of sensitivity, the pocket is an interference fit on the brass stem, meaning that a thermometer shouldn't be installed without it. Thermometers should be kept dry, clean and protected from impact and used only in a temperature range of 0 to +120°C.","Offers and promotions/The Big Deal/The Big Deal.csv -> JET Range back thermostat cupped x female 0/120c 4"" 50mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/02/N20702_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Thermometer_Pockets_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Bimetal_Thermometer_Instructions.pdf,,,,,,
2,PN20593,"JET Range 73 vertical pressure gauge 4"" 0-10bar",JET Range,38.49,"Made of steel with BSP connections, this 100mm JET Range 73 vertical bourbon tube altitude pressure gauge is for use in pneumatic and general utility applications. It is compatible with any gas or liquid that is not highly viscous, will not solidify or crystallize and will not attack or corrode copper alloy parts.","Offers and promotions/The Big Deal/The Big Deal.csv -> JET Range 73 vertical pressure gauge 4"" 0-10bar",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/93/N20593_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Pressure_Gauge_Instructions.pdf,,,,,,,
3,PK11353,JET Range 9400 metering station (DZR) 32mm,JET Range,71.44,The JET Range 9400 metering station with 32mm male x female threaded connections measures flow passing through the pipework of a system by assessing the differential pressure between test points.,Offers and promotions/The Big Deal/The Big Deal.csv -> JET Range 9400 metering station (DZR) 32mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/55/NW-K11353_K11355_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_9400_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/lv/es/TDS Jet Balancing Valves.pdf,,,,,,,
4,P625005,Aspen Pumps 1450 lumen rechargeable work light,Aspen Pumps,81.12,"The SLR-1450 Work Light, featuring a powerful 1450 lumen white COB LED with 6500k color temperature. This versatile light also includes a 150 lumen white LED flashlight, as well as 45 lumen Red and Red flash modes for added functionality. The light is powered by a 'LG' 3.7v 5000mAh 21700 Li-ion battery, which can be easily charged via USB-C in just 3 hours. The light is built to last with a super tough copolymer and aluminium construction, and features a 180 rotating handle/stand with carabiner snap hook, strong magnets within the stand, and a glow-in-the-dark strip for extra visibility. The battery level and charging indicators allow for easy monitoring, and the battery can even be removed for convenience. The 21700 battery has its own USB-C port, allowing it to be used as a 1A powerbank or easily charged out of the lamp. A 1m high quality USB-C cable is included for easy charging.",Offers and promotions/The Big Deal/The Big Deal.csv -> Aspen Pumps 1450 lumen rechargeable work light,,Inspection Light;1m USB-C Cable;Sticker;QR code manual card,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/05/625005_wm.jpg,,N,122.5 x 50.5 x 50.5mm,SLR-1450,Inspection Light,N,1450 lumen 6500k white COB LED with 150 lumen 6500k white LED flashlight,Plus 45 lumen Red and Red flash modes,Powerful ‘LG’ 3.7v 5000mAh 21700 Li-ion battery,Super tough copolymer and aluminium construction,180  rotating handle/stand with carabiner snap hook,Strong magnets within the stand,Glow-in-the-dark strip for extra visibility,Battery level and charging indicators,Fast 2A USB-C charging - 3 hours,1m  USB-C cable included,Battery can be removed so a convenient spare can be kept at hand,,,,,21700 battery has its own USB-C port so is easily charged out of the lamp,,,,,
5,P668493,Aspen Pumps veto hose hauler,Aspen Pumps,146.1,"The HOSE HAULER is a versatile storage solution that is specifically designed with HVAC technicians and plumbers in mind. It can store vacuum pump hoses, micron gauges, valve core removers, adapters, a bottle of vacuum pump oil and basic hand tools needed for perfoming an evacuation on an HVAC system. The HOSE HAULER features a removable interior pouch and 2 removable storage dividers, allowing for customization of the interior storage layout. The bag also features a water/oil resistant interior for easy clean up.",Offers and promotions/The Big Deal/The Big Deal.csv -> Aspen Pumps veto hose hauler,,1 x Hose Hauler,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/93/668493_wm.jpg,,N,,AX3685,Hose Hauler,N,Up to 6 pockets,Water/oil resistant tarpalon interior for easy clean up,2 exterior molle straps,Removable interior pouch,2 Removable Dividers,2 Exterior D-Rings,Rugged bottom to prevent tears and scratches,YKK® zippers,,,,,,,,,"Polypropylene, PVC backed polyester, metal rivets",43 x 43 x 13 cm,Commercial,,
6,PK11354,JET Range 9400 metering station (DZR) 40mm,JET Range,80.92,The JET Range 9400 metering station with 40mm male x female threaded connections measures flow passing through the pipework of a system by assessing the differential pressure between test points.,Offers and promotions/The Big Deal/The Big Deal.csv -> JET Range 9400 metering station (DZR) 40mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/55/NW-K11353_K11355_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_9400_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/lv/es/TDS Jet Balancing Valves.pdf,,,,,,,
7,PK86094,* JET 614 BUTTERFLY VLV LUG NIT LVR  200,JET Range,1313.69,"This JET Range 614 200mm connection lever-operated butterfly valve, specifically for use in gas applications, has a ductile iron body with a stainless steel disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.",Offers and promotions/The Big Deal/The Big Deal.csv -> * JET 614 BUTTERFLY VLV LUG NIT LVR  200,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/94/NW-K86088_K86094_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,
8,PK86092,* JET 614 BUTTERFLY VLV LUG NIT LVR  125,JET Range,702.96,"This JET Range 614 125mm connection lever-operated butterfly valve, specifically for use in gas applications, has a ductile iron body with a stainless steel disc. A butterfly valve is a quarter-turn type valve designed to regulate or isolate the flow of a fluid. While in use the valve is fully open or closed when its integral disc is rotated a quarter turn. These valves are lighter in weight than other valves, generally requiring less support.",Offers and promotions/The Big Deal/The Big Deal.csv -> * JET 614 BUTTERFLY VLV LUG NIT LVR  125,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/94/NW-K86088_K86094_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,
9,PK11355,JET Range 9400 metering station (DZR) 50mm,JET Range,108.1,The JET Range 9400 metering station with 50mm male x female threaded connections measures flow passing through the pipework of a system by assessing the differential pressure between test points.,Offers and promotions/The Big Deal/The Big Deal.csv -> JET Range 9400 metering station (DZR) 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/55/NW-K11353_K11355_wm.jpg,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_9400_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/lv/es/TDS Jet Balancing Valves.pdf,,,,,,,
