,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2
0,PF67124,Polypipe PolySoil access pipe 110mm White,Polypipe,80.08,"Made of white PVC-U, this Polypipe PolySoil access pipe with 110mm push-fit connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Polypipe PolySoil access pipe 110mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/24/NW-F67124_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf
1,PF68824,Polypipe double socket access pipe 110mm Grey,Polypipe,79.45,"This Polypipe System 2000 access pipe is made of grey PVC-U with 110mm solvent weld connections and is suitable for domestic use. An alternative to ring seal fittings, System 2000 Solvent weld soil fittings are the ideal choice where a permanent homogeneous connection is needed.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Polypipe double socket access pipe 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/24/NW-F68824_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,
2,PF57929,Geberit HDPE 90deg HDPE access pipe and screw cover 160 x 110mm,Geberit,65.33,"Manufactured in high density polyethylene (HDPE), this Geberit HDPE 90° access pipe with round service opening and 160 x 110mm solvent weld connections is suitable for a range of uses in building and roof drainage in industrial, commercial and laboratory settings and can be installed in-ground, in concrete or during bridge construction. This fitting is additionally suitable for conventional or siphonic roof drainage systems and in land drainage systems.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Geberit HDPE 90deg HDPE access pipe and screw cover 160 x 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/29/NW-F57929_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Geberit_HDPE_Silent_db20_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_DrainageSystem_Product_Guide.pdf
3,PF68808,Polypipe short double socket access pipe 110mm Grey,Polypipe,56.22,"This Polypipe System 2000 access pipe is made of grey PVC-U with 110mm solvent weld connections and is suitable for domestic use. An alternative to ring seal fittings, System 2000 Solvent weld soil fittings are the ideal choice where a permanent homogeneous connection is needed.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Polypipe short double socket access pipe 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/08/NW-F68808_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,
4,PF02113,Geberit Silent-db20 88.5deg access pipe 160mm,Geberit,107.34,"Ideal for use in projects requiring high levels of sound insulation, this Geberit Silent-db20 90° access pipe with round service opening is made of mineral-reinforced polyethylene (PE-S2) and offers 160mm solvent weld connections. This fitting is suitable for use in premium residential buildings and hotels as well as in hospitals, retirement and nursing homes.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Geberit Silent-db20 88.5deg access pipe 160mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/13/NW-F02112_F02113_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Geberit_HDPE_Silent_db20_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_DrainageSystem_Product_Guide.pdf
5,PF68776,Polypipe 92.5deg double socket access bend 110mm Black,Polypipe,93.86,"Suitable for domestic use, this Polypipe 92.5° access bend is made of black PVC-U and incorporates 110mm push-fit x solvent weld connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Polypipe 92.5deg double socket access bend 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/76/NW-F68776_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,
6,PF14544,Center CB 92.5deg access bend 110mm Grey,Center CB,65.49,"Center CB access bend is made of PVC-U. The 110mm PVC-U Center push-fit soil system offers a complete range of push-fit fittings. This time saving system is quick and easy to install as it is simply pushed together on site, making it the system of choice for countless installations.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Center CB 92.5deg access bend 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/44/NW-F14544_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,
7,PF57769,Geberit HDPE 90deg HDPE access pipe and screw cover 110mm,Geberit,27.49,"Manufactured in high density polyethylene (HDPE), this Geberit HDPE 90° access pipe with round service opening and 110mm solvent weld connections is suitable for a range of uses in building and roof drainage in industrial, commercial and laboratory settings and can be installed in-ground, in concrete or during bridge construction. This fitting is additionally suitable for conventional or siphonic roof drainage systems and in land drainage systems.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Geberit HDPE 90deg HDPE access pipe and screw cover 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/69/NW-F57769_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Geberit_HDPE_Silent_db20_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_DrainageSystem_Product_Guide.pdf
8,PF29171,"Polypipe Terrain 100 access door 6"" Grey",Polypipe,96.22,"Suitable for use in commercial building services, this Polypipe Terrain 100 access door with 160mm solvent weld connections is made of grey PVC-u. Fully accredited, the Polypipe Terrain PVC drainage system can be jointed to a wide range of other materials.","Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Polypipe Terrain 100 access door 6"" Grey",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/71/NW-F29171_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Above_Ground_Brchr.pdf,
9,PF68758,Polypipe short access double socket pipe 110mm Black,Polypipe,56.22,"This Polypipe System 2000 access pipe is made of black PVC-U with 110mm solvent weld connections and is suitable for domestic use. An alternative to ring seal fittings, System 2000 Solvent weld soil fittings are the ideal choice where a permanent homogeneous connection is needed.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Polypipe short access double socket pipe 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/58/NW-F68758_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,
10,PF58117,Geberit HDPE HDPE access pipe with oval cover 200mm,Geberit,414.48,"With a seal made of EPDM, this Geberit HDPE 200mm access pipe with oval service opening and cover is fitted with solvent weld connections. The acess cover is constructed of grey cast iron, dip-coated black. Suitable for a wide variety of drainage applications, including above ground, below building and chemical waste removal. Fittings in the Geberit HDPE system are made up of a simple, harmless compound of carbon and hydrogen atoms, a far more environmentally sound solution than other commonly used piping materials.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Geberit HDPE HDPE access pipe with oval cover 200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/F58117_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Brochure.pdf,
11,PF66824,Polypipe PolySoil access pipe 110mm Grey,Polypipe,80.08,"Made of grey PVC-U, this Polypipe PolySoil access pipe with 110mm push-fit connections is suitable for use in domestic applications. Incorporating single-piece moulding technology the PolySoil system offers improved performance and longevity with ring lock seal technology preventing seal distortion for simple, reliable installation with no risk of dislodgment.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Polypipe PolySoil access pipe 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/24/NW-F66824_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_PolySoil_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf
12,PF66916,Polypipe 92.5deg access bend 110mm Black,Polypipe,124.18,"Suitable for domestic use, this Polypipe 92.5° access bend is made of black PVC-U and incorporates 110mm push-fit x solvent weld connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Polypipe 92.5deg access bend 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/16/NW-F66916_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,
13,PQ40284,Wavin HDPE 88.5deg access tee 110 x 110mm,Wavin,22.69,"This Wavin HDPE 110mm access tee is part of a universal system approved for pipe installation in buildings to DIN 19535 and DIN EN 1519 standards. Wavin HDPE is a complete soil, waste and vent system offering durable chemical resistance, flexibility level and excellent impact resistance. Fittings in the HDPE range are suitable for use in negative pressure installations including the Wavin QuickStream siphonic roof drainage system.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Wavin HDPE 88.5deg access tee 110 x 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/84/NW-Q40284_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PP_&_PE_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_HDPE_Installation.pdf
14,PF02112,Geberit Silent-db20 88.5deg swept access pipe 110mm,Geberit,39.93,"Ideal for use in projects requiring high levels of sound insulation, this Geberit Silent-db20 90° access pipe with round service opening is made of mineral-reinforced polyethylene (PE-S2) and offers 110mm solvent weld connections. This fitting is suitable for use in premium residential buildings and hotels as well as in hospitals, retirement and nursing homes.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> Geberit Silent-db20 88.5deg swept access pipe 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/13/NW-F02112_F02113_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Geberit_HDPE_Silent_db20_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_DrainageSystem_Product_Guide.pdf
15,PF23650,MLY 110MM ACCESS S/S PIPE GREY SF41,Marley,43.57,"This Marley Push-Fit Soil 110mm access pipe is made of grey PVC-U and offers socket x spigot connections. Fast and simple to install, this fitting is suitable for most drainage jobs.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> MLY 110MM ACCESS S/S PIPE GREY SF41,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/50/NW-F23650_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf
16,PF22650,110MM STRAIGHT ACCESS PIPE SOCKET SF41:B,Marley,43.57,"This Marley Push-Fit Soil 110mm access pipe is made of black PVC-U and offers socket x spigot connections. Fast and simple to install, this fitting is suitable for most drainage jobs.",Drainage/Soil Pipes and Fittings/Soil Pipe Access/Soil Pipe Access.csv -> 110MM STRAIGHT ACCESS PIPE SOCKET SF41:B,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/50/NW-F22650_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf
