,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Hazardous,Material,Size,Standards,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Range,Warranty,Cut Resistance Rating,Tear Resistance Rating,Puncture Resistance Rating,Coating Material,Lining Material,Application,Feature 10,Feature 11,Feature 12
0,PBE6817,Beeswift BFlex nitrile pu mix coated gloves large,Beeswift,4.0,"This pair of Beeswift Bflex large unisex black/grey gloves is made of nitrile with a PU mixed coating. Offering long lasting quality, these premium work gloves are breathable for comfortable wear even over long periods.",Trade Essentials/PPE and Workwear/Gloves/Gloves.csv -> Beeswift BFlex nitrile pu mix coated gloves large,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/17/NW-BE6817_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Beeswift_BFlex_Gloves_User_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Beeswift_BFlex_Gloves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PBE6815,Beeswift Click 2000 house hold gloves medium grade xlarge Blue,Beeswift,0.77,"Manufactured from natural rubber latex, these blue Beeswift Click 2000 medium weight unisex X-large household rubber gloves have cotton flock lining for comfort. Highly durable, these gloves offer excellent grip and protection from heat and cold as well as from mechanical, chemical and cutting hazards.",Trade Essentials/PPE and Workwear/Gloves/Gloves.csv -> Beeswift Click 2000 house hold gloves medium grade xlarge Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/15/NW-BE6814_BE6815_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Beeswift_Click_2000_Gloves_User_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Beeswift_Click_2000_Blue_Gloves_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PBE6828,Beeswift BFlex nitrile / PU coated glove M,Beeswift,4.0,"This pair of Beeswift Bflex medium unisex black/grey gloves is made of nitrile with a PU mixed coating. Offering long lasting quality, these premium work gloves are breathable for comfortable wear even over long periods.",Trade Essentials/PPE and Workwear/Gloves/Gloves.csv -> Beeswift BFlex nitrile / PU coated glove M,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/28/NW-BE6828_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Beeswift_BFlex_Gloves_User_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Beeswift_BFlex_Gloves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P456990,Black Mamba Snakeskin gloves Orange Large,Black Mamba,26.24,"Offering reliable grip and complete control on the job, these Black Mamba Snakeskin gloves in orange have a textured grip pattern across the palm.",Trade Essentials/PPE and Workwear/Gloves/Gloves.csv -> Black Mamba Snakeskin gloves Orange Large,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/90/456990_wm.jpg,,,Orange,N,"Nitrile- Latex Free, Powder free",Large,"Force at break (N) Min 6, Tensile Strength (MPA) Min 14",3010946,N,Large size,Orange colour,8 mil thickness,Nitrile construction,Latex-free,Powder-free,,,,,,,,,,,,,,
4,PBE6814,Beeswift Click 2000 house hold gloves medium grade large Blue,Beeswift,0.77,"Manufactured from natural rubber latex, these blue Beeswift Click 2000 medium weight unisex large household rubber gloves have cotton flock lining for comfort. Highly durable, these gloves offer excellent grip and protection from heat and cold as well as from mechanical, chemical and cutting hazards.",Trade Essentials/PPE and Workwear/Gloves/Gloves.csv -> Beeswift Click 2000 house hold gloves medium grade large Blue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/15/NW-BE6814_BE6815_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Beeswift_Click_2000_Gloves_User_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Beeswift_Click_2000_Blue_Gloves_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P617193,DTS defend HD nitrile gloves Large Black 100,DTS,7.84,"A 6g glove ideal for use in automotive, plumbing, timber merchant and oil and gas applications, the DTS Defend heavy duty nitrile glove has textured fingers for good grip. Heavier than the industry standard, the Defend HD glove provides excellent protection from chemicals and cutting risks while also providing the potential for longer lasting wear.",Trade Essentials/PPE and Workwear/Gloves/Gloves.csv -> DTS defend HD nitrile gloves Large Black 100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/94/617190_617194_wm.jpg,,,Black,N,Heavy Duty Black Nitrile,Large,EN374 - Personal Protection Conformity;EN455 - Medical Conformity;EN1186 - Food Migration,ZHPFN-0460L,N,Box of 100,Large size,Black colour,Nitrile manufacture,Suitable for utility applications,Chemical protection,Meets EN 374-1 Type B KPT,Meets EN 455 for medical conformity,Meets En 1186 for food migration,,,,,,,,,,,
6,PBE6827,Beeswift BFlex nitrile / PU coated glove XL,Beeswift,4.0,"This pair of Beeswift Bflex X-large unisex black/grey gloves is made of nitrile with a PU mixed coating. Offering long lasting quality, these premium work gloves are breathable for comfortable wear even over long periods.",Trade Essentials/PPE and Workwear/Gloves/Gloves.csv -> Beeswift BFlex nitrile / PU coated glove XL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/27/NW-BE6827_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Beeswift_BFlex_Gloves_User_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Beeswift_BFlex_Gloves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P617192,DTS Defend - Nitrile Heavy Duty 6g - Black Gloves - Box of 100,DTS,7.57,"DTS Defend heavy duty nitrile gloves are 6g gloves ideal for automotive, gas, plumbing, timber merchant and utility applications. Supplied in a handy 100 piece box, these finger-textured gloves are manufactured in tough nitrile that is substantially heavier than the industry standard for excellent protection from chemicals, cuts and other hazards, supporting longer lasting use.",Trade Essentials/PPE and Workwear/Gloves/Gloves.csv -> DTS Defend - Nitrile Heavy Duty 6g - Black Gloves - Box of 100,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/92/617192_wm.jpg,,,Black,N,Heavy Duty Black Nitrile,XS to XL,EN374 - Personal Protection Conformity;EN455 - Medical Conformity;EN1186 - Food Migration,ZHPFN-0460M,N,Box of 100,6g heavy duty weight,Black colour,Nitrile construction,Meets EN374-1 Type B KPT,Meets EN455 medical,Meets EN1186 food migration,,,,,,,,,,,,,
8,PBE6818,Beeswift Click 2000 house hold gloves heavy grade large Black,Beeswift,1.63,"Manufactured from a neoprene blended natural latex, these black Beeswift Click 2000 heavyweight unisex large household rubber gloves have cotton flock lining for comfort. Highly durable, these gloves offer excellent grip and protection from heat and cold as well as from mechanical, chemical and cutting hazards.",Trade Essentials/PPE and Workwear/Gloves/Gloves.csv -> Beeswift Click 2000 house hold gloves heavy grade large Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/18/NW-BE6818_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Beeswift_Click_2000_Gloves_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beeswift_Click_2000_User_Instruction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P620653,Arctic Hayes Gripster nitrile gloves Large,Arctic Hayes,7.46,"Protecting from chemicals, oils and dirt, Arctic Hayes nitrile gloves are latex and powder-free to minimise the risk of allergies. Ideal for plumbing, automotive, and numerous other applications, these highly resistant, extra-strong gloves have a unique inside-out grip pattern for reliable purchase in wet and dry conditions.",Trade Essentials/PPE and Workwear/Gloves/Gloves.csv -> Arctic Hayes Gripster nitrile gloves Large,,50 Gloves,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/53/620653_wm.jpg,,,Black,N,Nitrile,Large,EN ISO 374-1:2016EN 420:2003+A1:2009,GRIP50BKL,N,Large size,Black colour,Nitrile construction with PU coating,Patented fish scale pattern for wet and dry grip,Inside and outside grip,Extra strong 6mil and 1mil at grip,Resistant to chemicals,Latex-free,Comfort stretch maximises dexterity,Gripster,5 Year Shelf Life,Level 0,Level 0,Level 0,PU-Coating,Powder Free Nitrile,"To protect Hands from dirts, oils, chemicals etc",Meets EN ISO 374-1:2016,Meets EN420:2003+A1:2009,5 year shelf life
