,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Attachment 1,Attachment 2,Attachment 3,Range
0,PU78229,Chandley Ovens fuse 16a 10x38mm,Chandley Ovens,6.84,This Tom Chandley 16A fuse is suitable for deck ovens including Convecta and TC4 Turbo.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens fuse 16a 10x38mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/29/NW-U78229_wm.jpg,N,x  x,OF0116,Fuse,N,,,,,,,
1,PU78250,Chandley Ovens holder for q/hal capsule,Chandley Ovens,13.65,"This Tom Chandley holder is designed for the q/hal capsule in a Bake Off deck, Convecta TC5 or TC10.",Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens holder for q/hal capsule,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/50/NW-U78250_wm.jpg,N,x  x,IH11,Holder,N,,,,,,,
2,PU78813,Chandley Ovens 3phase solid state relay 40A,Chandley Ovens,194.25,"A Tom Chandley three phase, 40A solid state relay.",Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens 3phase solid state relay 40A,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/13/NW-U78813_wm.jpg,N,x  x,EC152,Solid State Relay,N,,,,,,,
3,PU78233,Chandley Ovens fuse 10a 10x38mm,Chandley Ovens,5.12,This Tom Chandley 10A fuse is suitable for deck and rack ovens including Convecta TC5 and TC10 and TC4 Turbo.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens fuse 10a 10x38mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/33/NW-U78233_wm.jpg,N,x  x,OF0110,Fuse,N,,,,,,,
4,P408244,Bluebird tensioner wire holder,Bluebird,37.91,"This Bluebird wire tension spring is suitable for Eagle, Hawk, Kestrel or Merlin.",Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Bluebird tensioner wire holder,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/44/NW-408244_wm.jpg,N,x  x,4337 & 3083,Piston and Spring,N,,,,,,,
5,PU78741,Chandley Ovens gas spring,Chandley Ovens,188.75,A Tom Chandley gas spring for the Ecomatic and the EEK.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens gas spring,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/41/NW-U78741_wm.jpg,N,x  x,MH1002,Gas Spring,N,,,,,,,
6,PU78257,Chandley Ovens fuse 10x38mm 32a,Chandley Ovens,7.84,This Tom Chandley 32A fuse is suitable for deck and rack ovens.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens fuse 10x38mm 32a,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/57/NW-U78257_wm.jpg,N,x  x,OF0132,Fuse,N,,,,,,,
7,PU78218,Chandley Ovens light glass support,Chandley Ovens,50.41,A Tom Chandley light glass support.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens light glass support,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/18/NW-U78218_wm.jpg,N,x  x,1500745,Light Glass Support,N,,,,,,,
8,PU78247,Chandley Ovens blower motor,Chandley Ovens,1150.8,A Tom Chandley blower motor for use in a rack oven.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Chandley Ovens blower motor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/47/NW-U78247_wm.jpg,N,x  x,B100108,Blower Motor,N,,,,,,,
9,P407556,Unifit oven lamp SES E14 25W 300C,Unifit,2.5,This Unifit SES lamp with E14 base offers a temperature of up to 300°C and is suitable for us in cookers and microwave ovens.,Parts and Spares/Commercial Bakery Parts/Oven Parts/Oven Parts.csv -> Unifit oven lamp SES E14 25W 300C,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/56/NW-407556_wm.jpg,N,x  x,6760,Lamp,N,Cooker OvenMicrowave Oven,25W power,1000+ hours,,,,
