,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Efficiency (SAP 2009),Mounting Type,Type,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Colour,Max Vertical Level Flue Length (metres),Seasonal Space Heating Energy Efficiency %,Feature 9,Feature 10
0,P111336,Worcester 1000 24 kW boiler with free Center RF theromstat,Worcester,653.0,TBC,Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester 1000 24 kW boiler with free Center RF theromstat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/36/111336_wm.jpg,N,111336 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P111983,Worcester 2000 30 kW boiler with free Center RF theromstat pack,Worcester,890.0,TBC,Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester 2000 30 kW boiler with free Center RF theromstat pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/83/111983_wm.jpg,N,111983 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P111339,Worcester 1000 30 kW boiler with Honeywell Home T3 theromstat,Worcester,715.99,TBC,Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester 1000 30 kW boiler with Honeywell Home T3 theromstat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/39/111339_wm.jpg,N,111339 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P111337,Worcester 1000 30 kW boiler with free Center RF theromstat,Worcester,711.0,TBC,Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester 1000 30 kW boiler with free Center RF theromstat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/37/111337_wm.jpg,N,111337 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P333078,Worcester 4000 25 kW boiler flue & comfort pack,Worcester,1138.0,"Making specification and fitting simple, this complete boiler pack is built around the Worcester Bosch 4000 25kW boiler and a compatible flue.",Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester 4000 25 kW boiler flue & comfort pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/_b/333078_B_wm.jpg,N,333078 PK,N,All-in-one pack,For ease of specification,With flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P333079,Worcester 4000 30 kW boiler flue & comfort pack,Worcester,1304.0,"Making specification and fitting simple, this complete boiler pack is built around the Worcester Bosch 4000 30kW boiler and a compatible flue.",Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester 4000 30 kW boiler flue & comfort pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/_b/333079_B_wm.jpg,N,333079 PK,N,All-in-one pack,For ease of specification,With flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P111982,Worcester 2000 25 kW boiler with free Center RF theromstat pack,Worcester,790.0,TBC,Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester 2000 25 kW boiler with free Center RF theromstat pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/82/111982_wm.jpg,N,111982 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P111985,Worcester 2000 30 kW boiler with Honeywell Home T3 theromstat pack,Worcester,894.99,TBC,Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester 2000 30 kW boiler with Honeywell Home T3 theromstat pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/85/111985_wm.jpg,N,111985 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P111338,Worcester 1000 24 kW boiler with Honeywell Home T3 theromstat,Worcester,657.99,TBC,Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester 1000 24 kW boiler with Honeywell Home T3 theromstat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/38/111338_wm.jpg,N,111338 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P111986,Worcester 8000 30 kW combi boiler with Honeywell evohome pack,Worcester,1340.0,TBC,Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester 8000 30 kW combi boiler with Honeywell evohome pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/86/111986_wm.jpg,N,111986 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,P111988,Worcester 8000 40 kW combi boiler with Honeywell evohome pack,Worcester,1657.0,TBC,Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester 8000 40 kW combi boiler with Honeywell evohome pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/88/111988_wm.jpg,N,111988 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P111987,Worcester 8000 35 kW combi boiler with Honeywell evohome pack,Worcester,1507.0,TBC,Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester 8000 35 kW combi boiler with Honeywell evohome pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/87/111987_wm.jpg,N,111987 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,P111984,Worcester 2000 25 kW boiler with Honeywell Home T3 theromstat pack,Worcester,794.99,TBC,Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester 2000 25 kW boiler with Honeywell Home T3 theromstat pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/84/111984_wm.jpg,N,111984 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P111989,Worcester 8000 45 kW combi boiler with Honeywell evohome pack,Worcester,2071.0,TBC,Boilers/Boiler Packs/Worcester Boilers/Worcester Boilers.csv -> Worcester 8000 45 kW combi boiler with Honeywell evohome pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/89/111989_wm.jpg,N,111989 PK,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
