,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Attachment 2,Weight,Dimensions (L x W x D),Feature 5,Feature 6,Length (M),Range,Warranty,Feature 7
0,P257447,Center brass clock type radiator key,Center,1.71,"With its easy-grip design, the Center brass clock-type radiator key makes bleeding radiators simple. With its conventional female end, this radiator key is used to release air from a central heating system - a job that may need to be carried out if a radiator feels cold at the top but remains warm lower down.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Center brass clock type radiator key,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/47/257447_wm.jpg,Brass,N,Brass,39 x 33.5 x 8.3,PPSNUT374504,Radiator Key,N,Commercial,High quality brass construction,Clock-type design,Square female end,For commercial applications,,,,,,,,,,
1,PN01710,Rothenberger ropump super plus,Rothenberger,130.45,"This Rothenberger force pump cleaner removes obstructions in basins, bowls, tubs and toilets using water pressure.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Rothenberger ropump super plus,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/10/NW-N01710_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Rothenberger_072070X_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,
2,P418051,Rothenberger manhole lifting key (D handle),Rothenberger,6.11,"With a 520mm length, this Rothenberger manhole lifting key has an ultra-strong lifting capacity of 30kg combined with comfortable manoeuvrability. Traditionally designed, this key is suitable for lifting a range of different sized covers, including water meter covers and heavy manhole covers.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Rothenberger manhole lifting key (D handle),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/51/NW-418051_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,
3,PN20132,Rothenberger set of 3 flux brushes,Rothenberger,2.3,"These Rothenberger flux brushes are designed for the accurate application of flux or glue to fittings and threads. Saving on waste, these reusable brushes help keep your working area neat and clean.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Rothenberger set of 3 flux brushes,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/32/NW-N20132_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,
4,PT86378,Rothenberger brass radiator air key,Rothenberger,2.49,These Rothenberger clock-type air bleed keys allow users to bleed radiators via a bleed valve.,Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Rothenberger brass radiator air key,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/78/NW-T86378_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,
5,P519384,Wavin Wavin Hep2O HX79/22W hepkey plus 22mm,Wavin,0.39,"Made of polybutylene (PB), this Wavin Hep2O HX79 22mm HepKey Plus demounting tool is suitable for use in hot and cold flexible plumbing systems accepting push-fit connections. The HepKey allows for easy demounting and adjusting of Hep2O connectors.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Wavin Wavin Hep2O HX79/22W hepkey plus 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/84/NW-519384_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,,,,,
6,P519383,Wavin Wavin Hep2O HX79/15W hepkey plus 15mm,Wavin,0.4,"Made of polybutylene (PB), this Wavin Hep2O HX79 15mm HepKey Plus demounting tool is suitable for use in hot and cold flexible plumbing systems accepting push-fit connections. The HepKey allows for easy demounting and adjusting of Hep2O connectors.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Wavin Wavin Hep2O HX79/15W hepkey plus 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/83/NW-519383_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,,,,,
7,PN20136,Rothenberger water pressure gauge 0-10bar,Rothenberger,16.74,"Check water pressure quickly and easily with this Rothenberger 67025 water pressure gauge with 3/4"" BSPT female connector, suitable for fitting onto an outside bib tap. The tool's pressure readings indicate whether enough pressure is available for an appliance to be installed or whether a pressure reducing valve is required where pressure is too high. The gauge is protected by a rubber boot while a flexible hose assists with flexibility and ease of reading.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Rothenberger water pressure gauge 0-10bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/36/NW-N20136_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,
8,PH79851,Monument master plunger,Monument,17.11,"Used to remove blockages in pipes by building pressure, this Monument MON1459 master plunger has patented bellows for more displacement than traditional force cups.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Monument master plunger,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/51/NW-H79851_wm.jpg,Blue,N,Plastic,125 mm (Dia),MON1459,Master Plunger,N,,Easy to clean,Removable handle,Durable plastic,,,,0.13643,,,,,,,
9,PT87001,Rothenberger Tap Fitting Set,Rothenberger,20.0,"The Rothenberger tap fitting set comprises a range of tools suitable for the installation and removal of kitchen and bathroom taps. Included is a telescopic basin wrench, a monobloc tap spanner set and a backnut spanner set. While the monobloc spanner is supplied with 8mm, 9mm, 10mm, 11mm, 12mm and 13mm heads, the backnut set includes 1/2"" and 3/4"" backnuts.",Trade Essentials/Hand Tools/Plumbing Tools & Equipment/Plumbing Tool Accessories/Plumbing Tool Accessories.csv -> Rothenberger Tap Fitting Set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/01/T87001_wm.jpg,,N,,,1000004670,Hand Tools,N,,Wrench has spring-loaded self-locating hook,With 4x length adjustments,Monobloc spanner includes 6x head options,Fit together to extend length,,,,325mm x 82mm x 130mm,Backnut spanner with 2x backnuts,Both spanners include tommy bars,,,,
