,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Connection Size,Connection Type,Diameter,Warranty,Weight,Hazardous,Drainage Product Type,Material,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Standards,Supplier Product Code,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7
0,PF47581,"McAlpine shower gully 2"" x 1.1/2"" x 50mm White",McAlpine,100.02,"This McAlpine 200mm shower gully with 2"" solvent weld connection is made of ABS and is ideal for use in domestic wet rooms, disabled bathrooms, student accommodation, bathroom pods and retirement and care homes as well as in hotels, hospitals and sports and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Drain Gullies/Drain Gullies.csv -> McAlpine shower gully 2"" x 1.1/2"" x 50mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/81/NW-F47581_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG50_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF47274,McAlpine TSG2T6SS trapped shower gully - tile 150mm,McAlpine,113.21,"This McAlpine 200mm trapped shower gully with 110mm solvent weld connections is made of ABS with a 150mm square polished stainless steel cover plate. It is suitable for use in showers in domestic wet rooms, disabled bathrooms, student accommodation, bathroom pods and in retirement and care homes as well as hotels, hospitals and sports and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Drain Gullies/Drain Gullies.csv -> McAlpine TSG2T6SS trapped shower gully - tile 150mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/74/NW-F47274_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG-TILE_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG2_Tail_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
2,PF48259,McAlpine shower gully reducer 2 x 1.5 IN,McAlpine,1.1,This 2 x 1.5 inch socket reducer is for use with the McAlpine TSG1 range of sheet floor gullies and drains.,"Drainage/Rainwater, Floor and Roof Drains/Drain Gullies/Drain Gullies.csv -> McAlpine shower gully reducer 2 x 1.5 IN",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/59/F48259_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG1_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PF45945,Wade GV6 gully and slotted grating Stainless Steel,Wade,198.97,"Made of vandal-resistant ABS and satin stainless steel, this Wade GV6 gully and slotted grating is fitted with 110mm universal connections.","Drainage/Rainwater, Floor and Roof Drains/Drain Gullies/Drain Gullies.csv -> Wade GV6 gully and slotted grating Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/45/NW-F45945_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Wade_Floor_Gullies_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wade_Installation_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PW90279,Harmer ABS vertical shower drain,Harmer,73.87,"Designed to meet the demand of modern showers and wet rooms, this 150mm Harmer channel drain with 50mm solvent weld connections is suitable for all types of solid and suspended floor constructions, including those installations requiring shallow invert pipework such as joisted timber floors. Lightweight and ultra-compact, this drain is suitable for use in residential, public sector, healthcare and commercial settings.","Drainage/Rainwater, Floor and Roof Drains/Drain Gullies/Drain Gullies.csv -> Harmer ABS vertical shower drain",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/79/NW-W90279_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Harmer_Showerdrain_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Harmer_Alumasc_M001DR_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PW90141,Harmer AV threaded roof drain 100mm,Harmer,324.59,"This Harmer AV 380mm aluminium roof outlet has been hydraulically engineered for versatility and trouble-free performance, outlasting the building to which it has been fitted.","Drainage/Rainwater, Floor and Roof Drains/Drain Gullies/Drain Gullies.csv -> Harmer AV threaded roof drain 100mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/41/NW-W90141_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Harmer_Alumasc_M001DR_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Harmer_Roofoutlet_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PF47264,McAlpine TSG1SS trapped shower gully - seal 75mm,McAlpine,113.21,"This McAlpine 200mm trapped shower gully with 2"" solvent weld connections is made of ABS with a polished stainless steel cover plate. It is suitable for use in showers in domestic wet rooms, disabled bathrooms, student accommodation, bathroom pods and in retirement and care homes as well as hotels, hospitals and sports and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Drain Gullies/Drain Gullies.csv -> McAlpine TSG1SS trapped shower gully - seal 75mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/64/NW-F47264_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG1_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
7,PF47276,McAlpine TSG2SS trapped shower gully - seal 75mm,McAlpine,113.21,"This McAlpine 200mm trapped shower gully with 110mm solvent weld connections is made of ABS with a polished stainless steel cover plate. It is suitable for use in showers in domestic wet rooms, disabled bathrooms, student accommodation, bathroom pods and in retirement and care homes as well as hotels, hospitals and sports and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Drain Gullies/Drain Gullies.csv -> McAlpine TSG2SS trapped shower gully - seal 75mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/76/NW-F47276_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG2_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
8,PF47270,McAlpine TSG2WH trapped shower gully - seal 75mm,McAlpine,100.02,"This McAlpine 200mm trapped shower gully with 110mm solvent weld connections is made of ABS with a white plastic cover plate. It is suitable for use in showers in domestic wet rooms, disabled bathrooms, student accommodation, bathroom pods and in retirement and care homes as well as hotels, hospitals and sports and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Drain Gullies/Drain Gullies.csv -> McAlpine TSG2WH trapped shower gully - seal 75mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/70/NW-F47270_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG2_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_TSG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
9,PF48322,McAlpine McAlpine TSG2-ANTI/LIG water seal vertical outlet anti-lig gully 75mm,McAlpine,148.17,"Supplied with a security screwdriver bit for quick grating release, this McAlpine 200mm water seal anti-ligature gully is Home Office approved for use in secure accommodation. In addition to domestic shower use, this gully is also suitable for installation in disabled and student accommodation, retirement and care homes, hotels, hospitals and leisure facilities.","Drainage/Rainwater, Floor and Roof Drains/Drain Gullies/Drain Gullies.csv -> McAlpine McAlpine TSG2-ANTI/LIG water seal vertical outlet anti-lig gully 75mm",,Shower gully;110mm x 2 inch solvent spigot outlet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/22/NW-F48322_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_L-TSG_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_TSG2_ANTILIG_DWG.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
