,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Hazardous,Dimensions mm (H x W x D),By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5
0,PV00027,BKI contactor C16 37H04133,BKI,140.0,"This BKI contactor is a spare part for VG14E, VG14 and VG16 rotisserie ovens.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> BKI contactor C16 37H04133,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/27/NW-V00027_wm.jpg,N,x  x,"VG8,VG7,VG14,VG16",CO003,Contactor,N,,,,,,,
1,PV03782,Lincat replacement filter cartridge,Lincat,67.57,A Lincat replacement filter cartridge for a range of water boilers.,Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Lincat replacement filter cartridge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/82/NW-V03782_wm.jpg,N,x  x,"EB3F,EB4F",FC02,Filter Cartridge,N,"Compatible with Filter Flow water boilers EB3F, EB3F/PB, EB4F, EB6F and EB6TF",Compatible with wall-mounted boilers WMB3F/B and WMB3F/W,,,,,
2,PU19313,Die-Pat energy regulator - variable phase power regulator with RFI,Die-Pat,49.04,"Designed to maximise thermal dissipation, this Die-Pat on/off switch variable phase power regulator has a plug-in power connector block with push-fit connections.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Die-Pat energy regulator - variable phase power regulator with RFI,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/13/NW-U19313_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Die_Pat_Product_Catalogue.pdf,,,,
3,PV05904,Houno spring for closing device,Houno,10.2,"This Houno L1 2 x L3 12mm wire gauge spring for closing devices is compatible with Model 1.06, 1.08, 1.10, 1.12, 1.16 and 1.20.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Houno spring for closing device,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/04/NW-V05904_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Houno_Spare_Parts_Catalogue.pdf,,,,
4,PV03752,BKI frame bezel,BKI,12.0,"This BKI frame bezel is compatible with VG16 and VG8 rotisserie ovens, VEAB, E316, E422 and E532.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> BKI frame bezel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/52/NW-V03752_wm.jpg,N,x  x,"VG8,VG16",LI035,Bezel,N,,,,,,,
5,PU64043,Oxford Hardware X210 2 way ceramic terminal block 15A,Oxford Hardware,0.63,"Connecting wiring to ground or electrical switches and outlets to the mains supply, this Oxford Hardware X210 15A two-way ceramic terminal block has a simple design featuring several single terminals positioned in one length.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Oxford Hardware X210 2 way ceramic terminal block 15A,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/43/NW-U64043_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Oxford_Hardware_Brochure.pdf,,,,
6,PV03746,BKI shaft carrier,BKI,70.0,This BKI shaft carrier is suitable for VG16 and VG8 rotisserie ovens.,Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> BKI shaft carrier,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/46/NW-V03746_wm.jpg,N,x  x,"VG8,VG16",CR006,Shaft Carrier,N,,,,,,,
7,PV05803,Die-Pat twist waste,Die-Pat,75.99,"Made of metal, this Die-Pat waste outlet with 1.5"" thread and 3.5"" twist handle drain is designed for use in commercial kitchens.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Die-Pat twist waste,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/03/NW-V05803_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Die_Pat_Product_Catalogue.pdf,,,,
8,PV03753,BKI glass lens,BKI,19.0,"This BKI frosted clear glass lens for lamp housing is compatible with VG16, VG8 rotisserie ovens, VEAB, E316, E422 and E532.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> BKI glass lens,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/53/V03753_wm.jpg,N,x  x,"VG8,VG16",LI036,Lens,N,,,,,,,
9,PU48633,Lincat dispensing rocker neon switch Green,Lincat,38.14,A Lincat red 30 x 35mm push button switch for EB3F/PB.,Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Oven Parts/Oven Parts.csv -> Lincat dispensing rocker neon switch Green,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/33/NW-U48633_wm.jpg,N,x  x,,SW86,Push Button Switch,N,,,,,,,
