,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Thickness,Warranty,Hazardous,Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Attachment 1,Attachment 2,Attachment 3,Position,Shower Tray Shape,Style,Weight,Depth (mm),Floor Mounted,Waste Supplied,Anti Slip Surface,Riser included,Feature 10,Feature 11,Attachment 4
0,PT41800,Scudo I8 wet room screen 900 x 2000mm,Scudo,164.28,"Suitable for installation on a tray or direct to a tiled floor, the Scudo I8 900 x 2000mm wetroom shower screen is ideal for contemporary wetroom designs. Fitted with a modern support arm and chrome frame, this simple wetroom panel offers ease of fitting, even in bathrooms with uneven walls.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Scudo I8 wet room screen 900 x 2000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/00/T41793_T41800_wm.jpg,Clear,I8,8mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,Chrome,Aluminium,S8-WET900CHR,wetroom,N,With 8mm thick toughened safety glass,Aquashield treated for ease of cleaning,With minimalist support arm,Colour option profile kits available separately,Chrome finish frame,Suitable for installation on a shower tray or tiled floor,With 20mm adjustment for out-of-true walls,Lifetime warranty for fixed parts only,2 year warranty on moving parts and seals,,,,,,,,,,,,,,,
1,PT41795,Scudo I8 wet room screen 1200 x 2000mm,Scudo,203.96,"Suitable for installation on a tray or direct to a tiled floor, the Scudo S8 1000 x 2000mm wet room shower screen is ideal for contemporary wetroom designs. Fitted with a modern support arm and chrome frame, this simple wetroom panel offers ease of fitting, even in bathrooms with uneven walls.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Scudo I8 wet room screen 1200 x 2000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/00/T41793_T41800_wm.jpg,Clear,I8,8mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,Chrome,Aluminium,S8-WET1200CHR,wetroom,N,With 8mm thick toughened safety glass,Aquashield treated for ease of cleaning,With minimalist support arm,Colour option profile kits available separately,Chrome finish frame,Suitable for installation on a shower tray or tiled floor,With 20mm adjustment for out-of-true walls,Lifetime warranty for fixed parts only,2 year warranty on moving parts and seals,,,,,,,,,,,,,,,
2,PD05991,Mira Elevate wet room panel 900mm,Mira,185.87,"Suitable for fitting to a tray or direct to the floor, the Mira Elevate 2000 x 900mm divider panel is supplied with an adjustable, square section bracing bar. This sleek, modern panel with silver-finished frame will create a contemporary wet room look in any bathroom.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Mira Elevate wet room panel 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/91/NW-D05991_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Elevate_Divider_Panel_Spares.pdf,,,,,,,,,,,,,,
3,PT41791,Scudo I8 wet room flipper panel,Scudo,115.76,"Suitable for installation on a tray or direct to a tiled floor, the Scudo I8 2000mm wetroom flipper panel is ideal for contemporary wetroom designs. Fitted with a modern support arm and chrome frame, this simple wetroom panel offers ease of fitting, even in bathrooms with uneven walls.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Scudo I8 wet room flipper panel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/91/T41791_wm.jpg,Clear,I8,6mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,Chrome,Aluminium,S8-FLIPPER,wetroom,N,With 8mm thick toughened safety glass,Aquashield treated for ease of cleaning,With minimalist support arm,Colour option profile kits available separately,Chrome finish frame,Suitable for installation on a shower tray or tiled floor,With 20mm adjustment for out-of-true walls,Lifetime warranty for fixed parts only,2 year warranty on moving parts and seals,,,,,,,,,,,,,,,
4,PT41793,Scudo I8 wet room screen 1000 x 2000mm,Scudo,186.33,"Suitable for installation on a tray or direct to a tiled floor, the Scudo I8 1000 x 2000mm wetroom shower screen is ideal for contemporary wetroom designs. Fitted with a modern support arm and chrome frame, this simple wetroom panel offers ease of fitting, even in bathrooms with uneven walls.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Scudo I8 wet room screen 1000 x 2000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/00/T41793_T41800_wm.jpg,Clear,I8,8mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,Chrome,Aluminium,S8-WET1000CHR,wetroom,N,With 8mm thick toughened safety glass,Aquashield treated for ease of cleaning,With minimalist support arm,Colour option profile kits available separately,Chrome finish frame,Suitable for installation on a shower tray or tiled floor,With 20mm adjustment for out-of-true walls,Lifetime warranty for fixed parts only,2 year warranty on moving parts and seals,,,,,,,,,,,,,,,
5,PT41797,Scudo I8 wet room screen 700 x 2000mm,Scudo,142.23,"Suitable for installation on a tray or direct to a tiled floor, the Scudo S8 1000 x 2000mm wet room shower screen is ideal for contemporary wetroom designs. Fitted with a modern support arm and chrome frame, this simple wetroom panel offers ease of fitting, even in bathrooms with uneven walls.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Scudo I8 wet room screen 700 x 2000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/00/T41793_T41800_wm.jpg,Clear,I8,8mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,Chrome,Aluminium,S8-WET700CHR,wetroom,N,With 8mm thick toughened safety glass,Aquashield treated for ease of cleaning,With minimalist support arm,Colour option profile kits available separately,Chrome finish frame,Suitable for installation on a shower tray or tiled floor,With 20mm adjustment for out-of-true walls,Lifetime warranty for fixed parts only,2 year warranty on moving parts and seals,,,,,,,,,,,,,,,
6,PD00974,Kudos Ultimate 2 glass panel 8mm 700mm,Kudos,225.96,"The ultra-minimalist 700mm Kudos Ultimate 2 wetroom shower panel with 8mm thick glass offers easy-fit versatility, helping you create a seamless showering area in almost any bathroom space. Easy to clean with crystal-clear seals, maintaining the Ultimate 2 won't detract from your wetroom experience.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Kudos Ultimate 2 glass panel 8mm 700mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/80/UP-D00973_D00980_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Kudos_Ultimate_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kudos_Ultimate_2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kudos_Ultimate_2_Technical.pdf,,,,,,,,,,,,
7,PD00978,Kudos Ultimate 2 glass panel 8mm 1000mm,Kudos,260.06,"The ultra-minimalist 1000mm Kudos Ultimate 2 wetroom shower panel with 8mm thick glass offers easy-fit versatility, helping you create a seamless showering area in almost any bathroom space. Easy to clean with crystal-clear seals, maintaining the Ultimate 2 won't detract from your wetroom experience.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Kudos Ultimate 2 glass panel 8mm 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/80/UP-D00973_D00980_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Kudos_Ultimate_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kudos_Ultimate_2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kudos_Ultimate_2_Technical.pdf,,,,,,,,,,,,
8,PT41799,Scudo I8 wet room screen 800 x 2000mm,Scudo,153.25,"Suitable for installation on a tray or direct to a tiled floor, the Scudo S8 1000 x 2000mm wet room shower screen is ideal for contemporary wetroom designs. Fitted with a modern support arm and chrome frame, this simple wetroom panel offers ease of fitting, even in bathrooms with uneven walls.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Scudo I8 wet room screen 800 x 2000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/00/T41793_T41800_wm.jpg,Clear,I8,8mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,Chrome,Aluminium,S8-WET800CHR,wetroom,N,With 8mm thick toughened safety glass,Aquashield treated for ease of cleaning,With minimalist support arm,Colour option profile kits available separately,Chrome finish frame,Suitable for installation on a shower tray or tiled floor,With 20mm adjustment for out-of-true walls,Lifetime warranty for fixed parts only,2 year warranty on moving parts and seals,,,,,,,,,,,,,,,
9,PT41737,8MM WETROOM 900 WITH 275MM DEFLECTOR PNL,Scudo,306.02,"The Scudo S8 900mm wetroom return panel has a sleek design to suit most bathrooms. This 2000mm height shower door with smart fittings is manufactured in a robust toughened safety glass treated with Aqua-Shield for easier, streak-free cleaning.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> 8MM WETROOM 900 WITH 275MM DEFLECTOR PNL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/37/T41737_wm.jpg,Chrome,,8mm,Lifetime Guarantee,N,Chrome,Aluminimum / Glass,900I8WETSET,Shower Panel,N,Frameless design,With clear glass,8mm thick glass,Chrome fittings,Wet wall hinge flipper,Aqua-Shield treated for ease of cleaning,Lifetime warranty,,,,,,,,,,,,,,,,,
