,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Range,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Gender,Resistance Features,Standards,Pack Quantity,Feature 7,Feature 8,Feature 9,Warranty,Cut Resistance Rating,Tear Resistance Rating,Puncture Resistance Rating,Coating Material,Lining Material,Application,Feature 10,Feature 11,Feature 12,Pack Type,Attachment 3,Attachment 4,Physical State / Form
0,PBE6817,Beeswift BFlex nitrile pu mix coated gloves large,Beeswift,4.0,"This pair of Beeswift Bflex large unisex black/grey gloves is made of nitrile with a PU mixed coating. Offering long lasting quality, these premium work gloves are breathable for comfortable wear even over long periods.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Beeswift BFlex nitrile pu mix coated gloves large,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/17/NW-BE6817_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Beeswift_BFlex_Gloves_User_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Beeswift_BFlex_Gloves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PBE8050,Scruffs Trade Flex softshell XL Black,Scruffs,41.67,"Flexible, hardwearing and practical, this Scruffs Trade Flex soft shell jacket in XL is made of a high-tech 92% polyester fabric designed to stand up to challenging working conditions. Easy to wear all day long, this black jacket help you to look smartly professional in front of clients while keeping you warm, comfortable and dry whatever the work day throws at you.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs Trade Flex softshell XL Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/50/NW-BE8048_BE8050_wm.jpg,,,Black,Trade Flex,N,"92% Polyester, 8% elastane",XL,T55124,Jacket,N,Lightweight water-resistant softshell jacket provides protection from light rain,"Slim fitting, with 4-way flex which allows maximum movement while working",Breathable mesh lining and high fleece-lined collar for warmth and protection against the elements,Abratect™ abrasion-resistant sleeve panels,Features 3 x outer zipped pockets and an internal phone pocket for safe storage of valuables and tools,92% polyester 8% elastane.,,,,,,,,,,,,,,,,,,,,,
2,PBE8069,Scruffs Black Trade Flex Trousers 34R,Scruffs,41.66,"Flexible, hardwearing and practical, these Scruffs Trade Flex trousers in 34R are made of a high-tech fabric designed to stand up to challenging working conditions. Easy to wear all day long, these smart black trousers help you to look smartly professional in front of clients while keeping you warm, comfortable and dry whatever the work day throws at you.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs Black Trade Flex Trousers 34R,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/71/NW-BE8068_BE8071_wm.jpg,,,Black,,N,"48% recycled polyester, 26% sustainably sourced cotton, 26% elastomultiester",34R,T54499,Workwear Trousers,N,"Scruffs workwear includes trousers, baselayers, jackets and tops. It’s made from durable, high performance materials.",,,,,,Mens,Abrasion resistant top-loading CORDURA® knee pockets for enhanced durability,,,,,,,,,,,,,,,,,,,
3,PBE8071,Scruffs Black Trade Flex Trousers 38R,Scruffs,41.66,"Flexible, hardwearing and practical, these Scruffs Trade Flex trousers in 38R are made of a high-tech fabric designed to stand up to challenging working conditions. Easy to wear all day long, these smart black trousers help you to look smartly professional in front of clients while keeping you warm, comfortable and dry whatever the work day throws at you.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs Black Trade Flex Trousers 38R,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/71/NW-BE8068_BE8071_wm.jpg,,,Black,,N,"48% recycled polyester, 26% sustainably sourced cotton, 26% elastomultiester",28R,T54501,Workwear Trousers,N,"Scruffs workwear includes trousers, baselayers, jackets and tops. It’s made from durable, high performance materials.",,,,,,Mens,Abrasion resistant top-loading CORDURA® knee pockets for enhanced durability,,,,,,,,,,,,,,,,,,,
4,PBE8070,Scruffs Black Trade Flex Trousers 36R,Scruffs,41.66,"Flexible, hardwearing and practical, these Scruffs Trade Flex trousers in 36R are made of a high-tech fabric designed to stand up to challenging working conditions. Easy to wear all day long, these smart black trousers help you to look smartly professional in front of clients while keeping you warm, comfortable and dry whatever the work day throws at you.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs Black Trade Flex Trousers 36R,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/71/NW-BE8068_BE8071_wm.jpg,,,Black,,N,"48% recycled polyester, 26% sustainably sourced cotton, 26% elastomultiester",36R,T54500,Workwear Trousers,N,"Scruffs workwear includes trousers, baselayers, jackets and tops. It’s made from durable, high performance materials.",,,,,,Mens,Abrasion resistant top-loading CORDURA® knee pockets for enhanced durability,,,,,,,,,,,,,,,,,,,
5,PBE8068,Scruffs Black Trade Flex Trousers 32R,Scruffs,41.66,"Manufactured in eco-friendly high tech materials, these black Scruffs Trade Flex trousers in 32R combine good looks with practicality for a professional appearance when at work. Suitable for working in all conditions, these trousers are part of a range designed for safety and comfort on the job.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs Black Trade Flex Trousers 32R,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/71/NW-BE8068_BE8071_wm.jpg,,,Black,,N,"48% recycled polyester, 26% sustainably sourced cotton, 26% elastomultiester",32R,T54498,Workwear Trousers,N,"Durable, high performance materials",Black colour,Made with recycled polyester and sustainable sourced cotton,,,,Mens,Abrasion resistant top-loading CORDURA® knee pockets for enhanced durability,,,,,,,,,,,,,,,,,,,
6,P456990,Black Mamba Snakeskin gloves Orange Large,Black Mamba,26.24,"Offering reliable grip and complete control on the job, these Black Mamba Snakeskin gloves in orange have a textured grip pattern across the palm.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Black Mamba Snakeskin gloves Orange Large,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/90/456990_wm.jpg,,,Orange,,N,"Nitrile- Latex Free, Powder free",Large,3010946,,N,Large size,Orange colour,8 mil thickness,Nitrile construction,Latex-free,Powder-free,,,"Force at break (N) Min 6, Tensile Strength (MPA) Min 14",,,,,,,,,,,,,,,,,,
7,P931529,Toolbank S hook adblue diesel exhaust treatment 10 litre,Toolbank,12.38,"Ready to use, Silverhook AdBlue diesel exhaust treatment additive is a urea and water-based liquid additive to remove harmful nitrogen oxide (NOx) emissions from a car exhaust system. Non-toxic and non-flammable, this additive is biodegradable for environmentally friendly use.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Toolbank S hook adblue diesel exhaust treatment 10 litre,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/29/931529_wm.jpg,,,Blue,,N,,,D/ISGAD10,Diesel Exhaust Treatment,N,10L supply,Ready to use,Suitable for vehicles fitted with SCR converters,Meets ISO 22241,,,,,,,,,,,,,,,,,,,,,,,
8,PBE6828,Beeswift BFlex nitrile / PU coated glove M,Beeswift,4.0,"This pair of Beeswift Bflex medium unisex black/grey gloves is made of nitrile with a PU mixed coating. Offering long lasting quality, these premium work gloves are breathable for comfortable wear even over long periods.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Beeswift BFlex nitrile / PU coated glove M,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/28/NW-BE6828_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Beeswift_BFlex_Gloves_User_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Beeswift_BFlex_Gloves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PF49942,McAlpine cushioned kneeler mat one size Red and Black (1),McAlpine,61.05,"Making long jobs on the floor more comfortable, this McAlpine cushioned kneeler mat in one size is suitable for a wide range of applications.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> McAlpine cushioned kneeler mat one size Red and Black (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/42/F49942_wm.jpg,,,Black / Red,,N,,,KP-MAT,Knee Pads,N,One size fits all,Multipurpose use,Washable at 30°C,Robust design for long lasting use,Recyclable cushion,,,,,1,,,,,,,,,,,,,,,,,
