,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Pack Quantity,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3
0,PBF0109,Scruffs halo 3 size 12 Navy,Scruffs,53.42,"A casual design with added safety, this Scruffs Halo safety trainers in size 12 have a steel toe and composite midplate for flexible protection from sole penetration and a slip resistance rating for safer use. Designed with a suede upper and robust moulded toe for scuff protection, these Halo trainers have a padded tongue and ankle collar for comfort. Slip-resistant for safe, comfortable working.",Trade Essentials/PPE and Workwear/Safety Boots/Safety Boots.csv -> Scruffs halo 3 size 12 Navy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/09/NW-BF0104_BF0109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Strainers_EU_UK_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Safety_Trainers_EU_DoC.pdf,,,,,,,,,,,
1,PBF0105,Scruffs halo 3 size 8 Navy,Scruffs,53.42,"A casual design with added safety, this Scruffs Halo safety trainers in size 8 have a steel toe and composite midplate for flexible protection from sole penetration and a slip resistance rating for safer use. Designed with a suede upper and robust moulded toe for scuff protection, these Halo trainers have a padded tongue and ankle collar for comfort. Slip-resistant for safe, comfortable working.",Trade Essentials/PPE and Workwear/Safety Boots/Safety Boots.csv -> Scruffs halo 3 size 8 Navy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/09/NW-BF0104_BF0109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Strainers_EU_UK_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Safety_Trainers_EU_DoC.pdf,,,,,,,,,,,
2,PBF0113,Scruffs switchback 3 size 10 Tan,Scruffs,64.99,"Offering flexible protection, the Scruffs Switchback 3 S3 anti-static mid-ankle safety boot in size 10 helps to minimise the risk of electrostatic build-up and sole puncture. Slip-resistant, these working shoes have a scruff-resistant moulded toe and Poron insole for comfort while Micro-fresh technology prevents mould growth for reduced odours.",Trade Essentials/PPE and Workwear/Safety Boots/Safety Boots.csv -> Scruffs switchback 3 size 10 Tan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/15/NW-BF0110_BF0115_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Switchback_3_Tan_DoC.pdf,,,,,,,,,,,,
3,PBE8038,Scruffs socks size 7-9.5 (Pack of 3),Scruffs,6.85,"Comfortable and smart, these Scruffs Workwear size 7 - 9.5 work socks, supplied in a pack of three pairs, are made to last, no matter how hard you work. Made with 66% cotton, these socks also include elastane for flexibility.",Trade Essentials/PPE and Workwear/Safety Boots/Safety Boots.csv -> Scruffs socks size 7-9.5 (Pack of 3),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/38/NW-BE8038_wm.jpg,,,Black,pack of 3,N,"66% cotton, 21% polyester, 7% polypropylene, 3% elastodiene, 2% nylon, 1% elastane",7-9.5 / 41-43,T53545,Socks,N,This pair of socks won’t let you down,"The reinforced heel and toe prevent holes and tears, even after frequent wear and washing",The cushioned lining adds warmth and comfort.
4,PBF0108,Scruffs halo 3 size 11 Navy,Scruffs,53.42,"A casual shoe with inbuilt protection, the Scruffs Halo 3 safety trainer in navy features reliable penetration protection as well as slip resistance for safe wear on the worksite. Smart yet comfortable enough to wear all day long, these shoes have durable moulded toes for protection against scuffs and a padded tongue and collar for soft, supportive comfort.",Trade Essentials/PPE and Workwear/Safety Boots/Safety Boots.csv -> Scruffs halo 3 size 11 Navy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/09/NW-BF0104_BF0109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Strainers_EU_UK_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Safety_Trainers_EU_DoC.pdf,,,,,,,,,,,
5,PBF0114,Scruffs switchback 3 size 11 Tan,Scruffs,75.78,"Offering flexible protection, the Scruffs Switchback 3 S3 anti-static mid-ankle safety boot in size 11 helps to minimise the risk of electrostatic build-up and sole puncture. Slip-resistant, these working shoes have a scruff-resistant moulded toe and Poron insole for comfort while Micro-fresh technology prevents mould growth for reduced odours.",Trade Essentials/PPE and Workwear/Safety Boots/Safety Boots.csv -> Scruffs switchback 3 size 11 Tan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/15/NW-BF0110_BF0115_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Switchback_3_Tan_DoC.pdf,,,,,,,,,,,,
6,PBF0107,Scruffs halo 3 size 10 Navy,Scruffs,41.66,"A casual design with added safety, this Scruffs Halo safety trainers in size 10 have a steel toe and composite midplate for flexible protection from sole penetration and a slip resistance rating for safer use. Designed with a suede upper and robust moulded toe for scuff protection, these Halo trainers have a padded tongue and ankle collar for comfort. Slip-resistant for safe, comfortable working.",Trade Essentials/PPE and Workwear/Safety Boots/Safety Boots.csv -> Scruffs halo 3 size 10 Navy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/09/NW-BF0104_BF0109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Strainers_EU_UK_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Safety_Trainers_EU_DoC.pdf,,,,,,,,,,,
7,PBF0112,Scruffs switchback 3 size 9 Tan,Scruffs,64.99,"Offering flexible protection, the Scruffs Switchback 3 S3 anti-static mid-ankle safety boot in size 9 helps to minimise the risk of electrostatic build-up and sole puncture. Slip-resistant, these working shoes have a scruff-resistant moulded toe and Poron insole for comfort while Micro-fresh technology prevents mould growth for reduced odours.",Trade Essentials/PPE and Workwear/Safety Boots/Safety Boots.csv -> Scruffs switchback 3 size 9 Tan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/15/NW-BF0110_BF0115_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Switchback_3_Tan_DoC.pdf,,,,,,,,,,,,
8,PBF0106,Scruffs halo 3 size 9 Navy,Scruffs,41.66,"A casual design with added safety, this Scruffs Halo safety trainers in size 9 have a steel toe and composite midplate for flexible protection from sole penetration and a slip resistance rating for safer use. Designed with a suede upper and robust moulded toe for scuff protection, these Halo trainers have a padded tongue and ankle collar for comfort. Slip-resistant for safe, comfortable working.",Trade Essentials/PPE and Workwear/Safety Boots/Safety Boots.csv -> Scruffs halo 3 size 9 Navy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/09/NW-BF0104_BF0109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Strainers_EU_UK_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Safety_Trainers_EU_DoC.pdf,,,,,,,,,,,
9,PBF0111,Scruffs switchback 3 size 8 Tan,Scruffs,75.78,"Offering flexible protection, the Scruffs Switchback 3 S3 anti-static mid-ankle safety boot in size 8 helps to minimise the risk of electrostatic build-up and sole puncture. Slip-resistant, these working shoes have a scruff-resistant moulded toe and Poron insole for comfort while Micro-fresh technology prevents mould growth for reduced odours.",Trade Essentials/PPE and Workwear/Safety Boots/Safety Boots.csv -> Scruffs switchback 3 size 8 Tan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/15/NW-BF0110_BF0115_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Switchback_3_Tan_DoC.pdf,,,,,,,,,,,,
