,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Volume,Hazardous,Pack Type,Physical State / Form,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5
0,PN57031,Blue Hawk sand and cement motar mix 5kg,Blue Hawk,3.61,"A pre-mixed general purpose mortar mix, Blue Hawk sand and cement mortar is suitable for bricklaying, rendering, tile fixing, paths, rockeries and for general repairs on concrete, bricks and masonry. With Blue Hawk Portland cement contained in a polythene bag and fine washed sand in the tub, this product offers an extended storage life.",Trade Essentials/Building Supplies/Cements/Cements.csv -> Blue Hawk sand and cement motar mix 5kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/32/NW-N57031_N57032_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Blue_Hawk_Sand_and_CementMortar_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Blue_Hawk_CementConcreteRoofing_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Blue_Hawk_Sand_and_Cement_Mortar_SDS.pdf,,,,,,,,,,,,,,
1,PN57032,Blue Hawk sand and cement mortar mix 10kg,Blue Hawk,5.86,"A pre-mixed general purpose mortar mix, Blue Hawk sand and cement mortar is suitable for bricklaying, rendering, tile fixing, paths, rockeries and for general repairs on concrete, bricks and masonry. With Blue Hawk Portland cement contained in a polythene bag and fine washed sand in the tub, this product offers an extended storage life.",Trade Essentials/Building Supplies/Cements/Cements.csv -> Blue Hawk sand and cement mortar mix 10kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/32/NW-N57031_N57032_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Blue_Hawk_Sand_and_CementMortar_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Blue_Hawk_CementConcreteRoofing_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Blue_Hawk_Sand_and_Cement_Mortar_SDS.pdf,,,,,,,,,,,,,,
2,PN02247,Bostik Cementone fire cement 1kg,Bostik,4.05,"Ready-mixed, this Bostik Cementone fire cement is made up of an asbestos-free blend of inorganic fillers and water-based thermo-setting resins. Drying into a cement when exposed to heat, this fire cement is suitable for joint and gap filling, producing smoke-tight joints, and can withstand a maximum temperature of +1250°C.",Trade Essentials/Building Supplies/Cements/Cements.csv -> Bostik Cementone fire cement 1kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/48/NW-N02247_N02248_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Cementone_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bostik_Cementone_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bostik_Cementone_Technical.pdf,,,,,,,,,,,,,,
3,PN43564,Tarmac Blue Circle mortar mix tub 5kg,Tarmac,9.47,"A blend of selected sands, lime, cement and admixtures, Tarmac Blue Circle quality assured mortar mix is a pre-mixed general-purpose mortar offering a quality-assured weatherproof and durable finish in most brick and block applications. Highly workable and reliably cohesive, this mix offers a long board life and is pre-bagged ready for use, requiring just the simple addition of clean water.",Trade Essentials/Building Supplies/Cements/Cements.csv -> Tarmac Blue Circle mortar mix tub 5kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/64/NW-N43564_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Tarmac_Mortar_Mix_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Tarmac_Mortar-Mix_Technical.pdf,,,,,,,,,,,,,,,
4,PH01044,Sika Everbuild Jetcem rapid set cement 3kg,Sika Everbuild,4.09,"Specially formulated, this Sika Everbuild Jetcem rapid setting cement is a cement-based patching and repair compound suitable for a whole host of applications. Once mixed with water, this cement sets in around 30 minutes.",Trade Essentials/Building Supplies/Cements/Cements.csv -> Sika Everbuild Jetcem rapid set cement 3kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/44/NW-H01044_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sika_Everbuild_Jetcem_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Sika_Everbuild_Jetcem_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Sika_Everbuild_Jetcem_Declaration.pdf,,,,,,,,,,,,,,
5,PN02248,Bostik Cementone fire cement 2kg,Bostik,6.94,"Ready-mixed, this Bostik Cementone fire cement is made up of an asbestos-free blend of inorganic fillers and water-based thermo-setting resins. Drying into a cement when exposed to heat, this fire cement is suitable for joint and gap filling, producing smoke-tight joints, and can withstand a maximum temperature of +1250°C.",Trade Essentials/Building Supplies/Cements/Cements.csv -> Bostik Cementone fire cement 2kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/48/NW-N02247_N02248_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Bostik_Cementone_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Bostik_Cementone_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bostik_Cementone_Technical.pdf,,,,,,,,,,,,,,
6,P830291,Regin REGM20 gas and water jointing compound 250g (1),Regin,15.82,"A soft setting, non-petroleum based thread sealant, Regin REGM20 gas and water jointing compound is suitable for use with both potable water and mains gas. It can therefore be used on gas installation pipework as a class A, Arp and class B thread sealant.",Trade Essentials/Building Supplies/Cements/Cements.csv -> Regin REGM20 gas and water jointing compound 250g (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/91/NW-830291_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Regin_SDS54_H&S.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Regin_Eleccon_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ds/54/Regin_SDS54.pdf,,,,,,,,,,,,,,
7,PN57033,Artex Blue Hawk quick set cement 2.5kg,Artex,4.82,"Pre-mixed, this Artex Blue Hawk quick-set cement is simply mixed with clean water before use and sets in around 30 minutes with no shrinkage. It is suitable for use in a wide variety of building projects and even sets underwater for repairs to grates.",Trade Essentials/Building Supplies/Cements/Cements.csv -> Artex Blue Hawk quick set cement 2.5kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/33/NW-N57033_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Artex_Blue-Hawk_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Blue_Hawk_CementConcreteRoofing_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Artex_Blue-Hawk_SDS.pdf,,,,,,,,,,,,,,
8,P455161,Sika Everbuild PCKOSBKFIRE1 fire cement tub 1kg Black (12),Sika,4.17,"Ready-mixed, Sika Everbuild PCKOSBKFIRE1 is a blend of thermosetting resins and inorganic fillers. Curing when exposed to heat, it creates a mortar resistant to temperatures up to a blazing 1250C. Suitable for domestic and commercial use, Everbuild is compatible with fire bricks, fire grates, flue pipes, flue bricks and boilers. Asbestos-free, Everbuild offers reliable adhesion to fire bricks, blockwork, stone and clayware.",Trade Essentials/Building Supplies/Cements/Cements.csv -> Sika Everbuild PCKOSBKFIRE1 fire cement tub 1kg Black (12),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/61/NW-455161_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/455161_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Everbuild_Fire Compounds_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Sika_Everbuild_Kos_Fire_Cement_H&S.pdf,,,,,,,,,,,,,,
9,PF68404,Polypipe GFC100 gap fill cement 140g,Polypipe,19.34,"Polypipe GFC100 gap filling cement in natural colour fills small gaps for a reliable, neat finish.",Trade Essentials/Building Supplies/Cements/Cements.csv -> Polypipe GFC100 gap fill cement 140g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/04/NW-F68404_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Polypipe_GFC100_MSDS.pdf,,,,,,,,,,,,,,,,
