,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7
0,P200405,Nabis Karly 1307 1200x500mm btu Chrome,Nabis,248.31,"With its sophisticated curved design and reflective chrome finish, the 1308 BTU/h Nabis Karly contemporary towel warmer is a neat and practical design feature for modern bathrooms.",Radiators/Heated Towel Rails/Contemporary Towel Warmers/Contemporary Towel Warmers.csv -> Nabis Karly 1307 1200x500mm btu Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/05/200405_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabis_Bathroom_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis Fitting Instructions.pdf,,,,
1,P200396,Nabis Juliet 1181 1200 x 500 btu Chrome,Nabis,300.72,"Manufactured from tough, high quality steel, the metallic chrome-finished Nabis Juliet contemporary towel warmer combines practicality and style, making it ideal for a modern bathroom. With 15 flat rails and an 1179 BTU/h output, this wall-mounted heated towel rail offers generous drying space in a compact, slimline package.",Radiators/Heated Towel Rails/Contemporary Towel Warmers/Contemporary Towel Warmers.csv -> Nabis Juliet 1181 1200 x 500 btu Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/96/200395_200396_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/03/96/200396.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabis_Bathroom_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis Fitting Instructions.pdf,,,
2,P207092,Center CB MD001-MS electric straight 1800x500 969w White,Center CB,260.26,"Designed to complement a modern bathroom design, the spacious Center CB MD001-MS contemporary towel warmer has a cool square-tubed design with a white powder-coated finish and 4-5-12-13 bar configuration. Installation of this practical wall-mounted 3306 BTU/h heated towel rail is simple and flexible using the adjustable brackets through the crossbars.",Radiators/Heated Towel Rails/Contemporary Towel Warmers/Contemporary Towel Warmers.csv -> Center CB MD001-MS electric straight 1800x500 969w White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/92/207092_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Center_CB_CenterRail_Fitting_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_Part2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_Part1_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/CenterRail_Fitting Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_Part2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CB_207092_1800x500_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_Part1_Installation.pdf
3,P200391,Nabis Lois 925 800x500mm btu Chrome,Nabis,261.69,"Well-designed to suit any modern bathroom, the Nabis Lois contemporary towel warmer has a sleek chrome finish and a square tube design. Offering a 923 BTU/h output, this nine bar wall-mounted heated towel rail  provides plentiful heat and drying space for wet towels.",Radiators/Heated Towel Rails/Contemporary Towel Warmers/Contemporary Towel Warmers.csv -> Nabis Lois 925 800x500mm btu Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/91/200391_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/03/91/200391.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabis_Bathroom_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis Fitting Instructions.pdf,,,
4,P207087,Center CB MD001-MS electric straight 800x500 420w White,Center CB,184.8,"Designed to complement a modern bathroom design, the spacious Center CB MD001-MS contemporary towel warmer has a cool square-tubed design with a white powder-coated finish and 3-5-6 bar configuration. Installation of this practical wall-mounted 1433 BTU/h heated towel rail is simple and flexible using the adjustable brackets through the crossbars.",Radiators/Heated Towel Rails/Contemporary Towel Warmers/Contemporary Towel Warmers.csv -> Center CB MD001-MS electric straight 800x500 420w White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/87/207087_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Center_CB_CenterRail_Fitting_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CB_207087_800x500_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_Part2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_Part1_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/CenterRail_Fitting Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_Part2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_Part1_Installation.pdf
5,P200029,Nabis Orbis 1866 300 x1600mm btu Chrome,Nabis,210.62,"The striking looped design of the Nabis Orbis contemporary towel warmer makes a real design feature of a practical appliance. Measuring 1600 x 300mm, the integrated loops, set out in a 3-4-5 configuration, make the most of available space.",Radiators/Heated Towel Rails/Contemporary Towel Warmers/Contemporary Towel Warmers.csv -> Nabis Orbis 1866 300 x1600mm btu Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/29/NW-200028_200029_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Orbis_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis Fitting Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/00/29/200029.pdf,,,,
6,P207103,Center CB MD002-MS electric curved 800x600 324w Chrome,Center CB,365.1,"A practical yet good-looking addition to a modern bathroom design, this Center CB MD002-MS contemporary chrome towel warmer has a sleek square-tubed 3-5-6 bar design. Brackets positioned through the crossbars make installation of this 1105 BTU/h output heated towel rail easy and flexible, allowing for wall-mounting in the most convenient location.",Radiators/Heated Towel Rails/Contemporary Towel Warmers/Contemporary Towel Warmers.csv -> Center CB MD002-MS electric curved 800x600 324w Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/03/207103_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Center_CB_CenterRail_Fitting_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_Part2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_Part1_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/CenterRail_Fitting Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_Part2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CB_207103_800x600_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_Part1_Installation.pdf
7,P207093,Center CB MD001-MS electric straight 1800x600 1146w White,Center CB,273.26,"Designed to complement a modern bathroom design, the spacious Center CB MD001-MS contemporary towel warmer has a cool square-tubed design with a white powder-coated finish and 4-5-12-13 bar configuration. Installation of this practical wall-mounted 3910 BTU/h heated towel rail is simple and flexible using the adjustable brackets through the crossbars.",Radiators/Heated Towel Rails/Contemporary Towel Warmers/Contemporary Towel Warmers.csv -> Center CB MD001-MS electric straight 1800x600 1146w White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/93/207093_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Center_CB_CenterRail_Fitting_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_Part2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_Part1_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CB_207093_1800x600_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/CenterRail_Fitting Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_Part2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Center_CB_Part1_Installation.pdf
8,P200395,Nabis Juliet 792 828 x 500mm btu Chrome,Nabis,238.72,"Manufactured from tough, high quality steel, the metallic chrome-finished Nabis Juliet contemporary towel warmer combines practicality and style, making it ideal for a modern bathroom. With ten flat rails and a 793 BTU/h output, this wall-mounted heated towel rail offers generous drying space in a compact, slimline package.",Radiators/Heated Towel Rails/Contemporary Towel Warmers/Contemporary Towel Warmers.csv -> Nabis Juliet 792 828 x 500mm btu Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/96/200395_200396_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/03/95/200395.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabis_Bathroom_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis Fitting Instructions.pdf,,,
9,P200411,Nabis Anna 1338 1080 x 500mm btu Chrome,Nabis,337.45,"The sleek, minimalist Nabis Anna contemporary towel warmer with its mirrored chrome finish is the perfect choice for a modern bathroom. Optional left or right mounting of the 1338 BTU/h Anna's six heated rails makes installation flexible, even in homes with limited space.",Radiators/Heated Towel Rails/Contemporary Towel Warmers/Contemporary Towel Warmers.csv -> Nabis Anna 1338 1080 x 500mm btu Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/12/200411_200412_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabis_Bathroom_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis Fitting Instructions.pdf,,,,
