,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Range,Thickness,Hazardous,Waste Supplied,Bowl Type,Tap Orientation,Drainer Type,Bowl Shape,Fitting / Mounting Type,Main Bowl Size,Material,Number of Tap Holes,Second Bowl Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Minimum Base Unit Size (mm),Waste Kit Included,Depth (mm),Main Bowl Size (mm),Attachment 4,Material Type,Warranty,Tap Holes,Feature 8,Feature 9
0,PG62512,Nabis reversible inset sink 1.0 bowl with one tap hole 950 x 508mm Stainless Steel,Nabis,48.25,"A very practical choice for a busy family kitchen, this Nabis inset sink is made of high grade 18/10 stainless steel with seamless soldering and a rigid frame construction, ensuring that it will resist bending and deformation, even when under pressure. This smart sink with bright, glossy finish incorporates a 350mm bowl with reversible drainer and pre-drilled tap hole.",Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Nabis reversible inset sink 1.0 bowl with one tap hole 950 x 508mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/12/NW-G62512_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_SS_Inset_Sink_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Center_CitySinks_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PB79000,Shaws Of Darwen Cleaner cleaners sink 460 x 380 x 205 x 355mm White,Shaws Of Darwen,338.5,"A practical design ideal for heavy commercial use, this Shaws Of Darwen 460 x 380mm low back rectangular cleaner's sink is made of a tough fine fireclay. Constructed using cutting edge kiln technology, this single bowl sink has an antibacterial white glaze finish fired for resistance to stains and acids. This smart cleaner's sink is suitable for floor or wall mounting.",Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Shaws Of Darwen Cleaner cleaners sink 460 x 380 x 205 x 355mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/00/NW-B79000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B79000_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PB79059,"Shaws Of Darwen Cleaner cleaners sink pack birch with lever tap 18""",Shaws Of Darwen,442.4,"A practical all in one installation kit, this Shaws Of Darwen Birch pack includes a 480 x 380mm low back rectangular cleaner's sink made of a tough fine fireclay, ideal for heavy commercial use. Constructed using cutting edge kiln technology, this single bowl sink has an antibacterial white glaze finish fired for resistance to stains and acids. This smart cleaner's sink is suitable for floor or wall mounting and is supplied with legs, a lever tap and all fittings for installation.","Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Shaws Of Darwen Cleaner cleaners sink pack birch with lever tap 18""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/62/NW-B79059_B79062_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Shaws_Of_Darwen_Cleaner_Pack_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PG62528,Nabis reversible inset sink 1.0 bowl with one tap hole 950 x 508mm Stainless Steel,Nabis,73.13,"A very practical choice for a busy family kitchen, this Nabis inset sink is made of high grade 18/10 stainless steel with seamless soldering and a rigid frame construction, ensuring that it will resist bending and deformation, even when under pressure. This smart sink with sleek satin finish incorporates a large 400mm bowl, reversible drainer and a single tap hole for a mixer tap.",Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Nabis reversible inset sink 1.0 bowl with one tap hole 950 x 508mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/28/NW-G62528_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_SS_Inset_Sink_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PB79060,"Shaws Of Darwen Cleaner cleaners sink pack birch with cross head tap 18""",Shaws Of Darwen,442.4,"A practical all in one installation kit, this Shaws Of Darwen Birch pack includes a 480 x 380mm low back rectangular cleaner's sink made of a tough fine fireclay, ideal for heavy commercial use. Constructed using cutting edge kiln technology, this single bowl sink has an antibacterial white glaze finish fired for resistance to stains and acids. This smart cleaner's sink is suitable for floor or wall mounting and is supplied with legs, a crosshead tap and all fittings for installation.","Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Shaws Of Darwen Cleaner cleaners sink pack birch with cross head tap 18""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/62/NW-B79059_B79062_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Shaws_Of_Darwen_Cleaner_Pack_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PG74669,Aga Rangemaster Andesite Igneous 1.5 bowl sink 1000 x 500mm Ash,Aga Rangemaster,220.41,"Combining practicality with style, the AGA Rangemaster Andesite inset sink is made of tough igneous granite with a statement Ash Black finish. Incorporating a large 345 x 430 x 200mm sink bowl and useful half sink, both with smart geometric design and low profile corners, the Andesite provides plenty of space for all of your kitchen tasks. This sink is finished with a simple, stylish reversible drainer and pre-drilled tap hole.",Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Aga Rangemaster Andesite Igneous 1.5 bowl sink 1000 x 500mm Ash,,Inset sink;Waste kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/69/NW-G74669_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Rangemaster_Andesite_Scoria_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/G74669_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PG70664,Carron Phoenix Antea 1.5 bowl sink reversible Stainless Steel,Carron Phoenix,142.98,"A smart finishing touch for any kitchen, this Carron Phoenix Antea AZN651 reversible rectangular inset kitchen sink is designed to sit in a pre-prepared hole in a kitchen worktop for a sleek, seamless look. Made of a robust stainless steel with a polished finish, the Antea has a 340 x 420 x 150mm main sink bowl along with a practical side bowl for rinsing and draining plus a single tap hole ready for the mixer of your choice.",Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Carron Phoenix Antea 1.5 bowl sink reversible Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/64/NW-G70664_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/G70664_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PB79062,"Shaws Of Darwen Cleaner cleaners sink pack alder with cross head tap 21""",Shaws Of Darwen,509.17,"A practical all in one installation kit, this Shaws Of Darwen Alder pack includes a 510 x 380mm low back rectangular cleaner's sink made of a tough fine fireclay, ideal for heavy commercial use. Constructed using cutting edge kiln technology, this single bowl sink has an antibacterial white glaze finish fired for resistance to stains and acids. This smart cleaner's sink is suitable for floor or wall mounting and is supplied with legs, a crosshead tap and all fittings for installation.","Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Shaws Of Darwen Cleaner cleaners sink pack alder with cross head tap 21""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/62/NW-B79059_B79062_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Shaws_Of_Darwen_Cleaner_Pack_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PF41149,"McAlpine BSW6CP2H belfast sink waste 1.1/2"" x 85mm",McAlpine,10.17,"Made of polypropylene, this McAlpine sink waste for a Belfast sink includes a chrome-plated handle plug and 1 1/2"" centre pin x 85mm stainless steel flange. The centre pin dry fixing connection makes installation fast and simple with a neat finish.","Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> McAlpine BSW6CP2H belfast sink waste 1.1/2"" x 85mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/49/NW-F41149_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F41149_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PG66852,Leisure Sinks Euroline side drainer 1.0 bowl 860 x 435mm Stainless Steel,Leisure Sinks,131.41,"Designed for heavy duty kitchen use, this Leisure Sinks Euroline rectangular inset sink is built from tough 18/10 polished stainless steel with seamless soldering and a rigid frame. Resistant to bending and flexing, even when placed under pressure, this tough reversible sink incorporates a 351 x 376 x 140mm single bowl and handy side drainer.",Bathrooms and Kitchens/Kitchen/Kitchen Sinks/Kitchen Sinks.csv -> Leisure Sinks Euroline side drainer 1.0 bowl 860 x 435mm Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/52/NW-G66852_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/12/Leisure_Sinks_Sink-Tap_Brochure_2012.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Leisure_Sinks_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/la/te/Leisure_Sinks_Aqualine_Sink_Template.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
