,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Warranty,Design Type,Material,Shape,Fittings Included
0,PB01092,Nabis Pride WC pack,Nabis,121.65,"This handy Nabis Pride bathroom pack includes the Nabis Pride close-coupled washdown toilet pan with horizontal outlet and open flushing rim and a 6/3L dual flush cistern. Modern and streamlined, the Pride range has a simple contemporary design that will suit the majority of bathrooms.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Nabis Pride WC pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/2_/pk/B01092 PK_wm.jpg,White,Pride,N,B01092 PK,WC Pack,N,Toilet seat with antibacterial coating,6/3L dual flush,Retaining buffer,Top fix seat,White vitreous china,To comply with UK Water Regulation 4 (1) (a) and the Interim Agreement regarding the prevention of backflow this product should be installed with a double check valve,Lifetime warranty,,,,,,,,,,
1,PB61710,Nabis Lamone Closed coupled WC pack,Nabis,99.0,"An easy way to furnish a bathroom, this Nabis Lamone bathroom pack includes a close-coupled toilet with horizontal outlet, a water-saving push button cistern and a premium Lamone soft close seat and cover.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Nabis Lamone Closed coupled WC pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/10/NW-B61710_wm.jpg,White,Lamone,N,B61710 PK,WC Pack,N,White vitreous china,Soft close seat,Includes toilet fixings,10 year warranty on ceramics,5 year warranty on cistern fittings and toilet seats,,,,,,,,,,,,
2,PD44938,Roca The Gap cleanrim pan White,Roca,168.88,"Designed by Antonio Bullo, Roca's The Gap back to wall, close coupled square toilet pan with dual outlet delivers on style and functionality. This compact design makes the most of a modern bathroom space, bringing a touch of designer style to even the smallest room.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Roca The Gap cleanrim pan White,,WC pan;Fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/38/NW-D44938_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A34273700H_Technical.pdf,,,,,,,,,
3,PC24479,Ideal Standard Concept close coupled toilet pan with AquaBlade technology White,Ideal Standard,201.46,"The Ideal Standard Concept close coupled toilet pan has a contemporary curved design and features the brand's cutting-edge water-saving flush technology for higher performance, improved hygiene and easier cleaning.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Ideal Standard Concept close coupled toilet pan with AquaBlade technology White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/79/NW-C24479_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_E822901_Technical.pdf,,,,,,,,,
4,PD45110,Roca The Gap rimless toilet pan no cutout for isolation valve,Roca,168.88,"Designed by Antonio Bullo, Roca's The Gap rimless back to wall, close coupled square toilet pan with dual outlet delivers on style and functionality. This compact design makes the most of a modern bathroom space, bringing a touch of designer style to even the smallest room.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Roca The Gap rimless toilet pan no cutout for isolation valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/10/NW-D45110_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A342737000_Technical.pdf,,,,,,,,,
5,PP07585,Geberit Selnova close coupled WC semi shrouded horizontal outlet,Geberit,150.23,"A classic design, the Geberit Selnova floor standing WC pan is a simple, understated toilet that will suit any bathroom. With its high-quality build and versatility, this round WC pan is made of robust vitreous china with a white finish.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Geberit Selnova close coupled WC semi shrouded horizontal outlet,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/85/NW-P07585_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_501042006_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Select_Series_Brochure.pdf,,,,,,,,
6,PJ23417,Ideal Standard Sandringham 21 close coupled raised pan only horizontal outlet White,Ideal Standard,166.22,"This Ideal Standard Sandringham 21 raised height close coupled curved toilet pan is part of a comprehensive and popular range of sanitaryware, bathing and brassware options. This water-saving toilet is suitable for domestic or public use and has an overall 75cm projection for Doc M compliance.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Ideal Standard Sandringham 21 close coupled raised pan only horizontal outlet White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/17/NW-J23417_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E883401_WC_Pan_Tech.pdf,,,,,,,,,
7,PB61021,Center CB Centersuite close coupled pan White,Center CB,72.05,"The close coupled Center CB Centersuite toilet pan is a cost-effective choice for a contemporary bathroom. Designed to fit Centersuite toilets, this pain has a curved, modern design.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Center CB Centersuite close coupled pan White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/21/NW-B61021_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/B61021_B61022_Pushbutton_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/B61021_B61022_Fitting_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/B61021_B61022_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/B61021_Dimensions.pdf,,,,,
8,PB61670,Nabis Arno square close cloupled pan,Nabis,182.2,"A compact design ideal for smaller sized bathrooms, the Nabis Arno close coupled pan has a stylish, modern square shape and shorter projection. Easy to clean and maintain, the Arno is finished in a high gloss white glaze.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Nabis Arno square close cloupled pan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/70/NW-B61670_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Nabis_PhaseII_Ceramic_Info_30Aug2018.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ix/Toilet Seats & Pans Matrix.pdf,,,,,,,,
9,PD02383,Ideal Standard Sandringham 21 close coupled toilet pan with horizontal outlet White,Ideal Standard,72.41,"This Ideal Standard Sandringham 21 close coupled curved toilet pan is part of a comprehensive and popular range of sanitaryware, bathing and brassware options. This water-saving toilet is suitable for domestic or public use.",Bathrooms and Kitchens/Toilets/Close Coupled Toilets/Close Coupled Toilets.csv -> Ideal Standard Sandringham 21 close coupled toilet pan with horizontal outlet White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/83/NW-D02383_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E896301_WC_Pan_Tech.pdf,,,,,,,,,
