,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Anti Slip,Colour,Range,Hazardous,Grips/Handles,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Pack Quantity,Flush Type,Style,Warranty,Weight,Depth (mm),Material,Mounting Type,Application,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
0,PD06419,Saracen WhiffAway Waterless Urinals waterless powerballs (Pack of 50),Saracen,115.0,Saracen Waterless Urinal Power-Balls.  Tub of 50 Power-Balls.  Replacement Instructions provided.  Helpline provided for technical support.,Commercial Plumbing/Urinals/Urinals.csv -> Saracen WhiffAway Waterless Urinals waterless powerballs (Pack of 50),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/19/NW-D06419_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ba/ll/Saracen_ChangingthePowerBall.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Whiffaway_PowerBall_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/ss/Saracen_D06416-D06419_ConvrsnProcess.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_D06416-D06419_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PG73253,Pland Fife SAN6157 urinal with exposed sparge right hand waste 1800mm,Pland,596.44,"This Pland Fife trough urinal pack is supplied with plastic cistern and stainless steel sparge flushing pipe. The sparge is located below an integral valance and 2"" domed plastic urinal waste.",Commercial Plumbing/Urinals/Urinals.csv -> Pland Fife SAN6157 urinal with exposed sparge right hand waste 1800mm,,Trough urinal;Plastic cistern;Stainless steel sparge flushing pipe,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/56/NW-G73251_G73256_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pland_File_1511197291_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PD61262,Bristan Opac TS3650 lever exp shower valve,Bristan,462.76,"Suitable for all plumbing systems, this Bristan Opac TS3650 exposed shower valve with lever handle is made of brass with a chrome-plated finish. It is a single sequential control operating both temperature and flow.",Commercial Plumbing/Urinals/Urinals.csv -> Bristan Opac TS3650 lever exp shower valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/62/NW-D61262_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D61262_Spare_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_TMV2_Service_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D61262_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PB77700,Ideal Standard Contour urinal bowl 675mm White,Ideal Standard,462.84,"Classically designed, the Ideal Standard Contour urinal bowl is easy to clean and vandal-resistant to minimise maintenance. Ensuring reduced water waste compared to toilets, these urinals aren't just space-saving in a public toilet, they're eco-efficient too.",Commercial Plumbing/Urinals/Urinals.csv -> Ideal Standard Contour urinal bowl 675mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/00/NW-B77700_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Armitage_Shanks_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Contour_Urinals_B_Inlet_40_1_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PD06417,Saracen WhiffAway Waterless Urinals waterless powerballs (Pack of 3),Saracen,34.33,Saracen Waterless Urinal Maintenance Pack.  Quarterly (3 month) maintenance pack with all components required to maintain your Saracen Waterless Urinals.  Helpline provided for technical support.,Commercial Plumbing/Urinals/Urinals.csv -> Saracen WhiffAway Waterless Urinals waterless powerballs (Pack of 3),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/17/NW-D06417_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ba/ll/Saracen_ChangingthePowerBall.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Whiffaway_PowerBall_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/D06417_Saracen_Maintenance.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/ss/Saracen_D06416-D06419_ConvrsnProcess.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_D06416-D06419_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PB78991,Armitage Shanks Sanura back inlet spreader Chrome Plated,Armitage Shanks,43.85,This Ideal Standard Sanura back inlet spreader for bowl urinals is made from robust metal with a chrome finish.,Commercial Plumbing/Urinals/Urinals.csv -> Armitage Shanks Sanura back inlet spreader Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/91/NW-B78991_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Sanura_S6286AA_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PJ23323,Ideal Standard Jasper Morrison plastic urinal syphon bottle trap,Ideal Standard,20.29,This Ideal Standard Jasper Morrison seal plastic siphon and 75mm bottle trap is suitable for installation with any urinal.,Commercial Plumbing/Urinals/Urinals.csv -> Ideal Standard Jasper Morrison plastic urinal syphon bottle trap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/23/NW-J23323_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_JasperMorrisonE622767_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PB30150,Twyford Spectrum concealed urinal bowl White,Twyford,161.27,"The Twyford Spectrum standard flushing urinal is designed for panel faced ducts and uses a fully concealed cistern and flush pipes. Vandal-resistant, this urinal is an ideal choice for busy public toilets.",Commercial Plumbing/Urinals/Urinals.csv -> Twyford Spectrum concealed urinal bowl White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/50/NW-B30150_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_Spectrum_Urinal_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Twyford_Specification_Manual_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Twyford_Urinals_E_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/B30150_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PB77000,Ideal Standard Sanura urinal bowl 405mm White,Ideal Standard,152.6,"This Ideal Standard Sanura cistern flush urinal bowl is designed for concealed plumbing. Available in two sizes, the Sanura is ideal for combined junior and adult installations.",Commercial Plumbing/Urinals/Urinals.csv -> Ideal Standard Sanura urinal bowl 405mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/00/NW-B77000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Commercial_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ec/hn/Armitage_Shanks_Sanura_39_1_Techn.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PD01099,Balmorals Warwick exposed spreader,Balmorals,25.93,"Fitting most top inlet urinal bowls with inlets for 15mm feed pipe connections, this Balmorals Warwick exposed spreader comes with hardwearing rubber and brass washers and a securing nut.",Commercial Plumbing/Urinals/Urinals.csv -> Balmorals Warwick exposed spreader,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/99/NW-D01099_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D01099_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
