,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Connection Size,Connection Type,Diameter,Range,Warranty,Hazardous,Dimensions (L x W x D),Drainage Product Type,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Colour,Weight,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Standards,Application,Feature 5,Feature 6,Feature 7
0,PF14044,Center CB CHY1:B 112.5deg branch 68mm Black,Center CB,26.42,"Center CB tee is made of PVC-U. The Center rainwater range allows efficiently channel roof water to the drain across a variety of building types and sizes. Available in either a black rounded profile or a white square profile, this range is designed and engineered to last, withstanding changes in temperature and weather without the joints weakening or separating.",Drainage/Rainwater Downpipes & Fittings/Rainwater Downpipes & Fittings.csv -> Center CB CHY1:B 112.5deg branch 68mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/44/NW-F14044_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF67252,Polypipe 68mm Round Rainwater Downpipe in Black (5.5m),Polypipe,82.46,"Made of black PVCu, this Polypipe 68mm round downpipe, supplied in a 5.5M length, is suitable for use in domestic applications.",Drainage/Rainwater Downpipes & Fittings/Rainwater Downpipes & Fittings.csv -> Polypipe 68mm Round Rainwater Downpipe in Black (5.5m),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/52/NW-F67252_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PQ64827,"Wavin Osma RoundLine pipe 2.1/2"" x 5.5mtr Black",Wavin,59.17,"Ideal for domestic use, this Wavin Osma RoundLine 68mm pipe, supplied in a 5.5M length, is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Downpipes & Fittings/Rainwater Downpipes & Fittings.csv -> Wavin Osma RoundLine pipe 2.1/2"" x 5.5mtr Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/27/NW-Q64825_Q64827_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PF67254,Polypipe rain water downpipe bracket 68mm Black,Polypipe,5.61,"Made of black PVC-U, this Polypipe bracket with 68mm connections is suitable for use in domestic applications. Polypipe's Rainwater systems range offers versatile, well-designed fittings for both residential and light commercial applications.",Drainage/Rainwater Downpipes & Fittings/Rainwater Downpipes & Fittings.csv -> Polypipe rain water downpipe bracket 68mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/54/NW-F67254_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PF67255,Polypipe RR127:B 112.5deg offset bend 68mm Black,Polypipe,12.29,"Made of black PVC-U, this Polypipe offset bend with 68mm solvent weld connections is suitable for use in domestic applications. Polypipe's Rainwater systems range offers versatile, well-designed fittings for both residential and light commercial applications.",Drainage/Rainwater Downpipes & Fittings/Rainwater Downpipes & Fittings.csv -> Polypipe RR127:B 112.5deg offset bend 68mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/55/NW-F67255_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PQ64818,"Wavin Osma RoundLine pipe bracket 2.1/2"" Black",Wavin,4.97,"Ideal for domestic use, this Wavin Osma RoundLine 68mm pipe bracket with single screw lock facility is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Downpipes & Fittings/Rainwater Downpipes & Fittings.csv -> Wavin Osma RoundLine pipe bracket 2.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/18/NW-Q64818_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PF67253,Polypipe 68mm Round Rainwater Downpipe Connector in Black,Polypipe,8.78,"Made of black PVCu, this connector works with the Polypipe 68mm round downpipe and is suitable for use in domestic applications.",Drainage/Rainwater Downpipes & Fittings/Rainwater Downpipes & Fittings.csv -> Polypipe 68mm Round Rainwater Downpipe Connector in Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/53/NW-F67253_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Polypipe_Building_Prod_Guide_May2015.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PF14104,Center CB 112.5deg square branch 65mm White,Center CB,38.94,"Center CB square tee is made of PVC-U. The Center rainwater range allows efficiently channel roof water to the drain across a variety of building types and sizes. Available in either a black rounded profile or a white square profile, this range is designed and engineered to last, withstanding changes in temperature and weather without the joints weakening or separating.",Drainage/Rainwater Downpipes & Fittings/Rainwater Downpipes & Fittings.csv -> Center CB 112.5deg square branch 65mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/04/NW-F14104_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PQ64462,"Wavin Osma RoundLine offset bend 2.1/2"" Black",Wavin,7.61,"Ideal for domestic use, this Wavin Osma RoundLine 68mm offset bend is made of black PVC-U with a classic half-round profile.","Drainage/Rainwater Downpipes & Fittings/Rainwater Downpipes & Fittings.csv -> Wavin Osma RoundLine offset bend 2.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/62/NW-Q64462_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Wavin_Osma_RoundLine_Drainage_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Rainwater_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PF14092,Center CB square downpipe 65mm x 3mtr White,Center CB,34.45,"Center CB square downpipe is made of PVC-U. The Center rainwater range allows efficiently channel roof water to the drain across a variety of building types and sizes. Available in either a black rounded profile or a white square profile, this range is designed and engineered to last, withstanding changes in temperature and weather without the joints weakening or separating.",Drainage/Rainwater Downpipes & Fittings/Rainwater Downpipes & Fittings.csv -> Center CB square downpipe 65mm x 3mtr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/92/NW-F14092_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
