,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Attachment 2,Attachment 3,Range,Boiler Section,Boiler Range,Feature 4,Feature 5,Feature 6,Feature 7,Connection,Thread Standard,Max Set Pressure,Connection Gender,Material,Thread Size,Maximum Operating Temperature,Connection Size,Application,Attachment 4,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 5,Attachment 6,Attachment 7,Pack Quantity
0,P310820,Honeywell Home V4043H 1056 V4043H 1056 22Mm Zone Vlv 240V,Honeywell Home,80.99,"This V4043H motorised two port zone valve with 22mm compression connections is suitable for a variety of flow control applications in domestic and light commercial central heating systems. Positioned where it cannot block any vent or cold feed when closed, this valve can be plumbed at any angle but the powerhead should not be below the horizontal level of the pipework. If fitted in a confined space, ventilation must be available to keep the valve within its ambient temperature range and access should be available for removing the powerhead if required",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Honeywell Home V4043H 1056 V4043H 1056 22Mm Zone Vlv 240V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/20/310820_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P310824,Honeywell Home V4073A V4073A1039 V4073A 1039 22Mm Mid Pos Valve,Honeywell Home,106.75,"This V4073A motorised diverter valve with 22mm compression connections controls the flow of water in domestic central heating systems, where both radiator and hot water cylinder circuits are pumped. Suitable for small-to-medium sized installations, this mid-position diverter valve should be used in conjunction with a room thermostat and cylinder thermostat for full temperature control of a conventional, fully pumped central heating installation. This type of control system is known as Sundial Y Plan and components can be connected using the Sundial Plan Wiring Centre, including dedicated terminations with no need for a wiring diagram.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Honeywell Home V4073A V4073A1039 V4073A 1039 22Mm Mid Pos Valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/24/310824_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P353111,Eph Controls CP4 Cp4 Room Thermostat Rf Programable,Eph Controls,86.66,"Digital Rf Programmable Room Thermostat And Receiver Suitable For Controlling 1 Heating Zone. It Features Opentherm®, Optimum Start, Tpi And On/Off Control Modes. Boiler Plus Compliant.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Eph Controls CP4 Cp4 Room Thermostat Rf Programable,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/11/353111_wm.jpg,,N,CP4,Room Thermostat,N,Wireless,Opentherm,NTC10K Sensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P340080,Center CB 3 port motorised valve 22mm,Center CB,55.25,Center motorised valve controls the flow of water in a domestic central heating system.,Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Center CB 3 port motorised valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/80/NW-340080_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_340080_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P310819,Honeywell Home V4043H V4043H1106 V4043H 1106 28Mm Zone Vlv 240V,Honeywell Home,99.26,"This V4043H motorised two port zone valve with 28mm compression connections is suitable for a variety of flow control applications in domestic and light commercial central heating systems. Positioned where it cannot block any vent or cold feed when closed, this valve can be plumbed at any angle but the powerhead should not be below the horizontal level of the pipework. If fitted in a confined space, ventilation must be available to keep the valve within its ambient temperature range and access should be available for removing the powerhead if required",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Honeywell Home V4043H V4043H1106 V4043H 1106 28Mm Zone Vlv 240V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/19/310819_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P340075,Center CB 340075 2 port motorised valve 22mm,Center CB,51.0,Center motorised valve controls the flow of water in a domestic central heating system.,Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Center CB 340075 2 port motorised valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/75/NW-340075_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_340075_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P340090,Center CB 340090 angled auto bypass valve 22mm,Center CB,19.0,"Designed to help meet Building Regs, this Center CB automatic bypass valve controls the flow of water through a bypass circuit installed between flow and return pipework, usually at or near the boiler.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Center CB 340090 angled auto bypass valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/90/NW-340090_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_340090_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P302101,Drayton MA1/679 Ma1/679 22mm Mid-Pos Valve,Drayton,64.26,"Making servicing simple, this Drayton 22mm motorised valve incorporates a snap-on actuator, which can be removed from the body by simply pressing the release button on the side. This system allows easy access for replacement of the motor or complete actuator replacement.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Drayton MA1/679 Ma1/679 22mm Mid-Pos Valve,,Motorised valve;Actuator,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/01/NW-302101_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_MotorisedValves_Installation.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_MotorisedValves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P302103,Drayton ZA5/679 Za5/679 22mm 2-Port Mot-Valve,Drayton,42.18,"Making servicing simple, this Drayton 22mm motorised zone valve incorporates a snap-on actuator, which can be removed from the body by simply pressing the release button on the side. This system allows easy access for replacement of the motor or complete actuator replacement.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Drayton ZA5/679 Za5/679 22mm 2-Port Mot-Valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/03/NW-302103_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Drayton_MotorisedValves_Installation.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_MotorisedValves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P311200,Honeywell Home DU144 DU144A1001 @ hw home du144 auto bypass 22mm straigh,Honeywell Home,43.99,"Helping a property to meet Building Regs, this DU144 automatic bypass valve controls the flow of water through a bypass circuit installed between flow and return pipework, usually at or near the boiler. Allowing flow through the bypass only as needed, when flow through the system is reduced and when zone valves or radiator thermostats are closing, this valve minimises energy use.",Heating/Central Heating Controls/Central Heating Valves/Central Heating Valves.csv -> Honeywell Home DU144 DU144A1001 @ hw home du144 auto bypass 22mm straigh,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/00/NW-311200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
