,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Connection Size,Connection Type,Range,Thickness,Refrigerant Suitability,Hazardous,Material,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Diameter,Pack Quantity,Size,Connection Type 1,Feature 3,Feature 4,Gender,Connection Type 2,Attachment 2,Attachment 3,Feature 5,Feature 6,Dimensions (L x W x D),Refrigerant,Max Pressure,Sight Glass,Number of Valves,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12
0,P600803,Javac Hose gaskets gasket for hose set Rubber (Pack of 10),Javac,4.48,"Suitable for connection 1/4"" hose for refrigerant charging use, this Javac gasket is made of black rubber.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac Hose gaskets gasket for hose set Rubber (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/03/NW-600803_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P600801,"JET Range Refrigerant hose set (R410A) 5/16 x 1/4""",JET Range,120.56,"A JET Range three piece pressure hose with ball valve set and 5/16 x 1/4"" connections, colour coded for ease of use.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> JET Range Refrigerant hose set (R410A) 5/16 x 1/4""",,HoseBall valve set,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/01/NW-600801_wm.jpg,,Blue / Red / Yellow,1/4 x 5/16,1/4 / 5/16 SAE female,Refrigerant,1/4 x 5/16 in,R410a,N,"Brass, rubber",4678024,Hose Set,N,Refrigerant charging,3 piece set,60 bar maximum allowable working pressure,,,,,,,,,,,,,,,,,,,,,,,
2,P671190,Refcomm 640QSF-4 access valve cap (Pack of 10),Refcomm,1.53,"Made of brass, this Parker valve cap is designed for use with refrigeration access valves and can also be used in pressure testing, purging and charging refrigeration lines applications.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm 640QSF-4 access valve cap (Pack of 10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/90/NW-671190_wm.jpg,,,,,,,,N,Brass,40572,Cap Nut,N,,Pack of 10,Brass construction,1/4,pack of 10,14,Flare,Low cost design,For use on either high or low side,,,,,,,,,,,,,,,,,
3,P624139,"Refcomm LGL 7090 cylinder adaptor (BSP) 1/4 x 5/8""",Refcomm,16.55,"This Refcom LGL 1/4 x 5/8"" cylinder adapter is made of brass with male flare to female flare BSP connections and fibre gasket.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL 7090 cylinder adaptor (BSP) 1/4 x 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/39/NW-624139_wm.jpg,,,,,LGL,,,N,Brass,7090,Cylinder Adaptor,N,,Gas Bottle Adaptor,Made of Brass,1/4 x 5/8,,1/4 x 5/8,Flare x Flare BSP,"Size:1/4"" Male Flare to 5/8"" BSP Female",,Male x Female,Flare BSP,,,,,,,,,,,,,,,
4,P605710,"Aspen Pumps Xtra braided PVC hose 1/4"" x 30mtr Clear",Aspen Pumps,34.88,This 6mm Aspen Pumps Xtra reinforced braided tube is made of black vinyl with a transparent fabric insert.,"Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Aspen Pumps Xtra braided PVC hose 1/4"" x 30mtr Clear",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/10/NW-605710_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/AP_Xtra_Vinyl_Tubing_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/uk/AP_Xtra_BigFoot_Catalogue_UK.pdf,,,,,,,,,,,,,,
5,P688510,"Javac Refco heavy duty hose 72 x 3/8"" Yellow",Javac,35.22,"A Javac Refco HCL6-72-Y 72"" heavy-duty vacuum hose in yellow colour.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac Refco heavy duty hose 72 x 3/8"" Yellow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/10/NW-688510_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P688604,Javac Digital Thermometers RT-905 digital thermometer -55/+150c,Javac,48.12,"Offering a broad measuring range in both Celsius and Fahrenheit, this Javac RT-905 digital thermometer incorporates temperature memory and a date hold function for practical reliability. In addition, this useful thermometer with stainless steel probe offers a high/low temperature alarm setting and audible operation confirmation. A handy foldaway stand is included for ease of use.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac Digital Thermometers RT-905 digital thermometer -55/+150c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/04/NW-688604_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Javac_RT-905_Instruction_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,
7,P419956,Testo 550s smart set with cable temperature probes + set of 3 x hoses,Testo,727.81,"Suitable for use in the commissioning, servicing and maintainance of refrigeration and air conditioning systems, this all-in-one Testo 550s digital manifold kit is built around the the Bluetooth-ready Testo 550s smart digital manifold. Supplied with a two-way valve block, Bluetooth and NTC Testo 115i wireless clamp thermometers and three filling hoses, this kit provides easy to understand results on a simple, large-size graphical display.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Testo 550s smart set with cable temperature probes + set of 3 x hoses,,"testo 550s digital 2-way manifold including batteries (4 x AA) ;calibration protocol, 2 x testo 115i wireless Bluetooth clamp thermometers, Hose set with 3 hoses, Transport case",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/56/NW-419956_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Testo_550s_UK_DoC.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Testo_550s-557s_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Testo_550s_Digital_Manifold_Tech.pdf,,,,,,,,,,,,,
8,P671348,"Parker 42F 42F-10 male flanged union double 5/8 x 5/8"" (Pack of 5)",Parker,13.11,"Made of brass, this Parker 42F 5/8 x 5/8"" union with 7/8-14 thread size is an economical choice for a metal-to-metal seal in high pressure service. It is resistant to mechanical pull out and offers positive connections to ensure reliability and safety. Flare fittings are a suitable alternative to solder joints where an open flame shouldn't be used.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Parker 42F 42F-10 male flanged union double 5/8 x 5/8"" (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/49/NW-671345_671349_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P671052,"Refcomm LGL NS4-10 short flared nut 5/8""",Refcomm,6.62,"This Refcom LGL 5/8"" short flare nut is made of brass","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL NS4-10 short flared nut 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/54/NW-671050_671054_wm.jpg,,,,,LGL,,,N,Brass,NS4-10,Short Flared Nut,N,,Made of Brass,"Sizes in 5/8""",5/8,,5/8,Flare,,,,,,,,,,,,,,,,,,,
10,P688501,"Javac Refco heavy duty  hose comes with ball valve 72"" Yellow",Javac,41.35,"This Javac Refco CA-CL-72-Y 72"" length single hose with ball valve is supplied in yellow colour.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac Refco heavy duty  hose comes with ball valve 72"" Yellow",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/01/NW-688501_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P671050,"Refcomm LGL NS4-6 short flared nut 3/8""",Refcomm,3.25,"This Refcom LGL 3/8"" short flare nut is made of brass","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL NS4-6 short flared nut 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/54/NW-671050_671054_wm.jpg,,,,,LGL,,,N,Brass,NS4-6,Short Flared Nut,N,,Made of Brass,"Sizes in 3/8""",3/8,,3/8,Flare,,,,,,,,,,,,,,,,,,,
12,P671347,"Parker 42F 42F-8 male flanged union double 1/2 x 1/2"" (Pack of 10)",Parker,8.54,"Made of brass, this Parker 42F 1/2 x 1/2"" union with 5/8-18 thread size is an economical choice for a metal-to-metal seal in high pressure service. It is resistant to mechanical pull out and offers positive connections to ensure reliability and safety. Flare fittings are a suitable alternative to solder joints where an open flame shouldn't be used.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Parker 42F 42F-8 male flanged union double 1/2 x 1/2"" (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/49/NW-671345_671349_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P671346,"Parker 42F 42F-6 male flanged union double 3/8 x 3/8"" (Pack of 10)",Parker,6.49,"Made of brass, this Parker 42F 3/8 x 3/8"" union with 5/8-18 thread size is an economical choice for a metal-to-metal seal in high pressure service. It is resistant to mechanical pull out and offers positive connections to ensure reliability and safety. Flare fittings are a suitable alternative to solder joints where an open flame shouldn't be used.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Parker 42F 42F-6 male flanged union double 3/8 x 3/8"" (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/49/NW-671345_671349_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,P418041,Rothenberger u-gauge neoprene hose 2 metres,Rothenberger,4.65,A Rothenberger 2M neoprene hose.,Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Rothenberger u-gauge neoprene hose 2 metres,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/41/NW-418041_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,P671345,"Parker 42F 42F-4 male flanged union double 1/4 x 1/4"" (Pack of 10)",Parker,3.32,"Made of brass, this Parker 42F 1/4 x 1/4"" union with 7/16-20 thread size is an economical choice for a metal-to-metal seal in high pressure service. It is resistant to mechanical pull out and offers positive connections to ensure reliability and safety. Flare fittings are a suitable alternative to solder joints where an open flame shouldn't be used.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Parker 42F 42F-4 male flanged union double 1/4 x 1/4"" (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/49/NW-671345_671349_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,P688765,Javac TORR gauge,Javac,342.88,This Class 2 accuracy Javac absolute Torr vacuum gauge offers an operating pressure of up to 50 bar (40 Torr) and measures in both Torr and mbar.,Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac TORR gauge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/65/NW-688765_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_Torr-Gauge_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,
17,P671048,"Refcomm LGL NS4-4 short flared nut 1/4""",Refcomm,2.39,"This Refcom LGL 1/4"" short flare nut is made of brass","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL NS4-4 short flared nut 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/48/NW-671048_wm.jpg,,,,,LGL,,,N,Brass,NS4-4,Short Flared Nut,N,,Made of Brass,"Sizes in 1/4""",1/4,,14,Flare,,,,,,,,,,,,,,,,,,,
18,P671230,"Parker 640F 640F-5 flanged cap nut 5/16""",Parker,4.97,"Made of brass, this Parker 640F 5/16"" cap nut is for use with the 2GF flare gasket. Suitable for use in refrigerant lines, propane lines, fuels, natural gas, oil burners and adapters, this flare fitting is an economical choice for a metal-to-metal seal in high pressure service. 2GF fittings are resistant to mechanical pull out and their positive connections ensures reliability and safety. Available in forgings for refrigeration use, flare fittings are an alternative to solder joints where an open flame shouldn't be used.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Parker 640F 640F-5 flanged cap nut 5/16""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/33/NW-671230_671233_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
