,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Flow Rate,Warranty,Hazardous,Depth (mm),Enclosure Class,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Connection,Connection Size,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Application,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 2,Attachment 3,Weight,Phase,Output,Litres,Capacity Litre,Range,Feature 6,Voltage (V),Frequency,Pressure Rating
0,P472050,Grant 20030953 Pump Rdb Bio(To B10 Mix),Grant,99.18,This Grant Oil pump works with one pipe or two pipe oil feed systems.,Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grant 20030953 Pump Rdb Bio(To B10 Mix),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/50/NW-472050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Grant_VortexEco_UtilitySystem_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P472047,Grant pump R40 bio to B10 mix,Grant,97.07,"This Grant pump is compatible with gas oil, kerosene and 20% blend biofuels.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grant pump R40 bio to B10 mix,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/47/NW-472047_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grant_Vortex_Blue_Int_Combi_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P796856,Baxi UPM3-6 pump kit UPM3-6,Baxi,412.74,"This Baxi UPM3-6 pump kit can be used in For Platinum 24 Combi ERP, Platinum 28 Combi ERP, Platinum 33 Combi ERP, Combi 224 and Combi 228 boilers",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Baxi UPM3-6 pump kit UPM3-6,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/56/796856_wm.jpg,,N/A,12 Months,N,170,N/A,N/A,7713520,Pump Kit,N,"For Platinum 24 Combi ERP, Platinum 28 Combi ERP, Platinum 33 Combi ERP, Combi 224, Combi 228 boilers",,,,,,,,,,,,,,,,,,,,,,,
3,PD53825,Impey Whale 755.210 transformer for SWP+SWP/WM,Impey,228.02,"Double-insulated and thermally protected, this Impey Whale 92W transformer is offers compatibility with SWP and SWP/WM.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Impey Whale 755.210 transformer for SWP+SWP/WM,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/25/NW-D53825_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Whale_Flow_Connect_Kit_V4_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P610056,Fernox antifreeze valve 28mm,Fernox,132.48,"Offering high levels of performance, the Fernox TF1 28mm antifreeze valve protects glycol-free water-based air and ground source heating systems from the damage that can be caused in freezing temperatures. This protection reduces costly and inconvenient downtime while components are repaired or replaced. Easy to install, TF1 is capable of detecting the point at which liquid inside a system is liaible to freezing. When this occurs it simply opens to release system water, keeping ice from forming.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Fernox antifreeze valve 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/56/610056_wm.jpg,,,,N,,,,62664,Safety Valve,N,Protects water-based heat pump systems,Compression,28 mm,N/A,Brass,28mm,75,Heat Pumps,Robust brass construction,High performance KV values,Automatic operation when circuit temperature tips below 3°C,Supplied with both male and female BSP connections for ease of installation,,,,,,,,,,,,
5,P193158,Hotun XLSF HXLSF22-32 XLSF dry trap tundish 22x32mm White,Hotun,31.01,"The Hotun HXLSF22-32 dry trap tundish is designed to supply safe discharge from a relief valve and to keep waste pipe odours from entering a building. Built for full compliance with water and building regulations, the SF range connects relief valve discharge to a foul waste or soil pipe, with one-way flow of water along with regulation required back-flow contamination and back-siphonage protection. This prevents cross-contamination of wholesome water. This dry trap tundish is approved for use as an air break to drain in commercial and domestic systems.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Hotun XLSF HXLSF22-32 XLSF dry trap tundish 22x32mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/58/NW-193158_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hotun_SF_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Hotun_SF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hotun_SF_Installation.pdf,,,,,,,,,,
6,P622593,Sauermann condensing remittance pump kit 2ltr,Sauermann,51.7,"This Sauermann Si-1802 monobloc centrifugal pump kit has a 2L tank and a normally closed alarm contact. It is suitable for use with condensing boilers, cassettes and display and cold store cabinets.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Sauermann condensing remittance pump kit 2ltr,,Condensate pump;2m long cable;3 wires for power;2 wires for alarm;Check valve;5m roll of 10mm clear tubing;10mm connector;10 x 20mm adaptor,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/93/NW-622593_wm.jpg,,500 LPH,,Y,130,IP20,,SI1802SCUN23,Condensate Pump Kit,N,IP20 rated,,,,,,,,,,,,,,2.60000,1,0.07 kW,2,2 l,,,,,
7,PD53815,Impey Whale diaphragm plus tricuspid valve,Impey,21.71,An Impey Whale SDS061T diaphragm and tricuspid valve kit.,Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Impey Whale diaphragm plus tricuspid valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/15/NW-D53815_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Whale_Flow_Connect_Kit_V4_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P193157,Hotun HiFlo SF HHWSF15-32 SF dry trap tundish 15x32mm White,Hotun,26.73,"The Hotun HHWSF15-32 dry trap tundish is designed to supply safe discharge from a relief valve and to keep waste pipe odours from entering a building. Built for full compliance with water and building regulations, the SF range connects relief valve discharge to a foul waste or soil pipe, with one-way flow of water along with regulation required back-flow contamination and back-siphonage protection. This prevents cross-contamination of wholesome water. This dry trap tundish is approved for use as an air break to drain in commercial and domestic systems.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Hotun HiFlo SF HHWSF15-32 SF dry trap tundish 15x32mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/57/NW-193157_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hotun_SF_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Hotun_SF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hotun_SF_Installation.pdf,,,,,,,,,,
9,P201695,Grundfos Conlift condensate pump hose extension 6mtr,Grundfos,161.0,"Supplied in a 6M length, this Grundfos Conlift PVC 10mm internal diameter hose extension with hose coupling is designed for specific use with Conlift pumps.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos Conlift condensate pump hose extension 6mtr,,Hose extension;Coupling,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/95/NW-201695_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_Conlift_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Conlift1_LS_Installation.pdf,,,,,,,,,,,
