,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Hazardous,Model For Use With,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Efficiency (SAP 2009),Mounting Type,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Part Gas Council number,By Model Number,Pack Quantity,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 6,Colour,Seasonal Space Heating Energy Efficiency %,Feature 13,Feature 14,Diameter,Attachment 7,Dry Weight (kg),Range For Use With,Max High Level Flue Length (metres),Seasonal Space Heating Energy Efficiency Class,Feature 15,Feature 16,Feature 17,Feature 18,Flue Type,Flue Diameter,Flue Length,Flue Size,Energy Efficiency Class,Feature 19,Max Set Pressure,Maximum Operating Temperature,Max Vertical Level Flue Length (metres),Dimensions mm (H x W x D),Application,Length (M),Gender,Material,Size,Connection Type 1,Attachment 8,Attachment 9,Rated Heat Output (Prated or Psup),Feature 20,Feature 21,Feature 22,Preset Pressure Relief Valve (Bar),For Use With
0,P141647,Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi 30kw,Worcester Bosch,1259.0,"The wall-mounted Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi boiler offers an attractive design, improved installation and excellent performance. ErP A-rated for energy efficiency and water heating efficiency, this 30kW condensing combi boiler includes an intuitive display panel for ease of use.",Boilers/Boilers.csv -> Worcester Bosch Greenstar 4000 GR4700iW 30 C NG combi 30kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/58/141645_141658_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/WB_GR4700iW_30_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P123305,Ideal Heating Horizontal Flue Terminal 600mm,Ideal Heating,68.57,This is the standard non-telescopic flue which is 600mm long for use with Ideal Logic Boilers.,Boilers/Boilers.csv -> Ideal Heating Horizontal Flue Terminal 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/05/123305_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P100851,Worcester Bosch 7716191083 Flue Extension 1M - 60/100 mm,Worcester Bosch,54.49,Plume Management 1000mm extension for where the standard flue is not long enough.,Boilers/Boilers.csv -> Worcester Bosch 7716191083 Flue Extension 1M - 60/100 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/51/100851_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_Horizontal_Flue_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_Gstar_FS_CDI_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P100850,Worcester Bosch 100Mm Telescopic Horiz Flue Kit,Worcester Bosch,90.83,The Worcester 100mm Telescopic Horizontal Flue Kit performs an invaluable job in taking gases from your boiler outside of your property and is compatible with all wall mounted Worcester Greenstar boilers.,Boilers/Boilers.csv -> Worcester Bosch 100Mm Telescopic Horiz Flue Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/50/100850_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_WM_Gas_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_60-100mm_RS_Horiz_Flue_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P100854,Worcester 7716191085 45 Degree Flue Bend 60/100 mm (Pair),Worcester,79.0,The Worcester 60/100mm 45 degree Flue Elbow Bend is compatible with all Greenstar boiler installations.,Boilers/Boilers.csv -> Worcester 7716191085 45 Degree Flue Bend 60/100 mm (Pair),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/54/100854_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_Greenstar_Horizontal_Flue_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_Gstar_FS_CDI_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P100801,Worcester Bosch Greenstar Gstar He Ii Vertical Flue Kit,Worcester Bosch,109.12,Worcester Greenstar gas-fired boiler range has a full suite of Condensfit II™ flue options in both 60/100mm and 80/125mm diameters.,Boilers/Boilers.csv -> Worcester Bosch Greenstar Gstar He Ii Vertical Flue Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/01/100801_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_WM_Gas_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/WB_60-100mm_Vertical_Flue_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_Boiler_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P106146,Worcester Greenstar 7716192610 Keyless Filling Link,Worcester,30.26,"WRAS-approved and compatible with the Greenstar CDi ErP, this Worcester Bosch keyless filling link makes re-pressurising a heating system easy, reducing the cost of engineer callouts. With easy lever operation, this filling link means that there's no need for a key or hose, loose items that can be easily misplaced.",Boilers/Boilers.csv -> Worcester Greenstar 7716192610 Keyless Filling Link,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/46/106146_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Bosch_Greenstar_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/106146_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/61/46/106146.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P403302,Worcester 8716121817 Electrode Set,Worcester,42.99,Need Worcester Bosch boiler electrodes? Order the 8716121817 variant set of Worcester ignition electrodes from Wolseley today. Free delivery for trade accounts.,Boilers/Boilers.csv -> Worcester 8716121817 Electrode Set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/02/403302_wm.jpg,,,,,,N,RD542I Nat GasRD 532I Nat GasRD5371 Nat GasRD 532 Nat GasRD 430I Nat GasGreenstar 35 HE PlusRD 428430I GreenstarGreenstar ErP Highflow 440 CDiHighflow 440 CDi LPGHighflow 550 CDiHighflow 550 CDi LPGGreenstar 25 CDi25HE27CDi25 CDi LPG27 CDi LPG28 HE Syste,Gas Assembly,GreenstarGreenstar ErP HighflowGreenstar HE PlusGreenstar CDi,8716121817,Electrode Set,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P100840,Worcester Bosch 7716191086 Plume Management Kit,Worcester Bosch,82.25,The Plume Management Kit makes it easy to control the direction of the waste liquids & gases (plume) after they have been removed from the property via the flue.,Boilers/Boilers.csv -> Worcester Bosch 7716191086 Plume Management Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/40/100840_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_WM-Gas-System_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_60_100_mm_Horiz_Flue_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Greenstar_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P123503,Ideal 90deg flue elbow kit,Ideal,37.99,For use with flue extensions or relocation installations with Ideal boilers. The standard 100mm concentric design is a 90 Degree Bend for routing flue systems around corners or obstacles.,Boilers/Boilers.csv -> Ideal 90deg flue elbow kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/03/123503_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
