,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Colour,Fuel Type,Operating Temperature,Range,Voltage (V),Warranty,Hazardous,Output,Depth (mm),Top Design,Overheat Protection,Programmable,Fan Speeds,Controls,IP Rating,Material,Mounting Type,BTU h,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 8
0,P222115,Myson Hi-Line 15-10 radio control fan convector,Myson,498.64,"The high level wall-mounted Myson Hi-Line 15-10 fan convectors is designed to fit into a space above a door. Providing rapid, reliable heat from above, the Hi-Line connects directly to a central heating system to deliver three optional levels of heat from 8390 to 12,590 BTU/h via easy remote control.",Heating/Warm Air Heating/Wall Heaters/Wall Heaters.csv -> Myson Hi-Line 15-10 radio control fan convector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/16/222113_222116_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_HHeater&Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_FanConvector_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_HiLine_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_FanConvector_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_HiLineRC_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_ProductRange_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P222116,Myson Hi-Line 20-14 radio control fan convector,Myson,615.47,"The high level wall-mounted Myson Hi-Line 20-14 fan convectors is designed to fit into a space above a door. Providing rapid, reliable heat from above, the Hi-Line connects directly to a central heating system to deliver three optional levels of heat from 11,831 to 16,921 BTU/h via easy remote control.",Heating/Warm Air Heating/Wall Heaters/Wall Heaters.csv -> Myson Hi-Line 20-14 radio control fan convector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/16/222113_222116_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_HHeater&Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_FanConvector_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_HiLine_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_FanConvector_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_HiLineRC_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_ProductRange_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P222120,Myson Lo-Line RC 14-10 fan convector,Myson,498.64,"Ideal for heating cold conservatories, the MYSON Lo-Line RC 14-10 is a low level, wall-mounted fan convector delivering on-demand high heat outputs without taking up valuable space. Connected up to your central heating and featuring three modes selected via remote control or digital display, the Lo-Line produces 8111 to 11,829 BTU/h heating comfort.",Heating/Warm Air Heating/Wall Heaters/Wall Heaters.csv -> Myson Lo-Line RC 14-10 fan convector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/21/222120_222121_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_FanConvector_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_LoLine_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_FanConvector_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_LoLine_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_LoLineRC_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P222000,Myson Kickspace 500 hydronic fan convector with grille White,Myson,246.48,"Ideal for homes where room is at a premium, the Myson Kickspace 500 fan convector is a smart solution to heating without wasting precious wall space. Installed neatly under units, making it particularly suitable for kitchens, this clever heater connects to your central heating system to deliver two levels of fan-powered comfort, from 3057 to 3980 BTU/h.",Heating/Warm Air Heating/Wall Heaters/Wall Heaters.csv -> Myson Kickspace 500 hydronic fan convector with grille White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/02/222000_222002_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_FanConvector_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_FanConvector_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_KickSpace_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_Kickspace_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Myson_Kickspace_General_Info_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_ProductRange_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P118801,Valor Brazilia F5S natural gas wall heater Oak,Valor,371.27,"Ideal for spaces that are difficult to heat, the 1.5kW Valor Brazilia F5S wall heater can help to improve comfort in chilly conservatories, halls, landings and bathrooms. Designed with a smart beige finish and oak effect side panels, this handy wall heater can be fitted alongside your existing heating system but is also suitable for whole-home heating. Compatible with natural gas, the Brazilia can be converted to LPG with a separately available LPG kit.",Heating/Warm Air Heating/Wall Heaters/Wall Heaters.csv -> Valor Brazilia F5S natural gas wall heater Oak,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/01/NW-118801_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Valor_Brochure_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valor_Brazillia_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P118800,Valor Brazilia F5 natural gas wall heater Beige,Valor,351.38,"A slimline unit designed to suit smaller rooms, the Valor Brazilia F5 1.5kW wall heater in neutral Country Beige is a practical choice for simple home heating. The Brazilia's manual controls are easily accessible on the front of the unit, making choosing between the available low, medium and high heat settings simple.",Heating/Warm Air Heating/Wall Heaters/Wall Heaters.csv -> Valor Brazilia F5 natural gas wall heater Beige,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/00/NW-118800_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Valor_Brochure_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Valor_Brazillia_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Baxi_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P204189,Smiths Space Saver SS80 hydronic plinth heater,Smiths,218.03,"Helping you to make the most of valuable wall space, the Smiths Space Saver SS80 0.8 - 1.1kW plinth heater does away with space-wasting kitchen radiators, freeing up room for cupboards or appliances. Fitting into cabinet plinths underneath storage, the Space Saver provides efficient heat at low level. Most commonly used in kitchens and utility rooms, the Space Saver is also ideal for heating in non-domestic spaces such as reception areas and changing rooms or even in libraries.",Heating/Warm Air Heating/Wall Heaters/Wall Heaters.csv -> Smiths Space Saver SS80 hydronic plinth heater,,Plinth heater;Stainless steel grille;Pre-wired mains cable;2x fixing screws;One pair of flexible installation hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/89/NW-204189_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Smiths_Space_Saver_Hydronic_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Smiths_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Smiths_Space_Saver_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/SmithsEnvironmental_Isolube_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P222001,Myson Kickspace 600 hydronic fan convector with grille White,Myson,300.62,"Ideal for homes where room is at a premium, the Myson Kickspace 600 fan convector is a smart solution to heating without wasting precious wall space. Installed neatly under units, making it particularly suitable for kitchens, this clever heater connects to your central heating system to deliver two levels of fan-powered comfort, from 4361 to 5545 BTU/h.",Heating/Warm Air Heating/Wall Heaters/Wall Heaters.csv -> Myson Kickspace 600 hydronic fan convector with grille White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/02/222000_222002_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_FanConvector_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_FanConvector_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_KickSpace_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_Kickspace_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_Product_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Myson_Kickspace_General_Info_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_ProductRange_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P222121,Myson Lo-Line RC 19-15 fan convector,Myson,615.47,"Ideal for heating cold conservatories, the MYSON Lo-Line RC 19-15 is a low level, wall-mounted fan convector delivering on-demand high heat outputs without taking up valuable space. Connected up to your central heating and featuring three modes selected via remote control, the Lo-Line produces 12,327 to 15,831 BTU/h heating comfort.",Heating/Warm Air Heating/Wall Heaters/Wall Heaters.csv -> Myson Lo-Line RC 19-15 fan convector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/21/222120_222121_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_LoLine_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_FanConvector_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_FanConvector_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_LoLine_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_LoLineRC_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P213171,Smiths Space Saver SS5/5 space saver,Smiths,218.03,"Helping you to make the most of valuable wall space, the Smiths Space Saver SS5/5 1.3 - 1.7kW plinth heater does away with space-wasting kitchen radiators, freeing up room for cupboards or appliances. Fitting into the kitchen plinths underneath storage, the Space Saver provides efficient heat at low level. Most commonly used in kitchens and utility rooms, the Space Saver is also ideal for heating in non-domestic spaces such as reception areas and changing rooms or even in libraries.",Heating/Warm Air Heating/Wall Heaters/Wall Heaters.csv -> Smiths Space Saver SS5/5 space saver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/73/NW-213170_213173_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Smiths_Space_Saver_S3_S9_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Smiths_Space_Saver_Hydronic_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Smiths_Product_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/SmithsEnvironmental_Isolube_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
