,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Connection Type,Style,Warranty,Hazardous,With Drain Off,Max Pressure,Flow Water Temperature,Material,Pipe Connection Size,Radiator Connection Size,Sensor,Shape,With Lockshield,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Range,Feature 3,Feature 4
0,P256568,Center CB Center Plus round top angled manual radiator valve twin pack 15mm,Center CB,12.59,"Durable and reliable, the Center CB angled manual radiator valve (MRV), supplied with lockshield, is built using solid brass with a chrome finish for robust longevity and a smart finish. Suitable for domestic central heating systems, this circular-style MRV has been designed and tested to meet British Standards.",Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Center CB Center Plus round top angled manual radiator valve twin pack 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/68/256568_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/CenterCB-Tradefix_256552-73_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_256568-256573_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/256568_Center_Plus_TRV_Ang_Man_R_2P_15mm.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
1,P256562,Center CB Angled manual wheelhead radiator valve with lockshield 15mm,Center CB,3.07,"Made of robust solid brass with a glossy chrome finish, the Center CB angled wheelhead manual radiator valve (MRV) with lockshield has a smart, simple design and a reliably long lasting build. Tested to meet British standards, this domestic radiator valve includes 15mm threaded and compression connections.",Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Center CB Angled manual wheelhead radiator valve with lockshield 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/62/256562_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/256562_CB_TRV_Ang_Man_WH_and_LS_15mm.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/CenterCB-Tradefix_256552-73_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_256560-256567_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
2,P256571,Center CB Center Plus round top straight manual radiator valve twin pack 15mm,Center CB,9.99,"Durable and reliable, the Center CB straight manual radiator valve (MRV), supplied with lockshield, is built using solid brass with a chrome finish for robust longevity and a smart finish. Suitable for domestic central heating systems, this circular-style MRV has been designed and tested to meet British Standards.",Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Center CB Center Plus round top straight manual radiator valve twin pack 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/71/256571_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/256571_Center_Plus_TRV_Str_Man_R_2P_15mm.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/CenterCB-Tradefix_256552-73_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_256568-256573_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
3,P250407,"Pegler Terrier 97CPLS angled lockshield 22mm x 3/4"" Chrome",Pegler,42.15,"This Pegler Yorkshire Terrier 97 CPLS 15mm, 3/4"" angle pattern lockshield radiator valve is for copper or iron. It is manufactured from forged brass and has a neat chrome-plated finish.","Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Pegler Terrier 97CPLS angled lockshield 22mm x 3/4"" Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/07/NW-250407_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/27/67/Pegler_Yorkshire_BSI_Kitemark_2767.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belmont_CommercialRadVlve_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/pg/52/Pegler_Yorkshire_Terrier_Heat_Pg52.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
4,P246025,Danfoss RLV-D push fit valve with lockshield 10mm,Danfoss,10.77,The Danfoss RLV-D standard lockshield valve has a nickel-plated finish and 10mm push-fit connections.,Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Danfoss RLV-D push fit valve with lockshield 10mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/25/NW-246025_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_Warranty_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_HeatingResidentl_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_5_Year_Warranty_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RLV_D_RLV_S_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_RLV_D_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_RLV_D_Push_Fit_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,
5,P256561,Center CB Angled wheelhead manual radiator valve with lockshield 10mm,Center CB,6.93,"Made of robust solid brass with a glossy chrome finish, the Center CB angled wheelhead manual radiator valve (MRV) with lockshield has a smart, simple design and a reliably long lasting build. Tested to meet British standards, this domestic radiator valve includes 10mm threaded and compression connections.",Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Center CB Angled wheelhead manual radiator valve with lockshield 10mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/61/256561_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/10/mm/256561_CB_TRV_Ang_Man_WH_and_LS_10mm.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/CenterCB-Tradefix_256552-73_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_256560-256567_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
6,P250395,Pegler Yorkshire lockshield rain off radiator valve 15mm,Pegler,11.68,This Pegler Yorkshire Mercia 15mm angle pattern manual radiator valve with drain off has a chrome-plated finish for a smart finishing touch.,Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Pegler Yorkshire lockshield rain off radiator valve 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/96/NW-250395_250396_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pegler_Yorkshire_Merica_P_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P250340,"Pegler Yorkshire 1/2"" 15mm chrome angled radiator valve",Pegler,5.62,This Pegler Yorkshire Jazz 15mm angle pattern manual radiator valve is made of forged brass with a chrome-plated finish.,"Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Pegler Yorkshire 1/2"" 15mm chrome angled radiator valve",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/40/NW-250340_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pegler_Yorkshire_R_Valve_I_Cone_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P256554,Tradefix angled TRV with wheelhead & lockshield 15mm,Tradefix,11.7,"A simple and cost-effective solution, the Tradefix 19.1 angled thermostatic radiator valve (TRV) helps to improve energy efficiency and reduce heating bills while providing homeowners with improved comfort simply by adjusting the radiator in response to temperature changes in the room. Incorporating 2-way flow technology for simpler, more flexible installation, the Tradefix TRV ensures first-time-right fitting.",Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Tradefix angled TRV with wheelhead & lockshield 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/54/256554_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/CenterCB-Tradefix_256552-73_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/256554_Tradefix_TRV_Ang_WH_and_LS_15mm.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Tradefix_256552-256555_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
9,P246030,Danfoss RLV-D compression fit lockshield valve 15mm,Danfoss,7.07,The Danfoss RLV-D standard lockshield valve has a nickel-plated finish with internal threaded connection.,Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Danfoss RLV-D compression fit lockshield valve 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/31/NW-246030_246031_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_Warranty_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_HeatingResidentl_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RLV_D_RLV_S_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_5_Year_Warranty_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_RLV_D_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Danfoss_RLV_D_Push_Fit_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,
10,P250376,Pegler Yorkshire push fit radiator valve lockshield drain off elbow connector 10mm Chrome,Pegler,17.04,This Pegler Yorkshire Mercia 10mm angle pattern manual radiator valve with drain off and elbow push-fit has a chrome-plated finish for a smart finishing touch.,Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Pegler Yorkshire push fit radiator valve lockshield drain off elbow connector 10mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/76/NW-250376_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pegler_Yorkshire_Merica_P_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,P256565,Center CB angled manual lockshield valve with drain off 15mm,Center CB,12.16,"Durable and reliable, the Center CB angled manual radiator valve (MRV), supplied with lockshield, is built using solid brass with a chrome finish for robust longevity and a smart finish. Suitable for domestic central heating systems, this MRV has been designed and tested to meet British Standards.",Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Center CB angled manual lockshield valve with drain off 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/65/256565_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/256565_Center_TRV_Ang_Man_and_DO_15mm.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/CenterCB-Tradefix_256552-73_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_256560-256567_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
12,P250106,Pegler Yorkshire wheelhead and lockshield manual valve pack 8/10 mm,Pegler,9.04,"This Pegler Bulldog combi pack contains an angled manual radiator valve (MRV) and LS cap. Built to the highest standard, these products complement a wide range of other Bulldog parts.",Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Pegler Yorkshire wheelhead and lockshield manual valve pack 8/10 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/06/250105_250106_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/BulldogTRV_FeatureBenefit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pegler_Yorkshire_12306196_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
13,P256567,Center CB manual straight radiator valve with lockshield 15mm,Center CB,7.0,"Made of robust solid brass with a glossy chrome finish, the Center CB straight wheelhead manual radiator valve (MRV) with lockshield has a smart, simple design and a reliably long lasting build. Tested to meet British standards, this domestic radiator valve includes 15mm threaded and compression connections.",Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Center CB manual straight radiator valve with lockshield 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/67/256566_256567_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/CenterCB-Tradefix_256552-73_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_256560-256567_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/15/mm/256567_Center_Str_Man_WH_and_LS_15mm.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
14,P250291,"Pegler Terrier lockshield valve 15mm with drain off x 1/2""",Pegler,34.43,The Pegler Yorkshire Terrier 367 CPDLS 15mm angle pattern lockshield radiator valve with drain-off for copper is suitable for use in indirect open-vented or sealed water-filled central heating and indirect hot water systems only.,"Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Pegler Terrier lockshield valve 15mm with drain off x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/91/NW-250291_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/27/67/Pegler_Yorkshire_BSI_Kitemark_2767.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/PYorkshire_367DLS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Terrier_HeatingSolutions_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
15,P250406,"Pegler Terrier 97CPWH angled wheel head 22mm x 3/4"" Chrome",Pegler,42.15,"This Pegler Yorkshire Terrier 97 CPWH 15mm, 1/2"" angle pattern wheel handle radiator valve is for copper or iron. It is manufactured from forged brass and has a neat chrome-plated finish.","Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Pegler Terrier 97CPWH angled wheel head 22mm x 3/4"" Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/06/NW-250406_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/27/67/Pegler_Yorkshire_BSI_Kitemark_2767.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belmont_CommercialRadVlve_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/pg/52/Pegler_Yorkshire_Terrier_Heat_Pg52.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
16,P250105,Pegler Yorkshire wheelhead and lockshield manual valve pack 15mm,Pegler,9.04,"A quality essential, this Pegler Yorkshire Bulldog 2 angled manual radiator valve (MRV) with its polished chrome finish is ideal for radiators in modern family homes. It is supplied with LS cap and lockshield.",Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Pegler Yorkshire wheelhead and lockshield manual valve pack 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/06/250105_250106_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/BulldogTRV_FeatureBenefit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pegler_Yorkshire_Bulldog_2_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
17,P247960,Drayton Lockshield angled trv valve and reducder 10mm White/Chrome,Drayton,12.07,This Drayton TRV angled lockshield valve has a 10mm reducer for 10mm pipe.,Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Drayton Lockshield angled trv valve and reducder 10mm White/Chrome,,"15mm angle lockshild, 10mm reducer",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/60/NW-247960_wm.jpg,,,,,,,White / Chrome,CompressionThreaded,Modern,2 years,N,No,10,Max 120C,Brass,10mm,1/2,No,Angle pattern,Yes,0705915,Lockshield Valve,N,Angled pattern,Chrome finish,,,
18,P250390,Pegler Yorkshire radiator valve wheel-head and lockshield 15mm Chrome,Pegler,8.0,This Pegler Yorkshire Mercia Jazz 15mm angle pattern manual radiator valve with drain off and elbow push-fit has a chrome-plated finish for a smart finishing touch.,Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Pegler Yorkshire radiator valve wheel-head and lockshield 15mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/90/NW-250390_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pegler_Yorkshire_Merica_P_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,P537917,Altecnic Radiator Valves 15mm Pair,Altecnic,18.09,"With a clean, chrome finish, this smart Altecnic Modern straight radiator valve pair is a suitable finishing touch for any décor. These valves include 1/2"" radiator connections and 15mm pipe connections.",Radiators/Radiator Valves/Manual Radiator Valves/Manual Radiator Valves.csv -> Altecnic Radiator Valves 15mm Pair,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/17/NW-537917_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Altecnic_Radiator_Valve_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
