,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection,Connection Size,Hazardous,Thread Standard,Max Set Pressure,Material,Thread Size,Maximum Operating Temperature,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Connection Type,Grade,Range,Pack Quantity,Colour,Weight,Size,Thickness,Attachment 3
0,PN11359,"JET Range Automatic Air Vent Check Valve 3/8 x 1/2""",JET Range,8.0,"This JET Range automatic air vent with 3/8 x 1/2"" threaded connections is designed with a vacuum break to prevent air locks. A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> JET Range Automatic Air Vent Check Valve 3/8 x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/59/N11359_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/N11359 Installation & User Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/N11359 Auto Air Vent TDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P310834,Honeywell Home V4043H1056 Home Twin Pack Zone Valve 22 mm,Honeywell Home,171.81,"Suitable for any number of flow control applications, the Honeywell Home V4043H motorised two port zone valve with 22mm compression connections can be used in domestic or light commercial central heating systems. It is designed to be positioned where it won't block a vent or cold feed when closed, and can be plumbed at any angle provided the powerhead isn't below the horizontal level of pipework. V4043H can be fitted into a confined space, however ventilation should be available in order to maintain the valve's ambient temperature range. Access should also be reserved for removal of the valve's powerhead where needed.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Honeywell Home V4043H1056 Home Twin Pack Zone Valve 22 mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/34/310834_wm.jpg,,,22 mm Compression,22 mm,N,22mm Compression,0.55 bar,"Brass body, metal powerhead.",22 mm,50,V4043H1056/TW,Motorised Zone Valve,N,Domestic,Twin pack,Normally closed,Differential pressure if 0.55 bar,Spring-return operation,Manual lever for filling/draining down system,Powerhead replaceable without drain down,Potential-free end switch for electrical control of pump and/or boiler,Quiet operation,Minimal power consumption,SPST end switch,Compression connections,,,,,,,,,
2,PC51501,Midland Brass washing machine hose 1.5mtr Blue,Midland Brass,4.71,This Midland Brass 1.5M long blue washing machine hose includes a threaded connection.,"Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Midland Brass washing machine hose 1.5mtr Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/01/NW-C51501_wm.jpg,,,,,N,,,,,,BFWMHB-1.5M,Hose,N,,Maximum working pressure 100 bar,Maximum working temperature 85°C,CW617N brass material,Manufactured to BS2879/2,WRAS approved,12 month warranty,,,,,,Threaded,CW617N,,,,,,,
3,P538604,Altecnic 108 Anti-freeze valve 108 anti freeze valve 28mm,Altecnic,93.69,"Preventing ice forming in the circuit of a system, this Altecnic 108 28mm antifreeze valve allows for the draining of circuit medium when temperatures reach 3 C. Usually used in a heat pump system, this draining process minimises the potential for freezing damage to pipework, appliances and valves. This valve is designed for use on fittings and pipes connected by a union.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Altecnic 108 Anti-freeze valve 108 anti freeze valve 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/04/538604_wm.jpg,,,Compression,28 mm,N,Compression,,Brass,28mm,65,108301,Anti-Freeze Valve,N,For use with Heat Pumps,Max. working pressure: 5 bar,Temperature range: 0–65 °C,Ambient temperature range: -30–60 °C,Opening temperature: 3 °C,Closing temperature: 4 °C,,,,,,,,,108 Anti-freeze valve,,,,,,
4,P208643,Myson Powerextra Valves MPE222 2 port motorised valve 22mm and 3/4 (1),Myson,72.1,"Offering low contact resistance switching, the Myson Powerextra MPE222 22mm 3/4"" two-port motorised valve is compatible with the low voltage/low current switching commonly found on British and European boilers. Highly reliable, this robust brass-built motorised valve is a suitable replacement for all leading makes for ease of specification.  Motorised valves are used to control water flow between heating and hot water zones in fully pumped domestic central heating systems.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Powerextra Valves MPE222 2 port motorised valve 22mm and 3/4 (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/43/208643_wm.jpg,,,Compression,22mm & 3/4,N,BSP,,Brass,22mm & 3/4,120 deg C,MPE222,DVC Valves,N,Central Heating,High grade Class F insulation,Neon valve position indicators,Gold-plated microswitch contacts,Mica filled PTFE shoes,Manual override with spring return,2-port valves to control either central heating or hot water,3-port mid position valves control central heating and hot water circuits simultaneouslySuitable replacement for all leading makes,ISO 9002 Quality Assurance,,,,,,Powerextra Valves,1,,,,,
5,P208646,Myson Powerextra Valves MPE322 3 port motorised valve 22mm and 3/4 (1),Myson,91.71,"Offering low contact resistance switching, the Myson Powerextra MPE322 22mm 3/4"" three-port motorised valve is compatible with the low voltage/low current switching commonly found on British and European boilers. Highly reliable, this robust brass-built motorised valve is a suitable replacement for all leading makes for ease of specification.  Motorised valves are used to control water flow between heating and hot water zones in fully pumped domestic central heating systems.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Powerextra Valves MPE322 3 port motorised valve 22mm and 3/4 (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/46/208646_wm.jpg,,,Compression,22mm & 3/4,N,BSP,,Brass,22mm & 3/4,120 deg C,MPE322,DVC Valves,N,Central Heating,High grade Class F insulation,Neon valve position indicators,Gold-plated microswitch contacts,Mica filled PTFE shoes,Manual override with spring return,2-port valves to control either central heating or hot water,3-port mid position valves control central heating and hot water circuits simultaneouslySuitable replacement for all leading makes,ISO 9002 Quality Assurance,,,,,,Powerextra Valves,1,,,,,
6,P208640,Myson Powerextra Valves ACT222 2 port actuator head only 22mm and 3/4 (1),Myson,61.64,"Offering low contact resistance switching, the Myson Powerextra ACT222 22mm 3/4"" two-port motorised valve actuator head is compatible with the low voltage/low current switching commonly found on British and European boilers. Highly reliable, this robust brass-built motorised valve is a suitable replacement for all leading makes for ease of specification.  Motorised valves are used to control water flow between heating and hot water zones in fully pumped domestic central heating systems.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Powerextra Valves ACT222 2 port actuator head only 22mm and 3/4 (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/40/208640_wm.jpg,,,N/A,22mm & 3/4,N,BSP,,Brass,22mm & 3/4,n/a,ACT222,DVC Valves,N,Central Heating,High grade Class F insulation,Neon valve position indicators,Gold-plated microswitch contacts,Mica filled PTFE shoes,Manual override with spring return,2-port valves to control either central heating or hot water,3-port mid position valves control central heating and hot water circuits simultaneouslySuitable replacement for all leading makes,ISO 9002 Quality Assurance,,,,,,Powerextra Valves,1,,,,,
7,P208630,Myson LST Kit LSTDIRECTKITUK LST direct fit kit GB (1),Myson,51.21,"Promising precision control of the radiators commonly chosen for high risk areas, the Myson LST 15mm direct fit kit is supplied with the brand's efficient TRV2 thermostatic radiator valve. Allowing for the thermal sensing head of a Myson TRC to be mounted directly to the safe enclosure of the brand's low surface temperature radiators, this kit includes a locking facility, ensuring the radiator can't be adjusted by an unauthorised party.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson LST Kit LSTDIRECTKITUK LST direct fit kit GB (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/30/208630_wm.jpg,,,Compression,15mm,N,BSP,,Brass,15mm,120 deg C,LSTDIRECTKITUK,DVC Valves,N,Central Heating,Direct fit version,Brass construction,Compression connections,Supplied with efficient TRV,Produced under ISO 9001:2008 quality management system,Manual valve complies with BS 2767-10,Thermostatic valve complies with EN 215-1,,,,,,,LST Kit,1,,,,,
8,PC51510,Midland Brass flexible washing machine discharge hose,Midland Brass,7.25,This Midland Brass 2.1M long metal washing machine hose includes a threaded connection.,"Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Midland Brass flexible washing machine discharge hose",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/10/NW-C51510_wm.jpg,,,,,N,,,,,,BFWMHGF-2.1M,Hose,N,,Working pressure 10 bar at 25°C or 15 bar at 60°C,For washing machines,WRAS approved,12 month warranty,,,,,,,,Threaded,CW617N,,,,,,,
9,P208642,Myson Powerextra Valves ACT322 3 port actuator head 22mm and 3/4 (1),Myson,67.94,"Offering low contact resistance switching, the Myson Powerextra ACT322 22mm 3/4"" three-port motorised valve actuator head is compatible with the low voltage/low current switching commonly found on British and European boilers. Highly reliable, this robust brass-built motorised valve is a suitable replacement for all leading makes for ease of specification.  Motorised valves are used to control water flow between heating and hot water zones in fully pumped domestic central heating systems.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Powerextra Valves ACT322 3 port actuator head 22mm and 3/4 (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/42/208642_wm.jpg,,,N/A,22mm & 3/4,N,BSP,,Brass,22mm & 3/4,n/a,ACT322,DVC Valves,N,Central Heating,High grade Class F insulation,Neon valve position indicators,Gold-plated microswitch contacts,Mica filled PTFE shoes,Manual override with spring return,2-port valves to control either central heating or hot water,3-port mid position valves control central heating and hot water circuits simultaneouslySuitable replacement for all leading makes,ISO 9002 Quality Assurance,,,,,,Powerextra Valves,1,,,,,
