,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9
0,PQ64295,Wavin Wavin Osma Compact air admit valve White,Wavin,147.29,"Suitable for domestic or commercial use, this Wavin Osma Compact 110mm air admittance valve is made of durable white ABS and is fitted with secure spigot connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Other Fittings/Soil Other Fittings.csv -> Wavin Wavin Osma Compact air admit valve White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/95/NW-Q64295_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wavin_Osma_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_DoP_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PP_&_PE_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,
1,PQ97067,Wavin Wavin OsmaSoil domestic air admittance valve 110mm,Wavin,95.65,"Suitable for commercial or domestic use, this Wavin OsmaSoil 110mm air admittance valve is fitted with secure spigot connections. It is made of robust grey ABS for reliably long lasting use.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Other Fittings/Soil Other Fittings.csv -> Wavin Wavin OsmaSoil domestic air admittance valve 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/67/NW-Q97067_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_DoP_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PP_&_PE_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,
2,PQ64187,Wavin OsmaSoil strap boss 110mm Black,Wavin,12.48,"Suitable for domestic or commercial use, this Wavin OsmaSoil 110mm strap boss is made of durable black PVC-u and is fitted with 50 x 110mm clip connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Other Fittings/Soil Other Fittings.csv -> Wavin OsmaSoil strap boss 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/87/NW-Q64187_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,
3,PQ64240,Wavin Wavin OsmaSoil strap boss 110mm Grey,Wavin,12.48,"Suitable for domestic or commercial use, this Wavin OsmaSoil 110mm strap boss is made of grey PVC-U.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Other Fittings/Soil Other Fittings.csv -> Wavin Wavin OsmaSoil strap boss 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/40/NW-Q64240_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Vent_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Product_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_Pipe-Fittings_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,
4,PQ64237,Wavin OsmaSoil balloon grating 110mm Grey,Wavin,8.61,"Suitable for domestic or commercial use, this Wavin OsmaSoil 110mm balloon grating is made of durable grey PVC-u and is fitted with secure plain end connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Other Fittings/Soil Other Fittings.csv -> Wavin OsmaSoil balloon grating 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/37/NW-Q64237_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,
5,PF29371,Polypipe Terrain 100P double socket coupler 110mm Grey,Polypipe,19.41,"Made of grey PVC-U, this Polypipe Terrain 100P straight coupler with 110mm push-fit connections is designed for use in domestic applications. The Polypipe Terrain PVC drainage system is fully accredited and is suitable for joining to a variety of other materials.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Other Fittings/Soil Other Fittings.csv -> Polypipe Terrain 100P double socket coupler 110mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/71/NW-F29371_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Above_Ground_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
6,PQ40465,Wavin HDPE 3003497 push-fit socket with cap 110mm,Wavin,6.09,"Wavin HDPE is a universal system approved for pipe installation in buildings to DIN 19535 and DIN EN 1519. The product range includes pipes and fittings with dimensions between 40mm and 315mm. Wavin HDPE is a complete soil, waste and vent system of pipes and fittings, manufactured from high-density polyethylene (PE HD). This tough and durable HDPE system offers an extraordinary chemical resistance in combination with a high flexibility level and great impact resistance. Wavin HDPE pipes and fittings are jointed by welding, making the joints resistant to tension. There are two methods of welding: butt welding and electro-fusion welding. Most Wavin HDPE products can also be used as part of negative pressure installations like the siphonic roof drainage system Wavin QuickStream.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Other Fittings/Soil Other Fittings.csv -> Wavin HDPE 3003497 push-fit socket with cap 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/65/Q40465_wm.jpg,,,,,Black,110mm,Push Fit,110mm,HDPE,1 year,0.245 kg,N,Polyethylene (PE),DIN EN 15919-1:2001DIN 19535-10:200-01,3003497,Coupler with cap,N,Wavin HDPE is resistant to temperatures of up to 90degrees C continuous temperature and 100degrees C short term,Wavin HDPE is well suited to assemblies subjected to vibration. It is therefore ideal for use in seismic zones and across expansion joints,"With the addition of a percentage of carbon black, HDPE is UV-stabilised and can therefore be installed outdoors without degradation problems","An advantage of Wavin HDPE is that it can be welded (both by butt welding and with electrofusion joints), thereby providing a perfectly sealed system",Wavin HDPE’s lightness makes transportation and handling easy,"Because of its high resistance to chemical agents, Wavin HDPE cannot be jointed with adhesives",The elasticity of Wavin HDPE allows pipes to withstand freezing of internal water,Wavin HDPE’s elasticity gives pipes a high impact strength at temperatures as low as -40degrees C. This ruggedness makes handling of pipes easy during installation,The smooth surface of Wavin HDPE allows for both an optimum flow of any type o
7,PF30055,4IN ADJUSTABLE HOLDERBAT          144.4:W,Polypipe,17.27,"Made of white PVC-U, this Polypipe Terrain 100 bracket with 110mm solvent weld connections is designed for use in commercial building services. The Polypipe Terrain PVC drainage system is fully accredited and is suitable for joining to a variety of other materials.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Other Fittings/Soil Other Fittings.csv -> 4IN ADJUSTABLE HOLDERBAT          144.4:W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/55/NW-F30055_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Above_Ground_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
8,PQ64186,Wavin Wavin OsmaSoil balloon grating 110mm Black,Wavin,8.61,"Suitable for domestic or commercial use, this Wavin OsmaSoil 110mm balloon grating is made of durable black PVC-u and is fitted with secure plain end connections.",Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Other Fittings/Soil Other Fittings.csv -> Wavin Wavin OsmaSoil balloon grating 110mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/86/NW-Q64186_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,
9,PF28201,"Polypipe Terrain 100 plastic holderbat 4"" Black",Polypipe,8.33,"Measuring 164 x 141 x 90 x 155mm, this Polypipe Terrain pipe bracket is made of black polyvinyl chloride unplasticised, or PVC-u.","Drainage/Soil Pipes and Fittings/Soil Pipe Fittings/Soil Other Fittings/Soil Other Fittings.csv -> Polypipe Terrain 100 plastic holderbat 4"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/01/NW-F28201_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Polypipe_Terrain_Jan19_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
