,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5
0,P615164,Daikin FTXF FTXF35 R32 Indoor 3.5KW,Daikin,148.0,"Automatically selecting the heating or cooling mode and necessary fan speed to achieve your preferred set temperature, the Daikin FTXF35C indoor air conditioning unit ensures reliable comfort alongside minimised energy consumption. This split unit incorporates vertical auto swing operation and can be used as a fan only, blowing air without heating or cooling where needed.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Budget Wall Mounted/Budget Wall Mounted.csv -> Daikin FTXF FTXF35 R32 Indoor 3.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/65/NW-615162_615165_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_FTXF_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_FTXF_C_ATXF_C_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXF_C_RXF_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_FTXF_C_Operation_Manual.pdf,
1,P615163,Daikin FTXF FTXF25 R32 Indoor 2.5KW,Daikin,127.0,"Automatically selecting the heating or cooling mode and necessary fan speed to achieve your preferred set temperature, the Daikin FTXF25C indoor air conditioning unit ensures reliable comfort alongside minimised energy consumption. This split unit incorporates vertical auto swing operation and can be used as a fan only, blowing air without heating or cooling where needed.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Budget Wall Mounted/Budget Wall Mounted.csv -> Daikin FTXF FTXF25 R32 Indoor 2.5KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/65/NW-615162_615165_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_FTXF_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_FTXF_C_ATXF_C_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXF_C_RXF_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_FTXF_C_Operation_Manual.pdf,
2,P605945,Daikin Sensira FTXF60 R32 Indoor 6.0KW,Daikin,254.0,"Offering high efficiency alongside reliable comfort, the wall-mounted Daikin Sensira FTXF60A indoor split unit is ideal for rooms in constant use. Extremely quiet in operation, this air conditioner has draught-free operation to do away with the irritating chill of direct air and removes airborne dust particles to minimise irritation. Elsewhere, rapid heating and cooling options ensure that the Sensira reacts quickly to your changing needs.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Budget Wall Mounted/Budget Wall Mounted.csv -> Daikin Sensira FTXF60 R32 Indoor 6.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/46/NW-605944_605946_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Daikin_FTXP_M_FTXF_A_D_ATXF_A_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Daikin_FTXF_A_FTXF_B_RXF_A_B_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_FTXP_M_FTXF_A_D_ATXF_A_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_FTXF_D_FTXF_A_Operatns_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Residential_AC_Brochure.pdf
3,P615165,Daikin FTXF FTXF42 R32 Indoor 4.2KW,Daikin,176.0,"Automatically selecting the heating or cooling mode and necessary fan speed to achieve your preferred set temperature, the Daikin FTXF42C indoor air conditioning unit ensures reliable comfort alongside minimised energy consumption. This split unit incorporates vertical auto swing operation and can be used as a fan only, blowing air without heating or cooling where needed.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Budget Wall Mounted/Budget Wall Mounted.csv -> Daikin FTXF FTXF42 R32 Indoor 4.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/65/NW-615162_615165_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_FTXF_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_FTXF_C_ATXF_C_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXF_C_RXF_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_FTXF_C_Operation_Manual.pdf,
4,P605946,Daikin Sensira FTXF71 R32 Indoor 7.1KW,Daikin,323.0,"Offering high efficiency alongside reliable comfort, the wall-mounted Daikin Sensira FTXF71A indoor split unit is ideal for rooms in constant use. Extremely quiet in operation, this air conditioner has draught-free operation to do away with the irritating chill of direct air and removes airborne dust particles to minimise irritation. Elsewhere, rapid heating and cooling options ensure that the Sensira reacts quickly to your changing needs.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Budget Wall Mounted/Budget Wall Mounted.csv -> Daikin Sensira FTXF71 R32 Indoor 7.1KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/46/NW-605944_605946_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Daikin_FTXP_M_FTXF_A_D_ATXF_A_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Daikin_FTXF_A_FTXF_B_RXF_A_B_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_FTXP_M_FTXF_A_D_ATXF_A_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_FTXF_D_FTXF_A_Operatns_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Residential_AC_Brochure.pdf
5,P615162,Daikin FTXF FTXF20 R32 Indoor 2.0KW,Daikin,118.0,"Automatically selecting the heating or cooling mode and necessary fan speed to achieve your preferred set temperature, the Daikin FTXF20C indoor air conditioning unit ensures reliable comfort alongside minimised energy consumption. This split unit incorporates vertical auto swing operation and can be used as a fan only, blowing air without heating or cooling where needed.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Budget Wall Mounted/Budget Wall Mounted.csv -> Daikin FTXF FTXF20 R32 Indoor 2.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/65/NW-615162_615165_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_FTXF_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_FTXF_C_ATXF_C_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FTXF_C_RXF_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_FTXF_C_Operation_Manual.pdf,
6,P605944,Daikin Sensira FTXF50 R32 Indoor 5.0KW,Daikin,216.0,"Offering high efficiency alongside reliable comfort, the wall-mounted Daikin Sensira FTXF50A indoor split unit is ideal for rooms in constant use. Extremely quiet in operation, this air conditioner has draught-free operation to do away with the irritating chill of direct air and removes airborne dust particles to minimise irritation. Elsewhere, rapid heating and cooling options ensure that the Sensira reacts quickly to your changing needs.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Budget Wall Mounted/Budget Wall Mounted.csv -> Daikin Sensira FTXF50 R32 Indoor 5.0KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/46/NW-605944_605946_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Daikin_FTXP_M_FTXF_A_D_ATXF_A_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Daikin_FTXF_A_FTXF_B_RXF_A_B_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Daikin_FTXP_M_FTXF_A_D_ATXF_A_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Daikin_FTXF_D_FTXF_A_Operatns_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Residential_AC_Brochure.pdf
7,P696855,Daikin FXAQ40A R410A Vrv Wall Mounted Unit,Daikin,645.04,"Suitable rooms of just about any shape or size, the Daikin VRV range of indoor air conditioning units with five discharge angles is user friendly, highly reliable and quiet in operation. Compliant with eco-design legislation, these units incorporate specially designed DC fans for excellent levels of energy efficiency.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Budget Wall Mounted/Budget Wall Mounted.csv -> Daikin FXAQ40A R410A Vrv Wall Mounted Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/57/NW-696851_696857_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_m/an/Daikin_FXAQ15_4PEN494113_Operat_Man.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FXAQ-A_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_FXAQ-A_4PEN494115_1C_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_FXAQ-A_RoHS_Declaration.pdf,
8,P619520,Daikin FAA100B Wall Mounted Sky Air Indoor 10KW,Daikin,988.55,"Helping to minimise your environmental impact, the Daikin Sky FAA-B 10kW wall-mounted air conditioning unit uses R-32 Bluevolution technology, meaning there's no need to use the more harmful R-410A. This means not only reduced energy use but a 16% lower refrigerant charge too. Designed to fit into most interiors, the smart Sky FAA-B has a front panel conceived for ease of cleaning and a lightweight, flexible design for simplified installation.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Budget Wall Mounted/Budget Wall Mounted.csv -> Daikin FAA100B Wall Mounted Sky Air Indoor 10KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/20/NW-619519_619520_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/DKN_FAA-B_Safety_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/DKN_FAA-B_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/DKN_FAA-B_Eco_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/DKN_FAA-B_Reference_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/DKN_FAA-B_RoHS_DoC.pdf
9,P696856,Daikin FXAQ50A R410A Vrv Wall Mounted Unit,Daikin,682.88,"Suitable rooms of just about any shape or size, the Daikin VRV range of indoor air conditioning units with five discharge angles is user friendly, highly reliable and quiet in operation. Compliant with eco-design legislation, these units incorporate specially designed DC fans for excellent levels of energy efficiency.",Air Conditioning/Daikin R32 Indoor Units/Wall Mounted/Budget Wall Mounted/Budget Wall Mounted.csv -> Daikin FXAQ50A R410A Vrv Wall Mounted Unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/57/NW-696851_696857_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_m/an/Daikin_FXAQ15_4PEN494113_Operat_Man.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FXAQ-A_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_FXAQ-A_4PEN494115_1C_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_FXAQ-A_RoHS_Declaration.pdf,
