,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Hazardous,Operator Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Connection Type,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Pack Quantity,Size,Diameter,Operating Temperature,Range,Feature 3
0,PU64296,"Midland Brass PT2 high pressure ball valve (BS1212) 1/2"" Metal",Midland Brass,7.0,"This Midland Brass 1/2"" ball valve is made of metal.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Float Valves/Float Valves.csv -> Midland Brass PT2 high pressure ball valve (BS1212) 1/2"" Metal",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/96/NW-U64296_wm.jpg,1/2 inch,N,Float,MBFBVHPP2-D METAL,Ball Valve,N,Manufactured in accordance with BS 1212 part 1,12 month warranty,,,,,,,,,,,,,,
1,PU64295,"Midland Brass PT1 high pressure ball valve (BS1212) 1/2""",Midland Brass,7.0,"This Midland Brass 1/2"" ball valve is manufactured in brass with BSP connections.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Float Valves/Float Valves.csv -> Midland Brass PT1 high pressure ball valve (BS1212) 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/95/NW-U64295_wm.jpg,1/2 inch,N,Float,MBFBVHPP1-D,Ball Valve,N,Brass construction,12 month warranty,BSP,,,,,,,,,,,,,
2,PK72690,Keraflo Aylesbury KB type float valve 32mm,Keraflo,983.0,"This Keraflo Aylesbury KB-type fully variable float valve with 32mm connection is designed especially for use in commercial water systems, providing accurate and efficient control over the level of stored cold water in tanks with or without raised float valve chambers. This precision engineered patented float valve is built to last, operating for long periods of time without maintenance.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Float Valves/Float Valves.csv -> Keraflo Aylesbury KB type float valve 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/93/NW-K72688_K72693_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Spares_Kit_Quick_Ref_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Keraflo_Specification_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Keraflo_Aylesbury_KB_Valve_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fl/et/Keraflo_Aylesbury_ValveSales_Leaflet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Specification_Wording_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Keraflo_Product_Range_Guide.pdf,,,,,,,
3,P171028,"Masefield Beta equilibrium ball valve (bsp) 1.1/4"" Gun Metal (5)",Masefield,372.96,"This lever-operated Masefield Beta 1 1/4"" equilibrium ball valve minimises issues caused by changing water pressures. With controlled closure, a high flow, full bore seat and hydraulically balanced closing action, this gunmetal ball valve offers a fast, quiet shut-off.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Float Valves/Float Valves.csv -> Masefield Beta equilibrium ball valve (bsp) 1.1/4"" Gun Metal (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/30/NW-171025_171030_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,
4,P250278,"Tradefix high pressure float valve (part2) 1/2"" (50)",Tradefix,9.02,"Made of brass, this Tradefix float valve has a 8 3/4"" arm, 1/2"" threaded connection, 3 1/2"" drop and a 1 1/4"" tail/","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Float Valves/Float Valves.csv -> Tradefix high pressure float valve (part2) 1/2"" (50)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/78/NW-250278_wm.jpg,1/2 inch,N,Float,PBRINL366861,Float Valve,N,Brass construction,12 month warranty,Threaded,,,,,,,Metal/s,50,12,,,,
5,P171027,"Masefield Beta equilibrium ball valve (bsp) 1"" Gun Metal",Masefield,255.34,"This lever-operated Masefield Beta 1"" equilibrium ball valve minimises issues caused by changing water pressures. With controlled closure, a high flow, full bore seat and hydraulically balanced closing action, this gunmetal ball valve offers a fast, quiet shut-off.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Float Valves/Float Valves.csv -> Masefield Beta equilibrium ball valve (bsp) 1"" Gun Metal",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/30/NW-171025_171030_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,
6,P171029,"Masefield Beta equilibrium ball valve (bsp) 1.1/2"" Gun Metal (5)",Masefield,474.3,"This lever-operated Masefield Beta 1 1/2"" equilibrium ball valve minimises issues caused by changing water pressures. With controlled closure, a high flow, full bore seat and hydraulically balanced closing action, this gunmetal ball valve offers a fast, quiet shut-off.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Float Valves/Float Valves.csv -> Masefield Beta equilibrium ball valve (bsp) 1.1/2"" Gun Metal (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/30/NW-171025_171030_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,
7,P537464,"Masefield drop arm for ball float valve 1.1/4 and 1.1/2"" (5)",Masefield,131.26,"Ensuring the correct air gap is achieved, this Masefield drop arm and adapter helps to prevent backflow, keeping the clean water supply from becoming contaminated. Made using all high-quality materials, this version has a 9/16"" BSW connection to suit all float-operated piston type valves.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Float Valves/Float Valves.csv -> Masefield drop arm for ball float valve 1.1/4 and 1.1/2"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/64/NW-537463_537464_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/22/Masefield_Beta_Valve_Brochure_2022.pdf,,,,,,,,,,,,
8,P171026,"Masefield Beta equilibrium ball valve (bsp) 3/4"" Gun Metal (5)",Masefield,180.86,"This lever-operated Masefield Beta 3/4"" equilibrium ball valve minimises issues caused by changing water pressures. With controlled closure, a high flow, full bore seat and hydraulically balanced closing action, this gunmetal ball valve offers a fast, quiet shut-off.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Float Valves/Float Valves.csv -> Masefield Beta equilibrium ball valve (bsp) 3/4"" Gun Metal (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/30/NW-171025_171030_wm.jpg,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,
9,P171105,"Pegler Prestex equilibrium float valve 2"" Gunmetal (1)",Pegler,654.51,"Suitable for domestic or commercial use, this Pegler Yorkshire Prestex 11-/8"" equilibrium float valve is precision-machined in gunmetal for good levels of watertight reliability. Fitted with 2"" compression connection, this valve can be used in hospitals, educational or leisure facilities, hotels and multi-storey apartment blocks.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Float Valves/Float Valves.csv -> Pegler Prestex equilibrium float valve 2"" Gunmetal (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/05/NW-171105_wm.jpg,2 inch,N,Other,520012,Float Valve,N,Equilibrium pattern reduced bore,WRAS approval,Compression,,,,,,,,1,,2,85,Prestex,5 year warranty
