,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Voltage (V),Hazardous,Setting Range,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 2,Switch Type,Operating Temperature Range (C),Range,Attachment 3,Attachment 4,Attachment 5,Connection,Connection Size,Connection Type,Material,Thread Size,Working Pressure,Maximum Operating Temperature,Number of Ports,Operator Type,Seal Material,Size,Colour,Attachment 6,Connection Gender,Standards,Feature 11,Operating Temperature,Attachment Type,Pipe Diameter,Pressure Rating,Attachment 7,Material Type,Min Outlet Pressure,Max Outlet Pressure,Feature 12,Feature 13,Feature 14,Feature 15
0,P310709,Honeywell Home T3R Y3H710RF0053 @ hw home t3r wireles stat+stand 5+2 day,Honeywell Home,71.76,"Suitable for use in domestic heating systems, the T3R wireless 5+2 day programmable thermostat is particularly recommended for social housing, new build properties and for mass installation jobs. It is compatible with a variety of boilers and systems, including 24 to 230V on/off units such as gas and oil boilers, combi-boilers and heat pumps, however it cannot be used for operation of electric boilers. Easy to operate, the T3R provides OpenTherm control for reliable time and temperature switching. A stand is supplied with this unit for ease of storage.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Honeywell Home T3R Y3H710RF0053 @ hw home t3r wireles stat+stand 5+2 day,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/09/310709_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Honeywell_T3_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P310701,Honeywell Home Lyric Y4H910RF4003 T4R Wireless 7 Day Prog Stat,Honeywell Home,120.0,"Suitable for domestic or light commercial use, the Lyric T4R modern wireless 7 day programmable room thermostat offers automatic time and temperature control and compatibility with 24 - 230V on/off appliances such as gas boilers, combi boilers and zone valves. This thermostat can be used as a temperature sensing device in an S or Y Plan system and can control combination boiler installations or additional zones in an S Plan Plus system.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Honeywell Home Lyric Y4H910RF4003 T4R Wireless 7 Day Prog Stat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/01/310701_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P310700,Honeywell Home T4 Wired 7 Day Prog Stat,Honeywell Home,86.75,"A modern wired 7 day control, this T4 programmable room thermostat provides automatic time and temperature control of domestic systems in domestic or light commercial settings.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Honeywell Home T4 Wired 7 Day Prog Stat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/00/310700_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P310200,Honeywell Home @ hw home l641a 1039 cylinde stat 50-80c,Honeywell Home,31.93,"This L641A cylinder thermostat has a setting of 40 to 80C and differential of 10°C and is supplied with a strap and optional dial. Suitable for installation horizontally or vertically, this thermostat can be fixed to the surface of a cylinder or pipework using the mounting strap and does not require the system to be drained.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Honeywell Home @ hw home l641a 1039 cylinde stat 50-80c,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/00/310200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P340020,Center CB analogue room thermostat 230v,Center CB,13.99,"This analogue Center CB room thermostat is suitable for domestic heating control. Frost protected and tamperproof, this thermostat helps to improve the efficiency of your system.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Center CB analogue room thermostat 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/20/NW-340020_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Center_CB_EHE0200155_Roomstat_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P310037,Honeywell Home @ hw home t4360a 1009 frost stat 240v,Honeywell Home,28.49,"The T4360 provides automatic frost protection to boilers and pipework as well as the building. This thermostat is recommended to be fitted in the coldest part of a building, such as a loft space, floor void or garage.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Honeywell Home @ hw home t4360a 1009 frost stat 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/37/310037_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P326708,Myson programmable room thermostat,Myson,71.03,"Easy to use, the simple Myson MPRT programmable room thermostat uses Smart Start technology for reduced waste and energy savings through varied start up times. Built to learn, this clever tech is able to figure out your temperature rise requirements, delaying start up when the weather is milder to reach your desired temperature with minimal energy spend. With a range of functions, including frost protection and economy modes, the MPRT is designed to fit with your lifestyle.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Myson programmable room thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/08/326708_wm.jpg,,1,24v,N,3 temp settings and 4 programs,95 x 135 x 50,MPRT,Programmable Thermostat,N,CommercialDomestic,Uses Smart Start technology,24 hour or 7 day programming options,"With comfort, economy (set back) and frost temperature settings",With 3x preset and 1x adjustable programmes with manual override,"Clear, accurate LCD display",Compatible with Myson Floortec underfloor heating systems,Connects to 24V hard wired wiring centre,1x thermostat can control several loops,IP30 protection,Boiler Plus compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P310708,Honeywell Home T3 T3H110A0066 T3 Wired Stat 5+2 Day,Honeywell Home,47.49,"Recommended for domestic use and suitable for social housing, new builds and mass installation, the T3 wired programmable thermostat offers compatibility with a variety of boilers and systems, including 24 - 230V on/off gas and oil boilers, combi-boilers and heat pumps. Providing complete time and temperature control via an easy to understand display, T3 is OpenTherm compatible but is not suitable for electric heating.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Honeywell Home T3 T3H110A0066 T3 Wired Stat 5+2 Day,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/08/310708_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Honeywell_T3_Installation.pdf,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Honeywell_T3_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P440974,Danfoss RET2001RF + RX1-S V2  RET2001RF + RX1-S V2 wireless digital room thermostat and receiver,Danfoss,89.95,"Easy to operate via its large backlit LCD display, the Danfoss RET2001 RF digital room thermostat allows for temperature selection using the intuitive ring that surrounds the display. Useful functions include a frost protection setting as well as holiday mode, complete with set-back temperature, helping homeowners to reduce waste when they're not at home. Communicating with an RF unit located up to 30M away, the included RX1-S receiver employs secure digital radio communication. Ideal for zoning, the thermostat has a unique identity code learnt by the receiver during commissioning.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Danfoss RET2001RF + RX1-S V2  RET2001RF + RX1-S V2 wireless digital room thermostat and receiver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/_a/440972_74_A_wm.jpg,,,2 X 1.5V AA Batteries (3V DC) for Thermostat &  230VAC for Receiver,N,5 °C to 35 °C,63 x 100 x 218,087N6477,Wireless Room Thermostat,N,Domestic Central Heating,"Large, easy-read backlit display shows the room temperature and output status",Includes holiday mode,Frost protect temperature settings,Standby/off position,Maximum and minimum temperature limit settings,Multiple cable access options for ease of installation,Industry standard backplate for receiver,Boiler Plus compliant,,,,SPDT,5 °C to 35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P796277,Drayton Digistat Plus Digistat +3 Battery 7 Day Battery-operated hotel room thermostat,Drayton,91.13,"Combining flexibility and comfort, the Drayton Digistat Plus battery powered programmable room thermostat is easy to install, simple to use and offers a wide range of options for programming, minimising waste while maximising control.",Heating/Central Heating Controls/Commercial Heating Control Valves/Commercial Heating Control Valves.csv -> Drayton Digistat Plus Digistat +3 Battery 7 Day Battery-operated hotel room thermostat,,Thermostat only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/77/796277_wm.jpg,,,230,N,5 to 30 °C,96mm137mm31mm,22100,Thermostat,N,CommercialDomestic,Ideal for combiboilers,Ideal for zoning with any boiler,3easy predefined programmes,Part L compliant (Part J in Scotland),,,,,,,,SPDT,0 to 40,Digistat Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
