,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1
0,P172918,Manthorpe 1-hour fire rated access panel 450 x 450mm,Manthorpe,136.28,"This Manthorpe fire rated access panel creates fire-resistant openings in ceilings and walls to allow for maintenance of concealed engineering services and utility controls. Finished in a white powder coating, the metal panel is easy to clean and can be painted to match the surrounding decor. This panel is fitted with a catch lock opened via a T key, however a lockable version is also available, offering more substantial key lock for extra security.",Trade Essentials/Building Supplies/Access Panels/Access Panels.csv -> Manthorpe 1-hour fire rated access panel 450 x 450mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/18/NW-172918_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Manthorpe_GL150F_130_450_Instrcts.pdf
1,P172920,Manthorpe Access Panel access panel 300 x 300mm White,Manthorpe,27.34,"A cost-effective solution for access to hidden services, this Manthorpe 343 x 343mm access panel keeps vital valves, electrics and other fittings set into a ceiling or wall in easy reach. Suitable for domestic use, this panel is manufactured from lightweight high-impact polystyrene (HIPS) with a smooth textured finish suitable for painting onto. Easy to install, the panel doors are fully detachable and can be removed if required.",Trade Essentials/Building Supplies/Access Panels/Access Panels.csv -> Manthorpe Access Panel access panel 300 x 300mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/20/NW-172919_172920_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Manthorpe_GL300_Instructions.pdf
2,P651121,Arctic Hayes Access Pannel 100 x 150 mm,Arctic Hayes,10.89,"A simple, low cost solution, this Arctic Hayes 100 x 150mm (180 x 130mm external) access panel creates a protected openings in ceilings and walls for access to engineering services. Lightweight and slimline, this panel is made of injection-moulded ABS and offers easy installation into any wall or ceiling.",Trade Essentials/Building Supplies/Access Panels/Access Panels.csv -> Arctic Hayes Access Pannel 100 x 150 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/26/NW-651121_651126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf
3,P651126,Arctic Hayes access panel 560 x 560mm,Arctic Hayes,58.98,"A simple, low cost solution, this Arctic Hayes 560 x 560mm (630 x 630mm external) access panel creates a protected openings in ceilings and walls for access to engineering services. Lightweight and slimline, this panel is made of injection-moulded ABS and offers easy installation into any wall or ceiling.",Trade Essentials/Building Supplies/Access Panels/Access Panels.csv -> Arctic Hayes access panel 560 x 560mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/26/NW-651121_651126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf
4,P651123,Arctic Hayes Access Pannel 200 x 200 mm,Arctic Hayes,19.41,"A simple, low cost solution, this Arctic Hayes 200 x 200mm (240 x 240mm external) access panel creates a protected openings in ceilings and walls for access to engineering services. Lightweight and slimline, this panel is made of injection-moulded ABS and offers easy installation into any wall or ceiling.",Trade Essentials/Building Supplies/Access Panels/Access Panels.csv -> Arctic Hayes Access Pannel 200 x 200 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/26/NW-651121_651126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf
5,P651124,Arctic Hayes Access Pannel 300 x 300 mm,Arctic Hayes,23.28,"A simple, low cost solution, this Arctic Hayes 300 x 300mm (360 x 360mm external) access panel creates a protected openings in ceilings and walls for access to engineering services. Lightweight and slimline, this panel is made of injection-moulded ABS and offers easy installation into any wall or ceiling.",Trade Essentials/Building Supplies/Access Panels/Access Panels.csv -> Arctic Hayes Access Pannel 300 x 300 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/26/NW-651121_651126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf
6,P172919,Manthorpe Access Panel access panel 150 x 200mm White,Manthorpe,11.18,"A cost-effective solution for access to hidden services, this Manthorpe 243 x 193mm access panel keeps vital valves, electrics and other fittings set into a ceiling or wall in easy reach. Suitable for domestic use, this panel is manufactured from lightweight high-impact polystyrene (HIPS) with a smooth textured finish suitable for painting onto. Easy to install, the panel doors are fully detachable and can be removed if required.",Trade Essentials/Building Supplies/Access Panels/Access Panels.csv -> Manthorpe Access Panel access panel 150 x 200mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/20/NW-172919_172920_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Manthorpe_GL100_Instructions.pdf
7,P651122,Arctic Hayes Access Pannel 150 x 230 mm,Arctic Hayes,12.44,"A simple, low cost solution, this Arctic Hayes 150 x 230mm (190 x 270mm external) access panel creates a protected openings in ceilings and walls for access to engineering services. Lightweight and slimline, this panel is made of injection-moulded ABS and offers easy installation into any wall or ceiling.",Trade Essentials/Building Supplies/Access Panels/Access Panels.csv -> Arctic Hayes Access Pannel 150 x 230 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/26/NW-651121_651126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf
8,P172916,Manthorpe 1-hour fire rated access panel 300 x 300mm,Manthorpe,129.14,"This Manthorpe fire rated access panel creates fire-resistant openings in ceilings and walls to allow for maintenance of concealed engineering services and utility controls. Finished in a white powder coating, the metal panel is easy to clean and can be painted to match the surrounding decor. This panel is fitted with a catch lock opened via a T key, however a lockable version is also available, offering more substantial key lock for extra security.",Trade Essentials/Building Supplies/Access Panels/Access Panels.csv -> Manthorpe 1-hour fire rated access panel 300 x 300mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/16/NW-172916_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Manthorpe_GL150F_130_450_Instrcts.pdf
9,P651125,Arctic Hayes access panel 350 x 350mm,Arctic Hayes,27.92,"A simple, low cost solution, this Arctic Hayes 350 x 350mm (410 x 410mm external) access panel creates a protected openings in ceilings and walls for access to engineering services. Lightweight and slimline, this panel is made of injection-moulded ABS and offers easy installation into any wall or ceiling.",Trade Essentials/Building Supplies/Access Panels/Access Panels.csv -> Arctic Hayes access panel 350 x 350mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/26/NW-651121_651126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf
