,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Connection Size,Connection Type,Diameter,Range,Warranty,Weight,Hazardous,Material,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Attachment 4,Attachment 5,Drainage Product Type,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Application,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Pack Quantity,Paintable
0,PF42060,"McAlpine DC2-BL drain connector 4""/110mm x 1.1/4""x 1 1/2""",McAlpine,10.99,"This McAlpine 4 x 1 1/4 x 1 1/2"" drain reducer connector with sealing ring is designed to fit a plastic waste pipe to BS EN 1451-1:2000 and BS EN 1329-1:2000.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> McAlpine DC2-BL drain connector 4""/110mm x 1.1/4""x 1 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/60/NW-F42060_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F42060_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PF47311,"McAlpine FLEXCON2 half drain flexible connector 1.1/2""",McAlpine,6.75,"Made of polypropylene, this McAlpine 1 1/2 x 1 1/2"" flexible connector incorporates universal x plain spigot connections.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> McAlpine FLEXCON2 half drain flexible connector 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/11/NW-F47310_F47311_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F47311_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PF11909,Wavin Wavin OsmaSoil waste adaptor 110 x 32/40mm Black,Wavin,14.26,"This Wavin OsmaSoil 110 x 32/40mm waste adapter is made of black PVC and has push-fit connections for easy yet secure fitting. Designed for sanitary waste removal, the PVC-u OsmaSoil system is available in a wide variety of sizes and colours with both push-fit and solvent weld options to suit your installation.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> Wavin Wavin OsmaSoil waste adaptor 110 x 32/40mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/09/F11909_wm.jpg,,,,Black,110mm,Push Fit,110,Wavin OsmaSoil,1 year,0.176 kg,N,Rubber,BS EN 1329-1:2000,4S298,Adaptor,N,Specialist fittings: Within the OsmaSoil range you'll find a number of specialist fitting to make installations easier,"Specialist seal technology: OsmaSoil pipe and fittings have excellent seal integrity. This is due to an innovative co-moulded seal and cap, ensuring the seals do not dislodge and retain airtight socketed pipes via a co-moulded poplypropylene ring which is retained inside the socket",,,,,,,,,,,,,,,
3,PF41540,"McAlpine Z11M multi-fit tank connector 2""",McAlpine,5.63,"A McAlpine 2 x 2"" multifit straight tank connector with solvent weld x compression connections.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> McAlpine Z11M multi-fit tank connector 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/40/NW-F41540_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F41540_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PF41333,"McAlpine T28M straight multi-fit connector 1.1/2""",McAlpine,3.83,"This McAlpine 1 1/2 x 1 1/2"" multifit straight connector includes multifit connections with moulded internal sleeves designed to centre and support the pipe. Multifit and friction washers are used to create a secure seal between the pipe and the fitting wall of the fitting. Where a plastic pipe is undersized or out of shape it may be necessary to warm the end, enabling it to be pushed over the internal sleeve.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> McAlpine T28M straight multi-fit connector 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/33/NW-F41333_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F41333_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PF41541,"McAlpine Z28M straight multi-fit connector 2""",McAlpine,5.41,"This McAlpine 2 x 2"" multifit straight connector includes multifit connections with moulded internal sleeves designed to centre and support the pipe. Multifit and friction washers are used to create a secure seal between the pipe and the fitting wall of the fitting. Where a plastic pipe is undersized or out of shape it may be necessary to warm the end, enabling it to be pushed over the internal sleeve.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> McAlpine Z28M straight multi-fit connector 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/41/NW-F41541_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F41541_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PF41335,"McAlpine T11M multi-fit tank connector 1.1/2""",McAlpine,4.18,"A McAlpine 1 1/2 x 1 1/2"" multifit straight tank connector with solvent weld x compression connections.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> McAlpine T11M multi-fit tank connector 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/35/NW-F41335_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F41335_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PF41133,"McAlpine S28M straight multi-fit connector 1.1/4""",McAlpine,3.37,"This McAlpine 1 1/4 x 1 1/4"" multifit straight connector includes multifit connections with moulded internal sleeves designed to centre and support the pipe. Multifit and friction washers are used to create a secure seal between the pipe and the fitting wall of the fitting. Where a plastic pipe is undersized or out of shape it may be necessary to warm the end, enabling it to be pushed over the internal sleeve.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> McAlpine S28M straight multi-fit connector 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/33/NW-F41133_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F41133_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PF48380,"McAlpine male thread x universal straight connector BSP 1.1/2""",McAlpine,2.64,"This McAlpine 1 1/2 x 1 1/2"" straight connector includes BSP male x universal connections with moulded internal sleeves designed to centre and support the pipe. Multifit and friction washers are used to create a secure seal between the pipe and the fitting wall of the fitting. Where a plastic pipe is undersized or out of shape it may be necessary to warm the end, enabling it to be pushed over the internal sleeve.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> McAlpine male thread x universal straight connector BSP 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/80/NW-F48379_F48380_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F48380_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PF48306,"McAlpine ABS32/35G-CB ABS connector 32/35mm x 1.1/4"" Brass Chrome Plated",McAlpine,2.85,"A McAlpine 1 1/4"" x 32/35mm straight connector with chrome-plated brass compression x ABS solvent weld connections.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Connectors/Waste Pipe Connectors.csv -> McAlpine ABS32/35G-CB ABS connector 32/35mm x 1.1/4"" Brass Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/06/NW-F48306_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/F48306_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/McAlpine_Plumbing_Products_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
