,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Area (m2),Range,Warranty,Hazardous,Output (W),Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Diameter,Dimensions (L x W x D),Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Connection Size,Material,Number of Ports,Depth (mm),Feature 17,Thickness,Connection Type,Operating Temperature,Sector,Model For Use With
0,P261068,Myson Floortec MPRT RF radio frequency programmable thermostat,Myson,166.65,"Slimline and easy to use, the intuitive Myson Floortec MPRT RF programmable thermostat uses Smart Start technology to help users save up to 10% on heating bills by adjusting start-up to meet required temperatures at chosen times. This smart self-learning function makes heating more efficient, responding to climate conditions for comfort and convenience. Compatible with Myson Floortec underfloor heating systems and connectable to a 24V hard-wired wiring centre, this single thermostat offers control over several loops with simple 7 day programming and a choice of temperature settings.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> Myson Floortec MPRT RF radio frequency programmable thermostat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/68/261068_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_25085Underfloor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Myson_Floortec_Wiring-C_Stats_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P581429,JG Underfloor speedfit 3 port manifold 15mm conns,JG Underfloor,200.1,"Manufactured to the best possible quality, the JG Speedfit three zone underfloor heating manifold promises reliability and longevity. Manufactured in stainless steel, this manifold offers quick and easy installation thanks to its Speedfit push-fit connections, pre-assembled wall brackets and ready-fitted vibration isolation mounts and automatic air vent.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> JG Underfloor speedfit 3 port manifold 15mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/29/581429_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG UFH Fittings Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_UFH_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P262651,Myson Floortec TOUCH under floor heating touch screen thermostat and remote sensor,Myson,153.46,"Designed especially with underfloor heating systems in mind, the Myson Floortec Touch programmable thermostat with remote floor sensor provides optional 24 hour, 5/2 or 7 day programming for heating to suit a daily or weekly schedule. Featuring a clever Smart Start function, which works by delaying start-up during warmer weather, as well as useful functions such as temperature override and holiday mode, the Touch provides extra efficiency for welcome cost savings and improved control.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> Myson Floortec TOUCH under floor heating touch screen thermostat and remote sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/51/262650_262651_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Myson_Floortec_Wiring-C_Stats_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P517855,JG Underfloor Speedfit actuator 240v,JG Underfloor,32.61,"Suitable for control using a thermostat or programmer, this JG Underfloor Speedfit 240V actuator valve is used to open and close water flow to an individual circuit on an underfloor heating manifold.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> JG Underfloor Speedfit actuator 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/55/517855_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PP42097,Uponor Vario and act nc mt 30x1 5 24v,Uponor,47.56,"The Uponor Vario Plus 24V actuator is designed for use with the Pro 1"" underfloor heating manifold system.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> Uponor Vario and act nc mt 30x1 5 24v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/97/NW-P42097_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Uponor_PRO_1inch_Manifold_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P261059,Myson Floortec 240V wiring centre 240v,Myson,159.62,This Myson Floortec wiring centre is designed to connect and control thermostats and actuators in a 230V power supply.,Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> Myson Floortec 240V wiring centre 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/59/261059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Myson_UnderfloorHeating_Introduction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Myson_25085Underfloor_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Myson_Floortec_Wiring-C_Stats_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P517340,Polypipe UFH Systems 2-wire valve actuator,Polypipe,34.14,"This Polypipe two wire valve actuator opens and closes a heating circuit on Polypipe's underfloor heating Smart Plus manifold in reaction to heat demand. Helping to improve your system's energy efficiency by allowing individual room temperature control, this UFCH valve actuator mechanism can help save on utility bills and minimise waste. The actuator uses a PTC resistor-heated wax element and compression spring, the operating voltage applying heat to the wax elevment and therefore moving an integrated ram. The force generated by this movement is transferred to the valve motor for operation of the actuator.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> Polypipe UFH Systems 2-wire valve actuator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/40/517340_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_Plumbing&Heating_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/n_/19/Polypipe_Underfloor_Heating_Jan_19.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Polypipe_PB00401_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Polypipe_Plumbing_Heating _Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P581459,JG Underfloor Speedfit MKIT01 manifold flow meter,JG Underfloor,11.45,"Offering simple installation, this JG Underfloor Speedfit manifold flow meter is compatible with a wide range of JG underfloor heating systems.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> JG Underfloor Speedfit MKIT01 manifold flow meter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/59/581459_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/JG_Speedfit_UK_Trade_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG UFH Fittings Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P581453,JG Underfloor Speedfit wireless co-ordinator,JG Underfloor,46.4,"Easy to connect, the JG Underfloor Speedfit wireless coordinator enables the communications in a wireless underfloor heating control system and facilitates the automated pairing of JG Aura products.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> JG Underfloor Speedfit wireless co-ordinator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/53/581453_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JGSpeedfit_Aura_Wireless_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JGSpeedfit_Aura_JGHUB2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/JG_Speedfit_UHF_Brochure_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/JG_Speedfit_Aura_UFH_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/JG_Speedfit_Instruction_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG UFH Fittings Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P581401,JG Underfloor Speedfit manifold isolating valve,JG Underfloor,6.5,A JG Underfloor Speedfit manifold isolating valve for use in underfloor heating systems.,Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating.csv -> JG Underfloor Speedfit manifold isolating valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/01/581401_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/JG_Underfloor_Product_Guide_Feb-2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Speedfit_PushFit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Speedfit_UnderFloorHeating_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Speedfit_UFHeating_installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
