,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Physical State / Form,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 4,Pack Quantity,Feature 2,Feature 3,Weight,Handle Type,Material,Feature 4,Feature 5,Dimensions (L x W x D)
0,P506070,Center CB lead free solder spool 1/2kg,Center CB,23.5,"This Center CB solder wire for the repair, maintenance and setting of flawless joints. Following all relevant health and safety requirements and tested to meet BS/EN standards, this wire is suitable for use in potable water supplies.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Center CB lead free solder spool 1/2kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/70/NW-506070_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_506070_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_506070_MSDS.pdf,,,,,,,,,,,,,,,,,,,
1,PN20114,"Rothenberger Plumbers Soldering Mat 10 x 10""",Rothenberger,12.67,"Protecting surfaces during soldering, this Rothenberger 10 x 10"" plumbers soldering mat deflects heat up to 1000°C. Incorporating Ecomab high temperature paper infill and reinforced Kevlar thread binding, this flexible two-ply gold silica mat offers increased strength and integrity, wrapping around corners and pipework for added convenience.","Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger Plumbers Soldering Mat 10 x 10""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/14/NW-N20114_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Rothenberger_Silicatex_600_1200_Tech.pdf,,,,,,,,,,,,,,,,,,,
2,P689174,Imperial Oxyturbo Turbo Set 1000 turbo set 1000 mini brazing kit,Imperial,293.45,"Designed to be used with disposable cylinders, this Imperial Oxyturbo Turbo Set 1000 portable brazing kit includes oxygen and high performance Maxy gel fuel giving you temperatures of up to 3050°C. Highly portable, the whole set weighing just 5kg, this convenient kit keeps cylinders securely contained in a high quality metal rack with a carriage lock for safe storage.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Imperial Oxyturbo Turbo Set 1000 turbo set 1000 mini brazing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/74/NW-689174_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Advanced_Engineering_Maxy_Gas_SDS.pdf,,,,,,,,,,,,,,,,,,,,
3,P689153,Advanced Engineering Oxygen for Turbo Set oxygen (for turbo set 90/1000),Advanced Engineering,30.09,This Advanced Engineering oxygen cylinder for the Turboset 1000 portable professional torch includes integral gas control for user controllable flame intensity. It also incorporates a useful pressure gauge to helpfully indicate how much gas remains inside the oxygen bottle.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Advanced Engineering Oxygen for Turbo Set oxygen (for turbo set 90/1000),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/53/NW-689153_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Advanced_Engineering_Maxygas_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Advanced_Engineering_Turbo-Set_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Advanced_Engineering_Oxygen_SDS.pdf,,,,,,,,,,,,,,,,,,
4,P581020,Laco Regular regular flux paste jar 475g,Laco,10.46,"Offering superior detergent action to clean as it solders, this Laco regular flux paste has a pH value of 6.5 - 7 pH.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Laco Regular regular flux paste jar 475g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/20/NW-581019_581020_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Laco_Flux_Paste_MSDS.pdf,,,,,,,,,,,,,,,,,,,,
5,P514141,Wiseman Everflux large tub 250ml,Wiseman,14.37,"Suitable for use on gas and potable water installations, this Wiseman Everflux water-soluble plumbing flux offers convenient, high-speed flux technology, cleverly cleaning as it joins copper pipe.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Wiseman Everflux large tub 250ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/41/NW-514141_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wiseman_Merchants_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Wiseman_Everflux_Soldering_Flux_SDS.pdf,,,,,,,,,,,,,,,,,,,
6,P581218,Center soldering flux paste 250g,Center,5.77,"Acid-free and non-toxic, this Center CB soldering flux paste helps to produce perfectly soldered joints in most types of metal. This specially formulated flux cleans as solder for even distribution of the solder into the fitting for reliable jointing.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Center soldering flux paste 250g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/18/581218_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_581218-581219_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_581218-581219_Technical.pdf,,,,,,,,,,,,,,,,,,,
7,P655801,Rothenberger Super Fire 2 3-5644X brazing torch,Rothenberger,85.0,"Offering fully adjustable flame control and a constant flame mode, the Rothenberger Super Fire 2 torch has a guaranteed 360° anti flare. A 1"" thread connection is suitable for use with MAP/Pro and propane while the option to fit a swirl flame or cool tip with filter jet, for safer burning and a finer flame, makes this a real all-rounder for a wide range of brazing and soldering jobs. Fully serviceable, the Super Fire 2 is compatible with replacement parts for a long service life.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger Super Fire 2 3-5644X brazing torch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/01/NW-655801_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Rothenberger_SuperFire2_Torch_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Rothenberger_QuickFireSuperFireGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Refrgrtn_AC_Catalogue.pdf,,,,,,,,,,,,,,,,,,
8,P671629,Johnson Matthey Silverflo 38 flux coated rod 1.5 x 500mm (Pack of 5),Johnson Matthey,42.12,"Johnson Matthey SILVER-FLO 38 metal filler joins common engineering metals such as copper, copper alloys (brass, bronze, nickel silver, aluminium bronze, copper nickel), nickel alloys, steel, stainless steel and tungsten carbide. With similar properties to SILVER-FLO 40 and a medium brazing temperature, melting range, flow characteristics and silver content, SILVER-FLO 38 is preferred in different global regions where it is also used in general purpose and HVAC&R.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Johnson Matthey Silverflo 38 flux coated rod 1.5 x 500mm (Pack of 5),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/29/NW-671629_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Johnson_Matthey_SILVER_FLO_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Johnson_Matthey_SILVER_FLO_MJ_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Johnson_Matthey_MJ_AlloysFluxes_Brcr.pdf,,,,,,,,,,,,,,,,,,
9,P688849,Rothenberger 3.5741 oxygen cylinder 110bar,Rothenberger,31.2,"This Rothenberger 950ml 110 bar disposable oxygen cylinder is a mobile version of the brand's 2L oxygen cylinder. Ideally suited for portable use, it is compatible with Rothenberger ALLGAS mobile or Roxy kit series gas welding and brazing devices.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger 3.5741 oxygen cylinder 110bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/49/NW-688849_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rothenberger_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Rothenberger_Oxygen-Cylinder_SDS.pdf,,,,,,,,,,,,,,,,,,,
