,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Style,Warranty,Hazardous,Depth (mm),Door Opening Orientation,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Range,Demisting,Shape,Feature 8,Attachment 4,Attachment 5,Dimensions (L x W x D),Feature 9,Feature 10,Feature 11,Feature 12
0,PC31013,Nabis Sense vanity unit with basin 600mm White Gloss,Nabis,135.45,"The modern Nabis Sense 883 x 600 x 440mm two-door vanity unit is made of wood with a clean and durable gloss white finish. With two soft close doors, this bathroom cabinet provides plenty of storage for all of your bathroom essentials.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis Sense vanity unit with basin 600mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/13/NW-C31013_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Sense_600_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/as/in/Nabis_Sense_600_Basin.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PC31005,Nabis Sense WC unit 500mm White Gloss,Nabis,177.9,Nabis Sense 500mm full height WC unit is available in white gloss finish. It is suitable for use with all back to wall toilets.,Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis Sense WC unit 500mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/05/NW-C31005_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Nabis_Bathroom_Edi1_Brochure_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PC31003,Nabis Sense vanity basin unit 555mm White Gloss,Nabis,127.5,"Finished in clean, light reflective white gloss, this Nabis Sense 844 x 555mm bathroom vanity basin unit provides plenty of useful toiletry storage behind soft close doors.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis Sense vanity basin unit 555mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/03/NW-C31003_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_Sense_600_Basin_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PE19175,Atlanta Fitted counter top unit 600mm Indigo,Atlanta,208.24,"This Atlanta Fitted 820 x 600mm basin unit is designed for semi-recessed basin, providing off-floor storage to create a sense of space and keep medicines and cleaning products out of reach of little hands behind two soft close doors. This unit is finished in on-trend matte Indigo, a deep blue that provides a stunning backdrop to crisp white sanitaryware and tiling.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Atlanta Fitted counter top unit 600mm Indigo,,Basin unit;Adjustable legs;Adjustable shelf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/75/E19175_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/9-/20/Atlanta_BathFurniture_Brchr_2019-20.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PE12087,Hib Drilled  drilled mirror 4mm float glass 60 x 45cm,Hib,22.29,"Ready-drilled for ease of hanging, this rectangular HiB mirror measures 600 x 450mm. Made using 4mm float glass, this simple, elegant bathroom mirror provides a clean and clear reflection.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Hib Drilled  drilled mirror 4mm float glass 60 x 45cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/87/NW-E12086_E12087_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/HiB_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PC22284,Nabis Vision plinth 1300mm White Gloss,Nabis,36.46,"This Nabis Vision 1300 x 175mm plinth is finished in clean white gloss. Easy to install, this plinth is made of quality FSC certified wood.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis Vision plinth 1300mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/84/NW-C22284_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Nabis_Plinth_1300_Long_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_Bathroom_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Nabis_W_Base_Cladding_&_Plinths_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PC22657,Nabis Deco toilet unit 500mm Natural Oak,Nabis,180.62,"Nabis Deco 500mm toilet unit is made of 16mm MFC, 0.8mm ABS laminate and available in natural oak colour. This stylish range of toilet units designed to complement the beautiful Deco range of bathroom furniture.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis Deco toilet unit 500mm Natural Oak,,Toilet unit;Fixings - KEKU clips;Fitting instructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/57/NW-C22657_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22655-C22662_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PC22704,* NAB DEC 500MM FRAMELSS MIRROR ALU,Nabis,88.95,"With a neat aluminium finish, the Nabis Deco frameless mirror is designed to complement the Deco bathroom furniture range. Compliant with EN and FIRA guidance, the Deco is suitable for both commercial and domestic use.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> * NAB DEC 500MM FRAMELSS MIRROR ALU,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/04/NW-C22704_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Nabis_Bathroom_Edi1_Brochure_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_C22703-C22707_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_C22703-C22707_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,PC24109,Nabis Vision fascia pack for back-to-wall toilet unit 500mm White Gloss,Nabis,66.9,"Finished in white gloss, this Nabis Vision door pack is designed for use with 500mm back-to-wall toilet units. This pack is easy to install and made of high quality FSC certified wood.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Nabis Vision fascia pack for back-to-wall toilet unit 500mm White Gloss,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/09/NW-C24109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_BTW_Toilet_Unit_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT41457,Scudo Lanza 390x780x215mm Floorstanding Unit - White High Gloss,Scudo,87.69,"Manufactured in tough and moisture-resistant MDF, the Scudo Lanza 390 x 780 x 215mm cloakroom vanity unit provides useful storage in smaller size bathrooms. Modern and compact, the unit is finished in a simple glossy white with soft-close doors concealing handy internal storage suitable for cleaning products or spare toiletries.",Bathrooms and Kitchens/Bathroom Furniture/Bathroom Furniture.csv -> Scudo Lanza 390x780x215mm Floorstanding Unit - White High Gloss,,Vanity unit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/_a/T41457_A_wm.jpg,,,,White,Contemporary,Lifetime,N,200,Left to Right,MDF,LANZAFLOOR,Cloakroom Vanity Unit,N,Floor-mounted design,Moisture-resistant MDF construction,White high gloss finish,With soft-close doors,Chrome or black vertical bar handle,Fully assembled for ease of fitting,Lifetime warranty,,,,,,,,,,,
