,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Model For Use With,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Attachment 2,By Model Number,Range For Use With,Feature 1,Feature 2,Feature 3,Feature 4,Part Gas Council number
0,P468290,Alpha printed circuit board,Alpha,201.05,"A printed circuit board designed for use in Alpha InTec, Eco and InTec ErP boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha printed circuit board,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/90/468290_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_InTec_Installation.pdf,,,,,,,,,,,,,,,
1,P468332,Alpha flame sensing electrode,Alpha,32.41,"This electrode is a branded spare part designed for Alpha InTec ErP, InTec and Eco range boilers.  An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha flame sensing electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/32/468332_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_30GS_40GS_Installation.pdf,,,,,,,,,,,,,,,
2,P449818,Alpha universal NTC thermistor,Alpha,13.3,"An Alpha universal NTC temperature wet thermistor sensor with screw-in connection suitable for 240, 280, C, CB, CD, CDS, Eco, HE, InTec ErP, InTec, CDX, SY and 500 E boiler ranges.  The thermistor decreases circuit resistance in line with temperature increases. A boiler's printed control board (PCB) sends a current to the thermistor, deciding whether a decrease or increase in heat is required by reading the relative resistance.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha universal NTC thermistor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/18/449818_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CD28S_Installation.pdf,,,,,,,,,,,,,,,
3,P468303,Alpha filling loop handle,Alpha,3.19,"An Alpha brand filling loop handle designed for use in CD range boilers.  For use in central heating boilers and systems, allowing the user to manually top-up the amount of water in the system if the pressure drops. External loops are usually removable in keeping with regulations, while internal filling loops normally feature a key that can be removed to interrupt the connection after use.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha filling loop handle,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/03/468303_wm.jpg,,N,"CD 28C LPG, CD 25C, CD 25C LPG, CD 28C, CD 35C, CD 35C LPG",Heat Exchanger,CD Range,1.026710,Filling Loop Handle,N,,,,,,,,
4,P453768,Alpha case seal,Alpha,8.78,"This Alpha brand room chamber seal is a foam strip for the room-sealed chamber front cover in ProTec, InTec, C, CB, CD, CDS, HE, SY and E-Tec boiler ranges.  Seals are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha case seal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/68/453768_wm.jpg,,N,"100 Plus LPG, 100 Plus, 115 LPG, 115, 115 Plus, 115 Plus LPG, 50, 50 LPG, 50 CS, 50 Plus, 50 Plus LPG, 60 Plus LPG, 60 Plus, 70 LPG, 70, 70 Plus, 75 Plus, 90, 90 LPG, 90 Plus, 90 Plus LPG, C 23, C 23 LPG, C 27, C 27 LPG, CB 24, CB 24 LPG, CB 24X, CB 24X",Fan Combustion Chamber,"ProTec Range, InTec Range, C Range, CB Range, CD Range, CDS Range, HE Range, SY Range, E-Tec Range",1.013154,Seal,N,,,,,,,,
5,P453764,Alpha filling loop,Alpha,50.51,"This filling loop is a useful spare part for Alpha 240, InTec, 280, CB, CD, HE and InTec ErP range boilers.  For use in central heating boilers and systems, allowing the user to manually top-up the amount of water in the system if the pressure drops. External loops are usually removable in keeping with regulations, while internal filling loops normally feature a key that can be removed to interrupt the connection after use.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha filling loop,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/64/453764_wm.jpg,,N,"240, 240 E, 240 E LPG, 240 Eco, 240 P, 240 XE, 240 XP, 26 C, 26 C LPG, 280 E, 280 E LPG, 280 P, 30 C, 30 C LPG, 30 GS, 30 GS LPG, 34 C, 34 C LPG, 40 GS, 40 GS LPG, CB 24, CB 24 LPG, CB 28, CB 28 LPG, CB 50, CB 50 LPG, CD 24C, CD 24C LPG, CD 25C, CD 25C L",Heat Exchanger,"240 Range, InTec Range, 280 Range, CB Range, CD Range, HE Range, InTec ErP Range",3.015849,Filling Loop,N,,,,,,,,
6,P468426,Alpha printed circuit board kit,Alpha,194.77,"A genuine Alpha part, this printed circuit board kit is compatible with InTec2 and Eco boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha printed circuit board kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/26/468426_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_Eco2_Installation.pdf,,,,,,,,,,,,,,,
7,P431777,Alpha Eco2 gas valve,Alpha,134.2,"This gas valve kit is for use in Alpha's InTec2 and Eco boilers.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha Eco2 gas valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/77/431777_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_InTec2_Installation.pdf,,,,,,,,,,,,,,,
8,P468272,Alpha ignition electrode and lead,Alpha,47.0,"An Alpha spare part, this electrode assembly with ignition electrode and lead is suitable for CD, CDS, Eco, InTec, InTec ErP and CDX range boilers.  An ignition (spark) electrode causes the spark that begins combustion within the burner while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha ignition electrode and lead,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/72/468272_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_40GS2_Installation.pdf,,,,,,,,,,,,,,,
9,P468415,Alpha 1.030996 expansion vessel,Alpha,120.32,"A genuine Alpha part, this expansion vessel is suitable for boilers in the Alpha Eco, InTec and InTec ErP ranges.  A chamber designed to protect water heating systems from excess pressure, the expansion vessel is filled with air which acts as a cushion against system pressure surges.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha 1.030996 expansion vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/15/468415_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_30GS_40GS_Installation.pdf,,,,,,,,,,,,,,,
