,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Flow Rate,Range,Voltage (V),Warranty,Phase,Hazardous,Output,Depth (mm),Frequency,Pressure Rating,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Weight,Attachment 5,Connection Type,Max Pressure,Material,Operating Pressure,Maximum Operating Temperature,Application,Capacity Litre
0,PD00601,Salamander HomeBoost mains pressure booster pump,Salamander,318.01,"The Salamander HomeBoost mains booster pump is an excellent solution for low pressure systems as it can detect when water flow is below twelve litres per minute and will boost it to reach the desired rate. This intelligent pump can considerably improve both tap and shower flow by increasing pressure to 1.5 bar, enhancing your customer’s water power when they need it most.   Compatible with a wide variety of combi boilers, the compact HomeBoost pump is easy to install and can be fully operational in just one hour. Plus, as this booster pump doesn’t require a pressure relief valve, installation time is significantly reduced, making it the perfect solution for you and your clients. What’s more, this mains booster pump operates at an extremely low 46 decibels, even quieter than a boiling kettle, so you can assure your customer they will barely notice it’s there.   Make low water pressure a thing of the past with this exceptionally high quality Salamander HomeBoost mains booster pump, available today with an outst",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Salamander HomeBoost mains pressure booster pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/01/NW-D00601_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Salamander_MainsBoostr_Pump_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Salamander_HBoost_CBoost_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,PS25300,Dab Pumps E.Sybox single unit 1 booster pump,Dab Pumps,1536.0,"Suitable for domestic or residential use, the Dab Pumps 1.55kW 220 - 240V E.SYBOX is an integrated electronic water pressurisation system, supplying constant water pressure, while saving on energy. Recommended for potable water and domestic plants, for gardening and irrigation, E.SYBOX requires no extra components for installation. Incorporating a water-cooled motor, a protective, sound damping ABS hull, anti-vibration feet and reliable electronics, this compact system is ultra-quiet, emitting just 45dB during normal use. Its wireless system gives users the opportunity to create pressurisation groups to connect with other DB devices such as Easylink.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Dab Pumps E.Sybox single unit 1 booster pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/00/NW-S25300_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Dab_Pumps_E-SYBOX_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dab_Pumps_E-SYBOX_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Dab_Pumps_E-SYBOX_Instruction.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PS25299,Dab Pumps easybox cold water tank,Dab Pumps,1350.0,"The Dab Pumps E.SYTANK is a 480L drinking water storage tank, designed with integration of the E.SYBOX booster pump system. This complete tank and pump system boosts mains water supply in residential and light commercial applications.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Dab Pumps easybox cold water tank,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/99/NW-S25299_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dab_Pumps_E_Sybox_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Dab_Pumps_General_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Dab_Pumps_E_SyTank_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Dab_Pumps_E_SyTank_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PD65424,Stuart Turner Stormboost mains water pressure booster,Stuart Turner,288.81,"The Stuart Turner Stormboost mains water pressure booster is capable of improving mains water pressure by a maximum of 2.5 bar with a flow rate of up to 12LPM. This reliable pump comprises an induction motor and quality brass-constructed pump head along with a pair of anti-vibration hoses. It is capable of boosting water pressure to single bathroom properties fitted with a combi boiler, connecting directly to the incoming mains line and automatically activating when a tap is turned or a shower is started.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Stuart Turner Stormboost mains water pressure booster,,Stormboost pump;Ant-vibration hoses;Installation guide,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/24/D65424_wm.jpg,,,,,Black /  Brass,12 L/min,Stormboost,165-265 V a.c,5 Years,1,N,0.34 kW,215,50/60,6 bar,"WRAS, KIWAREG4, UKCA, CE",47708,Mains Boosting Pump,N,Boosts mains water pressure by up to 2.5 bar,Maximum pump output flow rate of 12LPM,With integral bypass,Automatic operation,High quality brass pump body and impeller,Anti-vibration connection hoses included,WRAS approved,KIWA Reg 4 Certified,UKCA-CE certified,5 year warranty,,,,,,,,,,,,
4,P112877,Grundfos Hydro MPC-E 2 CRIE 10-3 booster set,Grundfos,17933.0,"A compact assembly, the Grundfos Hydro MPC-E 2 CRIE 10-3 booster set is supplied to DIN standard 1988/T5.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Hydro MPC-E 2 CRIE 10-3 booster set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/77/112877_wm.jpg,,,,,Black/Stainless Steel,24.2 m³/h,,380-415,,3,N,2.2 kW,1250,50,16 bar,N/A,98426933,Booster System,N,With frequency controlled pumps,Black and stainless steel finish,16 bar pressure rating,,,,,,,,,,,,,,,,,,,
5,P104038,Grundfos Hydro MPC-E 3 CRIE15 pressure booster system,Grundfos,32027.0,"Supplied as a compact assembly per DIN standard 1988/T5, this Grundfos Hydro MPC-E CRIE15-3 three phase pressure booster system incorporates speed-controlled CRIE pumps with high efficiency electronically commutated permanent-magnet motors. The pumps are equipped with a service-friendly cartridge shaft seal, HQQE (SiC/SiC/EPDM).",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Hydro MPC-E 3 CRIE15 pressure booster system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/38/NW-104038_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Hydro_MPC_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Hydro_MPC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P104514,Grundfos Hydro MPC-E 3 booster pump,Grundfos,35229.0,"An innovative design suitable for industrial and building services, the Grundfos Hydro Multi-E pressure booster system is tested and ready to install. Comprising CRE/CRIE vertical multi-stage pumps or CME horizontal multi-stage pumps connected in parallel and mounted on a common base, Multi-E systems allow for easy set point adjustment via the control panel while advanced control ensures other adjustments are made in order to maintain constant pressure.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Hydro MPC-E 3 booster pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/14/104514_wm.jpg,,,,,Black/Stainless Steel,36.3 m³/h,Hydro MPC-E 3,380-415,,3,N,5.5 kW,1040,50/60,16 bar,N/A,99257269,Hydro Booster System,N,Integral easy to use controls with large display,Energy-optimised control,2 - 3 pumps in cascade,Plug and pump solution with no extra programming or cabling required,Data communication,Perfect constant pressure,Reduced noise level,Space-saving installation with no need for control cabinets,Compatible with Grundfos GO remote control,Multi master control system,No single point of failure,WRAS approved,,,,,,,,,,
7,P110086,Grundfos Hydro MPC-E 2 CRIE 4 booster system,Grundfos,14464.0,"Supplied as a compact assembly per DIN standard 1988/T5, this Grundfos Hydro MPC-E CRIE5-4 three phase pressure booster system incorporates speed-controlled CRIE pumps with high efficiency electronically commutated permanent-magnet motors. The pumps are equipped with a service-friendly cartridge shaft seal, HQQE (SiC/SiC/EPDM).",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Hydro MPC-E 2 CRIE 4 booster system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/86/NW-110086_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Hydro_MPC_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Hydro_MPC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P112874,Grundfos Hydro MPC-E 3 CRIE 5-4 booster set,Grundfos,18802.0,"A compact assembly, the Grundfos Hydro MPC-E 3 CRIE 5-4 booster set is supplied to DIN standard 1988/T5.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Hydro MPC-E 3 CRIE 5-4 booster set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/74/112874_wm.jpg,,,,,Black/Stainless Steel,20.7 m³/h,,200-240,,1,N,1.1 kW,1550,50,16 bar,N/A,98426912,Booster System,N,With frequency controlled pumps,Black and stainless steel finish,16 bar pressure rating,,,,,,,,,,,,,,,,,,,
9,PD64922,Stuart Turner Mainsboost vessel horizontal water boosting system,Stuart Turner,1224.85,"The MAINSBOOST MB 250SH-1 is designed for 'direct on mains' systems (unvented hot water cylinders and combination boilers) where the incoming mains pressure is greater than 2.5 bar but the flow is insufficient to meet demand. Supplied with a mounting cradle, these vessel systems are installed horizontally and are ideal for use under the eaves in loft spaces. MAINSBOOST vessel systems do not require an electrical supply and operate silently. System cold water storage capacity can be expanded simply by adding one or more MAINSBOOST Add-on units as required.  If the incoming mains water pressure is less than 2.5 bar, a MAINSBOOST Charger pump can be used in conjunction with the MAINSBOOST vessel system to boost pressure. The MAINSBOOST MB 250SH-1 features a nominal vessel size of 250 litres and a pressurised cold water water storage capacity of approximately 137 litres. Each unit is supplied with the unique compact MAINSBOOST Monobloc 22/28mm Upstream Kit (USK) as standard which significantly simplifies installa",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Stuart Turner Mainsboost vessel horizontal water boosting system,,Mainsboost vessel;Mounting cradle (pair) Monobloc upstream line-in kit;Installation guide,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/22/NW-D64922_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stuart_Turner_Steel_Vessel_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/si/on/Stuart_Turner_Steel_Hor_Dimension.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Stuart_Turner_Steel_Vessel_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fo/rm/Stuart_Turner_Mainsboost_Survey_Form.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
