,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Range,Attachment 1,Attachment 2,Pack Quantity,Attachment 3,Connection Type,Single / Double,Material,Thread Size,Standards,Feature 3,Feature 4,Feature 5
0,P255685,Midland Brass single check valve 22mm,Midland Brass,5.49,"This Midland Brass 22mm check valve is made of robust brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Midland Brass single check valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/85/255685_wm.jpg,22 mm,N,CMBFSCV-22,Check Valve,N,Brass construction,22mm size,,,,,,,,,,,,,
1,P255687,Midland Brass double check valve (DZR) 15mm,Midland Brass,4.14,"WRAS approved, this Midland Brass 15mm check valve is made of tough DZR brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Midland Brass double check valve (DZR) 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/87/NW-255687_wm.jpg,15mm,N,CMBFDCV-15,Check Valve,N,WRAS approved,,,,,,,,,,,,,,
2,P255682,Midland Brass Navigator double check valve (DZR) 15mm,Midland Brass,4.14,"Made of DZR brass, this Midland Brass 15mm check valve is designed for spanner operation.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Midland Brass Navigator double check valve (DZR) 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/82/NW-255682_wm.jpg,15mm,N,TBFDCV-15,Check Valve,N,DZR brass construction,15mm size,Navigator,,,,,,,,,,,,
3,P255684,Midland Brass single check valve 15mm,Midland Brass,4.06,"This Midland Brass 15mm check valve is made of robust brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Midland Brass single check valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/84/NW-255684_wm.jpg,15mm,N,CMBFSCV-15,Check Valve,N,Brass construction,15mm size,,,,,,,,,,,,,
4,P255680,Midland Brass single check valve 15mm,Midland Brass,2.84,"This Midland Brass 15mm check valve is made of robust brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Midland Brass single check valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/80/255680_wm.jpg,15mm,N,TBFSCV-15,Check Valve,N,DZR brass construction,15mm size,,,,,,,,,,,,,
5,PK74203,Rubinetterie 24 spring check valve (BSP) 15mm Brass,Rubinetterie,7.82,"Designed to make sure that liquid or gas flows in just one direction, this 24 spring single check valve with 15mm BSP female connection recognises flow and velocity, closing automatically to prevent backflow. Suitable for a maximum pressure of 40 bar, this valve has a brass body and FKM seat.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Rubinetterie 24 spring check valve (BSP) 15mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/11/NW-K74202_K74211_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,
6,PK74477,JET Range 38 swing check valve (BSP) PN20 20mm Bronze,JET Range,97.09,"Suitable for Group 1 and Group 2 liquids and Group 2 gases, the JET Range 38 PN20 20mm swing check valve prevents reverse flow in pipelines. With a robust bronze body and cap, this self-acting valve includes threaded BSP female connections.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> JET Range 38 swing check valve (BSP) PN20 20mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/81/NW-K74476_K74481_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET38_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,
7,PK74235,JET Range DZR DZR copper x copper double check valve 28mm,JET Range,35.27,"This JET Range DZR copper x copper double check valve, which includes BSP female x BSP male 28mm connections, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> JET Range DZR DZR copper x copper double check valve 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/38/NW-K74233_K74238_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,
8,P255689,Midland Brass double check valve (DZR) 28mm (5),Midland Brass,14.6,"Made of reliable DZR brass, this Midland Brass 28mm check valve is designed for spanner operation.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Midland Brass double check valve (DZR) 28mm (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/89/NW-255688_255689_wm.jpg,28 mm,N,CMBFDCV-28,Check Valve,N,DZR brass construction,28mm size,,,,5,,,,,,,,,
9,PK74234,JET Range DZR DZR copper x copper double check valve 22mm,JET Range,22.68,"This JET Range DZR copper x copper double check valve, which includes BSP female x BSP male 22mm connections, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> JET Range DZR DZR copper x copper double check valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/38/NW-K74233_K74238_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,
10,PK74236,JET Range DZR DZR copper x copper double check valve 32mm,JET Range,54.26,"This JET Range DZR copper x copper double check valve, which includes BSP female x BSP male 32mm connections, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> JET Range DZR DZR copper x copper double check valve 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/38/NW-K74233_K74238_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,
11,P255690,Midland Brass double check valve (DZR) 15mm Chrome Plated,Midland Brass,5.29,"WRAS approved, this Midland Brass 15mm check valve is made of tough DZR brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Midland Brass double check valve (DZR) 15mm Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/90/NW-255690_wm.jpg,15mm,N,CMBFDCVCP-15,Check Valve,N,WRAS approved,,,,,,,,,,,,,,
12,P255686,Midland Brass single check valve 28mm (5),Midland Brass,9.21,"This Midland Brass 28mm check valve is made of robust brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Midland Brass single check valve 28mm (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/86/255686_wm.jpg,28 mm,N,CMBFSCV-28,Check Valve,N,Brass construction,28mm size,,,,5,,,,,,,,,
13,PK74478,JET Range 38 swing check valve (BSP) PN20 25mm Bronze,JET Range,132.03,"Suitable for Group 1 and Group 2 liquids and Group 2 gases, the JET Range 38 PN20 25mm swing check valve prevents reverse flow in pipelines. With a robust bronze body and cap, this self-acting valve includes threaded BSP female connections.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> JET Range 38 swing check valve (BSP) PN20 25mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/81/NW-K74476_K74481_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_JET38_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,
14,PK74206,Rubinetterie 24 spring check valve (BSP) 32mm Brass,Rubinetterie,20.2,"Designed to make sure that liquid or gas flows in just one direction, this 24 spring single check valve with 32mm BSP female connection recognises flow and velocity, closing automatically to prevent backflow. Suitable for a maximum pressure of 25 bar, this valve has a brass body and FKM seat.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Rubinetterie 24 spring check valve (BSP) 32mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/11/NW-K74202_K74211_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,
15,PK11486,Crane D138 check valve (BSP) PN25 32mm Bronze,Crane,334.47,"The Crane D138 PN25 32mm check valve has a 1 1/4"" BSP tapered female connection. This non-return valve is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Check Valves/Check Valves.csv -> Crane D138 check valve (BSP) PN25 32mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/86/NW-K11486_wm.jpg,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_KM-07296_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D138_Check_Valve_Technical.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_J1483_Check_Valve_Install.pdf,,,,,,,,
