,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Connection Size,Diameter,Warranty,Hazardous,Energy Efficiency Class,Material,Mounting Type,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Range,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Colour,Connection Type,Pressure,Voltage (V),Weight,Overheat Protection,Direct / Indirect,Insulation Type,Application,Feature 15,Grade,Pack Quantity,Feature 16
0,P176704,CenterStore indirect unvented cylinder 210ltr,CenterStore,702.75,"A perennially popular choice, the resilient CenterStore 210L indirect cylinder is a purpose-built unvented water heater with a corrosion-resistant stainless steel inner vessel plus a tough duplex stainless steel and thermoplastic outer casing for long-lasting performance and a neat finish. Insulated with CFC-free polyurethane foam, this efficient water cylinder ensures minimal heat loss and delivers fast mains pressure water for frustration-free fast filling baths and hot, powerful showers.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore indirect unvented cylinder 210ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/06/176701_176706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Centerstore_210L_Indirect_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_176701-176706_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_DirectIndirect_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/CenterStore_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Centerstore Fiche.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P176701,CenterStore Indirect unvented cylinder 120ltr,CenterStore,585.59,"A perennially popular choice, the resilient CenterStore 120L indirect cylinder is a purpose-built unvented water heater with a corrosion-resistant stainless steel inner vessel plus a tough duplex stainless steel and thermoplastic outer casing for long-lasting performance and a neat finish. Insulated with CFC-free polyurethane foam, this efficient water cylinder ensures minimal heat loss and delivers fast mains pressure water for frustration-free fast filling baths and hot, powerful showers.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore Indirect unvented cylinder 120ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/06/176701_176706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterStore_120-210_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/176701_CenterStore_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Centerstore_120L_Indirect_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_i/15/CenterStore_Dirct-Indirct_Instal_I15.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P176705,CenterStore Indirect unvented cylinder 250ltr,CenterStore,807.26,"A perennially popular choice, the resilient CenterStore 250L indirect cylinder is a purpose-built unvented water heater with a corrosion-resistant stainless steel inner vessel plus a tough duplex stainless steel and thermoplastic outer casing for long-lasting performance and a neat finish. Insulated with CFC-free polyurethane foam, this efficient water cylinder ensures minimal heat loss and delivers fast mains pressure water for frustration-free fast filling baths and hot, powerful showers.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore Indirect unvented cylinder 250ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/06/176701_176706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_176701-176706_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_DirectIndirect_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/CenterStore_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Centerstore Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Centerstore_250L_Indirect_ErP.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P175200,Heatrae Sadia Megaflo Eco slimline direct unvented cylinder 100ltr,Heatrae Sadia,894.2,"Combining performance and reliability, this 100L Heatrae Sadia Megaflo Eco Slimline cylinder contains the brand's tried-and-tested internal expansion system. A more compact version of the Megaflo Eco, ideal for homes where space is at a premium, this taller, slimmer cylinder stores the same amount of water as standard units in a fraction of the footprint with no loss of hot water performance. Suitable for domestic or light commercial installations, the Megaflo Eco Slimline is easy and fast to fit and built with duplex stainless steel for long-lasting durability backed by a lifetime warranty.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> Heatrae Sadia Megaflo Eco slimline direct unvented cylinder 100ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/00/175200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/ct/Megaflo_Eco_Slimline_Direct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HS_Slimline_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/HS_Megaflo_Issue9_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/ng/HS_General_Safety_Warning.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/HS_Slimline_Direct_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P176702,CenterStore Indirect unvented cylinder 150ltr,CenterStore,623.26,"A perennially popular choice, the resilient CenterStore 150L indirect cylinder is a purpose-built unvented water heater with a corrosion-resistant stainless steel inner vessel plus a tough duplex stainless steel and thermoplastic outer casing for long-lasting performance and a neat finish. Insulated with CFC-free polyurethane foam, this efficient water cylinder ensures minimal heat loss and delivers fast mains pressure water for frustration-free fast filling baths and hot, powerful showers.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore Indirect unvented cylinder 150ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/06/176701_176706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_176701-176706_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Centerstore_150L_Indirect_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_DirectIndirect_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/CenterStore_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Centerstore Fiche.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P175012,UK Cylinders ProLite direct cylinder 120ltr Stainless Steel,UK Cylinders,471.45,"Built in a high-grade, long-lasting Duplex stainless steel, the UK Cylinders ProLite 120L unvented direct cylinder is designed for a reliably long lifetime. Incorporating top-quality internal components, this tough cylinder provides fast flowing water to outlets throughout the home with fast reheat, excellent performance and minimal heat loss thanks to 50mm thick CFC and HCFC-free lagging.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> UK Cylinders ProLite direct cylinder 120ltr Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/15/NW-175012_175015_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/UK_Cylinders_ProLite_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/UK_Cylinders_Direct_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P176706,CenterStore Indirect unvented cylinder 300ltr,CenterStore,854.11,"A perennially popular choice, the resilient CenterStore 300L indirect cylinder is a purpose-built unvented water heater with a corrosion-resistant stainless steel inner vessel plus a tough duplex stainless steel and thermoplastic outer casing for long-lasting performance and a neat finish. Insulated with CFC-free polyurethane foam, this efficient water cylinder ensures minimal heat loss and delivers fast mains pressure water for frustration-free fast filling baths and hot, powerful showers.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore Indirect unvented cylinder 300ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/06/176701_176706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_176701-176706_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Centerstore_300L_Indirect_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_DirectIndirect_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/CenterStore_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Centerstore Fiche.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P176703,CenterStore indirect unvented cylinder 170ltr,CenterStore,643.29,"A perennially popular choice, the resilient CenterStore 170L indirect cylinder is a purpose-built unvented water heater with a corrosion-resistant stainless steel inner vessel plus a tough duplex stainless steel and thermoplastic outer casing for long-lasting performance and a neat finish. Insulated with CFC-free polyurethane foam, this efficient water cylinder ensures minimal heat loss and delivers fast mains pressure water for frustration-free fast filling baths and hot, powerful showers.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore indirect unvented cylinder 170ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/06/176701_176706_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_176701-176706_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/CenterCB_DirectIndirect_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/Centerstore_170L_Indirect_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/e_/15/CenterStore_Issue_15.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/Centerstore Fiche.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P174768,CenterStore Unvented direct cylinder 150L,CenterStore,669.6,"Built to a high standard, the 150L Centerstore Direct unvented cylinder is made using robust and long-lasting Duplex stainless steel with thick polyurethane lagging to help retain heat for longer. Supplied with quality components, every Centerstone Direct cylinder supplies fast-flowing water to a home's outlets, performing to its best in even the highest use properties. This cylinder is designed for fast reheat times and minimal heat loss.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore Unvented direct cylinder 150L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/7_/v2/174767_17477_v2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/ds/CenterStore_Direct_Cylinders_DS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/CenterStore Direct External Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P174788,CenterStore Slim indirect unvented cylinder 150L,CenterStore,767.71,"Manufactured to the brand's reliably high standards, the 150L capacity Centerstore Slimline unvented cylinder is designed with a 475mm diameter, making it perfect for installation where space is at a premium or in homes with narrow doors. This reliable cylinder is made of tough Duplex stainless steel with thick polyurethane lagging to help maximise heat retention, while high quality components supply fast hot water to a home's outlets.",Water Heating and Storage/Hot Water Cylinders/Unvented Cylinders/Unvented Cylinders.csv -> CenterStore Slim indirect unvented cylinder 150L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0_/v2/174787_174790_v2_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/CenterStore Indirect External Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/ds/CenterStore_Slimline_Cylinders_DS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
