,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Seasonal Space Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 1,Attachment 2,Attachment 3,Dimensions mm (H x W x D),By Model Number,Application,Attachment 4,Attachment 5,Part Gas Council number,Diameter,Model For Use With,Boiler Section,Boiler Range,Max Set Pressure,Pack Quantity,Range For Use With,Connection,Exhaust Port Size,Thread Standard,Material,Thread Size,Colour,Flow Rate,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,For Use With,Maximum Operating Temperature,Gender,Size,Connection Type 1
0,P114053,Keston Heat 2 55 packaged NG boiler 55kW,Keston,2379.7,"Offering a Twin Flue solution for large domestic and light commercial installation, Keston Heat is available in 2 outputs. Keston Heat is available in Natural Gas and LPG versions. Up to 6 boilers can be cascaded using Keston Frame & Header Kits.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Keston Heat 2 55 packaged NG boiler 55kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/50/114050_wm.jpg,Natural Gas,Heat 2,5 Years,60.1 kg,A,N,A,5.5 kW,360,96.7,Wall or Frame,355124,Heat Only Boiler,N,Inbuilt weather compensator,Minimum pressure 0.3 bar,Small installation footprint,ECA listed,Inbuilt pump (low energy modulating),Minimum head 3m,5:1 turndown ratio,Low NOx Class 5,Commercial control system compatibility as standard,Can be installed in a cascade producing up to 330kW (6 boilers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,P195443,Alpha E-Tec wall-mounting jig for boiler,Alpha,234.12,Alpha PremierPack Pro wall mounting jig has been specifically designed to fit E-Tec boilers and adds an additional 2 years warranty.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Alpha E-Tec wall-mounting jig for boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/44/195443_195444_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Alpha_E-Tec_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,P487111,A O Smith glow ignitor,A O Smith,447.47,"An A O Smith glow igniter for BFC Cyclone, SGS and SGE boilers.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> A O Smith glow ignitor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/11/NW-487111_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/AOSmith_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,P447966,Keston pump with flying leads,Keston,499.04,"Supplied with flyng leads, this Keston pump moves heated water around a boiler, via the heat exchangers and into radiators or hot taps. The pump is normally located before the diverter valve in a combi boiler to allow circulation through a heating and hot water system.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Keston pump with flying leads,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/66/447966_wm.jpg,,,,,,N,,,,,,177039,Pump,N,With flying leads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,P114052,Keston Heat 2 45 packaged NG boiler 45kW,Keston,2093.5,"Offering a Twin Flue solution for large domestic and light commercial installation, Keston Heat is available in 2 outputs. Keston Heat is available in Natural Gas and LPG versions. Up to 6 boilers can be cascaded using Keston Frame & Header Kits.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Keston Heat 2 45 packaged NG boiler 45kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/50/114050_wm.jpg,Natural Gas,Heat 2,5 Years,60.1 kg,A,N,A,45 kW,360,96.0,Wall or Frame,355123,Heat Only Boiler,N,Inbuilt weather compensator,Minimum pressure 0.3 bar,Small installation footprint,ECA listed,Inbuilt pump (low energy modulating),Minimum head 3m,5:1 turndown ratio,Low NOx Class 5,Commercial control system compatibility as standard,Can be installed in a cascade producing up to 330kW (6 boilers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,P114965,Ideal Spares frame and header low height (X2) DN65 300KW,Ideal,2531.0,"This Ideal low height frame and header pack is designed for two boilers of 30-150kW sharing a common DN65 water and gas header. This compact system makes floor mounting of an entire range possible via single frame configurations and integrated water and gas headers. Supplied with all necessary fittings for hassle-free installation, this kit makes building a system simple.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ideal Spares frame and header low height (X2) DN65 300KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/65/114965_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Frame_HeaderKit_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,P707301,Ambirad controller with lead (P16),Ambirad,340.33,This Ambirad 230V ignition controller is supplied complete with lead and offers compatibility with a wide range of Ambirad boilers.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ambirad controller with lead (P16),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/01/NW-707301_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Ambirad_Vision-UT_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,P114994,Ideal UPML UPML 25-105 180 frame and header pump 25 105 180,Ideal,296.0,This Ideal Grundfos UPML pump kit is intended for fitting onto the return flange of a boiler where a low loss/mixing header has been chosen.,Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ideal UPML UPML 25-105 180 frame and header pump 25 105 180,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/94/114994_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/49/94/114994.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Evomax-2_Product_Flue_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/114994_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,P412784,Ideal Spares fan 80/100kw,Ideal,598.14,"A genuine Ideal replacement part, this fan is suitable for use in Keston Heat and Ideal LPG boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ideal Spares fan 80/100kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/84/NW-412784_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,P729219,Ideal Gas Valve 154810 gas valve,Ideal,261.02,"An Ideal replacement part, this gas valve for natural gas is suitable for use in Ideal CXA and CXAP commercial boilers. The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).",Parts and Spares/sub_categories/Commercial and Industrial Boiler Parts/Commercial and Industrial Boiler Parts.csv -> Ideal Gas Valve 154810 gas valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/19/NW-729219_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Concord-CXA-40H-120H_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
