,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Thickness,Warranty,Hazardous,Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Feature 9
0,PD06007,Mira Elevate hinged bath screen square 800mm,Mira,139.01,"A minimal, sleek design, the Mira Elevate 1450 x 800mm square bath screen incorporates a patented water retention seal, keeping water from seeping underneath the screen and over the bath's edge. Manufactured in toughened safety glass, this screen is made to last.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Mira Elevate hinged bath screen square 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/07/D06007_wm.jpg,Chrome,Elevate,5 mm,10 Year,N,Chrome,Toughened Safety Glass,2.1814.107,Bath Screen,N,Single pivot hinge,With lifting effect,Patented water retention feature,Unhanded design,Door swings in or out for easy access,Chrome frame,Toughened safety glass,10 year warranty,,,,,
1,PD28955,Ionic single square bath screen,Ionic,142.71,"The angular, modern Ionic single square bath/shower screen provides a sense of space with its sleek, frameless design with minimalist concealed fixings. This easy to clean screen is manufactured in toughened 6mm glass and treated with Mershield Stayclear.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Ionic single square bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/55/UP-D28955_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Single_Bathscreen_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D28955_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D28955_Installation.pdf,
2,PD29031,Merlyn 2 panel square bath screen 1500 x 900mm,Merlyn,250.53,"This smoothly pivoting Merlyn 1500 x 900mm two panel folding square bath/shower screen provides sleek, space-efficient splash protection in your bathroom, folding neatly out of the way after use. This frameless screen is fitted with HydraSEAL to provide added protection from leaks and features the patented Easy-Fit system for optional fitting directly into existing screw holes for fast, effortless installation.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Merlyn 2 panel square bath screen 1500 x 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/31/UP-D29031_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Single_Bathscreen_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ionic_Two_Panel_Bathscreen_Install.pdf,,,
3,PT41783,Scudo side panel 760 x 1850mm - 6mm glass,Scudo,106.95,"The Scudo S6 760 x 1850mm pivot shower side panel is a perfect finishing touch for a modern bathroom. Easy to clean thanks to its Aquashield treatment, this shower panel is made of a thick clear glass with chrome frame and fittings and offers easy installation, even in rooms where walls aren't quite perfect.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Scudo side panel 760 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/85/T41783_T41785_wm.jpg,Clear,,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,Chrome,Aluminium,S6-GLASS026,Sliding Door,N,With 6mm thick toughened safety glass,Aquashield glass treatment for ease of cleaning,Universal design offers left and right handed opening,Easy to install,Large adjustment for out-of-true walls,Lifetime warranty for fixed parts only,2 year warranty on moving parts and seals,,,,,,
4,PD00012,Coram square bath screen 800mm Chrome/Clear,Coram,137.74,"With concealed fixings and a smooth hinge, the Coram Classic square bath screen is discreet yet spacious, ideal for small spaces. Easy to install, with a unique levelling system leaving no exposed screws, the Coram Classic is an ideal screen for use with high performance showers.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Coram square bath screen 800mm Chrome/Clear,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/12/UP-D00012_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Frameless_Bathscreen_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Bathscreen_Technical.pdf,,
5,PT41784,Scudo side panel 800 x 1850mm - 6mm glass,Scudo,109.16,"The Scudo S6 800 x 1850mm pivot shower side panel is a perfect finishing touch for a modern bathroom. Easy to clean thanks to its Aquashield treatment, this shower panel is made of a thick clear glass with chrome frame and fittings and offers easy installation, even in rooms where walls aren't quite perfect.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Scudo side panel 800 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/85/T41783_T41785_wm.jpg,Clear,,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,Chrome,Aluminium,S6-GLASS027,Sliding Door,N,With 6mm thick toughened safety glass,Aquashield glass treatment for ease of cleaning,Universal design offers left and right handed opening,Easy to install,Large adjustment for out-of-true walls,Lifetime warranty for fixed parts only,2 year warranty on moving parts and seals,,,,,,
6,PA21044,Twyford Geo 1 part bathscreen 1500 x 800mm,Twyford,149.91,"Suitable for an over-bath shower, the Twyford Geo 1 1500 x 800mm part bath screen is made from a single panel of toughened glass with a corrosion-resistant aluminium frame. Hinging through 180° for easy access and effortless maintenance, it is suitable for fitting to a left or right-hand wall. The Geo is treated with a ProClean nano coating for ease of cleaning. This coating helps the screen's glass to resist water marks, soap scum and limescale so it stays clear and clean with minimal scrubbing.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Twyford Geo 1 part bathscreen 1500 x 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/44/A21044_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/A21044_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A21044_Tech_Sheet.pdf,,,
7,PT41182,Scudo S6 Square Edge Bath Screen 1400 x 800mm,Scudo,88.28,The Scudo S6 1400 x 800mm square edge bath screen offers universal fitting for left- or right-handed opening to suit your bathroom design. This smart chrome framed screen is manufactured in a robust toughened safety glass.,Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Scudo S6 Square Edge Bath Screen 1400 x 800mm,,Bath Screen,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/_a/T41182_A_wm.jpg,White,,6mm,Lifetimes,N,Chrome,Glass & Aluminium,LS099N,Bath Screen,N,Manufactured in 6mm thick toughened safety glass,Reversible fitting for ease of installation,Aluminium frame construction,Polished chrome frame finish,Lifetime warranty,,,,,,,,
8,PD25063,CORAM FXD 250 SCRN PANEL C/W BASKT CH/PL,Coram,112.2,"This Coram 1400 x 250mm narrow fixed panel is designed for use with a Coram bath screen to increase its overall length. Ideal for use on longer baths or where a powerful shower creates spray, this glass panel offers additional protection with no need for a shower curtain. All Coram bath screens are well-built, with aluminium framing resistant to corrosion and toughened safety glass. The frame is finished in chrome for a neat look.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> CORAM FXD 250 SCRN PANEL C/W BASKT CH/PL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/63/D25063_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Coram_Showers_Brochure.pdf,,,,
9,PD28961,Ionic left handed 2 panel hinged bath screen,Ionic,375.37,"The Ionic left handed two panel hinged bath/shower screen includes a secure 180° inwards swing with built-in stop for adjustable deflection of shower spray and drip drying after use. Fitted with HydraSEAL for additional leak protection, this frameless screen is treated with Mershield Stayclear for easy cleaning and can be installed into existing holes with Easy-Fit for drill-free, mess-free fitting.",Showering/Shower Curtains and Screens/Square Shower Screens/Square Shower Screens.csv -> Ionic left handed 2 panel hinged bath screen,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/62/UP-D28961_D28962_wm.jpg,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/3_/14/Ionic_Showering_Brochure_2013_14.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ionic_Bath_Screen_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ionic_Bath_Screen_Installation.pdf,,
