,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3
0,PC58103,"Swan standard high neck sink pillar taps 1/2"" chrome plated",Swan,25.49,"Swan pillar tap is manufactured to the highest possible standards and designed with a focus on functionality. Provides the user with a high quality, hard-wearing features backed up with a 5 year guarantee for extra peace of mind.","Bathrooms and Kitchens/Kitchen/Kitchen Pillar Taps/Kitchen Pillar Taps.csv -> Swan standard high neck sink pillar taps 1/2"" chrome plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/03/NW-C58103_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Swan_C58103_112_118_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C58103_Technical.pdf,
1,PC43076,Deva LEVER lever action high neck sink tap Chrome Plated,Deva,31.18,"This Deva LEVER sink tap is made of brass with a chrome finish. Suitable for all plumbing systems, this deck-mounted tap includes a tactile lever handle design for inclusive flow and temperature control.",Bathrooms and Kitchens/Kitchen/Kitchen Pillar Taps/Kitchen Pillar Taps.csv -> Deva LEVER lever action high neck sink tap Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/76/NW-C43076_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_DLT103_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Deva_Shower-Tap_Guide_2021.pdf,
2,PG75793,Franke Athena dual lever tap Chrome,Franke,132.6,The contemporary Franke Athena kitchen tap with dual flow swivel spout includes a Perlator for lightly aerated flow. This deck-mounted kitchen tap offers a highly polished chrome finish for a luxury look in a modern kitchen.,Bathrooms and Kitchens/Kitchen/Kitchen Pillar Taps/Kitchen Pillar Taps.csv -> Franke Athena dual lever tap Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/93/NW-G75793_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Franke_G75793_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Franke_Flexi_Hi_Res_Installation.pdf,
3,PC00010,PEGLER 2158 1/2IN X-TOP H SINK TAP     CP,Pegler,39.63,"This Pegler Yorkshire high neck sink tap has a durable build and smart cross top design for easy turn operation. Finished in chrome, this deck-mounted tap includes a metal back nut and anti-rotation washer for a positive attachment.",Bathrooms and Kitchens/Kitchen/Kitchen Pillar Taps/Kitchen Pillar Taps.csv -> PEGLER 2158 1/2IN X-TOP H SINK TAP     CP,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/10/NW-C00010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/PY_303007_303017_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/PY_Brassware_Guide_2015.pdf,
4,PC00009,"Pegler cross-head cold sink tap 1/2"" Chrome",Pegler,39.63,"This Pegler Yorkshire high neck sink tap has a durable build and smart cross top design for easy turn operation. Finished in chrome, this deck-mounted tap includes a metal back nut and anti-rotation washer for a positive attachment.","Bathrooms and Kitchens/Kitchen/Kitchen Pillar Taps/Kitchen Pillar Taps.csv -> Pegler cross-head cold sink tap 1/2"" Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/09/NW-C00009_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/PY_303007_303017_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/PY_Brassware_Guide_2015.pdf,
5,PB02422,Ideal Standard Sandringham 21 high neck lever sink tap Chrome Plated,Ideal Standard,42.81,"Offering a simple design suitable for both modern and traditional kitchens, this pair of Ideal Standard Sandringham 21 sink pillar taps has a high neck design and smart chrome-plated finish. User-friendly, these deck-mounted taps incorporate ceramic disc technology for ease of operation, precision control and reliable longevity.",Bathrooms and Kitchens/Kitchen/Kitchen Pillar Taps/Kitchen Pillar Taps.csv -> Ideal Standard Sandringham 21 high neck lever sink tap Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/22/NW-B02422_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Sandringham21_B9885AA_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Sandringham21_B9872-79-85_SpareGuide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf
6,PG46530,Carron Phoenix Ascona tap Chrome,Carron Phoenix,202.78,"Built using high quality materials, the Carron Phoenix Franke Ascona kitchen sink mixer tap is finished in a high shine chrome with a stylish design. Easy to operate, this tap includes built-in ceramic disc valves for precision performance.",Bathrooms and Kitchens/Kitchen/Kitchen Pillar Taps/Kitchen Pillar Taps.csv -> Carron Phoenix Ascona tap Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/30/NW-G46530_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Carron_Phoenix_Developer_Brochure.pdf,,
7,PG10165,Carron Phoenix Eiger lever tap Chrome Plated,Carron Phoenix,243.85,"Designed for usability, the Carron Phoenix Eiger kitchen sink mixer tap includes a ceramic disc valve for smooth operation, a bi-flow spout and an ergonomic twin-lever handle. Fitted with a perlator for lightly aerated delivery and reduced water waste, this solidly built kitchen tap is finished in glossy chrome.",Bathrooms and Kitchens/Kitchen/Kitchen Pillar Taps/Kitchen Pillar Taps.csv -> Carron Phoenix Eiger lever tap Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/65/NW-G10165_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Carron_Phoenix_Developer_Brochure.pdf,,
8,PC43623,Deva Milan sink taps Chrome Plated,Deva,35.93,"This Deva Milan sink mixer with swivel spout is made of brass with a chrome finish. Compatible with all plumbing systems, this smart deck-mounted mixer is designed to suit any décor.",Bathrooms and Kitchens/Kitchen/Kitchen Pillar Taps/Kitchen Pillar Taps.csv -> Deva Milan sink taps Chrome Plated,,2x sink taps;Fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/23/NW-C43623_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_MILAN103_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Deva_Shower-Tap_Guide_2021.pdf,
9,PC68075,Deva LEVER lever sink tap comes with brass back nuts,Deva,34.29,"These Deva LEVER sink taps are made of brass with a chrome finish. Suitable for all plumbing systems, this pair of deck-mounted taps include tactile lever handles for inclusive flow and temperature control.",Bathrooms and Kitchens/Kitchen/Kitchen Pillar Taps/Kitchen Pillar Taps.csv -> Deva LEVER lever sink tap comes with brass back nuts,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/75/NW-C68075_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_DLTSPEC103_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Deva_Shower-Tap_Guide_2021.pdf,
