,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Warranty,Weight,Hazardous,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Attachment 1,Voltage (V),Feature 5,Feature 6,Feature 7,Colour,Connection Type,Diameter,Pressure,Overheat Protection,Direct / Indirect,Insulation Type,Material,Application,Attachment 2,Attachment 3,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12
0,P143381,Joule Kodiak Slim HUKH-G6150-S3C pre-plumbed indirect cylinder 150L,Joule,2360.95,"Offering a capacity of 150L, this Joule Kodiak Slim indirect cylinder is suitable for installation in smaller spaces or where access is limited. Pre-plumbed, this cylinder allows for fast, easy installation.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Joule Kodiak Slim HUKH-G6150-S3C pre-plumbed indirect cylinder 150L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/81/143381_wm.jpg,Kodiak Slim,7 Years,86 kg,N,HUKH-G6150-S3C,ASHP Cylinders,N,150 l,Slimline design for small spaces,Pre-plumbed for quicker installation,1467mm height,7 year warranty,,,,,,,,,,,,,,,,,,,,,
1,P125454,Vaillant uniSTOR 0020235271 heat pump cylinder 150ltr,Vaillant,946.49,"Built for performance and reliability, the slim Vaillant uniSTOR 150L indirect heat pump cylinder is manufactured from hardwearing stainless steel and incorporates the latest thermal-injected insulation for ultra-low heat loss, as little as 1kW in 24 hours. The uniSTOR has a large diameter, smooth-surfaced coil positioned in an optimal spot for the ultimate in hot water performance and with automatic de-scaling provides ongoing efficiency with minimal maintenance.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Vaillant uniSTOR 0020235271 heat pump cylinder 150ltr,,Cylinder;Documentation;Tundish;Three-way motorised valve;Unvented cylinder kit;Expansion vessel;3/4 inch x 28mm MI-copper compression fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/57/125454_125457_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Heat_Pump_Cylinder_Brochure.pdf,,,,,,,,,,,,,,,,,,,,
2,P619178,ECODAN 210L VERSATILE SLIMLINE CYL,Mitsubishi,2448.21,"An efficient unit featuring a high capacity coil heat exchanger, the pre-plumbed Mitsubishi Ecodan 210L slimline cylinder is part of a versatile range designed to meet the needs of a wide variety of hot water applications. These adaptable MELCloud enabled cylinders offer fast heat-up times, thanks to their integral plate heat exchangers, and are suitable for integration with the brand's monobloc air source heat pumps, helping to reduce a system's carbon footprint.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> ECODAN 210L VERSATILE SLIMLINE CYL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/78/619178_wm.jpg,Ecodan,3 Years,50 kg,N,678154,Cylinder,N,210 l,Plug-and-play installation,Unvented,"For efficient, rapid heating",With premium insulation,,220 - 240,Flexible 2-zone space heating control,MELCloud enabled,3 year warranty,,,,,,,,,,,,,,,,
3,P143382,Joule Kodiak Standard HUKH-G6170-L3C pre-plumbed indirect cylinder 170L,Joule,2299.35,This 170L capacity Joule Kodiak Standard indirect cylinder is pre-plumbed for ease and speed of installation.,Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Joule Kodiak Standard HUKH-G6170-L3C pre-plumbed indirect cylinder 170L,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/82/143382_wm.jpg,Kodiak Standard,7 Years,83 kg,N,HUKH-G6170-L3C,ASHP Cylinders,N,170 l,Pre-plumbed for quicker installation,1314mm height,7 year warranty,,,,,,,,,,,,,,,,,,,,,,
4,P619527,Mitsubishi 250 litre mono pre-plumbed cylinder standard 28mm,Mitsubishi,3056.56,"An efficient unit featuring a high capacity coil heat exchanger, the pre-plumbed Mitsubishi Ecodan 250L mono standard cylinder is part of a versatile range designed to meet the needs of a wide variety of hot water applications. These adaptable MELCloud enabled cylinders offer fast heat-up times, thanks to their integral plate heat exchangers, and are suitable for integration with the brand's monobloc air source heat pumps, helping to reduce a system's carbon footprint.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Mitsubishi 250 litre mono pre-plumbed cylinder standard 28mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/27/619527_wm.jpg,,3 Years,74 kg,N,607781,Cylinder,N,250 l,Plug-and-play installation,Unvented,"For efficient, rapid heating",With premium insulation,,220 - 240,Flexible 2-zone space heating control,MELCloud enabled,3 year warranty,,,,,,,,,,,,,,,,
5,P175025,UK Cylinders Prolite WPHPD3200 Heat Pump Cylinder 200 ltr,UK Cylinders,1028.1,"Offering high levels of performance, this UK Cylinders Prolite 200L capacity heat pump indirect cylinder incorporates a full bore coil for high flow and high gain. Made of tough duplex stainless steel, it is lagged using environmentally friendly 50mm insulation to help minimise heat loss.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> UK Cylinders Prolite WPHPD3200 Heat Pump Cylinder 200 ltr,,Heat Pump cylinder;unvented components to comply with G3 regulations,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/27/175023_27_wm.jpg,ProLite,Cylinder has a 25 year warranty against manufacturing defect and 2 years with supplied components.,49kg,N,WPHPD3200,,N,200 l,For domestic use,Duplex stainless steel construction,Silver colour,22mm compression fittings,,230,Includes 50mm CFC and HCFC-free insulation,25 year warranty against manufacturing defects,2 year warranty on supplied components,Silver,22mm compression fittings,545mm,7 bar,Yes,Indirect,50mm CFC and HCFC free insulation,Duplex Stainless Steel,Domestic,,,,,,,
6,P175026,UK Cylinders Prolite WPHPD3250 Heat Pump Cylinder 250 ltr,UK Cylinders,1063.44,"Offering high levels of performance, this UK Cylinders Prolite 250L capacity heat pump indirect cylinder incorporates a full bore coil for high flow and high gain. Made of tough duplex stainless steel, it is lagged using environmentally friendly 50mm insulation to help minimise heat loss.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> UK Cylinders Prolite WPHPD3250 Heat Pump Cylinder 250 ltr,,Heat Pump cylinder;unvented components to comply with G3 regulations,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/27/175023_27_wm.jpg,ProLite,Cylinder has a 25 year warranty against manufacturing defect and 2 years with supplied components.,53 kg,N,WPHPD3250,,N,250 l,For domestic use,Duplex stainless steel construction,Silver colour,22mm compression fittings,,230,Includes 50mm CFC and HCFC-free insulation,25 year warranty against manufacturing defects,2 year warranty on supplied components,Silver,22mm compression fittings,545mm,6 bar,Yes,Indirect,50mm CFC and HCFC free insulation,Duplex Stainless Steel,Domestic,,,,,,,
7,P619177,Mitsubishi Ecodan 180 litre versatile slimline cylinder,Mitsubishi,2391.45,"An efficient unit featuring a high capacity coil heat exchanger, the pre-plumbed Mitsubishi Ecodan 180L slimline cylinder is part of a versatile range designed to meet the needs of a wide variety of hot water applications. These adaptable MELCloud enabled cylinders offer fast heat-up times, thanks to their integral plate heat exchangers, and are suitable for integration with the brand's monobloc air source heat pumps, helping to reduce a system's carbon footprint.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Mitsubishi Ecodan 180 litre versatile slimline cylinder,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/77/619177_wm.jpg,Ecodan,3 Years,50 kg,N,678153,Cylinder,N,180 l,Plug-and-play installation,Unvented,"For efficient, rapid heating",With premium insulation,,220 - 240,Flexible 2-zone space heating control,MELCloud enabled,3 year warranty,,,,,,,,,,,,,,,,
8,P619524,MITS 170L MONO PP CYL STD SMALL 22MM,Mitsubishi,2850.51,"An efficient unit featuring a high capacity coil heat exchanger, the pre-plumbed Mitsubishi Ecodan 170L mono slimline cylinder is part of a versatile range designed to meet the needs of a wide variety of hot water applications. These adaptable MELCloud enabled cylinders offer fast heat-up times, thanks to their integral plate heat exchangers, and are suitable for integration with the brand's monobloc air source heat pumps, helping to reduce a system's carbon footprint.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> MITS 170L MONO PP CYL STD SMALL 22MM,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/24/619524_wm.jpg,,3 Years,5.8Kg,N,607778,Cylinder,N,170 l,Plug-and-play installation,Unvented,"For efficient, rapid heating",With premium insulation,,220 - 240,Flexible 2-zone space heating control,MELCloud enabled,3 year warranty,,,,,,,,,,,,,,,,
9,P125455,Vaillant uniSTOR 0020235272 heat pump cylinder 200ltr,Vaillant,1094.38,"Built for performance and reliability, the Vaillant uniSTOR 200L indirect heat pump cylinder is manufactured from hardwearing stainless steel and incorporates the latest thermal-injected insulation for ultra-low heat loss, as little as 1kW in 24 hours. The uniSTOR has a large diameter, smooth-surfaced coil positioned in an optimal spot for the ultimate in hot water performance and with automatic de-scaling provides ongoing efficiency with minimal maintenance.",Renewables/Ground Source Heat Pumps (GSHP)/Ground Source Heat Pumps (GSHP).csv -> Vaillant uniSTOR 0020235272 heat pump cylinder 200ltr,,Cylinder;Documentation;Tundish;Three-way motorised valve;Unvented cylinder kit;Expansion vessel;3/4 inch x 28mm MI-copper compression fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/57/125454_125457_wm.jpg,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Heat_Pump_Cylinder_Brochure.pdf,,,,,,,,,,,,,,,,,,,,
