,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2
0,PC50867,"Dormont 3/4"" x 1000mm long standard NVPF gas connection hose BS669 part 2,  with straight restainer",Dormont,63.33,"This high quality, safe and robust Dormont 1M unbraided gas hose features NPVF, a quick-disconnect coupling, straight restrainer and a cable with mounting hardware.","Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Fly Killer Parts/Fly Killer Parts.csv -> Dormont 3/4"" x 1000mm long standard NVPF gas connection hose BS669 part 2,  with straight restainer",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/67/NW-C50866_C50867_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mechline_2675NPVF36_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mechline_Dormont_Gas_Hose_Install.pdf
1,PC50866,"Dormont 1/2"" x 1000mm long standard NVPF gas connection hose BS669 part 2,  with straight restainer",Dormont,42.76,"This high quality, safe and robust Dormont 1M unbraided gas hose features NPVF, a quick-disconnect coupling, straight restrainer and a cable with mounting hardware.","Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Fly Killer Parts/Fly Killer Parts.csv -> Dormont 1/2"" x 1000mm long standard NVPF gas connection hose BS669 part 2,  with straight restainer",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/67/NW-C50866_C50867_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C50866_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mechline_Dormont_Gas_Hose_Install.pdf
2,P493228,Clesse Clessinox hose assembly with testpoint 1/2'' x 15mm 35kW Stainless Steel,Clesse,25.66,"Fitted with an integrated test point, this Clesse Clessinox 1.2M stainless steel metallic flexible hose assembly with 1/2” male taper x 15mm compression fitting is suitable for single cylinder installations. Rodent-resistant and with a certified 1MB pressure loss per metre at 70kW/h, this hose assembly can also be used with two cylinder changeover kits on 15mm pipework connections.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Fly Killer Parts/Fly Killer Parts.csv -> Clesse Clessinox hose assembly with testpoint 1/2'' x 15mm 35kW Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/28/NW-493228_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Clesse_Product_Catalogue_2019-2020.pdf,
3,P493226,Clesse Clessinox hose assembly 1/2'' x 15mm 35kW Stainless Steel,Clesse,22.1,"Rodent-resistant, this Clesse Clessinox 1.2M stainless steel metallic flexible hose assembly with 1/2” male taper x 15mm compression fittings offers a certified 1MB pressure loss per meter at 35kW. It is suitable for use on single cylinder installations and can also be used with two cylinder changeover kits on 15mm pipework connections.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Fly Killer Parts/Fly Killer Parts.csv -> Clesse Clessinox hose assembly 1/2'' x 15mm 35kW Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/26/NW-493226_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Clesse_Product_Catalogue_2019-2020.pdf,
4,PC50861,"Mechline Dormont 1/2"" x 1500mm long standard NVPF gas connection hose BS669 part 2,  with straight restainer",Mechline,64.02,"Made of high quality stainless steel, this Mechline Dormont 1.5M unbraided gas hose with a 12.7mm ID offers excellent reliability and built-in safety features. Designed for longevity, this hose is approved for both LPG and natural gas and features a flat-faced, push-to-connect coupling with fast disconnection.","Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Fly Killer Parts/Fly Killer Parts.csv -> Mechline Dormont 1/2"" x 1500mm long standard NVPF gas connection hose BS669 part 2,  with straight restainer",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/61/NW-C50861_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mechline_2650NPVF60_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mechline_Dormont_Gas_Hose_Install.pdf
5,P487515,Clesse Mutli-cylinder LPG NRV T-piece connector,Clesse,9.67,"Suitable for use with an LPG automatic changeover, this Clesse multi-cylinder LPG NRV T-piece has M20 female x M20 male x M20 male connections.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Fly Killer Parts/Fly Killer Parts.csv -> Clesse Mutli-cylinder LPG NRV T-piece connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/15/NW-487515_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Clesse_Product_Catalogue_2016.pdf,
6,PC50865,"Mechline Dormont 1"" x 1 metre long standard NPVF gas connection hose BS669 part 2, supplied with quick disconnect coupling, str",Mechline,174.2,"Made of high quality stainless steel, this Mechline Dormont 1M unbraided gas hose with a 25.4mm ID offers excellent reliability and built-in safety features. Designed for longevity, this hose is approved for both LPG and natural gas and features a flat-faced, push-to-connect coupling with fast disconnection.","Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Fly Killer Parts/Fly Killer Parts.csv -> Mechline Dormont 1"" x 1 metre long standard NPVF gas connection hose BS669 part 2, supplied with quick disconnect coupling, str",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/65/NW-C50865_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mechline_26100NPVF36_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mechline_Dormont_Gas_Hose_Install.pdf
7,P490343,"Clesse Male/female test point adaptor 3/8"" x 1/2''",Clesse,7.7,"Suitable for LPG use, this Clesse test point adapter includes a 3/8"" BSP taper male inlet connection and 1/2"" BSP taper female outlet connection.","Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Fly Killer Parts/Fly Killer Parts.csv -> Clesse Male/female test point adaptor 3/8"" x 1/2''",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/43/NW-490343_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Clesse_Product_Catalogue_2019-2020.pdf,
8,PC50868,"Mechline Dormont 3/4"" x 1500mm long standard NVPF gas connection hose BS669 part 2,  with straight restainer",Mechline,103.8,"Made of high quality stainless steel, this Mechline Dormont 1.5M unbraided gas hose with a 19mm ID offers excellent reliability and built-in safety features. Designed for longevity, this hose is approved for both LPG and natural gas and features a flat-faced, push-to-connect coupling with fast disconnection.","Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Fly Killer Parts/Fly Killer Parts.csv -> Mechline Dormont 3/4"" x 1500mm long standard NVPF gas connection hose BS669 part 2,  with straight restainer",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/68/NW-C50868_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mechline_2675NPVF60_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mechline_Dormont_Gas_Hose_Install.pdf
9,P493231,Clesse Clessinox hose assembly 1/2'' x 15mm 70kW Stainless Steel,Clesse,25.44,"This Clesse Clessinox 1.2M stainless steel metallic flexible hose assembly with 1/2” male taper x 15mm compression fitting is suitable for single, dual or multi cylinder installations. Rodent-resistant and with a certified 1MB pressure loss per metre at 70kW/h, this hose assembly can also be used in second stage installations and in meter boxes up to 70kW/h.",Parts and Spares/sub_categories/Commercial Catering Parts/sub_categories/Fly Killer Parts/Fly Killer Parts.csv -> Clesse Clessinox hose assembly 1/2'' x 15mm 70kW Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/32/NW-493231_493232_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Clesse_Product_Catalogue_2019-2020.pdf,
